Experiment:, Cathode characterisation
Start date:, p?tek 27. ??jna 2023
Start time:, 14:58:57 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1347,55", "0,05041774", "-0,635575"
"1347,65", "0,05253295", "-0,4112676"
"1347,7", "0,05359055", "-0,3511181"
"1347,75", "0,05460081", "-0,3103919"
"1347,8", "0,05568998", "-0,267786"
"1347,85", "0,05666866", "-0,2489893"
"1347,9", "0,05763155", "-0,2215774"
"1348", "0,05954155", "-0,1882133"
"1348,05", "0,06053602", "-0,170513"
"1348,1", "0,06153049", "-0,1542226"
"1348,15", "0,06249338", "-0,1368356"
"1348,2", "0,0634247", "-0,1238345"
"1348,25", "0,06438759", "-0,1103636"
"1348,35", "0,06648701", "-0,08185522"
"1348,4", "0,06752884", "-0,06775767"
"1348,45", "0,0685233", "-0,05757612"
"1348,5", "0,06954934", "-0,0455149"
"1348,55", "0,07055959", "-0,03736965"
"1348,6", "0,07153826", "-0,03141736"
"1348,65", "0,07250116", "-0,02342876"
"1348,7", "0,07352719", "-0,01356049"
"1348,8", "0,0756424", "-0,001342623"
"1348,85", "0,07654215", "-0,001342623"
"1348,9", "0,07750504", "0,006959258"
"1348,95", "0,07856265", "0,01463458"
"1349", "0,07954133", "0,0194904"
"1349,05", "0,08061472", "0,02591261"
"1349,15", "0,0825405", "0,03014187"
"1349,2", "0,08369283", "0,037034"
"1349,25", "0,0846715", "0,03609416"
"1349,3", "0,08572911", "0,04079334"
"1349,35", "0,08664464", "0,04235973"
"1349,4", "0,08756018", "0,04408276"
"1349,5", "0,08940704", "0,04956514"
"1349,55", "0,09048043", "0,05348112"
"1349,6", "0,09139597", "0,05285456"
"1349,65", "0,09235886", "0,05708382"
"1349,7", "0,09344804", "0,06021661"
"1349,75", "0,09445829", "0,06366267"
"1349,8", "0,09559482", "0,06648218"
"1349,85", "0,0965735", "0,06507242"
"1349,95", "0,09862557", "0,06914505"
"1350", "0,0996516", "0,06898841"
"1350,05", "0,1005987", "0,071338"
"1350,1", "0,1016247", "0,06773529"
"1350,15", "0,1026824", "0,07227783"
"1350,25", "0,1044029", "0,07274775"
"1350,3", "0,1054448", "0,07572389"
"1350,35", "0,1064076", "0,07572389"
"1350,4", "0,107481", "0,07948323"
"1350,45", "0,1084755", "0,0777602"
"1350,5", "0,1094857", "0,0785434"
"1350,6", "0,1113642", "0,08057971"
"1350,65", "0,1123271", "0,08230274"
"1350,7", "0,1133531", "0,08104963"
"1350,75", "0,1143949", "0,0837125"
"1350,8", "0,1154683", "0,08339922"
"1350,85", "0,1165259", "0,08386914"
"1350,9", "0,1174572", "0,08496562"
"1350,95", "0,1183728", "0,08606208"
"1351", "0,119462", "0,08606208"
"1351,05", "0,1203617", "0,08778512"
"1351,15", "0,1225243", "0,0888816"
"1351,2", "0,1235187", "0,08841167"
"1351,25", "0,1245921", "0,08841167"
"1351,3", "0,1255234", "0,0873152"
"1351,35", "0,1265179", "0,08809839"
"1351,45", "0,1285542", "0,09044799"
"1351,5", "0,1295644", "0,0888816"
"1351,55", "0,1304642", "0,09076127"
"1351,6", "0,1314429", "0,09076127"
"1351,65", "0,1323268", "0,09138783"
"1351,7", "0,1332108", "0,09091791"
"1351,8", "0,1352471", "0,09279758"
"1351,85", "0,1362731", "0,09311084"
"1351,9", "0,1373781", "0,09295422"
"1351,95", "0,1382936", "0,09358077"
"1352", "0,1393986", "0,09311084"
"1352,05", "0,1403299", "0,09342413"
"1352,1", "0,1414507", "0,09420733"
"1352,15", "0,1424135", "0,09514717"
"1352,2", "0,1434396", "0,09358077"
"1352,3", "0,1454601", "0,09514717"
"1352,35", "0,146423", "0,09640028"
"1352,4", "0,1473859", "0,09561708"
"1352,45", "0,1485224", "0,09812331"
"1352,5", "0,1495484", "0,09702684"
"1352,55", "0,1504955", "0,09953307"
"1352,65", "0,152516", "0,09749676"
"1352,7", "0,1534474", "0,09937642"
"1352,75", "0,1545523", "0,09984634"
"1352,8", "0,155531", "0,09937642"
"1352,9", "0,1574884", "0,09718347"
"1352,95", "0,1585302", "0,1006295"
"1353", "0,1595878", "0,1012561"
"1353,05", "0,160677", "0,09874986"
"1353,1", "0,1615451", "0,09859323"
"1353,15", "0,1624923", "0,1004729"
"1353,2", "0,1635972", "0,09937642"
"1353,25", "0,1644654", "0,1014127"
"1353,3", "0,1654441", "0,09874986"
"1353,35", "0,166407", "0,1010995"
"1353,45", "0,1684117", "0,1018827"
"1353,5", "0,1694061", "0,1010995"
"1353,55", "0,170369", "0,1010995"
"1353,6", "0,1713004", "0,1012561"
"1353,65", "0,1723264", "0,1026659"
"1353,7", "0,1733998", "0,1057986"
"1353,8", "0,1754045", "0,1045455"
"1353,85", "0,1764779", "0,1061119"
"1353,9", "0,1775197", "0,1040756"
"1353,95", "0,178451", "0,1047022"
"1354", "0,1795086", "0,1043889"
"1354,05", "0,1807241", "0,1057986"
"1354,1", "0,1816081", "0,1043889"
"1354,15", "0,1824605", "0,1054853"
"1354,25", "0,1845599", "0,1048588"
"1354,3", "0,1855859", "0,1054853"
"1354,35", "0,1865646", "0,103919"
"1354,4", "0,1875433", "0,1059553"
"1354,45", "0,1885377", "0,1057986"
"1354,5", "0,1896585", "0,1072084"
"1354,6", "0,191679", "0,1054853"
"1354,65", "0,1924998", "0,1061119"
"1354,7", "0,1935416", "0,1070518"
"1354,8", "0,1955463", "0,1081482"
"1354,85", "0,1966039", "0,1087748"
"1354,95", "0,1985613", "0,107835"
"1355", "0,1995242", "0,1064252"
"1355,05", "0,2003608", "0,1087748"
"1355,1", "0,2014658", "0,1084615"
"1355,15", "0,2024602", "0,1100279"
"1355,25", "0,2045281", "0,1094013"
"1355,3", "0,2055857", "0,1114376"
"1355,4", "0,2074957", "0,1117509"
"1355,45", "0,2085375", "0,1100279"
"1355,5", "0,209453", "0,1106544"
"1355,55", "0,210558", "0,1115943"
"1355,6", "0,211584", "0,1106544"
"1355,7", "0,2136361", "0,1131607"
"1355,75", "0,2146148", "0,1114376"
"1355,8", "0,2155935", "0,111281"
"1355,85", "0,2166511", "0,1159802"
"1355,9", "0,2175824", "0,1156669"
"1356", "0,2197134", "0,1125341"
"1356,05", "0,2206132", "0,1142572"
"1356,1", "0,2215918", "0,1139439"
"1356,2", "0,2235018", "0,113474"
"1356,25", "0,2245594", "0,1141005"
"1356,3", "0,2255065", "0,1145704"
"1356,35", "0,2264852", "0,1147271"
"1356,4", "0,2275112", "0,115197"
"1356,45", "0,2285531", "0,1145704"
"1356,55", "0,2305262", "0,1172333"
"1356,6", "0,2315996", "0,1166067"
"1356,65", "0,2324993", "0,1177032"
"1356,7", "0,2335728", "0,1175466"
"1356,75", "0,2345672", "0,1172333"
"1356,85", "0,236493", "0,1164501"
"1356,9", "0,2375506", "0,1172333"
"1356,95", "0,2384977", "0,1178599"
"1357", "0,2395238", "0,1186431"
"1357,05", "0,2405971", "0,1181731"
"1357,1", "0,2416232", "0,1162935"
"1357,15", "0,2426334", "0,1186431"
"1357,25", "0,244717", "0,1183298"
"1357,3", "0,2457431", "0,1184864"
"1357,35", "0,2465797", "0,1178599"
"1357,45", "0,2484739", "0,119113"
"1357,5", "0,2496578", "0,1195829"
"1357,55", "0,2505418", "0,1180165"
"1357,6", "0,2515362", "0,1205227"
"1357,7", "0,2534778", "0,1202094"
"1357,75", "0,2544723", "0,1195829"
"1357,8", "0,2554825", "0,1202094"
"1357,85", "0,2565243", "0,119113"
"1357,9", "0,2575819", "0,1198962"
"1358", "0,2596024", "0,1214626"
"1358,05", "0,2605653", "0,120836"
"1358,1", "0,2616229", "0,1211493"
"1358,15", "0,2626016", "0,1209926"
"1358,2", "0,2636908", "0,120836"
"1358,25", "0,2646695", "0,1217758"
"1358,3", "0,2656481", "0,1231856"
"1358,4", "0,2675739", "0,1211493"
"1358,45", "0,2686158", "0,123029"
"1358,5", "0,2696418", "0,1228723"
"1358,55", "0,2705573", "0,1234989"
"1358,6", "0,2715676", "0,122559"
"1358,65", "0,2726883", "0,1236555"
"1358,75", "0,2747562", "0,1256918"
"1358,8", "0,2758611", "0,1222458"
"1358,85", "0,276903", "0,1239688"
"1358,9", "0,2779764", "0,1234989"
"1358,95", "0,2788919", "0,1231856"
"1359", "0,2797917", "0,1242821"
"1359,05", "0,2807229", "0,1231856"
"1359,15", "0,282633", "0,1216192"
"1359,2", "0,2836274", "0,1252219"
"1359,25", "0,284764", "0,1244387"
"1359,3", "0,2858531", "0,1245953"
"1359,35", "0,2867529", "0,1236555"
"1359,4", "0,2877631", "0,1250653"
"1359,45", "0,2886945", "0,1249086"
"1359,55", "0,290636", "0,1267883"
"1359,6", "0,2915516", "0,1253785"
"1359,65", "0,2925934", "0,1255352"
"1359,75", "0,2947244", "0,1258485"
"1359,9", "0,2977867", "0,1255352"
"1359,95", "0,2987496", "0,1272582"
"1360", "0,2997283", "0,1274149"
"1360,05", "0,3007385", "0,1271016"
"1360,1", "0,3016699", "0,1267883"
"1360,15", "0,302617", "0,1261617"
"1360,2", "0,3036745", "0,1252219"
"1360,25", "0,3047006", "0,1277281"
"1360,35", "0,3066737", "0,1263184"
"1360,4", "0,3077787", "0,1272582"
"1360,45", "0,3088205", "0,1275715"
"1360,5", "0,3097676", "0,1269449"
"1360,55", "0,3107621", "0,1269449"
"1360,6", "0,3117408", "0,1283547"
"1360,65", "0,3127668", "0,1280414"
"1360,75", "0,3152466", "0,1267883"
"1360,8", "0,3157206", "0,1288246"
"1360,85", "0,3168266", "0,1280414"
"1360,9", "0,3179325", "0,1294512"
"1360,95", "0,3187225", "0,1288246"
"1361,05", "0,3209344", "0,1308609"
"1361,1", "0,3217244", "0,1281981"
"1361,15", "0,3226724", "0,1292945"
"1361,2", "0,3236203", "0,1294512"
"1361,25", "0,3245684", "0,1296078"
"1361,35", "0,3266223", "0,1300777"
"1361,4", "0,3274123", "0,1311742"
"1361,5", "0,3294662", "0,1299211"
"1361,55", "0,3305722", "0,1308609"
"1361,6", "0,3316782", "0,1324273"
"1361,65", "0,3326261", "0,132114"
"1361,7", "0,3335741", "0,1318008"
"1361,75", "0,3345221", "0,1338371"
"1361,8", "0,335628", "0,132114"
"1361,85", "0,336576", "0,1324273"
"1361,95", "0,33863", "0,1332105"
"1362", "0,3395779", "0,1325839"
"1362,05", "0,3405259", "0,1322707"
"1362,1", "0,3414739", "0,1328972"
"1362,15", "0,3425798", "0,1328972"
"1362,2", "0,3435278", "0,1308609"
"1362,3", "0,3455818", "0,1325839"
"1362,35", "0,3465297", "0,1328972"
"1362,4", "0,3474777", "0,1324273"
"1362,5", "0,3493736", "0,1328972"
"1362,55", "0,3503217", "0,1327406"
"1362,65", "0,3523756", "0,134307"
"1362,7", "0,3533235", "0,1349335"
"1362,75", "0,3542715", "0,1338371"
"1362,85", "0,3563255", "0,1350902"
"1362,9", "0,3572734", "0,1335238"
"1362,95", "0,3583794", "0,1357167"
"1363", "0,3593274", "0,1344636"
"1363,1", "0,3613814", "0,1354035"
"1363,15", "0,3623293", "0,1350902"
"1363,2", "0,3634353", "0,1350902"
"1363,25", "0,3643833", "0,1358734"
"1363,3", "0,3651732", "0,1354035"
"1363,4", "0,3672272", "0,1361867"
"1363,45", "0,3683331", "0,1357167"
"1363,5", "0,3692811", "0,1358734"
"1363,55", "0,3702291", "0,1369698"
"1363,6", "0,3713351", "0,1374398"
"1363,65", "0,372283", "0,1374398"
"1363,7", "0,373389", "0,1379097"
"1363,8", "0,375285", "0,1385362"
"1363,85", "0,3762329", "0,1380663"
"1363,9", "0,3773389", "0,1374398"
"1363,95", "0,3781289", "0,1372831"
"1364", "0,3792349", "0,1364999"
"1364,05", "0,3800248", "0,137753"
"1364,1", "0,3811308", "0,1391628"
"1364,15", "0,3822368", "0,1369698"
"1364,25", "0,3841327", "0,137753"
"1364,3", "0,3850807", "0,1374398"
"1364,35", "0,3860286", "0,1385362"
"1364,4", "0,3869767", "0,1371265"
"1364,45", "0,3880826", "0,1383796"
"1364,5", "0,3890306", "0,1380663"
"1364,6", "0,3909265", "0,137753"
"1364,65", "0,3920325", "0,1388495"
"1364,7", "0,3931385", "0,1393194"
"1364,75", "0,3940865", "0,1375964"
"1364,8", "0,3950344", "0,1386929"
"1364,85", "0,3959824", "0,1375964"
"1364,9", "0,3970883", "0,1386929"
"1365", "0,3989843", "0,1397894"
"1365,05", "0,4000903", "0,1388495"
"1365,1", "0,4010383", "0,1385362"
"1365,15", "0,4019862", "0,1386929"
"1365,3", "0,4048302", "0,1396327"
"1365,35", "0,4059362", "0,1386929"
"1365,4", "0,4068841", "0,1404159"
"1365,45", "0,4078321", "0,1407292"
"1365,5", "0,4087801", "0,1407292"
"1365,55", "0,409728", "0,1408858"
"1365,65", "0,411624", "0,1401026"
"1365,7", "0,4127299", "0,1410425"
"1365,75", "0,4138359", "0,1407292"
"1365,8", "0,4149419", "0,1405726"
"1365,85", "0,4158899", "0,1404159"
"1365,9", "0,4166798", "0,1413558"
"1365,95", "0,4177858", "0,1410425"
"1366,05", "0,4199978", "0,1422956"
"1366,1", "0,4209457", "0,1407292"
"1366,2", "0,4228417", "0,1422956"
"1366,25", "0,4239476", "0,1415124"
"1366,3", "0,4248956", "0,1410425"
"1366,35", "0,4256856", "0,1419823"
"1366,45", "0,4278975", "0,1437053"
"1366,5", "0,4288455", "0,1410425"
"1366,55", "0,4297935", "0,1427655"
"1366,6", "0,4308994", "0,1426089"
"1366,65", "0,4318474", "0,1440186"
"1366,7", "0,4327954", "0,1418257"
"1366,8", "0,4346913", "0,1424522"
"1366,85", "0,4359553", "0,1440186"
"1366,9", "0,4369033", "0,1430788"
"1366,95", "0,4378513", "0,1435487"
"1367", "0,4389572", "0,1433921"
"1367,05", "0,4399052", "0,1426089"
"1367,1", "0,4410112", "0,1441753"
"1367,15", "0,4419591", "0,1440186"
"1367,25", "0,4438551", "0,1451151"
"1367,3", "0,4446451", "0,1440186"
"1367,35", "0,445751", "0,145585"
"1367,4", "0,446857", "0,1440186"
"1367,45", "0,447963", "0,1443319"
"1367,5", "0,448911", "0,1441753"
"1367,55", "0,4497009", "0,1454284"
"1367,6", "0,4508069", "0,1446452"
"1367,7", "0,4528608", "0,1454284"
"1367,75", "0,4538088", "0,1446452"
"1367,8", "0,4549148", "0,1448018"
"1367,85", "0,4560207", "0,145585"
"1367,9", "0,4569688", "0,1457417"
"1368", "0,4590227", "0,1468381"
"1368,05", "0,4599707", "0,1484045"
"1368,1", "0,4610766", "0,1463682"
"1368,15", "0,4620246", "0,1465248"
"1368,2", "0,4631306", "0,1452717"
"1368,25", "0,4639205", "0,1463682"
"1368,35", "0,4658165", "0,1484045"
"1368,45", "0,4677125", "0,1462116"
"1368,5", "0,4686604", "0,1452717"
"1368,55", "0,4697664", "0,145585"
"1368,6", "0,4708724", "0,1482479"
"1368,65", "0,4716623", "0,1487178"
"1368,7", "0,4726103", "0,1490311"
"1368,75", "0,4737163", "0,1480912"
"1368,85", "0,4757702", "0,147778"
"1368,9", "0,4768762", "0,1462116"
"1368,95", "0,4778242", "0,1471514"
"1369", "0,4787721", "0,1465248"
"1369,1", "0,4808261", "0,1490311"
"1369,15", "0,4819321", "0,1469948"
"1369,2", "0,48288", "0,1487178"
"1369,25", "0,483828", "0,147308"
"1369,3", "0,484934", "0,147308"
"1369,35", "0,485882", "0,1493444"
"1369,4", "0,4869879", "0,1480912"
"1369,45", "0,4879359", "0,1490311"
"1369,5", "0,4888839", "0,1485611"
"1369,6", "0,4907798", "0,1498143"
"1369,65", "0,4917278", "0,1487178"
"1369,7", "0,4926758", "0,1491877"
"1369,75", "0,4937817", "0,1491877"
"1369,8", "0,4947297", "0,1479346"
"1369,9", "0,4966257", "0,1496576"
"1369,95", "0,4977316", "0,1490311"
"1370", "0,4986796", "0,1488744"
"1370,05", "0,4997856", "0,1487178"
"1370,1", "0,5008915", "0,1499709"
"1370,15", "0,5016815", "0,1501276"
"1370,25", "0,5038934", "0,1493444"
"1370,3", "0,5046834", "0,1499709"
"1370,35", "0,5056314", "0,1507541"
"1370,4", "0,5065793", "0,1509108"
"1370,45", "0,5076854", "0,1515373"
"1370,5", "0,5086333", "0,1513807"
"1370,55", "0,5095813", "0,1505975"
"1370,6", "0,5105293", "0,1509108"
"1370,65", "0,5116352", "0,1510674"
"1370,7", "0,5125833", "0,1535736"
"1370,8", "0,5152691", "0,1524771"
"1370,85", "0,5165331", "0,1518506"
"1370,9", "0,517639", "0,1521639"
"1370,95", "0,519061", "0,1516939"
"1371,05", "0,520957", "0,1513807"
"1371,1", "0,522063", "0,1523205"
"1371,15", "0,5230109", "0,1523205"
"1371,2", "0,5239589", "0,1524771"
"1371,25", "0,5249069", "0,1526338"
"1371,3", "0,5260128", "0,1523205"
"1371,35", "0,5269608", "0,1521639"
"1371,4", "0,5280668", "0,1523205"
"1371,45", "0,5290148", "0,1540435"
"1371,5", "0,5299627", "0,1513807"
"1371,6", "0,5320167", "0,1524771"
"1371,65", "0,5329646", "0,1516939"
"1371,7", "0,5339127", "0,1540435"
"1371,75", "0,5350186", "0,1529471"
"1371,8", "0,5359666", "0,153417"
"1371,85", "0,5370725", "0,1549834"
"1371,95", "0,5389685", "0,1548267"
"1372", "0,5399165", "0,1546701"
"1372,05", "0,5410224", "0,1543568"
"1372,1", "0,5419704", "0,1556099"
"1372,15", "0,5429184", "0,1543568"
"1372,2", "0,5440243", "0,1532603"
"1372,3", "0,5459203", "0,1549834"
"1372,35", "0,5470263", "0,1543568"
"1372,4", "0,5479743", "0,1552967"
"1372,45", "0,5489222", "0,1570197"
"1372,5", "0,5498702", "0,1540435"
"1372,6", "0,5519242", "0,1548267"
"1372,7", "0,5536621", "0,1573329"
"1372,75", "0,554926", "0,1562365"
"1372,8", "0,555716", "0,1563931"
"1372,85", "0,5568221", "0,1562365"
"1372,9", "0,55777", "0,1563931"
"1372,95", "0,558718", "0,1565498"
"1373,05", "0,5607719", "0,1556099"
"1373,1", "0,5618779", "0,1557666"
"1373,15", "0,5626679", "0,1567064"
"1373,2", "0,5636159", "0,1565498"
"1373,25", "0,5647218", "0,1570197"
"1373,35", "0,5666177", "0,15514"
"1373,4", "0,5675657", "0,1570197"
"1373,45", "0,5685138", "0,1556099"
"1373,5", "0,5696197", "0,1576462"
"1373,55", "0,5707256", "0,156863"
"1373,6", "0,5716736", "0,1588994"
"1373,65", "0,5726216", "0,1565498"
"1373,7", "0,5735696", "0,1576462"
"1373,8", "0,5757815", "0,1565498"
