Experiment:, Cathode characterisation
Start date:, p?tek 10. listopadu 2023
Start time:, 14:06:45 +01:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"420,05", "0,4004063", "0,1059553"
"420,1", "0,4013543", "0,1057986"
"420,15", "0,4023022", "0,1075217"
"420,2", "0,4032502", "0,1070518"
"420,25", "0,4043562", "0,1070518"
"420,3", "0,4053041", "0,1062686"
"420,35", "0,4062521", "0,1065818"
"420,4", "0,4072001", "0,1050154"
"420,45", "0,4081481", "0,1057986"
"420,5", "0,409254", "0,1070518"
"420,55", "0,410202", "0,1067385"
"420,6", "0,41115", "0,1076783"
"420,65", "0,412098", "0,1061119"
"420,7", "0,4130459", "0,1054853"
"420,75", "0,4139939", "0,1068951"
"420,8", "0,4152579", "0,1054853"
"420,85", "0,4160478", "0,1053287"
"420,9", "0,4169958", "0,1059553"
"420,95", "0,4181018", "0,105642"
"421", "0,4190498", "0,1070518"
"421,05", "0,4199978", "0,1076783"
"421,1", "0,4211037", "0,1083049"
"421,15", "0,4220517", "0,1068951"
"421,2", "0,4229997", "0,1062686"
"421,25", "0,4239476", "0,105642"
"421,3", "0,4250536", "0,1070518"
"421,35", "0,4260016", "0,1075217"
"421,4", "0,4269496", "0,1065818"
"421,45", "0,4278975", "0,1094013"
"421,5", "0,4290035", "0,1075217"
"421,55", "0,4299515", "0,1094013"
"421,6", "0,4310574", "0,1094013"
"421,65", "0,4318474", "0,1101845"
"421,7", "0,4329534", "0,1100279"
"421,75", "0,4339013", "0,1109677"
"421,8", "0,4350073", "0,1122209"
"421,85", "0,4362713", "0,1106544"
"421,9", "0,4372193", "0,1115943"
"421,95", "0,4380093", "0,1120642"
"422", "0,4389572", "0,111281"
"422,05", "0,4402212", "0,1144138"
"422,1", "0,4410112", "0,1120642"
"422,15", "0,4421171", "0,113004"
"422,2", "0,4432231", "0,1136306"
"422,25", "0,4440131", "0,113474"
"422,3", "0,444961", "0,113004"
"422,35", "0,4459091", "0,1144138"
"422,4", "0,446699", "0,1123775"
"422,45", "0,447805", "0,1133173"
"422,5", "0,448753", "0,1139439"
"422,55", "0,4497009", "0,1150403"
"422,6", "0,4508069", "0,1150403"
"422,65", "0,4519129", "0,1159802"
"422,7", "0,4530188", "0,1153536"
"422,75", "0,4539668", "0,115197"
"422,8", "0,4549148", "0,1155103"
"422,85", "0,4557048", "0,1156669"
