Experiment:, EIS
Start date:, pond?l? 20. b?ezna 2023
Start time:, 12:15:50 +01:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"1332", "100000", "0,00834078", "-0,06797615"
"1332", "89125,09", "-0,01198648", "0,004602887"
"1332", "79432,82", "-0,003950928", "-0,003387499"
"1333", "70794,57", "-0,0009468942", "-0,0007044875"
"1333", "63095,73", "0,002918352", "0,005164305"
"1333", "56234,13", "-0,01623185", "-0,01185628"
"1333", "50118,71", "-0,01041686", "0,0293031"
"1334", "44668,35", "-0,006901559", "0,002775995"
"1334", "39810,71", "-0,004088717", "-0,0266372"
"1334", "35481,33", "0,01552043", "-0,0005605365"
"1334", "31622,77", "0,02262912", "-0,04111735"
"1334", "28183,82", "0,003021607", "-0,00153563"
"1335", "25118,85", "0,002780134", "0,0001334139"
"1335", "22387,2", "0,003905606", "-0,003700434"
"1335", "19952,61", "0,003182143", "-0,0002193107"
"1336", "17782,79", "0,003309825", "-0,002253425"
"1336", "15848,92", "0,006183817", "-0,001594404"
"1336", "14125,37", "0,004538564", "-0,0007692142"
"1336", "12589,25", "0,005462865", "0,0005435411"
"1337", "11220,18", "0,005600001", "1,415023e-05"
"1337", "9999,993", "0,005853262", "-0,001867692"
"1337", "8912,503", "0,005487524", "-0,001394107"
"1337", "7943,276", "0,006454573", "-0,001061648"
"1337", "7079,452", "0,006171588", "-0,0009477558"
"1338", "6309,568", "0,006323816", "-0,00117843"
"1338", "5623,409", "0,006308361", "-0,001223081"
"1338", "5011,868", "0,006429808", "-0,001262701"
"1339", "4466,832", "0,00650998", "-0,00125812"
"1339", "3981,068", "0,006665185", "-0,001309156"
"1339", "3548,131", "0,006932577", "-0,001259407"
"1339", "3162,275", "0,006874309", "-0,001412727"
"1339", "2818,38", "0,006985893", "-0,001344647"
"1340", "2511,884", "0,007131875", "-0,001432131"
"1340", "2238,719", "0,007210313", "-0,00142575"
"1340", "1995,26", "0,007594236", "-0,001511041"
"1341", "1778,277", "0,007455764", "-0,001488803"
"1341", "1584,891", "0,00763653", "-0,001547052"
"1341", "1412,536", "0,007711325", "-0,001466631"
"1341", "1258,924", "0,00784413", "-0,001563674"
"1342", "1122,017", "0,008017626", "-0,001484366"
"1342", "999,9988", "0,0080494", "-0,001722827"
"1342", "891,2498", "0,008329676", "-0,001501897"
"1342", "794,3272", "0,008443059", "-0,001523291"
"1342", "707,9448", "0,008510165", "-0,001394071"
"1342", "630,9565", "0,008695505", "-0,001343515"
"1342", "562,3405", "0,008800553", "-0,001340739"
"1343", "501,1865", "0,009140021", "-0,001385445"
"1343", "446,6829", "0,009056221", "-0,001227254"
"1343", "398,1066", "0,009030894", "-0,001285128"
"1343", "354,8128", "0,009229269", "-0,00108557"
"1343", "316,2273", "0,009344694", "-0,00109795"
"1343", "281,8378", "0,009412851", "-0,0009912231"
"1344", "251,1882", "0,009466091", "-0,0009410675"
