Experiment:, EIS
Start date:, ?ter? 21. b?ezna 2023
Start time:, 12:14:50 +01:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"226", "100000", "-0,2656663", "0,1222582"
"226", "89125,09", "-0,002658621", "-0,006073537"
"226", "79432,82", "-0,0009981692", "-0,009060256"
"226", "70794,57", "0,003164978", "0,001067279"
"227", "63095,73", "0,003938287", "0,002141806"
"227", "56234,13", "-0,001377796", "0,003939001"
"227", "50118,71", "0,00326264", "0,0001540484"
"227", "44668,35", "-0,001953404", "0,004281976"
"228", "39810,71", "0,004861688", "-0,00085708"
"228", "35481,33", "0,001864921", "0,0003746292"
"228", "31622,77", "0,002097022", "0,0001238865"
"228", "28183,82", "0,002089892", "-0,0005462384"
"229", "25118,85", "0,002648798", "-0,0003583114"
"229", "22387,2", "0,002703622", "-0,0006070794"
"229", "19952,61", "0,003016324", "-0,0009861767"
"229", "17782,79", "0,002702518", "-0,000955002"
"230", "15848,92", "0,002864459", "-0,0007936098"
"230", "14125,37", "0,002994137", "-0,0007792831"
"230", "12589,25", "0,002958234", "-0,001092247"
"230", "11220,18", "0,003130389", "-0,0009422209"
"231", "9999,993", "0,003330627", "-0,001043718"
"231", "8912,503", "0,00339386", "-0,001129318"
"231", "7943,276", "0,003472915", "-0,001149638"
"231", "7079,452", "0,003585025", "-0,001205962"
"232", "6309,568", "0,003685345", "-0,001265127"
"232", "5623,409", "0,003809657", "-0,001303807"
"232", "5011,868", "0,003917661", "-0,001345593"
"232", "4466,832", "0,004018485", "-0,001369584"
"233", "3981,068", "0,0041317", "-0,00140719"
"233", "3548,131", "0,00423282", "-0,001429739"
"233", "3162,275", "0,004338711", "-0,001463287"
"233", "2818,38", "0,004432681", "-0,001488079"
"234", "2511,884", "0,004534826", "-0,001523346"
"234", "2238,719", "0,004627334", "-0,001558374"
"234", "1995,26", "0,004708419", "-0,001595673"
"234", "1778,277", "0,004808399", "-0,001648793"
"235", "1584,891", "0,004901801", "-0,001704244"
"235", "1412,536", "0,00499041", "-0,00176362"
"235", "1258,924", "0,005084311", "-0,001842526"
"235", "1122,017", "0,005182606", "-0,001927005"
"236", "999,9988", "0,005306112", "-0,001997631"
"236", "891,2498", "0,005388149", "-0,002125374"
"236", "794,3272", "0,005501081", "-0,002241707"
"236", "707,9448", "0,005633238", "-0,002379948"
"236", "630,9565", "0,00577456", "-0,002521673"
"236", "562,3405", "0,005920914", "-0,002683308"
"237", "501,1865", "0,006066668", "-0,002899335"
"237", "446,6829", "0,006273947", "-0,00302588"
"237", "398,1066", "0,006425795", "-0,003234903"
"237", "354,8128", "0,006709088", "-0,003408598"
"237", "316,2273", "0,006962364", "-0,00362124"
"237", "281,8378", "0,0072338", "-0,003827447"
"237", "251,1882", "0,007551478", "-0,004032965"
"238", "223,8717", "0,007905839", "-0,004241121"
"238", "199,5259", "0,008236358", "-0,00447335"
"238", "177,8276", "0,00867928", "-0,004627163"
"238", "158,489", "0,009125487", "-0,004784389"
"238", "141,2535", "0,009593029", "-0,004916217"
"238", "125,8923", "0,01010926", "-0,005015939"
"239", "112,2016", "0,0106306", "-0,005085119"
"239", "99,9998", "0,01124464", "-0,00504334"
"239", "89,12492", "0,01167959", "-0,005054677"
"239", "79,43266", "0,01219029", "-0,004979073"
"239", "70,79443", "0,01271971", "-0,004863685"
"239", "63,0956", "0,01319922", "-0,004678047"
"240", "56,23401", "0,01366638", "-0,004479049"
"240", "50,11861", "0,01404366", "-0,004204522"
"240", "44,66826", "0,01445092", "-0,004000652"
"240", "39,81063", "0,01475949", "-0,00373672"
"240", "35,48126", "0,01510776", "-0,003478305"
"240", "31,6227", "0,01535333", "-0,003153303"
"240", "28,18376", "0,0155639", "-0,002884819"
"241", "25,11881", "0,01572942", "-0,002613303"
"241", "22,38716", "0,01588347", "-0,002357383"
"241", "19,95257", "0,01603778", "-0,002114441"
"241", "17,78275", "0,01613094", "-0,0019017"
"241", "15,84889", "0,01621468", "-0,001708714"
"241", "14,12534", "0,01628724", "-0,001471216"
"242", "12,58922", "0,01632407", "-0,001297268"
"242", "11,22016", "0,01632701", "-0,001144858"
"242", "9,999973", "0,01638965", "-0,0009844848"
"242", "8,912485", "0,01643067", "-0,000874367"
"242", "7,943261", "0,01640853", "-0,0007206408"
"243", "7,079438", "0,01638024", "-0,0006235148"
"243", "6,309556", "0,01640263", "-0,0004963998"
"243", "5,623397", "0,01636842", "-0,0003988438"
"243", "5,011858", "0,01640074", "-0,0003424235"
"244", "4,466823", "0,01637574", "-0,0002691641"
"244", "3,98106", "0,01635317", "-0,0002030758"
"244", "3,548123", "0,01633776", "-0,0001055126"
"245", "3,162268", "0,01629863", "-6,327526e-05"
"245", "2,818374", "0,01629221", "-4,82842e-06"
"245", "2,511878", "0,01625328", "1,365812e-05"
"246", "2,238714", "0,01629026", "0,0001234321"
"247", "1,995256", "0,01621349", "7,215032e-05"
"247", "1,778274", "0,01620497", "0,0001809168"
"248", "1,584888", "0,01614947", "0,0002098448"
"249", "1,412533", "0,01615354", "0,000163967"
"249", "1,258921", "0,01614482", "8,262959e-05"
"250", "1,122015", "0,0161182", "0,000224745"
"251", "0,999997", "0,01607513", "0,0002751751"
"252", "0,891248", "0,01599487", "0,0002338274"
"254", "0,794325", "0,01605523", "0,0002830727"
"255", "0,707943", "0,01596843", "0,0002321463"
"257", "0,630955", "0,0159629", "0,0002810722"
"259", "0,562339", "0,0159507", "0,0002716686"
"261", "0,501185", "0,0158678", "0,0003115312"
"263", "0,446682", "0,01591479", "0,0003547874"
"266", "0,398106", "0,01589158", "0,0002492166"
"269", "0,354812", "0,01583351", "0,0003263437"
"272", "0,316227", "0,0157817", "0,0002848953"
"275", "0,281837", "0,01580532", "0,000290424"
"279", "0,251188", "0,01576973", "0,0003114261"
"284", "0,223871", "0,01570092", "0,0002645658"
"289", "0,199525", "0,01572105", "0,0002599506"
"295", "0,177827", "0,01570084", "0,0002820011"
"301", "0,158489", "0,01568179", "0,00030989"
"308", "0,141253", "0,01557929", "0,0002139759"
"316", "0,125892", "0,01564271", "0,0002597054"
"325", "0,112201", "0,01581779", "0,0001316016"
"335", "0,1", "0,01245133", "0,00106401"
