Experiment:, EIS
Start date:, st?eda 22. b?ezna 2023
Start time:, 10:23:06 +01:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"1602", "100000", "0,001140907", "0,02258904"
"1602", "89125,09", "-0,06752053", "0,02320703"
"1602", "79432,82", "0,001388139", "-0,0008380836"
"1603", "70794,57", "-0,004043727", "0,0002507506"
"1603", "63095,73", "0,00329964", "-0,008012935"
"1603", "56234,13", "0,005344896", "0,03011466"
"1603", "50118,71", "-0,01431735", "0,007245766"
"1604", "44668,35", "-0,04560591", "-0,006515093"
"1604", "39810,71", "-0,001719373", "0,006042102"
"1604", "35481,33", "0,01012049", "-0,001370611"
"1604", "31622,77", "0,002184832", "0,0004027206"
"1605", "28183,82", "-0,001545857", "-0,008550593"
"1605", "25118,85", "0,001268912", "-0,0009020264"
"1605", "22387,2", "-0,0003675641", "-0,001302114"
"1605", "19952,61", "0,006305061", "-0,0001031212"
"1606", "17782,79", "0,00262041", "0,00012547"
"1606", "15848,92", "0,002912051", "-0,001659094"
"1606", "14125,37", "0,002327865", "-0,0005711687"
"1606", "12589,25", "0,003207309", "-0,001889387"
"1607", "11220,18", "0,003162005", "-0,001955864"
"1607", "9999,993", "0,004068741", "-0,001645835"
"1607", "8912,503", "0,003224348", "-0,001168917"
"1607", "7943,276", "0,003889403", "-0,001625513"
"1608", "7079,452", "0,003919731", "-0,001177693"
"1608", "6309,568", "0,00414914", "-0,001504427"
"1608", "5623,409", "0,004146702", "-0,001709191"
"1608", "5011,868", "0,004187834", "-0,001696368"
"1609", "4466,832", "0,004284669", "-0,001657213"
"1609", "3981,068", "0,004417401", "-0,001826494"
"1609", "3548,131", "0,004563184", "-0,001977541"
"1609", "3162,275", "0,00470002", "-0,002016789"
"1610", "2818,38", "0,004762413", "-0,002080076"
"1610", "2511,884", "0,004893808", "-0,002253178"
"1610", "2238,719", "0,005023404", "-0,002342944"
"1610", "1995,26", "0,004989336", "-0,00241172"
"1611", "1778,277", "0,005354275", "-0,0026581"
"1611", "1584,891", "0,005479192", "-0,002784396"
"1611", "1412,536", "0,005659732", "-0,002902862"
"1611", "1258,924", "0,005845726", "-0,003086123"
"1612", "1122,017", "0,006094187", "-0,003244556"
"1612", "999,9988", "0,006528665", "-0,003375614"
"1612", "891,2498", "0,006599868", "-0,003717168"
"1612", "794,3272", "0,006881803", "-0,003894787"
"1612", "707,9448", "0,007144732", "-0,00418175"
"1612", "630,9565", "0,007510171", "-0,004307"
"1612", "562,3405", "0,00786544", "-0,004509832"
"1613", "501,1865", "0,00834448", "-0,004554704"
"1613", "446,6829", "0,008682825", "-0,004920457"
"1613", "398,1066", "0,009206168", "-0,004921334"
"1613", "354,8128", "0,009702357", "-0,005186777"
"1613", "316,2273", "0,01023099", "-0,005264089"
"1613", "281,8378", "0,01075142", "-0,005250446"
"1613", "251,1882", "0,01131174", "-0,005287589"
"1614", "223,8717", "0,01187545", "-0,005213545"
"1614", "199,5259", "0,01234293", "-0,005179331"
"1614", "177,8276", "0,01289795", "-0,004931652"
"1614", "158,489", "0,01333229", "-0,004776675"
"1614", "141,2535", "0,01378112", "-0,00458737"
"1614", "125,8923", "0,0142345", "-0,0044046"
"1615", "112,2016", "0,01458205", "-0,004058842"
"1615", "99,9998", "0,01503288", "-0,003713025"
"1615", "89,12492", "0,01517417", "-0,00354416"
"1615", "79,43266", "0,01553444", "-0,003235621"
"1615", "70,79443", "0,01557532", "-0,00285198"
"1615", "63,0956", "0,01590218", "-0,002702246"
"1615", "56,23401", "0,01604467", "-0,002558373"
"1616", "50,11861", "0,01615495", "-0,002669243"
"1616", "44,66826", "0,01621262", "-0,002281624"
"1616", "39,81063", "0,01650273", "-0,002084684"
"1616", "35,48126", "0,01628234", "-0,001932057"
"1616", "31,6227", "0,01618154", "-0,001709283"
"1616", "28,18376", "0,01634511", "-0,001461661"
"1617", "25,11881", "0,01666737", "-0,001560488"
"1617", "22,38716", "0,01699266", "-0,001793766"
"1617", "19,95257", "0,01646502", "-0,001459523"
"1617", "17,78275", "0,01685731", "-0,001230989"
"1617", "15,84889", "0,01685452", "-0,001058018"
"1617", "14,12534", "0,01685072", "-0,0009280823"
"1618", "12,58922", "0,01698277", "-0,0007329773"
"1618", "11,22016", "0,01660474", "-0,001085936"
"1618", "9,999973", "0,01668217", "-0,0009094137"
