Experiment:, EIS
Start date:, ?tvrtek 11. kv?tna 2023
Start time:, 16:51:19 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"292", "100000", "0,02114546", "-0,04984704"
"292", "89125,09", "0,004820035", "-0,0009572713"
"292", "79432,82", "-0,004318304", "-0,00114061"
"292", "70794,57", "-0,0004719947", "-0,001050107"
"293", "63095,73", "0,008642791", "0,0006527997"
"293", "56234,13", "-0,004368145", "-3,674755e-05"
"293", "50118,71", "0,001414142", "0,002670289"
"293", "44668,35", "-8,923169e-05", "-0,001398111"
"294", "39810,71", "0,00219512", "-0,00124932"
"294", "35481,33", "0,0003391596", "-0,00118526"
"294", "31622,77", "0,001930182", "0,0003338846"
"294", "28183,82", "0,001464997", "0,0001277474"
"295", "25118,85", "0,001745953", "0,0003240443"
"295", "22387,2", "0,002263826", "-0,0001953241"
"295", "19952,61", "0,001938789", "-0,0004152843"
"295", "17782,79", "0,002082334", "-0,0004321121"
"296", "15848,92", "0,002081076", "-0,000639002"
"296", "14125,37", "0,002133593", "-0,0005482131"
"296", "12589,25", "0,0021898", "-0,0005294629"
"296", "11220,18", "0,002255158", "-0,0007308355"
"297", "9999,993", "0,002315067", "-0,0007389849"
"297", "8912,503", "0,002314419", "-0,0008485819"
"297", "7943,276", "0,002396956", "-0,0008950998"
"297", "7079,452", "0,002399675", "-0,001003218"
"298", "6309,568", "0,002469308", "-0,001047431"
"298", "5623,409", "0,002528771", "-0,001156452"
"298", "5011,868", "0,002594384", "-0,001252849"
"298", "4466,832", "0,002645207", "-0,001365773"
"299", "3981,068", "0,002713071", "-0,001474331"
"299", "3548,131", "0,002790808", "-0,001602293"
"299", "3162,275", "0,002869757", "-0,001731194"
"299", "2818,38", "0,002955813", "-0,001879663"
"300", "2511,884", "0,003054694", "-0,0020392"
"300", "2238,719", "0,003160575", "-0,002208038"
"300", "1995,26", "0,003283286", "-0,002383261"
"300", "1778,277", "0,003426163", "-0,002590043"
"301", "1584,891", "0,003581733", "-0,00280199"
"301", "1412,536", "0,003760402", "-0,003016994"
"301", "1258,924", "0,003950965", "-0,003261658"
"301", "1122,017", "0,004177758", "-0,00350433"
"302", "999,9988", "0,00443183", "-0,003739211"
"302", "891,2498", "0,004721319", "-0,004013596"
"302", "794,3272", "0,005029484", "-0,004295909"
"302", "707,9448", "0,005377715", "-0,004538861"
"302", "630,9565", "0,005785095", "-0,004804972"
