Experiment:, EIS
Start date:, ?ter? 16. kv?tna 2023
Start time:, 12:08:06 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"271", "100000", "0,001291156", "0,001744572"
"271", "89125,09", "0,002069146", "0,000759433"
"271", "79432,82", "0,002627069", "-0,003316804"
"272", "70794,57", "0,0002689573", "-0,001929089"
"272", "63095,73", "-0,001591043", "0,0004357473"
"272", "56234,13", "-0,002957375", "0,007555932"
"272", "50118,71", "0,0005112892", "-0,0004537877"
"273", "44668,35", "-0,002854335", "0,0004393996"
"273", "39810,71", "0,005316168", "0,002225919"
"273", "35481,33", "0,001408205", "-0,001486851"
"273", "31622,77", "0,0008392275", "0,0002686171"
"274", "28183,82", "0,001385464", "0,000159021"
"274", "25118,85", "0,001482841", "-0,000133309"
"274", "22387,2", "0,0021197", "-0,0003797736"
"274", "19952,61", "0,001997786", "-0,0002652869"
"275", "17782,79", "0,00199394", "-0,0004695875"
"275", "15848,92", "0,002084641", "-0,0005049214"
"275", "14125,37", "0,002114194", "-0,0005389429"
"275", "12589,25", "0,002201356", "-0,0005512931"
"275", "11220,18", "0,00221727", "-0,0005887437"
"276", "9999,993", "0,002261037", "-0,0006297823"
"276", "8912,503", "0,002328801", "-0,0006533089"
"276", "7943,276", "0,002375653", "-0,0006996224"
"276", "7079,452", "0,002401863", "-0,0007487835"
"277", "6309,568", "0,00244559", "-0,0007906441"
"277", "5623,409", "0,002479804", "-0,0008504274"
"277", "5011,868", "0,002524248", "-0,0009180257"
"277", "4466,832", "0,002570272", "-0,0009870573"
"278", "3981,068", "0,002619165", "-0,00106577"
"278", "3548,131", "0,002669454", "-0,001146878"
"278", "3162,275", "0,002724514", "-0,001243644"
"278", "2818,38", "0,002783597", "-0,001345576"
"279", "2511,884", "0,00284634", "-0,001455027"
"279", "2238,719", "0,002914923", "-0,001574586"
"279", "1995,26", "0,002991123", "-0,001710728"
"279", "1778,277", "0,003084566", "-0,001847847"
"280", "1584,891", "0,003185479", "-0,002003051"
"280", "1412,536", "0,003297698", "-0,002163006"
"280", "1258,924", "0,003422597", "-0,002350831"
"280", "1122,017", "0,003563876", "-0,002537646"
"281", "999,9988", "0,003726067", "-0,002722962"
"281", "891,2498", "0,003923107", "-0,002946055"
"281", "794,3272", "0,004127608", "-0,003154437"
"281", "707,9448", "0,00437088", "-0,003401639"
"281", "630,9565", "0,004641002", "-0,003621159"
"281", "562,3405", "0,004947099", "-0,003849379"
"282", "501,1865", "0,005309952", "-0,00408123"
"282", "446,6829", "0,005660187", "-0,004282993"
"282", "398,1066", "0,006090684", "-0,004482185"
"282", "354,8128", "0,006518024", "-0,004647451"
"282", "316,2273", "0,006976249", "-0,004781935"
"282", "281,8378", "0,007493455", "-0,004880715"
"283", "251,1882", "0,008008695", "-0,004930499"
"283", "223,8717", "0,008541069", "-0,004943305"
"283", "199,5259", "0,009059512", "-0,004895492"
"283", "177,8276", "0,009572378", "-0,004811303"
"283", "158,489", "0,01006051", "-0,004670036"
"283", "141,2535", "0,01053989", "-0,00449889"
"283", "125,8923", "0,01095932", "-0,004309828"
"284", "112,2016", "0,01137475", "-0,004077804"
"284", "99,9998", "0,01180162", "-0,003861072"
"284", "89,12492", "0,0120472", "-0,003549899"
"284", "79,43266", "0,01230577", "-0,003288073"
"284", "70,79443", "0,01255847", "-0,003003582"
"284", "63,0956", "0,01276382", "-0,002756693"
"285", "56,23401", "0,01293945", "-0,002493784"
"285", "50,11861", "0,01308741", "-0,00224797"
"285", "44,66826", "0,01320301", "-0,00203412"
"285", "39,81063", "0,01329855", "-0,001824611"
