Experiment:, EIS
Start date:, st?eda 17. kv?tna 2023
Start time:, 14:15:26 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"1321", "100000", "0,001945505", "-0,001756608"
"1321", "89125,09", "0,01754862", "-0,0004106879"
"1321", "79432,82", "-0,007039555", "-0,002306122"
"1322", "70794,57", "-0,004716185", "-0,00609922"
"1322", "63095,73", "0,001112589", "0,002165404"
"1322", "56234,13", "0,005854741", "0,006626888"
"1322", "50118,71", "0,006598661", "-0,04871993"
"1323", "44668,35", "-0,01000795", "-0,008883503"
"1323", "39810,71", "0,009136132", "0,00396057"
"1323", "35481,33", "0,0001601682", "-0,004149508"
"1323", "31622,77", "0,004820095", "-0,00246588"
"1324", "28183,82", "0,006914268", "-0,001495627"
"1324", "25118,85", "-0,0008175897", "-0,008613868"
"1324", "22387,2", "0,0006647454", "0,001094452"
"1324", "19952,61", "0,001879506", "-0,001825803"
"1325", "17782,79", "0,0006858621", "0,001459894"
"1325", "15848,92", "0,0008617261", "0,0004285584"
"1325", "14125,37", "0,003203923", "-0,0006371233"
"1325", "12589,25", "0,002580654", "0,0003697601"
"1326", "11220,18", "0,002713064", "-0,0007252106"
"1326", "9999,993", "0,002643055", "-0,0001066546"
"1326", "8912,503", "0,002475982", "-0,0008704985"
"1326", "7943,276", "0,002429469", "-0,0005608028"
"1327", "7079,452", "0,002455234", "-0,0005704255"
"1327", "6309,568", "0,002753569", "-0,0005168926"
"1327", "5623,409", "0,002733468", "-0,0007448901"
"1327", "5011,868", "0,002902076", "-0,0008474921"
"1328", "4466,832", "0,002836025", "-0,0007553742"
"1328", "3981,068", "0,002945543", "-0,0007857584"
"1328", "3548,131", "0,002988595", "-0,0008677749"
"1328", "3162,275", "0,003059706", "-0,0009551616"
"1329", "2818,38", "0,003080463", "-0,0009786652"
"1329", "2511,884", "0,003182608", "-0,001022821"
"1329", "2238,719", "0,00326384", "-0,001080308"
"1330", "1995,26", "0,003273613", "-0,00102221"
"1330", "1778,277", "0,003430586", "-0,001175745"
"1330", "1584,891", "0,003564533", "-0,001204008"
"1330", "1412,536", "0,003724873", "-0,001276078"
"1330", "1258,924", "0,003793016", "-0,00129145"
"1331", "1122,017", "0,003964453", "-0,001296569"
"1331", "999,9988", "0,004135323", "-0,001456338"
"1331", "891,2498", "0,00420844", "-0,001286171"
"1331", "794,3272", "0,004321894", "-0,001249434"
"1331", "707,9448", "0,004421683", "-0,001239487"
"1331", "630,9565", "0,004617151", "-0,001236013"
"1332", "562,3405", "0,004748987", "-0,001192056"
"1332", "501,1865", "0,004882627", "-0,00124395"
"1332", "446,6829", "0,004956538", "-0,001090636"
"1332", "398,1066", "0,004939689", "-0,001011359"
"1332", "354,8128", "0,005140226", "-0,0009481607"
"1332", "316,2273", "0,005211079", "-0,000903514"
"1333", "281,8378", "0,005271708", "-0,0008142637"
"1333", "251,1882", "0,005292502", "-0,0007567552"
"1333", "223,8717", "0,00537742", "-0,0006818685"
"1333", "199,5259", "0,005546225", "-0,000623338"
"1333", "177,8276", "0,005440569", "-0,0005406517"
"1333", "158,489", "0,005451612", "-0,0005003595"
"1333", "141,2535", "0,005491549", "-0,0004520689"
"1334", "125,8923", "0,005518357", "-0,0004040431"
"1334", "112,2016", "0,005527085", "-0,0003714004"
"1334", "99,9998", "0,005518131", "-0,0003805835"
"1334", "89,12492", "0,005554161", "-0,0002967376"
"1334", "79,43266", "0,005569423", "-0,000232016"
"1334", "70,79443", "0,005584352", "-0,000223073"
"1335", "63,0956", "0,005561413", "-0,0001813679"
"1335", "56,23401", "0,005574609", "-0,0001605323"
"1335", "50,11861", "0,005572612", "-0,0002031881"
"1335", "44,66826", "0,005525851", "-0,0002130799"
"1335", "39,81063", "0,005530352", "-4,797818e-05"
"1335", "35,48126", "0,005511347", "-4,193399e-05"
"1336", "31,6227", "0,005577282", "-2,234731e-05"
"1336", "28,18376", "0,005498613", "-1,976514e-05"
"1336", "25,11881", "0,005479852", "-2,96342e-05"
"1336", "22,38716", "0,005573748", "-3,896779e-05"
"1336", "19,95257", "0,005565932", "-0,0001996536"
"1336", "17,78275", "0,005512624", "-4,651264e-05"
"1336", "15,84889", "0,00555209", "-1,004293e-05"
"1337", "14,12534", "0,005525965", "-3,844464e-06"
"1337", "12,58922", "0,005505443", "-4,849694e-05"
"1337", "11,22016", "0,005602045", "1,197719e-05"
"1337", "9,999973", "0,005544798", "-2,121831e-05"
"1337", "8,912485", "0,00562274", "-3,949162e-05"
"1338", "7,943261", "0,005525003", "-3,894703e-05"
"1338", "7,079438", "0,00560187", "0,0001379476"
"1338", "6,309556", "0,005562284", "8,015746e-05"
"1338", "5,623397", "0,005630825", "6,332897e-05"
"1339", "5,011858", "0,005480409", "5,668488e-05"
"1339", "4,466823", "0,005542135", "3,291405e-05"
"1339", "3,98106", "0,005505203", "-0,0001193894"
"1339", "3,548123", "0,005528138", "-8,117784e-05"
"1340", "3,162268", "0,005574643", "3,875322e-05"
"1340", "2,818374", "0,005474842", "-2,89616e-05"
"1341", "2,511878", "0,005511303", "8,016897e-05"
"1341", "2,238714", "0,005522391", "-4,227109e-05"
"1342", "1,995256", "0,005477788", "-8,559474e-05"
"1342", "1,778274", "0,005577616", "-0,0001495465"
"1343", "1,584888", "0,005513154", "-1,237236e-05"
"1344", "1,412533", "0,005567616", "-7,582915e-05"
"1345", "1,258921", "0,005512171", "-0,0001254191"
"1346", "1,122015", "0,00556678", "-0,0001116546"
"1347", "0,999997", "0,005508022", "-5,493466e-05"
"1348", "0,891248", "0,005625461", "-0,0001274666"
