Experiment:, EIS
Start date:, ?ter? 6. ?ervna 2023
Start time:, 10:27:05 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"1425", "100000", "-0,009292158", "-0,002459021"
"1425", "89125,09", "0,003323227", "0,00917196"
"1425", "79432,82", "-0,0001412846", "0,003683976"
"1426", "70794,57", "0,002606537", "3,178478e-05"
"1426", "63095,73", "-0,001119513", "-0,0007874396"
"1426", "56234,13", "-0,006855761", "0,0002920007"
"1426", "50118,71", "-0,01054462", "0,004585998"
"1427", "44668,35", "-0,01095461", "-0,01573702"
"1427", "39810,71", "0,02428328", "-0,04010748"
"1427", "35481,33", "0,0006645846", "-0,003451485"
"1427", "31622,77", "0,00280158", "0,001389561"
"1428", "28183,82", "-0,0007401794", "-0,005052849"
"1428", "25118,85", "0,001736215", "-0,0008872785"
"1428", "22387,2", "0,004545213", "0,002152886"
"1428", "19952,61", "0,003924631", "0,0008326704"
"1429", "17782,79", "0,004242003", "0,0008745986"
"1429", "15848,92", "0,003630056", "-0,0003100323"
"1429", "14125,37", "0,003694267", "-0,0006498669"
"1429", "12589,25", "0,003317364", "-0,00178848"
"1430", "11220,18", "0,003936017", "-0,0009073561"
"1430", "9999,993", "0,00447371", "-0,0008447724"
"1430", "8912,503", "0,003836931", "-0,001014003"
"1430", "7943,276", "0,004183503", "-0,00090844"
"1431", "7079,452", "0,004202266", "-0,0009310676"
"1431", "6309,568", "0,004311774", "-0,0009372717"
"1431", "5623,409", "0,004394646", "-0,0009444222"
"1431", "5011,868", "0,00453641", "-0,0009845106"
"1431", "4466,832", "0,004535943", "-0,0009509"
"1432", "3981,068", "0,004647371", "-0,001087822"
"1432", "3548,131", "0,004650236", "-0,00111114"
"1432", "3162,275", "0,004657246", "-0,001206334"
"1432", "2818,38", "0,004751753", "-0,001221697"
"1433", "2511,884", "0,004856371", "-0,001236795"
"1433", "2238,719", "0,004915519", "-0,001357759"
"1433", "1995,26", "0,005165893", "-0,00132139"
"1433", "1778,277", "0,00514577", "-0,001526552"
"1434", "1584,891", "0,005222769", "-0,001560936"
"1434", "1412,536", "0,005283839", "-0,001601605"
"1434", "1258,924", "0,005472578", "-0,001732502"
"1434", "1122,017", "0,005531812", "-0,001784402"
"1435", "999,9988", "0,005748705", "-0,002043398"
"1435", "891,2498", "0,005866169", "-0,001962438"
"1435", "794,3272", "0,006049557", "-0,001966632"
"1435", "707,9448", "0,006267949", "-0,00206226"
"1435", "630,9565", "0,006452166", "-0,002191585"
"1435", "562,3405", "0,00662198", "-0,002227561"
"1436", "501,1865", "0,006922918", "-0,00228584"
"1436", "446,6829", "0,007041695", "-0,002307842"
"1436", "398,1066", "0,007203056", "-0,002262522"
"1436", "354,8128", "0,007479264", "-0,002335822"
"1436", "316,2273", "0,00768918", "-0,002332481"
"1436", "281,8378", "0,007902166", "-0,002304625"
"1437", "251,1882", "0,008122731", "-0,002294461"
"1437", "223,8717", "0,008306779", "-0,002240429"
"1437", "199,5259", "0,008550284", "-0,002164449"
"1437", "177,8276", "0,008742146", "-0,002136862"
"1437", "158,489", "0,008936436", "-0,002041625"
"1437", "141,2535", "0,00908583", "-0,001983096"
"1437", "125,8923", "0,009268558", "-0,001919581"
"1438", "112,2016", "0,009413682", "-0,001796009"
"1438", "99,9998", "0,009438128", "-0,001677736"
"1438", "89,12492", "0,009674882", "-0,001630468"
"1438", "79,43266", "0,009787718", "-0,001520075"
"1438", "70,79443", "0,00989128", "-0,00143936"
"1438", "63,0956", "0,01001727", "-0,001342061"
"1439", "56,23401", "0,01006653", "-0,001215379"
"1439", "50,11861", "0,01015744", "-0,001097495"
"1439", "44,66826", "0,0103453", "-0,001120816"
"1439", "39,81063", "0,01032549", "-0,001056722"
"1439", "35,48126", "0,01028598", "-0,0009689809"
"1439", "31,6227", "0,01038959", "-0,0009014984"
"1440", "28,18376", "0,01041971", "-0,000837985"
"1440", "25,11881", "0,0104301", "-0,0007660223"
"1440", "22,38716", "0,01048337", "-0,0007710303"
"1440", "19,95257", "0,01065287", "-0,0005601121"
"1440", "17,78275", "0,01062769", "-0,000628632"
"1440", "15,84889", "0,01048215", "-0,0005465095"
"1440", "14,12534", "0,01065657", "-0,0004275836"
"1441", "12,58922", "0,01067173", "-0,0005779823"
"1441", "11,22016", "0,01060123", "-0,0002648818"
"1441", "9,999973", "0,01068555", "-0,0002603296"
"1441", "8,912485", "0,01069991", "-0,0005596193"
"1441", "7,943261", "0,01066044", "-0,0003423438"
"1442", "7,079438", "0,01078509", "-0,0002774108"
"1442", "6,309556", "0,01055924", "-0,0002163823"
"1442", "5,623397", "0,009697082", "-3,377963e-05"
"1442", "5,011858", "0,009943052", "-0,0001247661"
"1443", "4,466823", "0,0103307", "0,0001294426"
"1443", "3,98106", "0,01105958", "-0,0002573169"
"1443", "3,548123", "0,01075672", "-0,0002322515"
"1444", "3,162268", "0,01085459", "-0,0001331244"
"1444", "2,818374", "0,01089856", "-0,0001216336"
"1444", "2,511878", "0,01089168", "-0,0002492929"
"1445", "2,238714", "0,01090106", "-0,0002964224"
"1446", "1,995256", "0,01078825", "-0,000198632"
"1446", "1,778274", "0,01076813", "-0,0002683892"
"1447", "1,584888", "0,01077962", "-0,0001355958"
"1448", "1,412533", "0,0109312", "-0,000194244"
"1448", "1,258921", "0,01084908", "-0,0001202556"
"1449", "1,122015", "0,01087897", "-0,0002326386"
"1450", "0,999997", "0,01079329", "-0,0001479195"
"1452", "0,891248", "0,01088552", "-0,0001516491"
"1453", "0,794325", "0,01096572", "-0,0001052269"
"1454", "0,707943", "0,01093519", "-0,0001179282"
"1456", "0,630955", "0,01094848", "-0,0002380062"
"1458", "0,562339", "0,01096979", "-0,0001368216"
"1460", "0,501185", "0,01126189", "-9,653209e-05"
"1462", "0,446682", "0,01099933", "-0,0005971427"
"1465", "0,398106", "0,0111101", "-0,0004689398"
"1468", "0,354812", "0,01107238", "-0,000439568"
"1471", "0,316227", "0,01110465", "-0,0003075376"
"1474", "0,281837", "0,01128135", "-0,0007973024"
"1478", "0,251188", "0,01114186", "-0,0005473431"
"1483", "0,223871", "0,01123406", "-0,0006080866"
"1488", "0,199525", "0,0113538", "-0,0005655999"
"1494", "0,177827", "0,01138154", "-0,0007051458"
"1500", "0,158489", "0,01133642", "-0,001235404"
"1507", "0,141253", "0,01120967", "-0,000719026"
"1515", "0,125892", "0,01124195", "-0,0007474272"
"1524", "0,112201", "0,01137019", "-0,0008165899"
"1534", "0,1", "0,0113806", "-0,0008221092"
