Experiment:, EIS
Start date:, st?eda 14. ?ervna 2023
Start time:, 10:54:50 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"658", "100000", "0,003138836", "0,005431734"
"658", "89125,09", "0,003561078", "0,01009526"
"658", "79432,82", "0,0007088691", "-0,002252333"
"659", "70794,57", "0,004334607", "0,0002768793"
"659", "63095,73", "-0,0005344658", "0,0008917209"
"659", "56234,13", "0,0005125244", "0,001592445"
"659", "50118,71", "-0,002775376", "-0,0002372132"
"660", "44668,35", "0,003928612", "-0,003015057"
"660", "39810,71", "-0,0001927685", "4,474539e-05"
"660", "35481,33", "0,002442264", "-0,0002766692"
"660", "31622,77", "0,002315075", "0,0005921724"
"661", "28183,82", "0,002296392", "2,740627e-06"
"661", "25118,85", "0,002686692", "-9,588304e-05"
"661", "22387,2", "0,003100937", "5,742055e-05"
"661", "19952,61", "0,003003144", "-4,655181e-05"
"662", "17782,79", "0,003021258", "-0,0002164348"
"662", "15848,92", "0,003056556", "-0,0002567001"
"662", "14125,37", "0,003085786", "-0,0004389491"
"662", "12589,25", "0,003129474", "-0,0004926787"
"663", "11220,18", "0,003119325", "-0,0004874911"
"663", "9999,993", "0,003151627", "-0,0005466809"
"663", "8912,503", "0,003212968", "-0,0006031489"
"663", "7943,276", "0,003257103", "-0,0006543032"
"664", "7079,452", "0,003310636", "-0,000694917"
"664", "6309,568", "0,003329096", "-0,000743477"
"664", "5623,409", "0,003377329", "-0,0008216185"
"664", "5011,868", "0,003420199", "-0,0008811211"
"665", "4466,832", "0,00346419", "-0,0009535706"
"665", "3981,068", "0,00351164", "-0,001032797"
"665", "3548,131", "0,003564049", "-0,001119677"
"665", "3162,275", "0,003612885", "-0,001211291"
"666", "2818,38", "0,003676696", "-0,001317449"
"666", "2511,884", "0,003741576", "-0,001425512"
"666", "2238,719", "0,003816055", "-0,001548867"
"666", "1995,26", "0,003896689", "-0,001695079"
"667", "1778,277", "0,003994626", "-0,001813194"
"667", "1584,891", "0,004101799", "-0,001963549"
"667", "1412,536", "0,004216597", "-0,002128188"
"667", "1258,924", "0,004365448", "-0,002288166"
"668", "1122,017", "0,004518984", "-0,002464862"
"668", "999,9988", "0,004665439", "-0,002672052"
"668", "891,2498", "0,004884782", "-0,002827488"
"668", "794,3272", "0,005125185", "-0,003024003"
"668", "707,9448", "0,005369174", "-0,003230237"
"668", "630,9565", "0,005643174", "-0,003399874"
"669", "562,3405", "0,005950314", "-0,003597967"
"669", "501,1865", "0,006222041", "-0,003773046"
"669", "446,6829", "0,006659134", "-0,003926552"
"669", "398,1066", "0,007042004", "-0,004106407"
"669", "354,8128", "0,007475415", "-0,004146018"
"669", "316,2273", "0,007901611", "-0,004209891"
"669", "281,8378", "0,00835108", "-0,004245933"
"669", "251,1882", "0,008795556", "-0,004213198"
"670", "223,8717", "0,009259661", "-0,004167744"
"670", "199,5259", "0,009643711", "-0,004077935"
"670", "177,8276", "0,01011037", "-0,003942044"
"670", "158,489", "0,0104974", "-0,003769033"
"670", "141,2535", "0,01083999", "-0,003576203"
"670", "125,8923", "0,01117308", "-0,003376073"
"671", "112,2016", "0,01150319", "-0,003127361"
"671", "99,9998", "0,01162435", "-0,00285905"
"671", "89,12492", "0,01189763", "-0,002712864"
"671", "79,43266", "0,01212803", "-0,002486995"
"671", "70,79443", "0,01223097", "-0,002240154"
"671", "63,0956", "0,01242757", "-0,002054913"
"672", "56,23401", "0,01247343", "-0,001869401"
"672", "50,11861", "0,01256377", "-0,001772039"
"672", "44,66826", "0,01271217", "-0,001529722"
"672", "39,81063", "0,0127214", "-0,00134354"
"672", "35,48126", "0,01280987", "-0,001262465"
"672", "31,6227", "0,01284557", "-0,001074328"
"672", "28,18376", "0,01288825", "-0,0009688031"
"673", "25,11881", "0,01296511", "-0,0009172962"
"673", "22,38716", "0,01288943", "-0,0007108435"
"673", "19,95257", "0,01291878", "-0,0006570912"
"673", "17,78275", "0,01296516", "-0,0005123877"
"673", "15,84889", "0,01295083", "-0,0006268852"
"673", "14,12534", "0,01279941", "-0,0005076519"
"674", "12,58922", "0,01262928", "-0,0004229797"
"674", "11,22016", "0,01278341", "-0,0005625011"
"674", "9,999973", "0,01286499", "-0,0003832162"
"674", "8,912485", "0,0130881", "-0,0003328899"
"674", "7,943261", "0,01288772", "-0,0004158093"
"675", "7,079438", "0,01273568", "-0,0005458359"
"675", "6,309556", "0,01305075", "-0,0002787945"
"675", "5,623397", "0,01314667", "8,485293e-05"
"675", "5,011858", "0,01285406", "-0,0003462365"
"676", "4,466823", "0,0130101", "-0,0001189184"
"676", "3,98106", "0,01308503", "-0,0001383271"
"676", "3,548123", "0,01312194", "-6,184509e-05"
"677", "3,162268", "0,01307004", "-7,118023e-05"
"677", "2,818374", "0,01318226", "-9,998638e-05"
