Experiment:, EIS
Start date:, p?tek 23. ?ervna 2023
Start time:, 11:19:16 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"501", "100000", "-0,0008480292", "-0,01257423"
"501", "89125,09", "-0,001454888", "-0,007388534"
"501", "79432,82", "0,001475948", "0,001347629"
"502", "70794,57", "0,001818977", "-0,0007137214"
"502", "63095,73", "-0,0002193274", "-0,00164041"
"502", "56234,13", "0,005177177", "0,002663916"
"502", "50118,71", "-0,003108552", "0,004431985"
"502", "44668,35", "0,0005649341", "0,0002528676"
"503", "39810,71", "0,002069942", "0,0007826638"
"503", "35481,33", "0,003111345", "-0,0001393476"
"503", "31622,77", "0,001933778", "-0,0003814988"
"503", "28183,82", "0,002263454", "0,0004112089"
"504", "25118,85", "0,00216919", "-0,0004639229"
"504", "22387,2", "0,002643508", "-0,0001159967"
"504", "19952,61", "0,002446388", "-0,0003170113"
"504", "17782,79", "0,002635266", "-0,0003122063"
"505", "15848,92", "0,002685538", "-0,0002467388"
"505", "14125,37", "0,002753962", "-0,000259849"
"505", "12589,25", "0,002778512", "-0,0003844015"
"505", "11220,18", "0,002782244", "-0,0004126682"
"506", "9999,993", "0,002824824", "-0,0004300525"
"506", "8912,503", "0,002826234", "-0,0004593006"
"506", "7943,276", "0,002859671", "-0,0004843143"
"506", "7079,452", "0,002891092", "-0,0005185335"
"507", "6309,568", "0,002923823", "-0,000536204"
"507", "5623,409", "0,002953092", "-0,000557773"
"507", "5011,868", "0,002973262", "-0,000599627"
"507", "4466,832", "0,003003667", "-0,0006360044"
"508", "3981,068", "0,003036769", "-0,000672006"
"508", "3548,131", "0,003073459", "-0,0007226629"
"508", "3162,275", "0,003101535", "-0,0007667706"
"508", "2818,38", "0,003135889", "-0,0008221233"
"509", "2511,884", "0,003180217", "-0,000878943"
"509", "2238,719", "0,003217499", "-0,000941744"
"509", "1995,26", "0,003274366", "-0,001018534"
"510", "1778,277", "0,003307594", "-0,001081618"
"510", "1584,891", "0,003378017", "-0,001168556"
"510", "1412,536", "0,003439571", "-0,001253287"
"510", "1258,924", "0,003512652", "-0,001348962"
"511", "1122,017", "0,003588381", "-0,001443878"
"511", "999,9988", "0,003684345", "-0,001586164"
"511", "891,2498", "0,003783887", "-0,001654459"
"511", "794,3272", "0,003900232", "-0,001767199"
"511", "707,9448", "0,004028847", "-0,001899112"
"512", "630,9565", "0,004155716", "-0,002020639"
"512", "562,3405", "0,004312083", "-0,002154605"
"512", "501,1865", "0,004501872", "-0,002354023"
"512", "446,6829", "0,004685069", "-0,002400127"
"512", "398,1066", "0,004842847", "-0,002576957"
"512", "354,8128", "0,005123997", "-0,002635383"
"512", "316,2273", "0,005381092", "-0,002745299"
"513", "281,8378", "0,005647934", "-0,002832409"
"513", "251,1882", "0,005930286", "-0,002912318"
"513", "223,8717", "0,006225504", "-0,002956141"
"513", "199,5259", "0,006498587", "-0,002940999"
"513", "177,8276", "0,006831782", "-0,002971246"
"513", "158,489", "0,007152452", "-0,002937355"
"513", "141,2535", "0,00744915", "-0,002874456"
"514", "125,8923", "0,007745176", "-0,002786329"
"514", "112,2016", "0,008005087", "-0,002679646"
"514", "99,9998", "0,008219849", "-0,002554237"
"514", "89,12492", "0,008485133", "-0,002422465"
"514", "79,43266", "0,008692109", "-0,002270007"
"514", "70,79443", "0,008874328", "-0,002119049"
"515", "63,0956", "0,009055257", "-0,001965821"
"515", "56,23401", "0,009181098", "-0,001813133"
"515", "50,11861", "0,009331472", "-0,001658198"
"515", "44,66826", "0,009409679", "-0,00151166"
"515", "39,81063", "0,009480452", "-0,001375945"
"515", "35,48126", "0,009549361", "-0,001246223"
"515", "31,6227", "0,009631115", "-0,001130661"
"516", "28,18376", "0,009679338", "-0,001019591"
"516", "25,11881", "0,009697571", "-0,0009155531"
"516", "22,38716", "0,009736552", "-0,0008008421"
"516", "19,95257", "0,00976819", "-0,0007264844"
"516", "17,78275", "0,009781851", "-0,0006353951"
"516", "15,84889", "0,009804057", "-0,0005836897"
"517", "14,12534", "0,009812912", "-0,0004776802"
"517", "12,58922", "0,009807648", "-0,0004886318"
"517", "11,22016", "0,009817264", "-0,0004249606"
"517", "9,999973", "0,009849665", "-0,000389222"
"517", "8,912485", "0,009847788", "-0,0003214221"
"518", "7,943261", "0,009860079", "-0,0003024389"
"518", "7,079438", "0,009848004", "-0,0002759088"
"518", "6,309556", "0,0098537", "-0,0002716281"
"518", "5,623397", "0,009860878", "-0,0002355341"
