Experiment:, EIS
Start date:, st?eda 19. ?ervence 2023
Start time:, 10:53:36 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"961", "100000", "-0,01926215", "0,03731899"
"961", "89125,09", "-0,001017651", "-0,008566311"
"961", "79432,82", "-0,002370207", "0,004991925"
"962", "70794,57", "9,935596e-05", "-0,0008892003"
"962", "63095,73", "0,02596785", "-0,01270453"
"962", "56234,13", "-0,01867807", "0,01896215"
"962", "50118,71", "-0,01619211", "0,01628627"
"963", "44668,35", "-0,01782953", "-0,01061421"
"963", "39810,71", "-0,008110291", "0,0099025"
"963", "35481,33", "-0,004486945", "0,001578261"
"963", "31622,77", "-0,004456294", "-0,003381231"
"964", "28183,82", "0,007175697", "0,002604203"
"964", "25118,85", "0,0007784059", "-0,001656808"
"964", "22387,2", "0,001702083", "-0,001025065"
"964", "19952,61", "0,0005606504", "-0,0007904634"
"965", "17782,79", "0,001636607", "-0,0005639298"
"965", "15848,92", "0,001011494", "-0,0002664973"
"965", "14125,37", "0,001055566", "-0,0003099933"
"965", "12589,25", "0,001571803", "-0,0002517978"
"966", "11220,18", "0,001338162", "-0,0004650898"
"966", "9999,993", "0,001392163", "-0,0007374554"
"966", "8912,503", "0,000989925", "-0,0001412644"
"966", "7943,276", "0,001286292", "-0,0003547416"
"967", "7079,452", "0,001172714", "-0,0004144137"
"967", "6309,568", "0,001120794", "-0,0004234259"
"967", "5623,409", "0,001228488", "-0,0003854125"
"967", "5011,868", "0,001209861", "-0,0004441983"
"968", "4466,832", "0,001286622", "-0,0005151255"
"968", "3981,068", "0,001283544", "-0,0004975349"
"968", "3548,131", "0,001311119", "-0,0005733027"
"968", "3162,275", "0,001361753", "-0,0006412357"
"968", "2818,38", "0,001354806", "-0,0007188505"
"969", "2511,884", "0,001416558", "-0,0007504404"
"969", "2238,719", "0,00140221", "-0,0008172824"
"969", "1995,26", "0,001372239", "-0,0009208702"
"969", "1778,277", "0,001507819", "-0,001006564"
"970", "1584,891", "0,001560377", "-0,00110062"
"970", "1412,536", "0,001578764", "-0,00117746"
"970", "1258,924", "0,00162102", "-0,001333576"
"971", "1122,017", "0,001679305", "-0,001459808"
"971", "999,9988", "0,001728938", "-0,001677874"
"971", "891,2498", "0,001825062", "-0,001712627"
"971", "794,3272", "0,001916309", "-0,001950901"
"971", "707,9448", "0,002031663", "-0,002017174"
"971", "630,9565", "0,002140593", "-0,002260696"
"971", "562,3405", "0,002291405", "-0,002439796"
"972", "501,1865", "0,002430103", "-0,002736794"
"972", "446,6829", "0,00270031", "-0,002882998"
"972", "398,1066", "0,002863054", "-0,003138883"
"972", "354,8128", "0,003177376", "-0,003309524"
"972", "316,2273", "0,003473312", "-0,003531504"
"972", "281,8378", "0,003794375", "-0,003731715"
"972", "251,1882", "0,004157668", "-0,003951352"
"973", "223,8717", "0,004542696", "-0,00409354"
"973", "199,5259", "0,005000203", "-0,004206833"
"973", "177,8276", "0,005448706", "-0,004308893"
"973", "158,489", "0,005929791", "-0,004356849"
"973", "141,2535", "0,006408006", "-0,004353054"
"973", "125,8923", "0,006852866", "-0,00431956"
"974", "112,2016", "0,007316638", "-0,004229872"
"974", "99,9998", "0,007613737", "-0,004179896"
"974", "89,12492", "0,008205171", "-0,003971562"
"974", "79,43266", "0,008612852", "-0,003724108"
"974", "70,79443", "0,008917741", "-0,00346518"
"974", "63,0956", "0,009208526", "-0,00327933"
"975", "56,23401", "0,009424079", "-0,003022482"
"975", "50,11861", "0,009680727", "-0,002837243"
"975", "44,66826", "0,009806596", "-0,002550316"
"975", "39,81063", "0,01006819", "-0,002257124"
"975", "35,48126", "0,01016582", "-0,002181515"
"975", "31,6227", "0,0102337", "-0,001893475"
"975", "28,18376", "0,01028897", "-0,001569401"
"976", "25,11881", "0,01029898", "-0,001555304"
"976", "22,38716", "0,01051779", "-0,001399591"
"976", "19,95257", "0,01062153", "-0,001224202"
"976", "17,78275", "0,01047421", "-0,001067316"
"976", "15,84889", "0,01045676", "-0,001090564"
"976", "14,12534", "0,01062193", "-0,001014423"
"977", "12,58922", "0,01066025", "-0,0009748958"
"977", "11,22016", "0,01073068", "-0,0006799063"
"977", "9,999973", "0,01064912", "-0,0007410625"
"977", "8,912485", "0,01076364", "-0,0007197683"
"977", "7,943261", "0,01071967", "-0,0004288102"
"978", "7,079438", "0,01078699", "-0,0006269697"
"978", "6,309556", "0,01082738", "-0,0004957946"
"978", "5,623397", "0,0107773", "-0,0003662861"
"978", "5,011858", "0,01079808", "-0,0003901206"
"979", "4,466823", "0,01076707", "-0,0003512769"
"979", "3,98106", "0,01088583", "-0,0002507165"
"979", "3,548123", "0,01072959", "-0,0003788794"
"980", "3,162268", "0,01091944", "7,177025e-06"
"980", "2,818374", "0,01097222", "-3,336414e-05"
"980", "2,511878", "0,01073437", "-0,0002209969"
"981", "2,238714", "0,01088298", "0,000129328"
"982", "1,995256", "0,01075797", "-0,0001324313"
"982", "1,778274", "0,01071377", "-2,246209e-05"
"983", "1,584888", "0,01084243", "6,284713e-06"
"984", "1,412533", "0,01074696", "-0,0002092564"
"984", "1,258921", "0,01096661", "-0,000299486"
"985", "1,122015", "0,01091999", "-5,122416e-05"
"986", "0,999997", "0,01087337", "-3,292863e-06"
"988", "0,891248", "0,01056297", "0,0001701751"
"989", "0,794325", "0,01068745", "-0,0001616685"
"990", "0,707943", "0,01083954", "-1,679478e-05"
"992", "0,630955", "0,01093244", "-6,656216e-05"
"994", "0,562339", "0,01048912", "-6,253999e-05"
"996", "0,501185", "0,01073539", "0,0003424101"
"998", "0,446682", "0,01099619", "2,925348e-05"
"1001", "0,398106", "0,01078174", "6,993504e-05"
"1004", "0,354812", "0,01088841", "0,0003151865"
"1007", "0,316227", "0,01108368", "0,0001387113"
"1010", "0,281837", "0,01073004", "0,0002114963"
"1014", "0,251188", "0,01106641", "0,0003908326"
"1019", "0,223871", "0,01089959", "0,0002357179"
"1024", "0,199525", "0,0103011", "-0,001840851"
"1030", "0,177827", "0,01138016", "-0,001264228"
"1036", "0,158489", "0,01012502", "0,0008167647"
"1043", "0,141253", "0,0100762", "0,001132094"
"1051", "0,125892", "0,0105669", "0,0006599648"
"1060", "0,112201", "0,01071537", "0,0005257722"
"1070", "0,1", "0,01082989", "0,0005775089"
