Experiment:, EIS
Start date:, p?tek 21. ?ervence 2023
Start time:, 10:28:52 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"731", "100000", "0,007143556", "-0,00211355"
"731", "89125,09", "0,009158681", "-0,001816181"
"731", "79432,82", "-0,008873402", "0,01092979"
"731", "70794,57", "0,000948057", "5,226056e-05"
"732", "63095,73", "0,004281434", "-0,002926473"
"732", "56234,13", "0,007480756", "0,000210614"
"732", "50118,71", "0,01091006", "-0,02508166"
"732", "44668,35", "0,003362281", "0,002756765"
"733", "39810,71", "0,00506486", "0,0006319716"
"733", "35481,33", "0,005537224", "-0,0008815411"
"733", "31622,77", "0,004806791", "0,00134882"
"733", "28183,82", "0,004770622", "-0,0004326834"
"734", "25118,85", "0,004917018", "-0,0006376829"
"734", "22387,2", "0,00529055", "-0,0007710243"
"734", "19952,61", "0,005543172", "-0,001013963"
"734", "17782,79", "0,005996039", "-0,001147292"
"735", "15848,92", "0,005975405", "-0,001166182"
"735", "14125,37", "0,00621943", "-0,001321737"
"735", "12589,25", "0,00638245", "-0,001402857"
"735", "11220,18", "0,00654604", "-0,00149893"
"736", "9999,993", "0,00672161", "-0,001524837"
"736", "8912,503", "0,006742187", "-0,001553872"
"736", "7943,276", "0,006920818", "-0,001647762"
"736", "7079,452", "0,007071726", "-0,001699502"
"737", "6309,568", "0,007180611", "-0,001741883"
"737", "5623,409", "0,007304155", "-0,001784169"
"737", "5011,868", "0,007434894", "-0,001846733"
"737", "4466,832", "0,007547637", "-0,001913108"
"738", "3981,068", "0,007669307", "-0,00197827"
"738", "3548,131", "0,007789818", "-0,0020554"
"738", "3162,275", "0,007915772", "-0,002135672"
"738", "2818,38", "0,008044758", "-0,002226685"
"739", "2511,884", "0,008181375", "-0,002331652"
"739", "2238,719", "0,008318789", "-0,002442395"
"739", "1995,26", "0,008478046", "-0,002574392"
"739", "1778,277", "0,008626819", "-0,002691833"
"740", "1584,891", "0,008792768", "-0,002834275"
"740", "1412,536", "0,008978346", "-0,002979606"
"740", "1258,924", "0,009180882", "-0,003145922"
"740", "1122,017", "0,009396934", "-0,003315297"
"741", "999,9988", "0,009641806", "-0,003509239"
"741", "891,2498", "0,009886077", "-0,003664101"
"741", "794,3272", "0,01016678", "-0,003836053"
"741", "707,9448", "0,0104691", "-0,00401797"
"741", "630,9565", "0,01079817", "-0,004198065"
"741", "562,3405", "0,01114325", "-0,004369303"
"742", "501,1865", "0,0115315", "-0,004482146"
"742", "446,6829", "0,01192863", "-0,004676967"
"742", "398,1066", "0,01230616", "-0,004843649"
"742", "354,8128", "0,01279854", "-0,004925488"
"742", "316,2273", "0,01325977", "-0,005008465"
"742", "281,8378", "0,01372664", "-0,005073186"
"743", "251,1882", "0,01420632", "-0,005103693"
"743", "223,8717", "0,0147167", "-0,005087435"
"743", "199,5259", "0,01521108", "-0,005089615"
"743", "177,8276", "0,01567255", "-0,004978838"
"743", "158,489", "0,01613175", "-0,004875395"
"743", "141,2535", "0,01658071", "-0,004767181"
"743", "125,8923", "0,01700153", "-0,004602695"
"744", "112,2016", "0,01739481", "-0,004434538"
"744", "99,9998", "0,01773365", "-0,004273026"
"744", "89,12492", "0,01812266", "-0,004058095"
"744", "79,43266", "0,01845744", "-0,003835767"
"744", "70,79443", "0,01872318", "-0,003642241"
"744", "63,0956", "0,01898495", "-0,003442251"
"745", "56,23401", "0,01923793", "-0,003231605"
"745", "50,11861", "0,01939354", "-0,003027527"
"745", "44,66826", "0,01960915", "-0,002861992"
"745", "39,81063", "0,01975072", "-0,002656616"
"745", "35,48126", "0,01989481", "-0,002551653"
"745", "31,6227", "0,02001172", "-0,002386353"
"745", "28,18376", "0,02015653", "-0,002274676"
"746", "25,11881", "0,02028636", "-0,00207238"
"746", "22,38716", "0,02038922", "-0,001927862"
"746", "19,95257", "0,02049141", "-0,00187606"
"746", "17,78275", "0,02056169", "-0,001857267"
"746", "15,84889", "0,02069884", "-0,001691351"
"746", "14,12534", "0,02076439", "-0,001635239"
"747", "12,58922", "0,02083153", "-0,001615526"
"747", "11,22016", "0,0209371", "-0,001563993"
"747", "9,999973", "0,02100371", "-0,001485145"
"747", "8,912485", "0,02104544", "-0,001504931"
"747", "7,943261", "0,0212008", "-0,001470245"
"748", "7,079438", "0,02119881", "-0,00135774"
"748", "6,309556", "0,02131596", "-0,001398305"
"748", "5,623397", "0,02138821", "-0,001344041"
"748", "5,011858", "0,02151046", "-0,001328653"
"749", "4,466823", "0,02156056", "-0,001353573"
"749", "3,98106", "0,02165891", "-0,001316441"
"749", "3,548123", "0,02174564", "-0,001341526"
"750", "3,162268", "0,02181399", "-0,001351756"
"750", "2,818374", "0,02191168", "-0,001356967"
"750", "2,511878", "0,02197169", "-0,001367752"
"751", "2,238714", "0,02204809", "-0,001369989"
"752", "1,995256", "0,02217384", "-0,001327875"
"752", "1,778274", "0,02224662", "-0,001443162"
"753", "1,584888", "0,02238962", "-0,001443934"
"754", "1,412533", "0,02249393", "-0,001419459"
"754", "1,258921", "0,02260551", "-0,001444829"
"755", "1,122015", "0,02275106", "-0,001439266"
"756", "0,999997", "0,02283046", "-0,001504995"
"758", "0,891248", "0,02292933", "-0,001519848"
"759", "0,794325", "0,02314125", "-0,00141921"
"760", "0,707943", "0,02325677", "-0,001550424"
"762", "0,630955", "0,02325257", "-0,001492091"
"764", "0,562339", "0,02349717", "-0,001587362"
"766", "0,501185", "0,02362647", "-0,001594937"
"768", "0,446682", "0,02378339", "-0,001631511"
"771", "0,398106", "0,02393103", "-0,001669945"
"774", "0,354812", "0,02409201", "-0,00159513"
"777", "0,316227", "0,02419278", "-0,001558337"
"780", "0,281837", "0,02430236", "-0,001520073"
"785", "0,251188", "0,02440955", "-0,001556097"
"789", "0,223871", "0,02455041", "-0,001362499"
"794", "0,199525", "0,02473881", "-0,001538415"
"800", "0,177827", "0,02479819", "-0,00173796"
"806", "0,158489", "0,02518371", "-0,001807246"
"813", "0,141253", "0,02550718", "-0,001607636"
"821", "0,125892", "0,02565177", "-0,001376154"
"830", "0,112201", "0,02563222", "-0,001499596"
"840", "0,1", "0,02593675", "-0,001483436"
