Experiment:, EIS
Start date:, ?ter? 25. ?ervence 2023
Start time:, 10:44:13 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"501", "100000", "-0,004330797", "-0,004503804"
"501", "89125,09", "-0,004738904", "0,01463503"
"501", "79432,82", "0,003297345", "0,01048094"
"501", "70794,57", "-0,001117837", "-4,252338e-05"
"502", "63095,73", "-0,001789767", "-0,001029188"
"502", "56234,13", "0,001301285", "-0,00546584"
"502", "50118,71", "-0,002973659", "-0,0007904185"
"502", "44668,35", "0,007162751", "-0,002845473"
"503", "39810,71", "0,0008532562", "-0,001095343"
"503", "35481,33", "0,001720881", "-0,0002297591"
"503", "31622,77", "0,001669135", "-0,0008368079"
"503", "28183,82", "0,001768854", "-0,0004595749"
"504", "25118,85", "0,001862822", "-0,0005370379"
"504", "22387,2", "0,001657686", "-0,0005474421"
"504", "19952,61", "0,001751363", "-0,0005621306"
"504", "17782,79", "0,00190973", "-0,0007178959"
"505", "15848,92", "0,001808989", "-0,0006969073"
"505", "14125,37", "0,00195956", "-0,0007167842"
"505", "12589,25", "0,00198425", "-0,000800669"
"505", "11220,18", "0,002085715", "-0,0009569458"
"506", "9999,993", "0,002103079", "-0,001015638"
"506", "8912,503", "0,002179291", "-0,001060159"
"506", "7943,276", "0,002238078", "-0,001141806"
"506", "7079,452", "0,002277562", "-0,001209833"
"507", "6309,568", "0,002367626", "-0,001262436"
"507", "5623,409", "0,002434687", "-0,00135644"
"507", "5011,868", "0,002505315", "-0,001432575"
"507", "4466,832", "0,002581691", "-0,001517914"
"508", "3981,068", "0,00267746", "-0,001613817"
"508", "3548,131", "0,00276919", "-0,001711893"
"508", "3162,275", "0,00287079", "-0,001803143"
"508", "2818,38", "0,002973688", "-0,001909654"
"509", "2511,884", "0,00308838", "-0,002028894"
"509", "2238,719", "0,003223271", "-0,002146302"
"509", "1995,26", "0,003384306", "-0,00227946"
"509", "1778,277", "0,003521366", "-0,002408522"
"510", "1584,891", "0,003687249", "-0,002546787"
"510", "1412,536", "0,003878965", "-0,002684739"
"510", "1258,924", "0,004094481", "-0,002826768"
"510", "1122,017", "0,004323012", "-0,002965656"
"511", "999,9988", "0,004573695", "-0,003127844"
"511", "891,2498", "0,004837497", "-0,003231802"
"511", "794,3272", "0,005159025", "-0,003349274"
"511", "707,9448", "0,005440742", "-0,003473793"
"511", "630,9565", "0,005773927", "-0,003552193"
"511", "562,3405", "0,006120771", "-0,003623007"
"512", "501,1865", "0,006470737", "-0,003642374"
"512", "446,6829", "0,006849077", "-0,003698463"
"512", "398,1066", "0,007175623", "-0,003667158"
"512", "354,8128", "0,00760465", "-0,003650374"
"512", "316,2273", "0,007971859", "-0,003583374"
"512", "281,8378", "0,008320952", "-0,003477654"
"513", "251,1882", "0,008660277", "-0,00335445"
"513", "223,8717", "0,008979694", "-0,003208153"
"513", "199,5259", "0,009258627", "-0,003035851"
"513", "177,8276", "0,009525197", "-0,002872967"
"513", "158,489", "0,0097629", "-0,002674213"
"513", "141,2535", "0,009972826", "-0,002501405"
"513", "125,8923", "0,01015879", "-0,002307358"
"514", "112,2016", "0,01033563", "-0,002112911"
"514", "99,9998", "0,01040505", "-0,001790665"
"514", "89,12492", "0,01053748", "-0,001773613"
"514", "79,43266", "0,01064846", "-0,001611144"
"514", "70,79443", "0,01071464", "-0,001446658"
"514", "63,0956", "0,01078025", "-0,001322535"
"515", "56,23401", "0,01082513", "-0,0011725"
"515", "50,11861", "0,01080885", "-0,001130241"
"515", "44,66826", "0,01090326", "-0,001017346"
"515", "39,81063", "0,01095903", "-0,0008963222"
"515", "35,48126", "0,01098076", "-0,0008176323"
"515", "31,6227", "0,01100916", "-0,0007303143"
"516", "28,18376", "0,01101658", "-0,0006792448"
"516", "25,11881", "0,01104941", "-0,0006187523"
"516", "22,38716", "0,01104959", "-0,000558067"
"516", "19,95257", "0,01107806", "-0,000525178"
"516", "17,78275", "0,01110644", "-0,0004774097"
"516", "15,84889", "0,01109621", "-0,0004200358"
"516", "14,12534", "0,01112214", "-0,0003947463"
"517", "12,58922", "0,01110813", "-0,000362571"
"517", "11,22016", "0,01115536", "-0,000324763"
"517", "9,999973", "0,01111099", "-0,0002977142"
"517", "8,912485", "0,01116932", "-0,0002911479"
"517", "7,943261", "0,01113769", "-0,0002610791"
"518", "7,079438", "0,01118885", "-0,000222277"
"518", "6,309556", "0,0111725", "-0,0002147955"
"518", "5,623397", "0,0111489", "-0,0002754947"
"518", "5,011858", "0,01119852", "-0,0001527325"
"519", "4,466823", "0,01118753", "-0,0001598381"
