Experiment:, EIS
Start date:, ?tvrtek 27. ?ervence 2023
Start time:, 10:22:48 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"221", "100000", "0,0006036696", "0,0007209792"
"221", "79432,82", "0,002425448", "0,001304258"
"222", "63095,73", "0,002859739", "0,0003771255"
"222", "50118,72", "0,002542339", "-4,410455e-05"
"222", "39810,71", "0,004382211", "-8,332248e-05"
"222", "31622,77", "0,004697696", "-0,0006602005"
"223", "25118,86", "0,005169771", "-0,0009105593"
"223", "19952,62", "0,005470284", "-0,001154588"
"223", "15848,93", "0,005826176", "-0,001389112"
"223", "12589,25", "0,006161964", "-0,00157222"
"224", "9999,997", "0,006483839", "-0,001745273"
"224", "7943,28", "0,006804423", "-0,001877947"
"224", "6309,571", "0,007116775", "-0,002001387"
"224", "5011,871", "0,007446035", "-0,002141215"
"225", "3981,07", "0,007658019", "-0,002260332"
"225", "3162,276", "0,007934898", "-0,002428292"
"225", "2511,885", "0,00825417", "-0,002649467"
"226", "1995,261", "0,008544931", "-0,00288199"
"226", "1584,892", "0,00889952", "-0,003165369"
"226", "1258,925", "0,009317215", "-0,003502382"
"226", "999,9994", "0,00981821", "-0,003882974"
"227", "794,3277", "0,01041054", "-0,004268818"
"227", "630,9569", "0,01108241", "-0,004677814"
"227", "501,1869", "0,01186395", "-0,005087784"
"227", "398,1069", "0,0127572", "-0,005446107"
"227", "316,2275", "0,01376289", "-0,005741736"
"227", "251,1884", "0,01484929", "-0,005924397"
"228", "199,5261", "0,01598138", "-0,005972938"
"228", "158,4892", "0,01710638", "-0,005870372"
"228", "125,8924", "0,01817557", "-0,005628742"
"228", "99,99991", "0,01913339", "-0,005260202"
"228", "79,43275", "0,01997827", "-0,004865641"
"228", "63,09567", "0,02070011", "-0,004438367"
"228", "50,11867", "0,02128674", "-0,004008378"
"229", "39,81068", "0,02180104", "-0,003640285"
"229", "31,62274", "0,0222366", "-0,003304146"
"229", "25,11884", "0,02260768", "-0,003023578"
"229", "19,9526", "0,0229418", "-0,002799502"
"229", "15,84891", "0,02326879", "-0,002604868"
"229", "12,58924", "0,02354608", "-0,002458683"
"230", "9,999988", "0,02379612", "-0,002293732"
"230", "7,943272", "0,02413518", "-0,002214224"
"230", "6,309565", "0,02433659", "-0,002185937"
"230", "5,011866", "0,02462236", "-0,002149993"
"231", "3,981066", "0,02488964", "-0,002106674"
"231", "3,162273", "0,025264", "-0,002140056"
"231", "2,511883", "0,0254578", "-0,002191231"
"232", "1,995259", "0,02573248", "-0,002137406"
"233", "1,584891", "0,02613759", "-0,002198707"
"233", "1,258924", "0,02654997", "-0,002312747"
"235", "0,999998", "0,0269915", "-0,002422687"
"236", "0,794327", "0,02742034", "-0,002507568"
"237", "0,630956", "0,02789283", "-0,002541843"
"240", "0,501186", "0,02841611", "-0,002577184"
"242", "0,398106", "0,0289088", "-0,002562701"
"245", "0,316227", "0,02943763", "-0,002553731"
"249", "0,251188", "0,02998328", "-0,002481238"
"254", "0,199526", "0,03055091", "-0,002415417"
"261", "0,158489", "0,0311014", "-0,002262746"
"269", "0,125892", "0,03152683", "-0,002103716"
"279", "0,1", "0,03199703", "-0,001899322"
