Experiment:, EIS
Start date:, ?ter? 26. z??? 2023
Start time:, 15:26:28 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"531", "100000", "-0,001771967", "-0,004697907"
"531", "79432,82", "0,002342191", "0,000511426"
"531", "63095,73", "0,001973081", "-0,0009800845"
"532", "50118,72", "-0,002067872", "0,006365124"
"532", "39810,71", "0,0009368638", "-0,0003719894"
"532", "31622,77", "0,001343589", "0,0001525227"
"532", "25118,86", "0,001732822", "0,0002821486"
"533", "19952,62", "0,001669653", "-0,0001566324"
"533", "15848,93", "0,001800308", "-0,0001570922"
"533", "12589,25", "0,001990333", "-0,000231361"
"533", "9999,997", "0,00202862", "-0,000315847"
"534", "7943,28", "0,002088757", "-0,0003360974"
"534", "6309,571", "0,002154485", "-0,0004166413"
"534", "5011,871", "0,002198288", "-0,0004795663"
"534", "3981,07", "0,002257091", "-0,0005569137"
"535", "3162,276", "0,00231085", "-0,000643079"
"535", "2511,885", "0,002376347", "-0,000744184"
"535", "1995,261", "0,002465206", "-0,0008621326"
"535", "1584,892", "0,002549196", "-0,001000301"
"536", "1258,925", "0,002674382", "-0,001147992"
"536", "999,9994", "0,002796686", "-0,001325706"
"536", "794,3277", "0,003006338", "-0,001517979"
"536", "630,9569", "0,003215316", "-0,001706586"
"536", "501,1869", "0,003466788", "-0,0019922"
"536", "398,1069", "0,003800077", "-0,00208033"
"536", "316,2275", "0,00414255", "-0,002381903"
"537", "251,1884", "0,004580542", "-0,002607113"
"537", "199,5261", "0,005100008", "-0,002735254"
"537", "158,4892", "0,005651059", "-0,002846417"
"537", "125,8924", "0,006246448", "-0,002846277"
"537", "99,99991", "0,006862157", "-0,002751716"
"537", "79,43275", "0,007368881", "-0,002547879"
"538", "63,09567", "0,007803441", "-0,002253658"
"538", "50,11867", "0,00814783", "-0,001988215"
"538", "39,81068", "0,00844533", "-0,001702063"
"538", "31,62274", "0,008629182", "-0,001384052"
"538", "25,11884", "0,00877559", "-0,001148436"
"538", "19,9526", "0,008867929", "-0,0008970957"
"539", "15,84891", "0,008935924", "-0,0007448373"
"539", "12,58924", "0,008985866", "-0,0005739587"
"539", "9,999988", "0,00899158", "-0,0004507947"
"539", "7,943272", "0,009007212", "-0,000312598"
"539", "6,309565", "0,00898154", "-0,0002424513"
"540", "5,011866", "0,009046026", "-0,0001944861"
"540", "3,981066", "0,009017855", "-0,0001500358"
"540", "3,162273", "0,009007532", "-9,426376e-05"
"541", "2,511883", "0,009005439", "-6,247743e-05"
"541", "1,995259", "0,008988629", "-2,061355e-05"
"542", "1,584891", "0,008990869", "-2,085987e-05"
"543", "1,258924", "0,008971491", "-1,422432e-05"
"544", "0,999998", "0,00897229", "9,762034e-06"
"545", "0,794327", "0,008973132", "6,728785e-05"
"547", "0,630956", "0,00893073", "8,646087e-05"
"549", "0,501186", "0,008912094", "0,0001066374"
"551", "0,398106", "0,008949029", "0,0001348108"
"555", "0,316227", "0,00904397", "-5,75022e-06"
"559", "0,251188", "0,00905661", "4,915104e-05"
"564", "0,199526", "0,008997098", "4,526508e-05"
"570", "0,158489", "0,008999527", "7,839117e-05"
"578", "0,125892", "0,008987977", "-0,000226599"
"588", "0,1", "0,009098917", "6,197964e-05"
