Experiment:, EIS
Start date:, st?eda 27. z??? 2023
Start time:, 10:32:01 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"1571", "100000", "-0,005052387", "0,004600978"
"1571", "79432,82", "-0,007595742", "-0,001709936"
"1571", "63095,73", "0,004894174", "-0,005513189"
"1571", "50118,72", "0,002163961", "0,01224515"
"1572", "39810,71", "-0,0005107058", "-0,001746649"
"1572", "31622,77", "0,002183405", "0,0002832655"
"1572", "25118,86", "0,001884677", "-0,0004081331"
"1572", "19952,62", "0,002380866", "0,000402374"
"1573", "15848,93", "0,00253569", "-0,0003243282"
"1573", "12589,25", "0,002550639", "-9,080223e-05"
"1573", "9999,997", "0,002667251", "-0,0004455558"
"1573", "7943,28", "0,002754919", "-0,0004581954"
"1574", "6309,571", "0,00283186", "-0,0004894769"
"1574", "5011,871", "0,002865161", "-0,0004961687"
"1574", "3981,07", "0,002952388", "-0,0005481963"
"1574", "3162,276", "0,003010999", "-0,0006189817"
"1575", "2511,885", "0,003084228", "-0,0006841543"
"1575", "1995,261", "0,003174721", "-0,000757727"
"1575", "1584,892", "0,003247803", "-0,000869787"
"1575", "1258,925", "0,003339932", "-0,0009858888"
"1576", "999,9994", "0,003446701", "-0,001075705"
"1576", "794,3277", "0,003579087", "-0,001267904"
"1576", "630,9569", "0,003751246", "-0,001445323"
"1576", "501,1869", "0,003923914", "-0,001644497"
"1576", "398,1069", "0,004186725", "-0,00187785"
"1576", "316,2275", "0,004468373", "-0,002094477"
"1576", "251,1884", "0,004829308", "-0,002328504"
"1577", "199,5261", "0,005262105", "-0,002552174"
"1577", "158,4892", "0,005781684", "-0,002723386"
"1577", "125,8924", "0,006335248", "-0,002799664"
"1577", "99,99991", "0,006954644", "-0,002813084"
"1577", "79,43275", "0,007513334", "-0,002667258"
"1577", "63,09567", "0,008006124", "-0,002454228"
"1578", "50,11867", "0,008408166", "-0,002171676"
"1578", "39,81068", "0,008771051", "-0,001922136"
"1578", "31,62274", "0,009025012", "-0,001632132"
"1578", "25,11884", "0,009167081", "-0,001365418"
"1578", "19,9526", "0,009307044", "-0,001128397"
"1578", "15,84891", "0,009397542", "-0,0009580398"
"1579", "12,58924", "0,009462415", "-0,0007866106"
"1579", "9,999988", "0,009514065", "-0,000695087"
"1579", "7,943272", "0,009537053", "-0,0005115949"
"1579", "6,309565", "0,009557612", "-0,000481899"
"1579", "5,011866", "0,00961371", "-0,0004487969"
"1580", "3,981066", "0,009592134", "-0,0003864082"
"1580", "3,162273", "0,009635225", "-0,0004031816"
"1581", "2,511883", "0,009683263", "-0,0003746031"
"1581", "1,995259", "0,009690933", "-0,0003956788"
"1582", "1,584891", "0,009787656", "-0,0004434451"
"1583", "1,258924", "0,009852151", "-0,0003765379"
"1584", "0,999998", "0,009906937", "-0,0004388634"
"1585", "0,794327", "0,01001354", "-0,0004780685"
"1587", "0,630956", "0,01002685", "-0,0004623256"
"1589", "0,501186", "0,01011827", "-0,0002476786"
"1591", "0,398106", "0,01030973", "-0,0003668491"
"1594", "0,316227", "0,01027795", "-0,000337629"
"1598", "0,251188", "0,01043199", "-0,0002485157"
"1604", "0,199526", "0,01037399", "-9,076106e-05"
"1610", "0,158489", "0,01044306", "-0,000267516"
"1618", "0,125892", "0,01020284", "-8,264518e-05"
"1628", "0,1", "0,01023974", "-0,0001860427"
