Experiment:, EIS
Start date:, ?tvrtek 12. ??jna 2023
Start time:, 11:42:47 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"1571", "100000", "-0,002560543", "-0,001721831"
"1571", "79432,82", "-0,005389276", "0,0004072732"
"1571", "63095,73", "0,002474585", "-0,005051676"
"1571", "50118,72", "0,001630221", "-0,004057822"
"1572", "39810,71", "0,0006891078", "-0,001558746"
"1572", "31622,77", "0,002642057", "0,0004691537"
"1572", "25118,86", "0,002616758", "-8,606968e-05"
"1572", "19952,62", "0,002729652", "-0,0004298918"
"1573", "15848,93", "0,002636991", "-0,0004027477"
"1573", "12589,25", "0,00261437", "-0,0004642705"
"1573", "9999,997", "0,00277017", "-0,0004750893"
"1573", "7943,28", "0,002813455", "-0,0005744501"
"1574", "6309,571", "0,002842377", "-0,0006505266"
"1574", "5011,871", "0,002916745", "-0,0007166617"
"1574", "3981,07", "0,003005607", "-0,0008158929"
"1574", "3162,276", "0,003093355", "-0,000939266"
"1575", "2511,885", "0,003215635", "-0,001061545"
"1575", "1995,261", "0,003344939", "-0,001202333"
"1575", "1584,892", "0,003533152", "-0,001409432"
"1575", "1258,925", "0,003756473", "-0,00159729"
"1576", "999,9994", "0,004017416", "-0,001808859"
"1576", "794,3277", "0,004367451", "-0,001956102"
"1576", "630,9569", "0,004765378", "-0,002097568"
"1576", "501,1869", "0,005207071", "-0,002184912"
"1576", "398,1069", "0,005666066", "-0,002170441"
"1576", "316,2275", "0,006111933", "-0,002059693"
"1577", "251,1884", "0,006496785", "-0,001896009"
"1577", "199,5261", "0,006813421", "-0,001702278"
"1577", "158,4892", "0,007080561", "-0,001461193"
"1577", "125,8924", "0,007262142", "-0,001244151"
"1577", "99,99991", "0,00741056", "-0,001071244"
"1577", "79,43275", "0,007491201", "-0,0008887286"
"1578", "63,09567", "0,007566029", "-0,0007440141"
"1578", "50,11867", "0,007589847", "-0,0006174131"
"1578", "39,81068", "0,00770849", "-0,0005351835"
"1578", "31,62274", "0,007677459", "-0,000491506"
"1578", "25,11884", "0,007758255", "-0,0004109346"
"1578", "19,9526", "0,007808626", "-0,000407022"
"1578", "15,84891", "0,007774007", "-0,0003378861"
"1579", "12,58924", "0,007816595", "-0,0003286774"
"1579", "9,999988", "0,007801767", "-0,0002977367"
"1579", "7,943272", "0,007857054", "-0,0002974435"
"1579", "6,309565", "0,007833309", "-0,0003066679"
"1580", "5,011866", "0,007888762", "-0,0003087202"
"1580", "3,981066", "0,007949715", "-0,0003134124"
"1580", "3,162273", "0,007980811", "-0,0003436967"
"1581", "2,511883", "0,008075511", "-0,0003565127"
"1581", "1,995259", "0,008097989", "-0,0003572243"
"1582", "1,584891", "0,008165955", "-0,0003914267"
"1583", "1,258924", "0,008228125", "-0,0003775629"
"1584", "0,999998", "0,008256175", "-0,0003727727"
"1585", "0,794327", "0,00832346", "-0,0002573323"
"1587", "0,630956", "0,008298521", "-0,0001753743"
"1589", "0,501186", "0,008417447", "-0,0003099486"
"1591", "0,398106", "0,008389989", "-0,0003978108"
"1595", "0,316227", "0,00849795", "-0,0003747538"
"1598", "0,251188", "0,00871364", "-0,0003569436"
"1604", "0,199526", "0,00859114", "-0,0004348714"
"1610", "0,158489", "0,008681504", "-0,0003772354"
"1618", "0,125892", "0,008769757", "-0,0003390595"
"1628", "0,1", "0,00881945", "-0,0002585529"
