Experiment:, EIS
Start date:, p?tek 10. listopadu 2023
Start time:, 13:41:11 +01:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"271", "100000", "0,00366516", "0,0002073598"
"271", "89125,09", "-0,001847066", "-0,0003454923"
"271", "79432,82", "-0,002089322", "-0,001336359"
"271", "70794,57", "0,001085025", "-0,0002288046"
"272", "63095,73", "0,01047696", "-0,001826992"
"272", "56234,13", "7,932377e-05", "0,00477012"
"272", "50118,71", "0,007897296", "0,00688107"
"272", "44668,35", "0,001660085", "-0,000933814"
"273", "39810,71", "0,004277849", "-0,003020515"
"273", "35481,33", "0,00363772", "-7,08333e-05"
"273", "31622,77", "0,00166062", "-0,001751925"
"273", "28183,82", "0,002540553", "0,0005865314"
"274", "25118,85", "0,002556787", "-0,0006614648"
"274", "22387,2", "0,002638695", "-0,000409147"
"274", "19952,61", "0,003534927", "-0,000536936"
"274", "17782,79", "0,003231793", "-0,0001512923"
"275", "15848,92", "0,003327138", "-0,0005615766"
"275", "14125,37", "0,003460376", "-0,0004659275"
"275", "12589,25", "0,003379085", "-0,0007223476"
"275", "11220,18", "0,003397862", "-0,0006096878"
"276", "9999,993", "0,003679941", "-0,000664341"
"276", "8912,503", "0,003580928", "-0,0005661225"
"276", "7943,276", "0,003700438", "-0,0006851146"
"276", "7079,452", "0,003721367", "-0,0007172703"
"277", "6309,568", "0,003773456", "-0,000734839"
"277", "5623,409", "0,003811511", "-0,0007753748"
"277", "5011,868", "0,003855148", "-0,0008159524"
"277", "4466,832", "0,003885995", "-0,0008637327"
"278", "3981,068", "0,003943366", "-0,0009303081"
"278", "3548,131", "0,003981724", "-0,0009891663"
"278", "3162,275", "0,004033484", "-0,001062518"
"278", "2818,38", "0,004089063", "-0,001134704"
"279", "2511,884", "0,004150846", "-0,001218701"
"279", "2238,719", "0,004207622", "-0,001309698"
"279", "1995,26", "0,004266632", "-0,001425895"
"279", "1778,277", "0,004344188", "-0,001519758"
"280", "1584,891", "0,004415921", "-0,001637757"
"280", "1412,536", "0,004497983", "-0,001753541"
"280", "1258,924", "0,004594358", "-0,00190015"
"280", "1122,017", "0,004693208", "-0,00204273"
"281", "999,9988", "0,004875673", "-0,002211369"
"281", "891,2498", "0,004949535", "-0,00236839"
"281", "794,3272", "0,005098628", "-0,002545963"
"281", "707,9448", "0,005285013", "-0,002731305"
"281", "630,9565", "0,005465839", "-0,002928784"
"281", "562,3405", "0,005679487", "-0,003133059"
"282", "501,1865", "0,005951636", "-0,003436289"
"282", "446,6829", "0,006176557", "-0,003540763"
"282", "398,1066", "0,006398836", "-0,003815823"
"282", "354,8128", "0,006780704", "-0,003965645"
"282", "316,2273", "0,007131237", "-0,004167187"
"282", "281,8378", "0,00750937", "-0,004343039"
"283", "251,1882", "0,007926427", "-0,004512318"
"283", "223,8717", "0,008368438", "-0,004667597"
"283", "199,5259", "0,008798439", "-0,004785295"
"283", "177,8276", "0,009314503", "-0,004866776"
"283", "158,489", "0,00980702", "-0,004912482"
"283", "141,2535", "0,0103034", "-0,004887063"
"283", "125,8923", "0,01081251", "-0,00485723"
"284", "112,2016", "0,01129874", "-0,004779715"
"284", "99,9998", "0,01182556", "-0,004833123"
"284", "89,12492", "0,0122742", "-0,004469952"
"284", "79,43266", "0,01269636", "-0,004286034"
"284", "70,79443", "0,01310202", "-0,0040723"
"284", "63,0956", "0,01344799", "-0,003821134"
"285", "56,23401", "0,0137744", "-0,003617302"
"285", "50,11861", "0,01407932", "-0,003298617"
"285", "44,66826", "0,01427784", "-0,003014979"
"285", "39,81063", "0,0144922", "-0,002712479"
"285", "35,48126", "0,01469108", "-0,002533123"
"285", "31,6227", "0,01480892", "-0,002288712"
