Experiment:, Load
Start date:, ?tvrtek 27. ??jna 2022
Start time:, 17:01:16 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"150,1", "0,02573687", "1,081842"
"150,25", "0,02636242", "1,135718"
"150,3", "-0,1037518", "1,069518"
"150,35", "-0,004289486", "0,9574991"
"150,55", "-0,004289486", "0,9755107"
"150,65", "-0,006166136", "0,9725087"
"150,7", "-0,006166136", "0,9706128"
"150,75", "-0,006791682", "0,9680849"
"150,85", "-0,006791682", "0,9617651"
"150,9", "-0,007417239", "0,9589211"
"151,05", "-0,008042786", "0,9481774"
"151,2", "-0,009293883", "0,9372756"
"151,25", "-0,009919429", "0,9333258"
"151,4", "-0,01117053", "0,9262159"
"151,45", "-0,01179608", "0,9236881"
"151,55", "-0,01242163", "0,9191062"
"151,6", "-0,01304718", "0,9178422"
"151,75", "-0,01367273", "0,9146823"
"151,8", "-0,01429828", "0,9134184"
"151,95", "-0,01554937", "0,9094684"
"152", "-0,01617493", "0,9077305"
"152,1", "-0,01742602", "0,9055186"
"152,2", "-0,01742602", "0,9034646"
"152,25", "-0,01805157", "0,9023587"
"152,35", "-0,01867712", "0,9012527"
"152,5", "-0,02055377", "0,8991988"
"152,55", "-0,02055377", "0,8982507"
"152,7", "-0,02180487", "0,8963548"
"152,75", "-0,02243042", "0,8952488"
"152,9", "-0,02305596", "0,8941429"
"152,95", "-0,02368151", "0,8936689"
"153", "-0,02430707", "0,8930369"
"153,1", "-0,02430707", "0,8922469"
"153,25", "-0,02618371", "0,8905089"
"153,3", "-0,02555816", "0,8905089"
"153,4", "-0,02680926", "0,889561"
"153,5", "-0,02680926", "0,888771"
"153,6", "-0,02806036", "0,887823"
"153,7", "-0,02806036", "0,886875"
"153,8", "-0,02931145", "0,886085"
"153,85", "-0,02931145", "0,8857691"
"154", "-0,03118811", "0,8841891"
"154,05", "-0,03118811", "0,8840311"
"154,2", "-0,03306475", "0,8824512"
"154,25", "-0,0336903", "0,8821352"
"154,35", "-0,0349414", "0,8811872"
"154,45", "-0,03556695", "0,8808712"
"154,55", "-0,03619251", "0,8805552"
"154,6", "-0,03619251", "0,8802392"
"154,7", "-0,0374436", "0,8794492"
"154,8", "-0,03806914", "0,8788173"
"154,95", "-0,03932025", "0,8775533"
"155", "-0,03994579", "0,8769214"
"155,15", "-0,04119689", "0,8756573"
"155,2", "-0,04119689", "0,8751833"
"155,35", "-0,04182244", "0,8748674"
"155,5", "-0,04369909", "0,8734454"
"155,55", "-0,04495018", "0,8729714"
"155,65", "-0,04557574", "0,8724974"
"155,75", "-0,04495018", "0,8724974"
"155,9", "-0,04682683", "0,8712335"
"155,95", "-0,04682683", "0,8710755"
"156", "-0,04745239", "0,8707595"
"156,1", "-0,04807793", "0,8707595"
"156,15", "-0,04870348", "0,8704435"
"156,3", "-0,04870348", "0,8699695"
"156,45", "-0,05058013", "0,8685476"
"156,5", "-0,05058013", "0,8685476"
"156,6", "-0,05183123", "0,8677576"
"156,7", "-0,05183123", "0,8675996"
"156,8", "-0,05308233", "0,8668096"
"156,85", "-0,05433342", "0,8663356"
"157", "-0,05495897", "0,8657036"
"157,05", "-0,05558453", "0,8653877"
"157,2", "-0,05683562", "0,8645976"
"157,25", "-0,05683562", "0,8645976"
"157,4", "-0,05808672", "0,8641236"
"157,45", "-0,05808672", "0,8638077"
"157,5", "-0,05871227", "0,8636497"
"157,6", "-0,05933782", "0,8631757"
"157,75", "-0,06184002", "0,8619117"
"157,8", "-0,06184002", "0,8615957"
"157,95", "-0,06309112", "0,8612798"
"158", "-0,06309112", "0,8611218"
"158,15", "-0,06434221", "0,8604898"
"158,2", "-0,06434221", "0,8603318"
"158,25", "-0,06496777", "0,8600158"
"158,35", "-0,06621886", "0,8596998"
"158,45", "-0,06746996", "0,8592258"
"158,55", "-0,06746996", "0,8589098"
"158,7", "-0,06872107", "0,8585938"
"158,75", "-0,06997216", "0,8581198"
"158,95", "-0,07122325", "0,8574879"
"159,1", "-0,07122325", "0,8570139"
"159,25", "-0,07372544", "0,8559079"
"159,3", "-0,07372544", "0,8560659"
"159,4", "-0,074351", "0,8559079"
"159,5", "-0,07497655", "0,8557499"
"159,55", "-0,07560209", "0,8554339"
"159,7", "-0,07560209", "0,8546439"
"159,75", "-0,0768532", "0,854328"
"159,85", "-0,07747874", "0,853696"
"160", "-0,07935539", "0,8529059"
"160,05", "-0,07935539", "0,852748"
"160,2", "-0,08060649", "0,852274"
"160,25", "-0,08060649", "0,852274"
"160,35", "-0,0818576", "0,8518"
"160,45", "-0,08310869", "0,851484"
"160,6", "-0,08310869", "0,851168"
"160,75", "-0,08435979", "0,850536"
"160,8", "-0,08498534", "0,850536"
"160,95", "-0,08623644", "0,8499041"
"161", "-0,08686198", "0,8494301"
"161,15", "-0,08873863", "0,8492721"
"161,2", "-0,08873863", "0,8491141"
"161,25", "-0,08936418", "0,8491141"
"161,35", "-0,08936418", "0,8486401"
"161,5", "-0,09061528", "0,8476921"
"161,55", "-0,09061528", "0,8475341"
"161,7", "-0,09249193", "0,8469021"
"161,75", "-0,09374303", "0,8464282"
