Experiment:, Load
Start date:, pond?l? 20. b?ezna 2023
Start time:, 11:28:56 +01:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"336,15", "0,02511132", "1,125448"
"336,25", "0,02636242", "1,177745"
"336,3", "-0,1031263", "1,069992"
"336,35", "-0,003038393", "0,9533913"
"336,5", "-0,00366394", "0,9732987"
"336,65", "-0,005540589", "0,9701388"
"336,7", "-0,005540589", "0,9665049"
"336,8", "-0,006791682", "0,9568672"
"336,85", "-0,007417239", "0,9486514"
"336,95", "-0,009293883", "0,9314298"
"337,05", "-0,009919429", "0,9145243"
"337,2", "-0,01054498", "0,8985668"
"337,25", "-0,01117053", "0,8950908"
"337,4", "-0,01304718", "0,8854531"
"337,45", "-0,01304718", "0,8832412"
"337,6", "-0,01429828", "0,8786593"
"337,7", "-0,01492382", "0,8743934"
"337,8", "-0,01492382", "0,8718655"
"337,85", "-0,01617493", "0,8704435"
"338", "-0,01617493", "0,8675996"
"338,15", "-0,01742602", "0,8653877"
"338,2", "-0,01805157", "0,8636497"
"338,25", "-0,01867712", "0,8622277"
"338,35", "-0,01867712", "0,8617538"
"338,5", "-0,02055377", "0,8582778"
"338,55", "-0,02117932", "0,8570139"
"338,6", "-0,02180487", "0,8571718"
"338,75", "-0,02243042", "0,8552759"
"338,85", "-0,02368151", "0,853538"
"338,95", "-0,02368151", "0,852748"
"339,1", "-0,02493261", "0,8518"
"339,2", "-0,02618371", "0,8495881"
"339,3", "-0,02618371", "0,8486401"
"339,45", "-0,02806036", "0,8457962"
"339,5", "-0,02806036", "0,8461121"
"339,55", "-0,02931145", "0,8459542"
"339,7", "-0,02931145", "0,8446902"
"339,8", "-0,03181365", "0,8427943"
"339,85", "-0,03181365", "0,8426363"
"340", "-0,03306475", "0,8418462"
"340,05", "-0,03306475", "0,8412143"
"340,1", "-0,03431586", "0,8404243"
"340,25", "-0,0349414", "0,8388444"
"340,4", "-0,03619251", "0,8374224"
"340,45", "-0,03681805", "0,8371064"
"340,6", "-0,0374436", "0,8361584"
"340,7", "-0,0386947", "0,8352104"
"340,8", "-0,03932025", "0,8337885"
"340,85", "-0,03994579", "0,8331565"
"341", "-0,04057134", "0,8318925"
"341,05", "-0,04119689", "0,8318925"
"341,2", "-0,04182244", "0,8296806"
"341,25", "-0,04244799", "0,8288906"
"341,35", "-0,04307353", "0,8284166"
"341,4", "-0,04369909", "0,8279427"
"341,55", "-0,04495018", "0,8271527"
