Experiment:, Load
Start date:, ?ter? 21. b?ezna 2023
Start time:, 11:54:39 +01:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"337,1", "0,02761352", "1,104277"
"337,25", "0,02886462", "1,183907"
"337,3", "-0,1056285", "1,082316"
"337,35", "-0,00178729", "0,9442275"
"337,5", "-0,00178729", "0,9698228"
"337,65", "-0,00366394", "0,9661889"
"337,7", "-0,004289486", "0,962397"
"337,8", "-0,004915043", "0,9541812"
"337,85", "-0,005540589", "0,9488093"
"337,95", "-0,006791682", "0,9379077"
"338,05", "-0,006791682", "0,9277959"
"338,2", "-0,008042786", "0,9154723"
"338,25", "-0,008042786", "0,9121544"
"338,4", "-0,009293883", "0,9050446"
"338,45", "-0,009919429", "0,9029906"
"338,55", "-0,01054498", "0,8999887"
"338,6", "-0,01117053", "0,8974608"
"338,65", "-0,01179608", "0,8955648"
"338,8", "-0,01304718", "0,8943009"
"338,85", "-0,01367273", "0,8930369"
"339", "-0,01429828", "0,8914569"
"339,05", "-0,01492382", "0,889877"
"339,2", "-0,01554937", "0,8879811"
"339,25", "-0,01617493", "0,887191"
"339,35", "-0,01617493", "0,8859271"
"339,45", "-0,01742602", "0,8859271"
"339,55", "-0,01867712", "0,8833992"
"339,75", "-0,01930267", "0,8815032"
"339,85", "-0,02117932", "0,8788173"
"339,95", "-0,02180487", "0,8785013"
"340", "-0,02243042", "0,8781853"
"340,1", "-0,02305596", "0,8772373"
"340,25", "-0,02430707", "0,8754994"
"340,3", "-0,02493261", "0,8751833"
"340,5", "-0,02555816", "0,8732874"
"340,65", "-0,02680926", "0,8717075"
"340,7", "-0,02680926", "0,8709175"
"340,75", "-0,02806036", "0,8704435"
"340,85", "-0,02931145", "0,8702855"
"341,05", "-0,03056256", "0,8690215"
"341,2", "-0,03181365", "0,8675996"
"341,25", "-0,03181365", "0,8672836"
"341,4", "-0,03306475", "0,8658617"
"341,45", "-0,03306475", "0,8652297"
"341,55", "-0,0349414", "0,8647557"
"341,6", "-0,0349414", "0,8647557"
"341,65", "-0,03556695", "0,8641236"
"341,8", "-0,03681805", "0,8633337"
"341,9", "-0,0374436", "0,8628597"
"342", "-0,0374436", "0,8625437"
"342,15", "-0,03932025", "0,8611218"
"342,2", "-0,03932025", "0,8608057"
"342,25", "-0,03994579", "0,8606478"
"342,35", "-0,04057134", "0,8598578"
"342,4", "-0,04119689", "0,8592258"
"342,55", "-0,04244799", "0,8585938"
"342,6", "-0,04182244", "0,8589098"
"342,75", "-0,04307353", "0,8578038"
"342,85", "-0,04432464", "0,8570139"
"342,95", "-0,04495018", "0,8565399"
"343,05", "-0,04557574", "0,8559079"
"343,1", "-0,04557574", "0,8557499"
"343,2", "-0,04745239", "0,85417"
"343,3", "-0,04745239", "0,85417"
"343,45", "-0,04932903", "0,852748"
"343,5", "-0,04932903", "0,8529059"
"343,6", "-0,05058013", "0,852432"
"343,7", "-0,05120568", "0,8518"
"343,8", "-0,05183123", "0,85101"
"343,85", "-0,05308233", "0,850852"
"343,95", "-0,05433342", "0,850536"
"344,05", "-0,05433342", "0,8502201"
"344,2", "-0,05558453", "0,8492721"
"344,25", "-0,05558453", "0,8492721"
"344,4", "-0,05683562", "0,8484821"
"344,45", "-0,05746117", "0,8481661"
"344,55", "-0,05871227", "0,8478501"
"344,6", "-0,05933782", "0,8475341"
"344,75", "-0,06058892", "0,8469021"
"344,8", "-0,06058892", "0,8465861"
"344,85", "-0,06184002", "0,8461121"
"345", "-0,06246556", "0,8454802"
"345,15", "-0,06371667", "0,8445322"
"345,2", "-0,06434221", "0,8443742"
"345,3", "-0,06496777", "0,8442162"
"345,35", "-0,06496777", "0,8440582"
"345,5", "-0,06684442", "0,8432683"
"345,55", "-0,06746996", "0,8431103"
"345,7", "-0,06809551", "0,8421623"
"345,75", "-0,06872107", "0,8418462"
"345,9", "-0,06997216", "0,8415303"
"345,95", "-0,06997216", "0,8412143"
"346,05", "-0,0705977", "0,8407403"
"346,1", "-0,07122325", "0,8405823"
"346,2", "-0,07247435", "0,8401083"
"346,3", "-0,07247435", "0,8397923"
"346,4", "-0,07497655", "0,8388444"
"346,5", "-0,074351", "0,8388444"
"346,65", "-0,07622765", "0,8382124"
"346,7", "-0,07622765", "0,8382124"
"346,8", "-0,0768532", "0,8372644"
"346,85", "-0,07747874", "0,8371064"
"347", "-0,07935539", "0,8363164"
"347,1", "-0,07872984", "0,8364744"
"347,2", "-0,08060649", "0,8356844"
"347,25", "-0,08060649", "0,8353685"
"347,4", "-0,08248314", "0,8342625"
"347,45", "-0,08248314", "0,8342625"
"347,5", "-0,08310869", "0,8341045"
"347,6", "-0,08310869", "0,8339465"
"347,75", "-0,08435979", "0,8331565"
"347,8", "-0,08498534", "0,8328406"
"347,85", "-0,08561088", "0,8329985"
"348", "-0,08561088", "0,8322086"
"348,1", "-0,08686198", "0,8315766"
"348,2", "-0,08686198", "0,8307865"
"348,3", "-0,08873863", "0,8299966"
"348,35", "-0,08936418", "0,8298386"
"348,45", "-0,08873863", "0,8299966"
"348,55", "-0,08998973", "0,8288906"
"348,6", "-0,09061528", "0,8285747"
"348,75", "-0,09124083", "0,8285747"
"348,85", "-0,09311747", "0,8279427"
"348,95", "-0,09374303", "0,8273107"
"349,1", "-0,09436858", "0,8266787"
"349,25", "-0,09561968", "0,8262047"
"349,3", "-0,09624523", "0,8262047"
"349,4", "-0,09749633", "0,8257307"
"349,5", "-0,09687077", "0,8258888"
"349,65", "-0,09874742", "0,8249407"
"349,7", "-0,09874742", "0,8249407"
"349,8", "-0,1006241", "0,8243088"
"349,85", "-0,1006241", "0,8241507"
"350", "-0,1018752", "0,8236768"
"350,05", "-0,1031263", "0,8235188"
"350,15", "-0,1037518", "0,8232028"
"350,25", "-0,1043774", "0,8227288"
"350,3", "-0,1050029", "0,8225708"
"350,45", "-0,1056285", "0,8222548"
"350,55", "-0,1068796", "0,8219388"
"350,6", "-0,1068796", "0,8217809"
"350,75", "-0,1087562", "0,8211489"
"350,8", "-0,1087562", "0,8208328"
"350,95", "-0,1106329", "0,8205169"
"351", "-0,1106329", "0,8202009"
"351,2", "-0,1112584", "0,8198849"
"351,35", "-0,1125095", "0,8192528"
"351,5", "-0,1137606", "0,8187789"
"351,55", "-0,1137606", "0,8187789"
"351,65", "-0,1150117", "0,8181469"
"351,75", "-0,1150117", "0,8178309"
"351,9", "-0,1162628", "0,817515"
"351,95", "-0,1162628", "0,8173569"
"352", "-0,1175139", "0,816883"
"352,1", "-0,1175139", "0,816725"
"352,25", "-0,118765", "0,816883"
"352,3", "-0,118765", "0,8165669"
"352,45", "-0,1206416", "0,815777"
"352,5", "-0,1212672", "0,815777"
"352,65", "-0,1225183", "0,815145"
"352,7", "-0,1225183", "0,815145"
"352,8", "-0,1231438", "0,8148291"
"352,85", "-0,1237694", "0,814671"
"353", "-0,1250205", "0,813881"
"353,05", "-0,125646", "0,813881"
"353,15", "-0,1268971", "0,8132491"
"353,25", "-0,1268971", "0,813091"
"353,35", "-0,1281482", "0,812933"
"353,45", "-0,1287738", "0,8126171"
"353,5", "-0,1293993", "0,8124591"
"353,6", "-0,1300249", "0,8121431"
"353,75", "-0,1319015", "0,8116691"
"353,8", "-0,1319015", "0,8113531"
"353,95", "-0,1331526", "0,8108791"
"354", "-0,1331526", "0,8108791"
"354,15", "-0,1350293", "0,8099312"
"354,2", "-0,1350293", "0,8097731"
"354,3", "-0,1356548", "0,8096152"
"354,35", "-0,1362804", "0,8096152"
"354,5", "-0,1375315", "0,8091412"
"354,55", "-0,138157", "0,8089832"
"354,65", "-0,1387826", "0,8088252"
"354,75", "-0,1400337", "0,8083512"
"354,85", "-0,1406592", "0,8080352"
"354,95", "-0,1412848", "0,8077192"
"355", "-0,1419103", "0,8075612"
"355,1", "-0,1425359", "0,8078772"
"355,2", "-0,143787", "0,8070872"
"355,3", "-0,143787", "0,8069292"
"355,4", "-0,1456636", "0,8066132"
"355,5", "-0,1456636", "0,8066132"
"355,6", "-0,1469147", "0,8061392"
"355,7", "-0,1469147", "0,8058233"
"355,8", "-0,1481658", "0,8053493"
"355,85", "-0,1487914", "0,8051913"
"356", "-0,150668", "0,8045593"
"356,05", "-0,150668", "0,8045593"
"356,2", "-0,1525446", "0,8036113"
"356,25", "-0,1525446", "0,8039273"
"356,4", "-0,1537957", "0,8032954"
"356,45", "-0,1544213", "0,8032954"
"356,55", "-0,1550468", "0,8029793"
"356,6", "-0,1556724", "0,8028213"
"356,65", "-0,1550468", "0,8026633"
"356,8", "-0,1569235", "0,8021894"
"356,95", "-0,157549", "0,8018733"
"357", "-0,1581746", "0,8018733"
"357,05", "-0,1588001", "0,8015574"
"357,2", "-0,1594257", "0,8012414"
"357,3", "-0,1600512", "0,8010834"
"357,35", "-0,1613023", "0,8006094"
"357,5", "-0,1619279", "0,8002934"
"357,55", "-0,1625534", "0,8001354"
"357,65", "-0,1638045", "0,7998194"
"357,8", "-0,1644301", "0,7993454"
"357,9", "-0,1656812", "0,7991874"
"357,95", "-0,1663067", "0,7988715"
"358", "-0,1669323", "0,7987134"
"358,1", "-0,1675578", "0,7985555"
"358,3", "-0,1675578", "0,7980815"
"358,45", "-0,1713111", "0,7974495"
"358,5", "-0,1713111", "0,7972915"
"358,65", "-0,1719366", "0,7971334"
"358,7", "-0,1719366", "0,7971334"
"358,8", "-0,1738133", "0,7961855"
"358,85", "-0,1738133", "0,7961855"
"358,9", "-0,1744389", "0,7961855"
"359,05", "-0,1750644", "0,7957115"
"359,15", "-0,1763155", "0,7952375"
"359,25", "-0,1763155", "0,7952375"
"359,35", "-0,1781922", "0,7947636"
"359,45", "-0,1781922", "0,7946056"
"359,5", "-0,1788177", "0,7944475"
"359,6", "-0,1794432", "0,7941316"
"359,75", "-0,1806944", "0,7938156"
"359,8", "-0,1813199", "0,7934996"
"359,95", "-0,1831965", "0,7931836"
"360", "-0,1831965", "0,7931836"
"360,15", "-0,1838221", "0,7928676"
"360,2", "-0,1838221", "0,7927096"
"360,3", "-0,1850732", "0,7923936"
"360,35", "-0,1850732", "0,7922357"
"360,4", "-0,1863243", "0,7922357"
"360,55", "-0,1875754", "0,7917617"
"360,75", "-0,188201", "0,7912876"
"360,85", "-0,1888265", "0,7912876"
"360,9", "-0,1888265", "0,7911296"
"361,05", "-0,1913287", "0,7904977"
"361,1", "-0,1913287", "0,7901817"
"361,2", "-0,1925798", "0,7900237"
"361,3", "-0,1925798", "0,7898657"
"361,35", "-0,1938309", "0,7897077"
"361,5", "-0,1944564", "0,7893917"
"361,55", "-0,195082", "0,7892337"
"361,65", "-0,195082", "0,7892337"
"361,8", "-0,1963331", "0,7886018"
"361,85", "-0,1963331", "0,7882857"
"361,95", "-0,1975842", "0,7881277"
"362,05", "-0,1982097", "0,7879698"
"362,2", "-0,1994608", "0,7874958"
"362,25", "-0,2007119", "0,7873378"
"362,35", "-0,2013375", "0,7870218"
"362,4", "-0,201963", "0,7868638"
"362,5", "-0,2032141", "0,7865478"
"362,6", "-0,2032141", "0,7863898"
"362,75", "-0,2044652", "0,7859158"
"362,8", "-0,2050908", "0,7855998"
"362,95", "-0,2063419", "0,7852838"
"363", "-0,2063419", "0,7852838"
"363,1", "-0,207593", "0,7849678"
"363,15", "-0,207593", "0,7848098"
"363,3", "-0,2082185", "0,7846518"
"363,35", "-0,2088441", "0,7844938"
"363,5", "-0,2100952", "0,7840198"
"363,55", "-0,2100952", "0,7840198"
"363,65", "-0,2113463", "0,7837039"
"363,75", "-0,2138485", "0,7830719"
"363,9", "-0,2138485", "0,7830719"
"364", "-0,2150996", "0,7829139"
"364,1", "-0,2150996", "0,7825979"
"364,15", "-0,2163507", "0,7822819"
"364,3", "-0,2169762", "0,7821239"
"364,35", "-0,2176018", "0,7818079"
"364,5", "-0,2188529", "0,7816499"
"364,65", "-0,2194784", "0,7813339"
"364,8", "-0,2207295", "0,781018"
"364,85", "-0,2207295", "0,781018"
"365", "-0,2219806", "0,780544"
"365,05", "-0,2226062", "0,7803859"
"365,2", "-0,2238573", "0,7799119"
"365,25", "-0,2244828", "0,779596"
"365,3", "-0,2251084", "0,779596"
"365,4", "-0,2257339", "0,7792799"
"365,5", "-0,226985", "0,779122"
"365,6", "-0,226985", "0,779122"
"365,75", "-0,2282361", "0,77849"
"365,8", "-0,2282361", "0,77849"
"365,9", "-0,2294872", "0,778174"
"366", "-0,2294872", "0,778016"
"366,05", "-0,2307383", "0,7777"
"366,15", "-0,2313638", "0,7775421"
"366,3", "-0,232615", "0,777068"
"366,35", "-0,232615", "0,777226"
"366,45", "-0,233866", "0,7767521"
"366,55", "-0,2344916", "0,776594"
"366,7", "-0,2363683", "0,7759621"
"366,75", "-0,2363683", "0,7759621"
"366,85", "-0,2376193", "0,7758041"
"366,9", "-0,2376193", "0,7754881"
"367", "-0,2382449", "0,7753301"
"367,1", "-0,2388704", "0,7751721"
"367,2", "-0,2401216", "0,7750141"
"367,3", "-0,239496", "0,7748562"
"367,4", "-0,2413726", "0,7743821"
"367,5", "-0,2413726", "0,7743821"
"367,6", "-0,2419982", "0,7742241"
"367,65", "-0,2426237", "0,7739081"
"367,8", "-0,2438748", "0,7737501"
"367,85", "-0,2445004", "0,7734341"
"368", "-0,2451259", "0,7731181"
"368,05", "-0,2451259", "0,7731181"
"368,2", "-0,2470026", "0,7726442"
"368,25", "-0,2470026", "0,7724862"
"368,35", "-0,2482537", "0,7721702"
"368,4", "-0,2488792", "0,7721702"
"368,45", "-0,2495048", "0,7718542"
"368,6", "-0,2501303", "0,7716962"
"368,65", "-0,2513814", "0,7713802"
"368,8", "-0,252007", "0,7712222"
"368,95", "-0,2532581", "0,7709062"
"369", "-0,2532581", "0,7709062"
"369,05", "-0,2545092", "0,7705902"
"369,15", "-0,2551347", "0,7701163"
"369,3", "-0,2563858", "0,7699583"
"369,35", "-0,2563858", "0,7698002"
"369,45", "-0,2576369", "0,7698002"
"369,55", "-0,258888", "0,7691682"
"369,75", "-0,2595136", "0,7688522"
"369,85", "-0,2601391", "0,7688522"
"369,9", "-0,2607647", "0,7686942"
"370,05", "-0,2620158", "0,7682202"
"370,1", "-0,2626413", "0,7680623"
"370,25", "-0,264518", "0,7675883"
"370,3", "-0,264518", "0,7675883"
"370,45", "-0,2657691", "0,7672723"
"370,5", "-0,2663946", "0,7669563"
"370,55", "-0,2670201", "0,7669563"
"370,65", "-0,2670201", "0,7669563"
"370,7", "-0,2676457", "0,7669563"
"370,85", "-0,2676457", "0,7667983"
"371", "-0,2695223", "0,7663243"
"371,05", "-0,2695223", "0,7661663"
"371,2", "-0,2707734", "0,7658504"
"371,25", "-0,2707734", "0,7656924"
"371,35", "-0,2720245", "0,7653764"
"371,4", "-0,2720245", "0,7653764"
"371,45", "-0,2726501", "0,7652184"
"371,6", "-0,2739012", "0,7647444"
"371,65", "-0,2745267", "0,7647444"
"371,8", "-0,2745267", "0,7645864"
"371,9", "-0,2770289", "0,7639544"
"372", "-0,2776545", "0,7637964"
"372,05", "-0,27828", "0,7637964"
"372,15", "-0,2789056", "0,7634804"
"372,25", "-0,2801567", "0,7631644"
"372,35", "-0,2807822", "0,7628484"
"372,45", "-0,2820333", "0,7625324"
"372,55", "-0,2820333", "0,7625324"
"372,7", "-0,2832844", "0,7622164"
"372,75", "-0,28391", "0,7622164"
"372,9", "-0,2851611", "0,7617425"
"373,05", "-0,2864122", "0,7614264"
"373,1", "-0,2864122", "0,7614264"
"373,2", "-0,2870377", "0,7611105"
"373,3", "-0,2876633", "0,7609525"
"373,45", "-0,2901655", "0,7606365"
"373,5", "-0,2895399", "0,7604785"
"373,55", "-0,2901655", "0,7603205"
"373,65", "-0,2901655", "0,7601625"
"373,75", "-0,2914166", "0,7598465"
"373,85", "-0,2920421", "0,7598465"
"374", "-0,2932932", "0,7592145"
"374,05", "-0,2945443", "0,7590566"
"374,2", "-0,2957954", "0,7585826"
"374,25", "-0,2957954", "0,7585826"
"374,35", "-0,2970465", "0,7581085"
"374,4", "-0,2970465", "0,7579505"
"374,55", "-0,2982976", "0,7579505"
"374,6", "-0,2982976", "0,7579505"
"374,65", "-0,2995487", "0,7577925"
"374,8", "-0,2995487", "0,7574766"
"374,85", "-0,3007998", "0,7573186"
"375", "-0,3007998", "0,7571605"
"375,1", "-0,3020509", "0,7570026"
"375,15", "-0,3020509", "0,7568446"
"375,3", "-0,303302", "0,7565286"
"375,35", "-0,303302", "0,7568446"
"375,45", "-0,3051786", "0,7568446"
"375,55", "-0,3051786", "0,7568446"
"375,7", "-0,3064297", "0,7558966"
"375,75", "-0,3064297", "0,7558966"
"375,85", "-0,3070553", "0,7552646"
"375,9", "-0,3076809", "0,7547907"
"376,05", "-0,3089319", "0,7543167"
"376,1", "-0,3095575", "0,7544746"
"376,25", "-0,3108086", "0,7538427"
"376,3", "-0,310183", "0,7540007"
"376,35", "-0,3114342", "0,7538427"
"376,5", "-0,3126852", "0,7535267"
"376,65", "-0,3139363", "0,7532107"
"376,75", "-0,3151874", "0,7528947"
"376,85", "-0,3151874", "0,7528947"
"376,95", "-0,3164385", "0,7525787"
"377,05", "-0,3170641", "0,7522627"
"377,1", "-0,3176896", "0,7522627"
"377,25", "-0,3189407", "0,7517887"
"377,3", "-0,3183152", "0,7517887"
"377,4", "-0,3189407", "0,7516307"
"377,5", "-0,3208174", "0,7514727"
"377,6", "-0,3208174", "0,7511567"
"377,65", "-0,3220685", "0,7511567"
"377,8", "-0,3220685", "0,7509987"
"377,9", "-0,3239451", "0,7505248"
"378", "-0,3245707", "0,7505248"
"378,1", "-0,3258218", "0,7500508"
"378,15", "-0,3258218", "0,7498928"
"378,3", "-0,3264473", "0,7497348"
"378,35", "-0,3270729", "0,7495768"
"378,5", "-0,328324", "0,7492608"
"378,55", "-0,328324", "0,7492608"
"378,6", "-0,3289495", "0,7489448"
"378,75", "-0,329575", "0,7486288"
"378,8", "-0,3302006", "0,7486288"
"378,9", "-0,3308261", "0,7484708"
"379,05", "-0,3327028", "0,7481548"
"379,1", "-0,3327028", "0,7479969"
"379,25", "-0,335205", "0,7472069"
"379,3", "-0,3358306", "0,7472069"
"379,45", "-0,3364561", "0,7470489"
"379,5", "-0,3377072", "0,7468909"
"379,55", "-0,3370816", "0,7468909"
"379,65", "-0,3377072", "0,7465748"
"379,8", "-0,3389583", "0,7462589"
"379,85", "-0,3395839", "0,7461008"
"379,95", "-0,340835", "0,7459429"
"380,05", "-0,3414605", "0,7456269"
"380,1", "-0,3420861", "0,7454689"
"380,25", "-0,3433371", "0,7451529"
"380,4", "-0,3433371", "0,7451529"
"380,55", "-0,3439627", "0,7446789"
"380,6", "-0,3445882", "0,7445209"
"380,7", "-0,3458393", "0,7442049"
"380,8", "-0,3458393", "0,7442049"
"380,95", "-0,3483416", "0,743731"
"381", "-0,3489671", "0,743573"
"381,05", "-0,3495926", "0,743573"
"381,15", "-0,3495926", "0,743257"
"381,25", "-0,3508437", "0,743257"
"381,35", "-0,3508437", "0,743257"
"381,45", "-0,3520948", "0,742941"
"381,55", "-0,3527204", "0,742625"
"381,65", "-0,3539715", "0,742309"
"381,75", "-0,3539715", "0,742467"
"381,85", "-0,3552226", "0,742151"
"381,9", "-0,3552226", "0,741835"
"382,05", "-0,3564737", "0,741519"
"382,1", "-0,3570992", "0,741519"
"382,25", "-0,3589759", "0,741045"
"382,3", "-0,3589759", "0,740887"
"382,45", "-0,3608525", "0,740571"
"382,5", "-0,3608525", "0,740571"
"382,55", "-0,3614781", "0,740413"
"382,65", "-0,3614781", "0,740097"
"382,8", "-0,3627291", "0,740097"
"382,85", "-0,3633547", "0,739781"
"383", "-0,3646058", "0,7394651"
"383,05", "-0,3652314", "0,739307"
"383,15", "-0,3664825", "0,739149"
"383,25", "-0,367108", "0,7388331"
"383,4", "-0,3683591", "0,7385171"
"383,5", "-0,3689846", "0,7383591"
"383,6", "-0,3696102", "0,7382011"
"383,7", "-0,3702357", "0,7380431"
"383,8", "-0,3708613", "0,7378851"
"383,9", "-0,3721124", "0,7374111"
"384", "-0,372738", "0,7372531"
"384,1", "-0,3739891", "0,7369372"
"384,15", "-0,3746146", "0,7367792"
"384,3", "-0,3764912", "0,7364632"
"384,35", "-0,3758657", "0,7366211"
"384,45", "-0,3764912", "0,7363052"
"384,55", "-0,3777423", "0,7359892"
"384,65", "-0,3783679", "0,7356732"
"384,7", "-0,3789935", "0,7355151"
"384,85", "-0,379619", "0,7351992"
"384,9", "-0,3802446", "0,7350411"
"385,05", "-0,3808701", "0,7348832"
"385,1", "-0,3814957", "0,7348832"
"385,2", "-0,3821212", "0,7345672"
"385,3", "-0,3827467", "0,7344092"
"385,4", "-0,3839978", "0,7339352"
"385,45", "-0,3846234", "0,7339352"
"385,5", "-0,3852489", "0,7337772"
"385,65", "-0,3858745", "0,7336192"
"385,8", "-0,3877512", "0,7333032"
"385,85", "-0,3883767", "0,7329872"
"385,9", "-0,3890022", "0,7329872"
"386,05", "-0,3896278", "0,7328292"
"386,15", "-0,3908789", "0,7325132"
"386,2", "-0,3908789", "0,7323552"
"386,35", "-0,39213", "0,7321973"
"386,4", "-0,39213", "0,7320393"
"386,55", "-0,3933811", "0,7317233"
"386,6", "-0,3933811", "0,7315653"
"386,75", "-0,3946322", "0,7312493"
"386,8", "-0,3946322", "0,7312493"
"386,85", "-0,3958833", "0,7309333"
"386,95", "-0,3965089", "0,7307753"
"387,1", "-0,39776", "0,7303013"
"387,15", "-0,3971344", "0,7303013"
"387,3", "-0,399011", "0,7299854"
"387,35", "-0,3996366", "0,7299854"
"387,5", "-0,4008877", "0,7295113"
"387,55", "-0,4015132", "0,7293533"
"387,65", "-0,4027643", "0,7290373"
"387,8", "-0,4027643", "0,7290373"
"387,85", "-0,4040155", "0,7288793"
"387,9", "-0,404641", "0,7285634"
"388", "-0,4058921", "0,7284054"
"388,1", "-0,4065176", "0,7282473"
"388,3", "-0,4071432", "0,7279314"
"388,4", "-0,4083943", "0,7277734"
"388,45", "-0,4077687", "0,7277734"
"388,6", "-0,4102709", "0,7274574"
"388,65", "-0,4102709", "0,7274574"
"388,8", "-0,4115221", "0,7271414"
"388,85", "-0,4121476", "0,7269834"
"389", "-0,4133987", "0,7266674"
"389,05", "-0,4146498", "0,7265094"
"389,2", "-0,4146498", "0,7261934"
"389,3", "-0,4159009", "0,7258775"
"389,4", "-0,417152", "0,7255614"
"389,55", "-0,4184031", "0,7255614"
"389,6", "-0,4190287", "0,7252455"
"389,65", "-0,4196542", "0,7250875"
"389,8", "-0,4202798", "0,7249295"
"389,85", "-0,4209053", "0,7249295"
"389,95", "-0,4209053", "0,7246135"
"390,05", "-0,4221564", "0,7242975"
"390,15", "-0,4227819", "0,7244554"
"390,3", "-0,424033", "0,7241395"
"390,35", "-0,4234075", "0,7239814"
"390,45", "-0,4246586", "0,7238235"
"390,55", "-0,4246586", "0,7235075"
"390,65", "-0,4259097", "0,7235075"
"390,7", "-0,4259097", "0,7235075"
"390,85", "-0,4284118", "0,7230335"
"390,9", "-0,4290374", "0,7228755"
"391,05", "-0,4302885", "0,7225595"
"391,1", "-0,4302885", "0,7224015"
"391,15", "-0,4315396", "0,7222435"
"391,3", "-0,4321651", "0,7219275"
"391,35", "-0,4327907", "0,7216116"
"391,45", "-0,4327907", "0,7216116"
"391,6", "-0,4352929", "0,7212955"
"391,7", "-0,4346673", "0,7212955"
"391,8", "-0,436544", "0,7208216"
"391,85", "-0,436544", "0,7208216"
"392", "-0,4371696", "0,7205056"
"392,05", "-0,4371696", "0,7205056"
"392,15", "-0,4384207", "0,7203476"
"392,2", "-0,4384207", "0,7201896"
"392,3", "-0,4396717", "0,7198736"
"392,4", "-0,4396717", "0,7198736"
"392,45", "-0,4409229", "0,7197156"
"392,6", "-0,4409229", "0,7195576"
"392,75", "-0,4421739", "0,7190837"
"392,8", "-0,443425", "0,7189257"
"392,9", "-0,4446762", "0,7187676"
"392,95", "-0,4440506", "0,7186096"
"393,1", "-0,4459273", "0,7182936"
"393,15", "-0,4459273", "0,7181356"
"393,25", "-0,4471783", "0,7179776"
"393,35", "-0,4478039", "0,7178196"
"393,5", "-0,449055", "0,7175037"
"393,55", "-0,449055", "0,7175037"
"393,6", "-0,4503061", "0,7171876"
"393,7", "-0,4509316", "0,7171876"
"393,85", "-0,4528083", "0,7167137"
"393,9", "-0,4528083", "0,7165557"
"394,05", "-0,4546849", "0,7162397"
"394,1", "-0,4546849", "0,7162397"
"394,25", "-0,4565616", "0,7156077"
"394,3", "-0,4565616", "0,7156077"
"394,4", "-0,4584382", "0,7152917"
"394,45", "-0,4578127", "0,7152917"
"394,55", "-0,4584382", "0,7152917"
"394,65", "-0,4590638", "0,7152917"
"394,8", "-0,461566", "0,7148178"
"394,85", "-0,461566", "0,7146598"
"395", "-0,4621915", "0,7145017"
"395,05", "-0,4634426", "0,7141858"
"395,1", "-0,4628171", "0,7141858"
"395,2", "-0,4634426", "0,7138698"
"395,25", "-0,4640682", "0,7137118"
"395,4", "-0,4646937", "0,7135538"
"395,5", "-0,4671959", "0,7132378"
"395,6", "-0,4671959", "0,7129217"
"395,75", "-0,468447", "0,7126058"
"395,8", "-0,468447", "0,7127638"
"395,95", "-0,4690726", "0,7126058"
"396", "-0,4696981", "0,7122898"
"396,15", "-0,4696981", "0,7121318"
"396,2", "-0,4709492", "0,7119738"
"396,35", "-0,4715748", "0,7118158"
"396,4", "-0,4728259", "0,7116578"
"396,55", "-0,4728259", "0,7113418"
"396,6", "-0,4734514", "0,7111838"
"396,7", "-0,474077", "0,7110258"
"396,85", "-0,4765792", "0,7107098"
"396,9", "-0,4765792", "0,7105519"
"397", "-0,475328", "0,7105519"
"397,1", "-0,4765792", "0,7103938"
"397,25", "-0,4790813", "0,7099199"
"397,3", "-0,4790813", "0,7099199"
"397,45", "-0,4803325", "0,7096039"
"397,6", "-0,4815836", "0,7092879"
"397,65", "-0,4815836", "0,7092879"
"397,75", "-0,4828346", "0,7089719"
"397,85", "-0,4840857", "0,7088139"
"398", "-0,4853369", "0,7084979"
"398,05", "-0,4853369", "0,7083399"
"398,1", "-0,4859623", "0,7081819"
"398,2", "-0,4865879", "0,708024"
"398,35", "-0,4884646", "0,7077079"
"398,4", "-0,4884646", "0,7075499"
"398,5", "-0,4897157", "0,7072339"
"398,6", "-0,4903412", "0,7072339"
"398,65", "-0,4909668", "0,7070759"
"398,8", "-0,4915923", "0,7067599"
"398,85", "-0,4922179", "0,7067599"
"398,95", "-0,4922179", "0,7066019"
