Experiment:, Load
Start date:, ?tvrtek 11. kv?tna 2023
Start time:, 16:31:22 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"174,1", "0,01009815", "1,129556"
"174,25", "0,01134924", "1,254373"
"174,3", "-0,04620128", "1,143144"
"174,35", "-0,003038393", "0,9472294"
"174,5", "-0,003038393", "0,999842"
"174,6", "-0,004289486", "1,014536"
"174,7", "-0,005540589", "1,012798"
"174,8", "-0,006166136", "0,9958921"
"174,85", "-0,006791682", "0,9783546"
"175", "-0,008668332", "0,924794"
"175,1", "-0,008042786", "0,8965128"
"175,2", "-0,009293883", "0,8845051"
"175,25", "-0,01054498", "0,8772373"
"175,35", "-0,01179608", "0,8685476"
"175,45", "-0,01242163", "0,8650717"
"175,5", "-0,01304718", "0,8625437"
"175,6", "-0,01304718", "0,8598578"
"175,65", "-0,01429828", "0,8592258"
"175,8", "-0,01429828", "0,8578038"
"175,95", "-0,01617493", "0,853854"
"176", "-0,01742602", "0,85259"
"176,2", "-0,01805157", "0,851168"
"176,25", "-0,01867712", "0,8500621"
"176,35", "-0,01867712", "0,850378"
"176,4", "-0,01992822", "0,8492721"
"176,55", "-0,02117932", "0,8478501"
"176,65", "-0,02243042", "0,8462701"
"176,75", "-0,02243042", "0,8457962"
"176,9", "-0,02493261", "0,8434262"
"176,95", "-0,02493261", "0,8426363"
"177", "-0,02618371", "0,8410563"
"177,1", "-0,02555816", "0,8413723"
"177,2", "-0,02680926", "0,8404243"
"177,3", "-0,02680926", "0,8397923"
"177,35", "-0,02806036", "0,8394763"
"177,5", "-0,02868591", "0,8385284"
"177,6", "-0,02931145", "0,8380544"
"177,7", "-0,03056256", "0,8367904"
"177,85", "-0,03181365", "0,8358424"
"178", "-0,03306475", "0,8345785"
"178,05", "-0,0336903", "0,8341045"
"178,2", "-0,03556695", "0,8318925"
"178,25", "-0,03556695", "0,8314186"
"178,4", "-0,03619251", "0,8309445"
"178,45", "-0,03619251", "0,8311026"
"178,5", "-0,03681805", "0,8307865"
"178,6", "-0,0374436", "0,8303126"
"178,75", "-0,0386947", "0,8282586"
"178,9", "-0,0386947", "0,8281007"
"178,95", "-0,03994579", "0,8274687"
"179", "-0,03994579", "0,8271527"
"179,05", "-0,04057134", "0,8263627"
"179,2", "-0,04119689", "0,8255727"
"179,3", "-0,04307353", "0,8249407"
"179,35", "-0,04307353", "0,8244667"
"179,45", "-0,04432464", "0,8238348"
"179,55", "-0,04432464", "0,8239927"
"179,7", "-0,04557574", "0,8232028"
"179,75", "-0,04620128", "0,8224128"
"179,85", "-0,04745239", "0,8217809"
"179,95", "-0,04745239", "0,8214648"
"180,05", "-0,04870348", "0,8208328"
