Experiment:, Load
Start date:, st?eda 17. kv?tna 2023
Start time:, 13:47:06 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"484,1", "0,03699676", "1,190701"
"484,3", "-0,1450381", "1,197021"
"484,5", "-0,00366394", "0,961449"
"484,7", "-0,005540589", "0,962081"
"484,85", "-0,005540589", "0,9475454"
"485,2", "-0,009293883", "0,8991988"
"485,25", "-0,008668332", "0,8971447"
"485,55", "-0,01179608", "0,8830832"
"485,6", "-0,01242163", "0,8811872"
"485,8", "-0,01429828", "0,8759734"
"486", "-0,01492382", "0,8715495"
"486,3", "-0,01867712", "0,8652297"
"486,35", "-0,01867712", "0,8652297"
"486,55", "-0,01992822", "0,8641236"
"486,75", "-0,02117932", "0,8615957"
"487,05", "-0,02368151", "0,8573298"
"487,1", "-0,02368151", "0,8574879"
"487,4", "-0,02680926", "0,853854"
"487,5", "-0,02680926", "0,853854"
"487,8", "-0,02931145", "0,851168"
"487,85", "-0,02993701", "0,850536"
"488,2", "-0,03243921", "0,8486401"
"488,25", "-0,03306475", "0,8481661"
"488,45", "-0,03556695", "0,8462701"
"488,6", "-0,03681805", "0,8457962"
"488,85", "-0,0386947", "0,8440582"
"489", "-0,03994579", "0,8434262"
"489,3", "-0,04307353", "0,8416883"
"489,35", "-0,04369909", "0,8413723"
"489,6", "-0,04620128", "0,8396344"
"489,75", "-0,04682683", "0,8393183"
"490,05", "-0,04870348", "0,8380544"
"490,1", "-0,04932903", "0,8378964"
"490,45", "-0,05183123", "0,8367904"
"490,5", "-0,05183123", "0,8367904"
"490,75", "-0,05495897", "0,8348945"
"490,85", "-0,05495897", "0,8345785"
"491,2", "-0,05746117", "0,8336305"
"491,25", "-0,05746117", "0,8334725"
"491,55", "-0,05996337", "0,8315766"
"491,6", "-0,06058892", "0,8311026"
"491,8", "-0,06246556", "0,8298386"
"492", "-0,06371667", "0,8295226"
"492,3", "-0,06621886", "0,8282586"
"492,35", "-0,06684442", "0,8277847"
"492,65", "-0,06997216", "0,8266787"
"492,75", "-0,0705977", "0,8262047"
"493", "-0,07247435", "0,8255727"
"493,1", "-0,07184881", "0,8255727"
"493,4", "-0,07497655", "0,8244667"
"493,5", "-0,07560209", "0,8244667"
"493,75", "-0,0781043", "0,8232028"
"493,85", "-0,07872984", "0,8230448"
"494,15", "-0,08123204", "0,8222548"
"494,25", "-0,0818576", "0,8219388"
"494,55", "-0,08435979", "0,8211489"
"494,6", "-0,08435979", "0,8208328"
"494,95", "-0,08686198", "0,8202009"
"495", "-0,08748753", "0,8198849"
"495,25", "-0,08998973", "0,8190949"
"495,35", "-0,09124083", "0,8186209"
"495,65", "-0,09374303", "0,8176729"
"495,75", "-0,09436858", "0,8176729"
"495,95", "-0,09624523", "0,816883"
"496,1", "-0,09749633", "0,8165669"
"496,4", "-0,09874742", "0,815461"
"496,5", "-0,09937298", "0,815461"
"496,75", "-0,1018752", "0,814513"
"496,85", "-0,1025007", "0,8143551"
"497,15", "-0,1043774", "0,813881"
"497,25", "-0,1050029", "0,813565"
"497,5", "-0,1081306", "0,8126171"
"497,6", "-0,1081306", "0,8123011"
"497,95", "-0,1112584", "0,8115111"
"498", "-0,1112584", "0,8115111"
"498,3", "-0,113135", "0,8110371"
"498,35", "-0,1137606", "0,8108791"
"498,7", "-0,1168883", "0,8102471"
"498,75", "-0,1168883", "0,8102471"
"498,95", "-0,118765", "0,8094572"
"499,1", "-0,1200161", "0,8092992"
"499,4", "-0,1218927", "0,8085092"
"499,5", "-0,1225183", "0,8083512"
"499,8", "-0,1262716", "0,8075612"
"499,85", "-0,1262716", "0,8074032"
"500,2", "-0,1293993", "0,8066132"
"500,25", "-0,1293993", "0,8066132"
"500,5", "-0,1319015", "0,8062972"
"500,6", "-0,1331526", "0,8059813"
"500,95", "-0,1356548", "0,8048753"
"501,05", "-0,1356548", "0,8048753"
"501,3", "-0,138157", "0,8044013"
"501,35", "-0,1387826", "0,8042433"
"501,65", "-0,1412848", "0,8034533"
"501,75", "-0,1419103", "0,8032954"
"502", "-0,1431614", "0,8026633"
"502,1", "-0,143787", "0,8026633"
"502,4", "-0,1462891", "0,8018733"
"502,5", "-0,1469147", "0,8015574"
"502,7", "-0,1494169", "0,8012414"
"502,85", "-0,1500424", "0,8009254"
"503,15", "-0,1525446", "0,8002934"
"503,25", "-0,1531702", "0,8001354"
"503,55", "-0,1556724", "0,7996615"
"503,6", "-0,1562979", "0,7995034"
"503,95", "-0,1594257", "0,7985555"
"504", "-0,1588001", "0,7985555"
"504,3", "-0,1613023", "0,7979235"
"504,35", "-0,1613023", "0,7977655"
"504,7", "-0,1644301", "0,7971334"
"504,75", "-0,1650556", "0,7969755"
"505", "-0,1675578", "0,7963435"
"505,1", "-0,1675578", "0,7965015"
"505,35", "-0,17006", "0,7958695"
"505,5", "-0,17006", "0,7958695"
"505,8", "-0,1731878", "0,7949216"
"505,85", "-0,1738133", "0,7949216"
"506,15", "-0,1763155", "0,7942896"
"506,25", "-0,1763155", "0,7942896"
"506,5", "-0,1794432", "0,7938156"
"506,6", "-0,1800688", "0,7934996"
"506,95", "-0,1831965", "0,7928676"
"507", "-0,1831965", "0,7928676"
"507,3", "-0,1863243", "0,7920777"
"507,35", "-0,1863243", "0,7920777"
"507,7", "-0,189452", "0,7914456"
"507,75", "-0,1900776", "0,7912876"
"508", "-0,1919543", "0,7908136"
"508,1", "-0,1925798", "0,7906557"
"508,35", "-0,195082", "0,7901817"
"508,5", "-0,195082", "0,7897077"
"508,7", "-0,1982097", "0,7893917"
"508,85", "-0,1982097", "0,7893917"
"509,2", "-0,201963", "0,7886018"
"509,25", "-0,2013375", "0,7886018"
"509,55", "-0,2044652", "0,7881277"
"509,6", "-0,2044652", "0,7881277"
"509,95", "-0,207593", "0,7874958"
"510", "-0,207593", "0,7873378"
"510,3", "-0,2100952", "0,7867058"
"510,35", "-0,2107207", "0,7865478"
"510,7", "-0,2138485", "0,7859158"
"510,75", "-0,2138485", "0,7859158"
"511", "-0,2163507", "0,7852838"
"511,1", "-0,2169762", "0,7852838"
"511,4", "-0,2194784", "0,7846518"
"511,5", "-0,2194784", "0,7846518"
"511,8", "-0,2219806", "0,7841778"
"511,85", "-0,2213551", "0,7841778"
"512,2", "-0,2251084", "0,7835459"
"512,25", "-0,2251084", "0,7835459"
"512,5", "-0,226985", "0,7832299"
"512,6", "-0,226985", "0,7832299"
"512,95", "-0,2307383", "0,7824399"
"513", "-0,2301128", "0,7822819"
"513,3", "-0,232615", "0,7819659"
"513,35", "-0,2332405", "0,7818079"
"513,7", "-0,2369938", "0,781018"
"513,75", "-0,2376193", "0,781018"
"514,05", "-0,239496", "0,7802279"
"514,1", "-0,239496", "0,7800699"
"514,45", "-0,2426237", "0,7792799"
"514,5", "-0,2426237", "0,779122"
"514,65", "-0,2445004", "0,778964"
"514,85", "-0,2445004", "0,778806"
"515,1", "-0,2476281", "0,778332"
"515,25", "-0,2488792", "0,778174"
"515,55", "-0,252007", "0,7777"
"515,6", "-0,2513814", "0,777858"
"515,95", "-0,2545092", "0,777226"
"516", "-0,2545092", "0,777226"
"516,3", "-0,2570114", "0,7764361"
"516,35", "-0,2582625", "0,7762781"
"516,6", "-0,2601391", "0,7761201"
"516,75", "-0,2607647", "0,7758041"
"517", "-0,2626413", "0,7754881"
"517,1", "-0,2638924", "0,7751721"
"517,25", "-0,2651435", "0,7750141"
"517,5", "-0,2663946", "0,7746981"
"517,8", "-0,2688968", "0,7740661"
"517,85", "-0,2688968", "0,7740661"
"518,15", "-0,2720245", "0,7734341"
"518,25", "-0,2726501", "0,7732762"
"518,55", "-0,2751523", "0,7729601"
"518,6", "-0,2757778", "0,7729601"
"518,95", "-0,2789056", "0,7724862"
"519", "-0,2795311", "0,7723281"
"519,3", "-0,2814078", "0,7718542"
"519,35", "-0,2814078", "0,7720122"
"519,65", "-0,28391", "0,7715382"
"519,75", "-0,28391", "0,7715382"
"520,05", "-0,2864122", "0,7709062"
"520,1", "-0,2876633", "0,7709062"
"520,45", "-0,2901655", "0,7704322"
"520,5", "-0,2901655", "0,7704322"
"520,7", "-0,2920421", "0,7698002"
