Experiment:, Load
Start date:, st?eda 12. ?ervence 2023
Start time:, 10:40:25 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"300,1", "0,01697918", "1,06699"
"300,15", "0,01760473", "1,091163"
"300,3", "-0,07872984", "1,067464"
"300,35", "-0,004289486", "0,9439116"
"300,5", "-0,005540589", "0,9617651"
"300,65", "-0,008042786", "0,9537072"
"300,7", "-0,008042786", "0,9505473"
"300,85", "-0,009293883", "0,9371177"
"300,9", "-0,008042786", "0,9315878"
"301,05", "-0,009919429", "0,9208441"
"301,1", "-0,01054498", "0,9186322"
"301,25", "-0,01179608", "0,9112064"
"301,3", "-0,01117053", "0,9101005"
"301,4", "-0,01304718", "0,9050446"
"301,55", "-0,01429828", "0,9003047"
"301,6", "-0,01429828", "0,8988827"
"301,7", "-0,01492382", "0,8976188"
"301,8", "-0,01554937", "0,8950908"
"301,85", "-0,01680047", "0,8941429"
"301,95", "-0,01617493", "0,8931949"
"302,05", "-0,01867712", "0,8903509"
"302,15", "-0,01930267", "0,888771"
"302,3", "-0,02055377", "0,886243"
"302,35", "-0,02117932", "0,8856111"
"302,4", "-0,02180487", "0,8851371"
"302,55", "-0,02180487", "0,8846631"
"302,65", "-0,02305596", "0,8824512"
"302,7", "-0,02305596", "0,8824512"
"302,85", "-0,02493261", "0,8803972"
"302,9", "-0,02493261", "0,8796073"
"303,05", "-0,02680926", "0,8769214"
"303,1", "-0,02680926", "0,8766053"
"303,2", "-0,02743481", "0,8753414"
"303,25", "-0,02680926", "0,8758153"
"303,3", "-0,02806036", "0,8751833"
"303,45", "-0,02868591", "0,8736034"
"303,55", "-0,02931145", "0,8726555"
"303,65", "-0,02931145", "0,8723395"
"303,75", "-0,03056256", "0,8713915"
"303,8", "-0,03118811", "0,8704435"
"303,95", "-0,03306475", "0,8691795"
"304", "-0,03306475", "0,8688635"
"304,1", "-0,0336903", "0,8679156"
"304,2", "-0,03431586", "0,8674416"
"304,35", "-0,03556695", "0,8660197"
"304,4", "-0,03681805", "0,8652297"
"304,45", "-0,0374436", "0,8647557"
"304,55", "-0,03806914", "0,8641236"
"304,7", "-0,0386947", "0,8631757"
"304,75", "-0,0386947", "0,8628597"
"304,9", "-0,04057134", "0,8617538"
"304,95", "-0,04182244", "0,8611218"
"305,05", "-0,04307353", "0,8598578"
"305,1", "-0,04369909", "0,8595418"
"305,2", "-0,04432464", "0,8589098"
"305,35", "-0,04432464", "0,8587518"
"305,45", "-0,04557574", "0,8574879"
"305,5", "-0,04620128", "0,8571718"
"305,6", "-0,04682683", "0,8566979"
"305,65", "-0,04745239", "0,8562239"
"305,8", "-0,04870348", "0,85496"
"305,85", "-0,04932903", "0,854328"
"305,95", "-0,04995458", "0,854328"
"306,05", "-0,05058013", "0,85338"
"306,2", "-0,05183123", "0,852432"
"306,25", "-0,05183123", "0,852274"
"306,35", "-0,05245678", "0,851326"
"306,4", "-0,05308233", "0,850536"
"306,55", "-0,05433342", "0,849746"
"306,6", "-0,05433342", "0,8494301"
"306,7", "-0,05558453", "0,8491141"
"306,8", "-0,05621007", "0,8481661"
"306,85", "-0,05683562", "0,8480082"
"306,95", "-0,05683562", "0,8475341"
"307,05", "-0,05808672", "0,8465861"
"307,15", "-0,05871227", "0,8459542"
"307,3", "-0,06058892", "0,8448482"
"307,35", "-0,06121447", "0,8443742"
"307,5", "-0,06184002", "0,8439003"
"307,6", "-0,06309112", "0,8431103"
"307,7", "-0,06309112", "0,8427943"
"307,85", "-0,06559331", "0,8415303"
"307,9", "-0,06621886", "0,8408983"
"308,05", "-0,06746996", "0,8408983"
"308,1", "-0,06746996", "0,8404243"
"308,2", "-0,06872107", "0,8396344"
"308,25", "-0,06997216", "0,8391604"
"308,4", "-0,07122325", "0,8385284"
"308,45", "-0,07122325", "0,8382124"
"308,6", "-0,07247435", "0,8375804"
"308,65", "-0,07247435", "0,8372644"
"308,75", "-0,0730999", "0,8366324"
"308,8", "-0,07372544", "0,8363164"
"308,95", "-0,07497655", "0,8355264"
"309", "-0,07497655", "0,8352104"
"309,15", "-0,0768532", "0,8341045"
"309,2", "-0,0768532", "0,8342625"
"309,25", "-0,07747874", "0,8334725"
"309,35", "-0,07747874", "0,8331565"
"309,4", "-0,0781043", "0,8326825"
"309,55", "-0,07872984", "0,8328406"
"309,6", "-0,07935539", "0,8320506"
"309,75", "-0,07935539", "0,8314186"
"309,8", "-0,08060649", "0,8304706"
"309,9", "-0,08123204", "0,8298386"
"309,95", "-0,0818576", "0,8295226"
"310,1", "-0,08310869", "0,8288906"
"310,25", "-0,08373423", "0,8281007"
"310,3", "-0,08373423", "0,8281007"
"310,45", "-0,08561088", "0,8273107"
"310,5", "-0,08561088", "0,8269947"
"310,65", "-0,08623644", "0,8263627"
"310,75", "-0,08748753", "0,8262047"
"310,85", "-0,08873863", "0,8252567"
"311", "-0,08998973", "0,8249407"
"311,05", "-0,08936418", "0,8247827"
"311,15", "-0,09124083", "0,8238348"
"311,2", "-0,09124083", "0,8238348"
"311,35", "-0,09311747", "0,8230448"
"311,4", "-0,09374303", "0,8228868"
"311,55", "-0,09499412", "0,8219388"
"311,6", "-0,09624523", "0,8217809"
"311,75", "-0,09624523", "0,8216228"
"311,9", "-0,09687077", "0,8214648"
"311,95", "-0,09812186", "0,8206749"
"312,05", "-0,09937298", "0,8197268"
"312,15", "-0,0999985", "0,8192528"
"312,2", "-0,1006241", "0,8189369"
"312,35", "-0,1012496", "0,8183049"
"312,4", "-0,1018752", "0,8181469"
"312,5", "-0,1018752", "0,8181469"
"312,65", "-0,1037518", "0,817515"
"312,7", "-0,1037518", "0,8171989"
"312,85", "-0,1056285", "0,816251"
"312,9", "-0,1056285", "0,816251"
"313,1", "-0,106254", "0,815935"
"313,2", "-0,1075051", "0,815303"
"313,25", "-0,1081306", "0,8148291"
"313,35", "-0,1093817", "0,8143551"
"313,45", "-0,1093817", "0,813881"
"313,55", "-0,1112584", "0,813091"
"313,65", "-0,1106329", "0,812933"
"313,75", "-0,1125095", "0,8127751"
"313,8", "-0,1137606", "0,8124591"
"313,85", "-0,1143861", "0,8124591"
"314", "-0,1150117", "0,8121431"
"314,15", "-0,1162628", "0,8115111"
"314,2", "-0,1162628", "0,8111951"
"314,25", "-0,1175139", "0,8108791"
"314,35", "-0,118765", "0,8104051"
"314,5", "-0,1200161", "0,8099312"
"314,55", "-0,1212672", "0,8096152"
"314,65", "-0,1206416", "0,8096152"
"314,75", "-0,1218927", "0,8088252"
"314,8", "-0,1212672", "0,8089832"
"314,9", "-0,1218927", "0,8088252"
"315", "-0,1231438", "0,8081931"
"315,1", "-0,1237694", "0,8078772"
"315,2", "-0,125646", "0,8074032"
"315,3", "-0,1250205", "0,8070872"
"315,4", "-0,1262716", "0,8064553"
"315,45", "-0,125646", "0,8064553"
"315,6", "-0,1275227", "0,8056653"
"315,65", "-0,1281482", "0,8055072"
"315,8", "-0,1293993", "0,8050333"
"315,85", "-0,1300249", "0,8048753"
"316", "-0,131276", "0,8044013"
"316,05", "-0,1319015", "0,8042433"
"316,15", "-0,1325271", "0,8034533"
"316,2", "-0,1331526", "0,8034533"
"316,35", "-0,1344037", "0,8028213"
"316,4", "-0,1350293", "0,8028213"
"316,55", "-0,1356548", "0,8023473"
"316,6", "-0,1362804", "0,8021894"
"316,75", "-0,1369059", "0,8018733"
"316,8", "-0,1375315", "0,8015574"
"316,95", "-0,138157", "0,8012414"
"317,1", "-0,1400337", "0,8004514"
"317,15", "-0,1400337", "0,8002934"
"317,2", "-0,1412848", "0,7999774"
"317,3", "-0,1412848", "0,7998194"
"317,35", "-0,1425359", "0,7993454"
"317,5", "-0,1425359", "0,7991874"
"317,6", "-0,1444125", "0,7983975"
"317,7", "-0,1450381", "0,7982395"
"317,8", "-0,1444125", "0,7982395"
"317,9", "-0,1450381", "0,7980815"
"318", "-0,1462891", "0,7976075"
"318,05", "-0,1462891", "0,7971334"
"318,15", "-0,1481658", "0,7968175"
"318,25", "-0,1481658", "0,7966595"
"318,35", "-0,1494169", "0,7961855"
"318,45", "-0,1494169", "0,7961855"
"318,55", "-0,150668", "0,7957115"
"318,6", "-0,1512935", "0,7955535"
"318,7", "-0,1525446", "0,7952375"
"318,8", "-0,1531702", "0,7947636"
"318,9", "-0,1544213", "0,7944475"
