Experiment:, Load
Start date:, ?ter? 25. ?ervence 2023
Start time:, 10:26:33 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"300,1", "0,02823907", "1,078998"
"300,15", "0,02886462", "1,115495"
"300,3", "-0,1206416", "1,053877"
"300,35", "-0,004915043", "0,9015687"
"300,5", "-0,006166136", "0,8772373"
"300,65", "-0,007417239", "0,8668096"
"300,7", "-0,007417239", "0,8642817"
"300,8", "-0,008668332", "0,8609638"
"300,85", "-0,009293883", "0,8595418"
"300,95", "-0,01054498", "0,8555919"
"301,05", "-0,01117053", "0,8529059"
"301,2", "-0,01242163", "0,8499041"
"301,25", "-0,01242163", "0,8481661"
"301,35", "-0,01304718", "0,8465861"
"301,4", "-0,01367273", "0,8450062"
"301,55", "-0,01492382", "0,8421623"
"301,6", "-0,01492382", "0,8410563"
"301,75", "-0,01680047", "0,8382124"
"301,8", "-0,01742602", "0,8371064"
"301,95", "-0,01867712", "0,8347365"
"302,05", "-0,01992822", "0,8318925"
"302,15", "-0,01930267", "0,8331565"
"302,3", "-0,02117932", "0,8293646"
"302,35", "-0,02117932", "0,8288906"
"302,55", "-0,02180487", "0,8268367"
"302,6", "-0,02243042", "0,8252567"
"302,7", "-0,02243042", "0,8249407"
"302,85", "-0,02493261", "0,8219388"
"302,9", "-0,02430707", "0,8224128"
"303,05", "-0,02555816", "0,8202009"
"303,1", "-0,02618371", "0,8197268"
"303,2", "-0,02680926", "0,8183049"
"303,25", "-0,02743481", "0,817515"
"303,35", "-0,02868591", "0,816093"
"303,45", "-0,02931145", "0,815145"
"303,6", "-0,02993701", "0,814039"
"303,65", "-0,03056256", "0,813881"
"303,75", "-0,03181365", "0,8119851"
"303,8", "-0,03243921", "0,8121431"
"303,85", "-0,03306475", "0,8115111"
"304", "-0,0336903", "0,8100892"
"304,1", "-0,0349414", "0,8091412"
"304,2", "-0,03556695", "0,8088252"
"304,35", "-0,03681805", "0,8070872"
"304,4", "-0,0374436", "0,8066132"
"304,45", "-0,03806914", "0,8058233"
"304,55", "-0,03806914", "0,8058233"
"304,7", "-0,0386947", "0,8040853"
"304,75", "-0,03932025", "0,8034533"
"304,85", "-0,03994579", "0,8023473"
"304,95", "-0,04057134", "0,8021894"
"305,05", "-0,04182244", "0,8009254"
"305,1", "-0,04182244", "0,8007674"
"305,25", "-0,04369909", "0,7991874"
"305,3", "-0,04369909", "0,7987134"
"305,45", "-0,04495018", "0,7972915"
"305,5", "-0,04495018", "0,7971334"
"305,6", "-0,04620128", "0,7958695"
"305,65", "-0,04682683", "0,7952375"
"305,8", "-0,04807793", "0,7941316"
"305,85", "-0,04870348", "0,7942896"
"306,05", "-0,04995458", "0,7928676"
"306,2", "-0,05058013", "0,7917617"
"306,25", "-0,05058013", "0,7916036"
"306,3", "-0,05120568", "0,7914456"
"306,4", "-0,05183123", "0,7906557"
"306,55", "-0,05308233", "0,7892337"
"306,6", "-0,05308233", "0,7892337"
"306,7", "-0,05433342", "0,7884437"
"306,8", "-0,05558453", "0,7871798"
"306,9", "-0,05621007", "0,7870218"
"306,95", "-0,05683562", "0,7863898"
"307,1", "-0,05808672", "0,7859158"
"307,15", "-0,05808672", "0,7854418"
"307,3", "-0,05996337", "0,7840198"
"307,35", "-0,05996337", "0,7838619"
"307,4", "-0,06058892", "0,7835459"
"307,5", "-0,06121447", "0,7829139"
"307,55", "-0,06246556", "0,7822819"
"307,7", "-0,06309112", "0,7814919"
"307,85", "-0,06434221", "0,780702"
"307,9", "-0,06434221", "0,781018"
"308,05", "-0,06559331", "0,7803859"
"308,1", "-0,06621886", "0,7799119"
"308,15", "-0,06746996", "0,7792799"
"308,25", "-0,06809551", "0,77849"
"308,4", "-0,06997216", "0,7777"
"308,45", "-0,06997216", "0,7775421"
"308,55", "-0,07122325", "0,777068"
"308,65", "-0,07184881", "0,7761201"
"308,7", "-0,07247435", "0,7758041"
"308,8", "-0,07247435", "0,7753301"
"308,9", "-0,07372544", "0,7745401"
"309", "-0,07372544", "0,7745401"
"309,05", "-0,074351", "0,7742241"
"309,2", "-0,07560209", "0,7732762"
"309,35", "-0,07622765", "0,7726442"
"309,4", "-0,0768532", "0,7724862"
"309,55", "-0,0781043", "0,7720122"
"309,7", "-0,07872984", "0,7716962"
"309,75", "-0,07935539", "0,7713802"
"309,85", "-0,08060649", "0,7704322"
"309,9", "-0,08060649", "0,7702742"
"309,95", "-0,0818576", "0,7699583"
"310,1", "-0,08248314", "0,7696423"
"310,25", "-0,08435979", "0,7685363"
"310,3", "-0,08435979", "0,7685363"
"310,35", "-0,08561088", "0,7677463"
"310,5", "-0,08623644", "0,7674303"
"310,55", "-0,08686198", "0,7671143"
"310,65", "-0,08748753", "0,7667983"
"310,8", "-0,08873863", "0,7658504"
"310,85", "-0,08873863", "0,7656924"
"311", "-0,08998973", "0,7652184"
"311,05", "-0,08998973", "0,7650604"
"311,15", "-0,09061528", "0,7644284"
"311,2", "-0,09124083", "0,7639544"
"311,35", "-0,09186638", "0,7634804"
"311,4", "-0,09249193", "0,7631644"
"311,55", "-0,09374303", "0,7622164"
"311,6", "-0,09436858", "0,7620584"
"311,7", "-0,09561968", "0,7614264"
"311,75", "-0,09561968", "0,7612684"
"311,8", "-0,09624523", "0,7609525"
"311,95", "-0,09749633", "0,7604785"
"312,1", "-0,09874742", "0,7595305"
"312,15", "-0,09874742", "0,7595305"
"312,3", "-0,0999985", "0,7587405"
"312,35", "-0,1006241", "0,7582666"
"312,45", "-0,1018752", "0,7574766"
"312,5", "-0,1018752", "0,7574766"
"312,6", "-0,1031263", "0,7565286"
"312,7", "-0,1031263", "0,7563706"
"312,8", "-0,1043774", "0,7557386"
"312,9", "-0,1050029", "0,7554227"
"312,95", "-0,1056285", "0,7549486"
"313,05", "-0,106254", "0,7547907"
"313,15", "-0,1068796", "0,7541587"
"313,25", "-0,1075051", "0,7538427"
"313,35", "-0,1081306", "0,7535267"
"313,45", "-0,1081306", "0,7530527"
"313,55", "-0,1093817", "0,7525787"
"313,6", "-0,1093817", "0,7522627"
"313,75", "-0,1112584", "0,7514727"
"313,8", "-0,1112584", "0,7511567"
"313,95", "-0,113135", "0,7503667"
"314", "-0,1137606", "0,7498928"
"314,15", "-0,1150117", "0,7494188"
"314,2", "-0,1150117", "0,7489448"
"314,3", "-0,1156372", "0,7486288"
"314,35", "-0,1162628", "0,7483128"
"314,4", "-0,1175139", "0,7478389"
"314,55", "-0,1181394", "0,7475229"
"314,6", "-0,118765", "0,7472069"
"314,75", "-0,1200161", "0,7462589"
"314,85", "-0,1212672", "0,7457849"
"314,9", "-0,1218927", "0,7453109"
"315", "-0,1225183", "0,7451529"
"315,1", "-0,1225183", "0,7448369"
"315,15", "-0,1231438", "0,7445209"
"315,3", "-0,1231438", "0,744363"
"315,4", "-0,1243949", "0,743573"
"315,45", "-0,1250205", "0,743573"
"315,6", "-0,1268971", "0,742625"
"315,65", "-0,1275227", "0,742467"
"315,7", "-0,1281482", "0,742151"
"315,85", "-0,1287738", "0,741677"
"315,95", "-0,1293993", "0,7412031"
"316,05", "-0,1306504", "0,740887"
"316,15", "-0,131276", "0,740097"
"316,2", "-0,1319015", "0,739939"
"316,35", "-0,1331526", "0,739149"
"316,4", "-0,1331526", "0,7388331"
"316,55", "-0,1350293", "0,7382011"
"316,6", "-0,1350293", "0,7380431"
"316,7", "-0,1362804", "0,7374111"
"316,75", "-0,1369059", "0,7370951"
"316,8", "-0,1375315", "0,7369372"
"316,95", "-0,1375315", "0,7364632"
"317,05", "-0,1387826", "0,7359892"
"317,15", "-0,1400337", "0,7353572"
"317,2", "-0,1394081", "0,7353572"
"317,3", "-0,1400337", "0,7350411"
"317,35", "-0,1412848", "0,7347252"
"317,5", "-0,1412848", "0,7340932"
"317,65", "-0,1425359", "0,7333032"
"317,7", "-0,143787", "0,7329872"
"317,9", "-0,1450381", "0,7321973"
"317,95", "-0,1462891", "0,7317233"
"318,05", "-0,1462891", "0,7315653"
"318,2", "-0,1475403", "0,7306173"
"318,25", "-0,1481658", "0,7306173"
"318,45", "-0,1487914", "0,7299854"
"318,5", "-0,1494169", "0,7298273"
"318,6", "-0,1500424", "0,7295113"
"318,65", "-0,150668", "0,7295113"
"318,8", "-0,150668", "0,7287213"
"318,9", "-0,1519191", "0,7284054"
"319", "-0,1525446", "0,7279314"
"319,05", "-0,1531702", "0,7277734"
"319,15", "-0,1537957", "0,7272994"
"319,2", "-0,1544213", "0,7271414"
"319,35", "-0,1556724", "0,7268254"
"319,55", "-0,1569235", "0,7260354"
"319,7", "-0,1581746", "0,7255614"
"319,85", "-0,1594257", "0,7249295"
"319,9", "-0,1600512", "0,7246135"
"320", "-0,1613023", "0,7241395"
"320,1", "-0,1613023", "0,7236655"
"320,2", "-0,1625534", "0,7235075"
"320,3", "-0,163179", "0,7230335"
"320,35", "-0,1638045", "0,7228755"
"320,45", "-0,1638045", "0,7225595"
"320,6", "-0,1656812", "0,7222435"
"320,65", "-0,1663067", "0,7219275"
"320,85", "-0,1669323", "0,7211376"
"320,95", "-0,1688089", "0,7208216"
"321", "-0,1688089", "0,7208216"
"321,15", "-0,17006", "0,7201896"
"321,2", "-0,17006", "0,7198736"
"321,3", "-0,1713111", "0,7197156"
"321,4", "-0,1719366", "0,7192416"
"321,5", "-0,1731878", "0,7189257"
"321,55", "-0,1731878", "0,7187676"
"321,7", "-0,1738133", "0,7182936"
"321,75", "-0,1744389", "0,7179776"
"321,85", "-0,1756899", "0,7175037"
"321,95", "-0,1763155", "0,7171876"
"322,05", "-0,1775666", "0,7167137"
"322,15", "-0,1775666", "0,7165557"
"322,2", "-0,1781922", "0,7162397"
"322,3", "-0,1781922", "0,7159237"
"322,4", "-0,1794432", "0,7156077"
"322,5", "-0,1794432", "0,7152917"
"322,65", "-0,1813199", "0,7149757"
"322,7", "-0,1819454", "0,7146598"
"322,8", "-0,1831965", "0,7141858"
"322,85", "-0,1831965", "0,7143438"
"323", "-0,1844477", "0,7137118"
"323,05", "-0,1850732", "0,7135538"
"323,1", "-0,1856987", "0,7132378"
"323,25", "-0,1863243", "0,7129217"
"323,35", "-0,1875754", "0,7126058"
"323,4", "-0,1875754", "0,7124478"
"323,5", "-0,1888265", "0,7119738"
"323,6", "-0,1900776", "0,7116578"
"323,75", "-0,1913287", "0,7111838"
"323,8", "-0,1913287", "0,7111838"
"323,95", "-0,1925798", "0,7105519"
"324", "-0,1925798", "0,7102358"
"324,05", "-0,1932053", "0,7103938"
"324,15", "-0,1938309", "0,7100779"
"324,3", "-0,1957076", "0,7094459"
"324,35", "-0,1957076", "0,7092879"
