Experiment:, Load
Start date:, st?eda 27. z??? 2023
Start time:, 10:17:01 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"300,15", "0,01823028", "1,091637"
"300,3", "-0,0818576", "1,061144"
"300,5", "-0,006791682", "0,9954181"
"300,8", "-0,009919429", "0,9954181"
"300,85", "-0,01054498", "0,9925742"
"301,15", "-0,01242163", "0,9665049"
"301,2", "-0,01304718", "0,9608171"
"301,5", "-0,01554937", "0,9323779"
"301,55", "-0,01617493", "0,9292179"
"301,85", "-0,01805157", "0,9149983"
"301,9", "-0,01805157", "0,9134184"
"302,2", "-0,02055377", "0,9048866"
"302,25", "-0,02055377", "0,9037806"
"302,55", "-0,02368151", "0,8985668"
"302,6", "-0,02368151", "0,8980927"
"302,85", "-0,02680926", "0,8931949"
"303", "-0,02743481", "0,8917729"
"303,3", "-0,02993701", "0,889087"
"303,35", "-0,03056256", "0,888455"
"303,65", "-0,03243921", "0,8846631"
"303,7", "-0,03243921", "0,8841891"
"303,85", "-0,03431586", "0,8822932"
"304,05", "-0,03431586", "0,8810292"
"304,35", "-0,03681805", "0,8783433"
"304,4", "-0,03681805", "0,8781853"
"304,6", "-0,03806914", "0,8767633"
"304,75", "-0,0386947", "0,8764474"
"305,05", "-0,04182244", "0,8731294"
"305,1", "-0,04182244", "0,8731294"
"305,4", "-0,04495018", "0,8707595"
"305,5", "-0,04557574", "0,8707595"
"305,8", "-0,04870348", "0,8677576"
"305,85", "-0,04870348", "0,8677576"
"306,15", "-0,05120568", "0,8657036"
"306,2", "-0,05183123", "0,8652297"
"306,4", "-0,05433342", "0,8634917"
"306,55", "-0,05433342", "0,8634917"
"306,8", "-0,05683562", "0,8615957"
"306,9", "-0,05683562", "0,8614377"
"307,2", "-0,06058892", "0,8590679"
"307,25", "-0,06058892", "0,8589098"
"307,55", "-0,06246556", "0,8574879"
"307,6", "-0,06246556", "0,8571718"
"307,95", "-0,06559331", "0,8552759"
"308", "-0,06621886", "0,854802"
"308,3", "-0,06872107", "0,853538"
"308,35", "-0,0693466", "0,853538"
"308,65", "-0,07184881", "0,852116"
"308,7", "-0,07122325", "0,852116"
"309", "-0,074351", "0,8502201"
"309,05", "-0,074351", "0,8500621"
"309,35", "-0,07747874", "0,8486401"
"309,4", "-0,07747874", "0,8483241"
"309,65", "-0,07998095", "0,8475341"
"309,75", "-0,08060649", "0,8472181"
"310", "-0,0818576", "0,8462701"
"310,1", "-0,08310869", "0,8461121"
"310,4", "-0,08561088", "0,8448482"
"310,5", "-0,08623644", "0,8442162"
"310,8", "-0,08936418", "0,8427943"
"310,85", "-0,08873863", "0,8429523"
"311,15", "-0,09311747", "0,8413723"
"311,2", "-0,09311747", "0,8410563"
"311,45", "-0,09499412", "0,8402663"
"311,55", "-0,09499412", "0,8401083"
"311,85", "-0,09812186", "0,8388444"
"311,9", "-0,09874742", "0,8382124"
