Experiment:, Load
Start date:, p?tek 10. listopadu 2023
Start time:, 13:20:16 +01:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"60,1", "0,01072369", "1,082632"
"60,15", "0,01134924", "1,120393"
"60,3", "-0,06872107", "1,107121"
"60,35", "-0,006791682", "0,9224241"
"60,5", "-0,008042786", "0,9372756"
"60,65", "-0,009293883", "0,9202121"
"60,7", "-0,009293883", "0,9153143"
"60,8", "-0,01054498", "0,9058346"
"60,85", "-0,01117053", "0,8998307"
"61", "-0,01179608", "0,8943009"
"61,05", "-0,01179608", "0,8917729"
"61,15", "-0,01304718", "0,888297"
"61,25", "-0,01367273", "0,8846631"
"61,4", "-0,01492382", "0,8805552"
"61,45", "-0,01554937", "0,8792912"
"61,5", "-0,01617493", "0,8781853"
"61,6", "-0,01680047", "0,8751833"
"61,65", "-0,01742602", "0,8743934"
"61,8", "-0,01742602", "0,8729714"
"61,95", "-0,01867712", "0,8709175"
"62", "-0,01930267", "0,8691795"
"62,15", "-0,02117932", "0,8658617"
"62,2", "-0,02180487", "0,8645976"
"62,3", "-0,02117932", "0,8644397"
"62,35", "-0,02180487", "0,8634917"
"62,5", "-0,02368151", "0,8620697"
"62,55", "-0,02368151", "0,8620697"
"62,6", "-0,02430707", "0,8609638"
"62,75", "-0,02430707", "0,8601738"
"62,85", "-0,02618371", "0,8574879"
"62,95", "-0,02680926", "0,8570139"
"63,05", "-0,02806036", "0,8554339"
"63,1", "-0,02806036", "0,8555919"
"63,25", "-0,03056256", "0,8529059"
"63,3", "-0,03056256", "0,8529059"
"63,45", "-0,03181365", "0,8518"
"63,5", "-0,03181365", "0,8518"
"63,6", "-0,03306475", "0,850536"
"63,7", "-0,0336903", "0,8499041"
"63,75", "-0,03431586", "0,8487981"
"63,85", "-0,03431586", "0,8486401"
"63,95", "-0,03556695", "0,8478501"
"64,1", "-0,03556695", "0,8478501"
"64,15", "-0,03681805", "0,8472181"
"64,25", "-0,03681805", "0,8461121"
"64,35", "-0,03806914", "0,8454802"
"64,45", "-0,0386947", "0,8445322"
"64,55", "-0,03994579", "0,8442162"
"64,6", "-0,03994579", "0,8437423"
"64,75", "-0,04119689", "0,8431103"
"64,8", "-0,04119689", "0,8427943"
"64,95", "-0,04244799", "0,8421623"
"65,05", "-0,04244799", "0,8416883"
"65,1", "-0,04369909", "0,8412143"
"65,2", "-0,04432464", "0,8402663"
"65,25", "-0,04495018", "0,8399503"
"65,35", "-0,04620128", "0,8391604"
"65,5", "-0,04745239", "0,8385284"
"65,55", "-0,04745239", "0,8382124"
"65,7", "-0,04870348", "0,8375804"
"65,75", "-0,04870348", "0,8371064"
"65,9", "-0,04995458", "0,8371064"
"65,95", "-0,05058013", "0,8366324"
"66,05", "-0,05183123", "0,8356844"
"66,1", "-0,05183123", "0,8358424"
"66,2", "-0,05245678", "0,8350524"
"66,3", "-0,05308233", "0,8350524"
"66,4", "-0,05433342", "0,8341045"
"66,5", "-0,05433342", "0,8341045"
"66,6", "-0,05558453", "0,8334725"
"66,7", "-0,05621007", "0,8325245"
"66,75", "-0,05683562", "0,8322086"
"66,85", "-0,05746117", "0,8314186"
"67", "-0,05933782", "0,8298386"
"67,05", "-0,05996337", "0,8296806"
"67,2", "-0,06184002", "0,8288906"
"67,25", "-0,06184002", "0,8285747"
"67,45", "-0,06184002", "0,8284166"
"67,55", "-0,06246556", "0,8281007"
"67,6", "-0,06309112", "0,8276266"
"67,7", "-0,06434221", "0,8271527"
"67,8", "-0,06496777", "0,8266787"
"67,95", "-0,06621886", "0,8265207"
"68", "-0,06684442", "0,8262047"
"68,15", "-0,06746996", "0,8252567"
"68,2", "-0,06872107", "0,8249407"
"68,25", "-0,06809551", "0,8249407"
"68,35", "-0,06872107", "0,8246247"
"68,5", "-0,0705977", "0,8238348"
"68,55", "-0,07122325", "0,8235188"
"68,65", "-0,07247435", "0,8230448"
"68,75", "-0,07372544", "0,8225708"
"68,85", "-0,074351", "0,8222548"
"68,95", "-0,074351", "0,8219388"
"69", "-0,07497655", "0,8217809"
"69,1", "-0,07497655", "0,8217809"
"69,2", "-0,07622765", "0,8211489"
"69,3", "-0,07622765", "0,8211489"
"69,45", "-0,07747874", "0,8205169"
"69,5", "-0,0781043", "0,8202009"
"69,6", "-0,07935539", "0,8195689"
"69,7", "-0,07935539", "0,8194109"
"69,8", "-0,08060649", "0,8192528"
