Experiment:, Load
Start date:, st?eda 12. ?ervence 2023
Start time:, 13:52:18 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"21,05", "-0,001161743", "0,8786593"
"21,25", "-0,003038393", "0,9391717"
"21,35", "-0,004289486", "0,9429635"
"21,55", "-0,005540589", "0,9434376"
"21,65", "-0,005540589", "0,9409096"
"21,85", "-0,008042786", "0,9330098"
"21,95", "-0,008042786", "0,9312719"
"22,15", "-0,009293883", "0,925426"
"22,25", "-0,01054498", "0,9214761"
"22,5", "-0,01242163", "0,9148403"
"22,55", "-0,01304718", "0,9131023"
"22,7", "-0,01492382", "0,9094684"
"22,85", "-0,01492382", "0,9064665"
"23,1", "-0,01742602", "0,9015687"
"23,15", "-0,01742602", "0,9004627"
"23,4", "-0,01992822", "0,8971447"
"23,45", "-0,01992822", "0,8965128"
"23,65", "-0,02180487", "0,8938269"
"23,75", "-0,02243042", "0,8922469"
"24", "-0,02430707", "0,889561"
"24,05", "-0,02493261", "0,8881391"
"24,25", "-0,02680926", "0,8854531"
"24,35", "-0,02680926", "0,8846631"
"24,45", "-0,02806036", "0,8835571"
"24,6", "-0,02868591", "0,8824512"
"24,85", "-0,03056256", "0,8800812"
"24,9", "-0,03056256", "0,8794492"
"25,15", "-0,03306475", "0,8769214"
"25,2", "-0,03306475", "0,8764474"
"25,4", "-0,03556695", "0,8745514"
"25,5", "-0,03619251", "0,8739194"
"25,75", "-0,03806914", "0,8721815"
"25,8", "-0,0386947", "0,8713915"
"26", "-0,04057134", "0,8694955"
"26,1", "-0,04057134", "0,8691795"
"26,3", "-0,04244799", "0,8679156"
"26,4", "-0,04244799", "0,8674416"
"26,6", "-0,04620128", "0,8657036"
"26,7", "-0,04620128", "0,8649137"
"26,95", "-0,04870348", "0,8628597"
"27", "-0,04870348", "0,8627017"
"27,2", "-0,05058013", "0,8614377"
"27,3", "-0,05058013", "0,8609638"
"27,45", "-0,05308233", "0,8598578"
"27,6", "-0,05433342", "0,8589098"
"27,8", "-0,05495897", "0,8578038"
"27,9", "-0,05558453", "0,8574879"
"28,05", "-0,05683562", "0,8563819"
"28,15", "-0,05808672", "0,8559079"
"28,35", "-0,05996337", "0,8544859"
"28,45", "-0,06058892", "0,85417"
"28,55", "-0,06184002", "0,853222"
"28,75", "-0,06246556", "0,852432"
"28,95", "-0,06496777", "0,851168"
"29,05", "-0,06496777", "0,851168"
"29,2", "-0,06746996", "0,849746"
"29,35", "-0,06746996", "0,8491141"
"29,6", "-0,06997216", "0,8478501"
"29,65", "-0,06997216", "0,8476921"
"29,8", "-0,07247435", "0,8467441"
"29,95", "-0,07247435", "0,8461121"
"30,2", "-0,07560209", "0,8446902"
"30,25", "-0,07560209", "0,8448482"
"30,4", "-0,07747874", "0,8439003"
"30,55", "-0,0781043", "0,8434262"
"30,8", "-0,08060649", "0,8421623"
"30,85", "-0,08060649", "0,8421623"
"31,1", "-0,08248314", "0,8412143"
"31,15", "-0,08310869", "0,8407403"
"31,3", "-0,08561088", "0,8401083"
"31,45", "-0,08561088", "0,8397923"
"31,65", "-0,08748753", "0,8390024"
"31,7", "-0,08748753", "0,8390024"
"31,9", "-0,08873863", "0,8378964"
"32", "-0,08936418", "0,8374224"
"32,15", "-0,09124083", "0,8367904"
"32,3", "-0,09124083", "0,8360004"
"32,55", "-0,09374303", "0,8352104"
"32,6", "-0,09374303", "0,8348945"
"32,85", "-0,09624523", "0,8339465"
"32,9", "-0,09624523", "0,8336305"
"33", "-0,09749633", "0,8329985"
"33,2", "-0,09812186", "0,8323665"
"33,4", "-0,1006241", "0,8307865"
"33,5", "-0,1006241", "0,8303126"
"33,75", "-0,1037518", "0,8285747"
"33,85", "-0,1037518", "0,8285747"
"34,05", "-0,1056285", "0,8279427"
"34,1", "-0,106254", "0,8277847"
"34,35", "-0,1087562", "0,8269947"
"34,4", "-0,1093817", "0,8268367"
"34,7", "-0,1100073", "0,8262047"
"34,9", "-0,1125095", "0,8252567"
"35", "-0,113135", "0,8247827"
