Experiment:, Cathode characterisation
Start date:, pond?l? 20. b?ezna 2023
Start time:, 12:43:10 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
1117.55, 0.05041774, -0.6028374
1117.65, 0.0525961, -0.4342936
1117.7, 0.05359055, -0.3791566
1117.75, 0.05464816, -0.3321647
1117.8, 0.05565841, -0.2962944
1117.85, 0.05676337, -0.2616771
1117.9, 0.05771048, -0.239591
1118, 0.05966783, -0.1979249
1118.05, 0.06063073, -0.1797547
1118.1, 0.06164098, -0.1604881
1118.15, 0.06266701, -0.1427879
1118.2, 0.06370883, -0.1268107
1118.25, 0.06470329, -0.1145928
1118.35, 0.06672379, -0.09125356
1118.4, 0.0676709, -0.08075874
1118.45, 0.06882322, -0.05961243
1118.5, 0.06994396, -0.04708129
1118.55, 0.07095422, -0.0483344
1118.6, 0.07182239, -0.0519371
1118.65, 0.07269058, -0.0455149
1118.7, 0.0736219, -0.03423687
1118.8, 0.07578447, -0.008234751
1118.85, 0.07668421, -0.008704669
1118.9, 0.07764711, -0.005571885
1118.95, 0.07878364, 0.0063327
1119, 0.07971496, 0.007272535
1119.05, 0.08067786, 0.00868229
1119.15, 0.08261943, 0.0158877
1119.2, 0.08377175, 0.0223099
1119.25, 0.084782, 0.02324974
1119.3, 0.08590274, 0.03045515
1119.35, 0.08673935, 0.02481613
1119.4, 0.08768646, 0.02779228
1119.45, 0.08872828, 0.03499769
1119.55, 0.09055936, 0.03593753
1119.6, 0.0916801, 0.04126326
1119.65, 0.09267457, 0.03938359
1119.7, 0.09377953, 0.04361285
1119.75, 0.09471085, 0.04001015
1119.8, 0.0958316, 0.04909522
1119.9, 0.09769425, 0.04329957
1119.95, 0.09878342, 0.04893858
1120, 0.09974632, 0.04596243
1120.05, 0.1007566, 0.04815539
1120.1, 0.1017352, 0.04893858
1120.15, 0.1027928, 0.05019169
1120.25, 0.1046871, 0.04705891
1120.3, 0.1056815, 0.05019169
1120.35, 0.1066444, 0.05050497
1120.4, 0.1077178, 0.05285456
1120.45, 0.1086965, 0.05332448
1120.5, 0.1097067, 0.05316784
1120.55, 0.110717, 0.05332448
1120.65, 0.1128006, 0.05583071
1120.7, 0.1138267, 0.0545776
1120.75, 0.1147738, 0.05207136
1120.8, 0.1158156, 0.05426432
1120.85, 0.1168732, 0.05520415
1120.9, 0.1177414, 0.05144481
1120.95, 0.1187201, 0.05520415
1121, 0.1197934, 0.05645727
1121.05, 0.1208353, 0.05755374
1121.15, 0.122761, 0.05645727
1121.2, 0.1236766, 0.05708382
1121.25, 0.12475, 0.05677054
1121.3, 0.1256971, 0.05567407
1121.4, 0.1275913, 0.05520415
1121.45, 0.12857, 0.05755374
1121.5, 0.1296118, 0.05959005
1121.55, 0.1305905, 0.05786702
1121.6, 0.1316323, 0.05990333
1121.65, 0.1325952, 0.06021661
1121.7, 0.1335107, 0.0573971
1121.75, 0.1345052, 0.0589635
1121.85, 0.1365888, 0.05802366
1121.9, 0.1374728, 0.05473424
1121.95, 0.1385146, 0.06021661
1122.05, 0.1407245, 0.05880686
1122.1, 0.1419242, 0.05959005
1122.15, 0.1428397, 0.05645727
1122.2, 0.14385, 0.05833694
1122.3, 0.14576, 0.05677054
1122.35, 0.1467387, 0.05630063
1122.4, 0.1479541, 0.05974669
1122.45, 0.1489328, 0.05724046
1122.5, 0.1499746, 0.05849357
1122.55, 0.1510638, 0.06021661
1122.65, 0.152958, 0.05473424
1122.7, 0.1539525, 0.05520415
1122.75, 0.1550259, 0.05786702
1122.8, 0.1559414, 0.05489087
1122.85, 0.1569359, 0.05332448
1122.9, 0.157883, 0.05442095
1123, 0.1598403, 0.05677054
1123.05, 0.1608822, 0.05426432
1123.1, 0.1618451, 0.05489087
1123.15, 0.162808, 0.05395104
1123.2, 0.1638498, 0.05645727
1123.25, 0.16486, 0.05598735
