Experiment:, Cathode characterisation
Start date:, ?ter? 21. b?ezna 2023
Start time:, 13:08:50 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
1117.55, 0.05097022, -0.6958812
1117.65, 0.05303808, -0.4529336
1117.7, 0.05414303, -0.3749273
1117.75, 0.05507436, -0.334671
1117.8, 0.0559899, -0.3185372
1117.85, 0.05711064, -0.2659063
1117.9, 0.05816825, -0.2348918
1118, 0.06020453, -0.2002745
1118.05, 0.06113585, -0.1879
1118.1, 0.06219346, -0.1615846
1118.15, 0.06323528, -0.1443543
1118.2, 0.06424552, -0.1254009
1118.25, 0.0652242, -0.117099
1118.35, 0.06722892, -0.1003386
1118.4, 0.06825496, -0.07825251
1118.45, 0.0691705, -0.07637283
1118.5, 0.07021231, -0.06008235
1118.55, 0.07125413, -0.04849104
1118.6, 0.0723433, -0.0279713
1118.65, 0.07325884, -0.03987588
1118.7, 0.07423753, -0.03000761
1118.8, 0.07625802, -0.01872958
1118.85, 0.07728405, -0.01512688
1118.9, 0.07818381, -0.009174587
1118.95, 0.07924141, -0.001185984
1119, 0.0801096, -0.008391391
1119.05, 0.08107249, -0.0005594268
1119.1, 0.08236687, 0.02434622
1119.2, 0.08430844, 0.01087524
1119.25, 0.08527134, 0.01291155
1119.3, 0.08632895, 0.02732236
1119.35, 0.08726026, 0.0238763
1119.45, 0.08918605, 0.02465949
1119.5, 0.09029101, 0.03468441
1119.55, 0.09120654, 0.03437113
1119.6, 0.09231151, 0.03938359
1119.65, 0.09333754, 0.04032342
1119.7, 0.09436358, 0.04157653
1119.75, 0.09537382, 0.04048006
1119.8, 0.09632093, 0.04298629
1119.85, 0.09722069, 0.0406367
1119.95, 0.09913069, 0.04752883
1120, 0.1000936, 0.04392612
1120.05, 0.1011196, 0.05285456
1120.1, 0.1021614, 0.04643235
1120.15, 0.1032348, 0.05974669
1120.2, 0.1044029, 0.0545776
1120.3, 0.1062971, 0.05097489
1120.35, 0.1073074, 0.05285456
1120.4, 0.1082703, 0.0545776
1120.45, 0.1092174, 0.0537944
1120.55, 0.1111748, 0.0545776
1120.65, 0.1131637, 0.05912013
1120.7, 0.1142686, 0.06052989
1120.75, 0.1153262, 0.0566139
1120.8, 0.1162734, 0.0589635
1120.85, 0.1173783, 0.06037325
1120.9, 0.1183254, 0.05645727
1120.95, 0.1192883, 0.06240956
1121, 0.1202986, 0.05692719
1121.05, 0.1212772, 0.06444587
1121.15, 0.1232662, 0.06005996
1121.2, 0.1241659, 0.05849357
1121.25, 0.1252235, 0.06507242
1121.3, 0.1263285, 0.05974669
1121.35, 0.127323, 0.06005996
1121.45, 0.1293435, 0.06319275
1121.5, 0.1302906, 0.06209628
1121.55, 0.1312377, 0.05645727
1121.6, 0.1322321, 0.06084317
1121.65, 0.1330845, 0.05912013
1121.7, 0.134079, 0.06005996
1121.8, 0.1360521, 0.06052989
1121.85, 0.1371729, 0.06413259
1121.9, 0.1380726, 0.05786702
1121.95, 0.1389882, 0.05912013
1122, 0.1399037, 0.05708382
1122.05, 0.1408192, 0.05912013
1122.1, 0.1417821, 0.05880686
1122.15, 0.142745, 0.06146972
1122.2, 0.1437079, 0.06021661
1122.3, 0.1457284, 0.06021661
1122.35, 0.1468018, 0.06632554
1122.4, 0.1479857, 0.0609998
1122.45, 0.1490117, 0.06005996
1122.55, 0.1509217, 0.05880686
1122.6, 0.1519636, 0.06569898
1122.65, 0.1529264, 0.0589635
1122.7, 0.153842, 0.05912013
1122.75, 0.1548838, 0.06272284
1122.8, 0.155973, 0.06209628
1122.85, 0.1569359, 0.05943341
1122.95, 0.1590195, 0.06413259
1123, 0.1600929, 0.06240956
1123.05, 0.1610558, 0.05692719
1123.1, 0.1620187, 0.06209628
1123.15, 0.1630132, 0.05724046
1123.2, 0.1640234, 0.06084317
1123.3, 0.1659966, 0.0609998
1123.4, 0.1679066, 0.05520415
1123.45, 0.1689326, 0.06005996
1123.5, 0.169927, 0.06146972
1123.55, 0.1710162, 0.0589635
1123.6, 0.1720265, 0.06240956
1123.7, 0.1740312, 0.05583071
1123.75, 0.1749467, 0.06146972
1123.8, 0.1760517, 0.05927677
1123.85, 0.1769988, 0.05755374
1123.9, 0.1778985, 0.05191473
1123.95, 0.1789877, 0.06225292
1124, 0.1799506, 0.05708382
1124.05, 0.1810398, 0.061783
1124.15, 0.1829972, 0.05912013
1124.2, 0.1839916, 0.05880686
1124.25, 0.1851281, 0.06428923
1124.3, 0.1861857, 0.05786702
1124.35, 0.1871171, 0.05880686
1124.4, 0.1881115, 0.05316784
1124.45, 0.1890429, 0.05912013
1124.5, 0.189911, 0.0537944
1124.6, 0.1920263, 0.05974669
1124.65, 0.1930365, 0.0566139
1124.7, 0.1939362, 0.05473424
1124.75, 0.1949307, 0.05974669
1124.8, 0.1959252, 0.0537944
1124.85, 0.196967, 0.06021661
1124.95, 0.1990349, 0.05849357
1125, 0.1999977, 0.05912013
1125.05, 0.2010711, 0.05802366
1125.1, 0.2020025, 0.05786702
1125.15, 0.2029811, 0.05348112
1125.25, 0.2050332, 0.05818029
1125.3, 0.2060908, 0.05708382
1125.35, 0.2070537, 0.05426432
1125.4, 0.2080166, 0.05833694
1125.45, 0.20909, 0.05520415
1125.5, 0.2101949, 0.06303611
1125.55, 0.2113157, 0.05849357
1125.65, 0.2133204, 0.05473424
1125.7, 0.2143149, 0.05865022
1125.75, 0.2153251, 0.05363776
1125.8, 0.2163038, 0.05943341
1125.85, 0.217314, 0.0545776
1125.9, 0.2182769, 0.05974669
1125.95, 0.219303, 0.05708382
1126.05, 0.2211498, 0.05583071
1126.1, 0.2221759, 0.05645727
1126.15, 0.2231861, 0.05818029
1126.2, 0.2240859, 0.05786702
1126.25, 0.2250646, 0.05771038
1126.3, 0.226059, 0.06115644
1126.35, 0.2270535, 0.05724046
1126.45, 0.2290266, 0.05426432
1126.5, 0.2300684, 0.05583071
1126.55, 0.2310945, 0.05974669
1126.6, 0.2322152, 0.05818029
1126.65, 0.233257, 0.05614398
1126.7, 0.2341094, 0.05191473
1126.75, 0.235167, 0.05849357
1126.8, 0.2361931, 0.05097489
1126.9, 0.237961, 0.05536079
1126.95, 0.2390502, 0.05786702
1127, 0.2400604, 0.05254128
1127.05, 0.2410549, 0.05598735
1127.1, 0.242002, 0.05160145
1127.2, 0.2440383, 0.05614398
1127.25, 0.2450801, 0.05583071
1127.3, 0.2461535, 0.05254128
1127.35, 0.247069, 0.05363776
1127.4, 0.2478741, 0.04690227
1127.45, 0.2488054, 0.05520415
1127.5, 0.2500051, 0.05316784
1127.6, 0.2520729, 0.05551743
1127.65, 0.2530832, 0.04987842
1127.7, 0.2540618, 0.05222801
1127.8, 0.2560982, 0.05175809
1127.85, 0.2571084, 0.05113153
1127.9, 0.2581028, 0.05050497
1127.95, 0.2592552, 0.05520415
1128.05, 0.2611967, 0.0486253
1128.1, 0.2621123, 0.05254128
1128.15, 0.2631541, 0.05097489
1128.2, 0.2641486, 0.04752883
1128.25, 0.2651588, 0.04956514
1128.3, 0.2661533, 0.0478421
1128.4, 0.2681264, 0.0486253
1128.45, 0.2690578, 0.0478421
1128.5, 0.2701943, 0.04987842
1128.55, 0.2710151, 0.04455268
1128.6, 0.2719938, 0.05050497
1128.65, 0.2730514, 0.04596243
1128.75, 0.2750719, 0.0478421
1128.8, 0.2761768, 0.04737219
1128.85, 0.2772029, 0.04768547
1128.9, 0.2782447, 0.04596243
1128.95, 0.2791918, 0.04627572
1129, 0.2800758, 0.04329957
1129.05, 0.2811965, 0.04799874
1129.15, 0.2831223, 0.04361285
1129.2, 0.2841641, 0.04564916
1129.25, 0.2851744, 0.04596243
1129.3, 0.286232, 0.04470932
1129.35, 0.2873054, 0.0450226
1129.4, 0.2880946, 0.04361285
1129.5, 0.2901151, 0.04533588
1129.55, 0.2910938, 0.04345621
1129.6, 0.292183, 0.04392612
1129.65, 0.2931459, 0.04267301
1129.7, 0.2940614, 0.04298629
1129.75, 0.2950875, 0.04361285
1129.8, 0.2960819, 0.04345621
1129.85, 0.2971553, 0.04517924
1129.9, 0.2980393, 0.04204645
1130, 0.300044, 0.0406367
1130.05, 0.30107, 0.04392612
1130.1, 0.3020171, 0.04094998
1130.15, 0.3029327, 0.04188982
1130.2, 0.3038956, 0.04188982
1130.25, 0.3049374, 0.04314293
1130.35, 0.3071473, 0.04126326
1130.4, 0.3082207, 0.04267301
1130.45, 0.3092783, 0.04188982
1130.5, 0.310399, 0.04126326
1130.6, 0.3124037, 0.04173318
1130.65, 0.3132246, 0.04110662
1130.7, 0.3142348, 0.04188982
1130.75, 0.3154046, 0.03969686
1130.8, 0.3163526, 0.04001015
1130.85, 0.3171425, 0.0398535
1130.9, 0.3182485, 0.04048006
1130.95, 0.3193545, 0.04001015
1131.05, 0.3210924, 0.0406367
1131.1, 0.3220404, 0.03938359
1131.15, 0.3229884, 0.04267301
1131.2, 0.3240943, 0.03907031
1131.25, 0.3250423, 0.04032342
1131.3, 0.3259903, 0.03844375
1131.4, 0.3278863, 0.03766055
1131.45, 0.3289922, 0.04032342
1131.5, 0.3299402, 0.03938359
1131.55, 0.3308882, 0.03969686
1131.6, 0.3319941, 0.03891367
1131.65, 0.3329421, 0.03907031
1131.75, 0.334996, 0.04001015
1131.8, 0.335944, 0.03860039
1131.85, 0.33705, 0.03907031
1131.9, 0.337998, 0.04001015
1131.95, 0.338946, 0.03969686
1132, 0.3397359, 0.03844375
1132.05, 0.3408419, 0.03860039
1132.1, 0.3419479, 0.04001015
1132.2, 0.3438438, 0.03907031
1132.25, 0.3449498, 0.04126326
1132.3, 0.3457398, 0.03766055
1132.35, 0.3468457, 0.03922695
1132.4, 0.3477937, 0.03891367
1132.45, 0.3487417, 0.03938359
1132.55, 0.3506376, 0.03828711
1132.6, 0.3517436, 0.03938359
1132.65, 0.3528496, 0.03797383
1132.75, 0.3549035, 0.03687736
1132.8, 0.3558515, 0.03860039
1132.85, 0.3567995, 0.03828711
1132.9, 0.3577474, 0.04001015
1133, 0.3598014, 0.0398535
1133.05, 0.3609074, 0.03766055
1133.1, 0.3616973, 0.03797383
1133.15, 0.3628033, 0.03891367
1133.2, 0.3639093, 0.03969686
1133.25, 0.3646992, 0.03766055
1133.3, 0.3656472, 0.03969686
1133.35, 0.3665952, 0.03797383
1133.45, 0.3686491, 0.03766055
1133.5, 0.3695971, 0.03954023
1133.55, 0.3703871, 0.03734728
1133.6, 0.371493, 0.03907031
1133.65, 0.372599, 0.03860039
1133.7, 0.373547, 0.03844375
1133.8, 0.3757589, 0.03891367
1133.85, 0.3767069, 0.03766055
1133.9, 0.3778129, 0.03750391
1133.95, 0.3786029, 0.03734728
1134, 0.3797088, 0.03922695
1134.05, 0.3804988, 0.037034
1134.15, 0.3827108, 0.03672072
1134.2, 0.3836587, 0.03969686
1134.25, 0.3846067, 0.03938359
1134.3, 0.3857127, 0.03860039
1134.35, 0.3866607, 0.0378172
1134.4, 0.3877666, 0.04032342
1134.5, 0.3896626, 0.03891367
1134.55, 0.3906105, 0.03734728
1134.6, 0.3915585, 0.03938359
1134.65, 0.3926645, 0.03797383
1134.7, 0.3936124, 0.03860039
1134.75, 0.3947184, 0.03907031
1134.85, 0.3966144, 0.03922695
1134.9, 0.3977204, 0.04001015
1134.95, 0.3986683, 0.03875703
1135, 0.3996163, 0.03750391
1135.05, 0.4007223, 0.04157653
1135.1, 0.4016702, 0.03907031
1135.15, 0.4026182, 0.03860039
1135.25, 0.4043562, 0.03969686
1135.3, 0.4054621, 0.0398535
1135.35, 0.4065681, 0.03734728
1135.4, 0.4073581, 0.03969686
1135.45, 0.408464, 0.03938359
1135.5, 0.409412, 0.03875703
1135.55, 0.41036, 0.03860039
1135.65, 0.412256, 0.03828711
1135.7, 0.4133619, 0.03750391
1135.75, 0.4144679, 0.04032342
1135.8, 0.4154159, 0.0378172
1135.85, 0.4163638, 0.03766055
1135.9, 0.4174698, 0.03640744
1135.95, 0.4184178, 0.0378172
1136.05, 0.4204717, 0.03531097
1136.1, 0.4212617, 0.03766055
1136.15, 0.4223677, 0.03734728
1136.2, 0.4234737, 0.03687736
1136.25, 0.4242636, 0.03719064
1136.3, 0.4253696, 0.03719064
1136.4, 0.4274235, 0.03609416
1136.45, 0.4283715, 0.03875703
1136.5, 0.4294775, 0.03907031
1136.55, 0.4304255, 0.037034
1136.6, 0.4315314, 0.0378172
1136.65, 0.4324794, 0.03813047
1136.7, 0.4335854, 0.0362508
1136.8, 0.4354813, 0.03813047
1136.85, 0.4365873, 0.03562424
1136.9, 0.4375353, 0.03766055
