Experiment:, Cathode characterisation
Start date:, st?eda 22. b?ezna 2023
Start time:, 11:26:02 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
1347.55, 0.0505756, -0.5190354
1347.65, 0.05273816, -0.3061626
1347.7, 0.05371683, -0.2569779
1347.75, 0.05467973, -0.2137455
1347.8, 0.05570577, -0.2004311
1347.85, 0.0567318, -0.1728626
1347.9, 0.05771048, -0.1595483
1348, 0.0596994, -0.1274372
1348.05, 0.06080437, -0.1034714
1348.1, 0.06173569, -0.1037847
1348.15, 0.06269858, -0.09798905
1348.2, 0.06358255, -0.09125356
1348.25, 0.06468751, -0.07324004
1348.3, 0.06585561, -0.05976907
1348.4, 0.06765512, -0.05366014
1348.45, 0.06866536, -0.0483344
1348.5, 0.06965983, -0.04457506
1348.55, 0.07070165, -0.03282712
1348.6, 0.07164876, -0.03439351
1348.65, 0.07261165, -0.02734474
1348.7, 0.07355876, -0.02186237
1348.8, 0.07561083, -0.0104277
1348.85, 0.0767, -0.006198441
1348.9, 0.07764711, -0.003535574
1348.95, 0.07864158, -0.005258605
1349, 0.0798886, 0.009935404
1349.1, 0.08181439, 0.002416719
1349.15, 0.08295092, 0.009778764
1349.2, 0.0839296, 0.006019421
1349.25, 0.08484513, 0.01009204
1349.3, 0.08590274, 0.01228499
1349.35, 0.08691299, 0.0143213
1349.4, 0.08773381, 0.008838929
1349.45, 0.08883877, 0.01776737
1349.55, 0.09071721, 0.02043023
1349.6, 0.09160118, 0.01385139
1349.65, 0.09267457, 0.02215327
1349.7, 0.09362168, 0.01996032
1349.75, 0.09469506, 0.02606925
1349.8, 0.09575267, 0.02418958
1349.85, 0.09671557, 0.02653916
1349.95, 0.09862557, 0.0230931
1350, 0.0996516, 0.02732236
1350.05, 0.1006776, 0.02935867
1350.1, 0.1016405, 0.02544269
1350.15, 0.1025876, 0.03045515
1350.2, 0.1037242, 0.03170826
1350.3, 0.1057447, 0.027479
1350.35, 0.1066128, 0.0310817
1350.4, 0.1075126, 0.02967195
1350.45, 0.1086176, 0.03217818
1350.5, 0.1097225, 0.03280474
1350.55, 0.1107012, 0.02982859
1350.65, 0.112627, 0.0326481
1350.7, 0.1137162, 0.03390121
1350.75, 0.1147264, 0.03280474
1350.8, 0.1157051, 0.03076843
1350.85, 0.1167311, 0.03374457
1350.9, 0.117694, 0.0326481
1350.95, 0.1187358, 0.03421449
1351.05, 0.1207248, 0.03390121
1351.1, 0.1218297, 0.03719064
1351.15, 0.1228715, 0.03468441
1351.2, 0.1237871, 0.03405785
1351.25, 0.1247973, 0.0354676
1351.3, 0.1257602, 0.03499769
1351.4, 0.1276702, 0.03437113
1351.45, 0.128712, 0.03766055
1351.5, 0.1298801, 0.03499769
1351.55, 0.1308904, 0.03797383
1351.6, 0.1318691, 0.03578088
1351.65, 0.1327057, 0.03828711
1351.7, 0.1336528, 0.03452777
1351.75, 0.1345999, 0.04001015
1351.85, 0.1367151, 0.03562424
1351.9, 0.1376149, 0.037034
1351.95, 0.1386883, 0.03531097
1352, 0.1397932, 0.03609416
1352.05, 0.1408508, 0.0362508
1352.1, 0.1418295, 0.03421449
1352.15, 0.1427766, 0.03578088
1352.2, 0.1438184, 0.03390121
1352.3, 0.1456495, 0.03437113
1352.4, 0.14767, 0.03515432
1352.45, 0.1487907, 0.03468441
1352.55, 0.1508586, 0.03828711
1352.6, 0.151932, 0.03437113
1352.65, 0.1529264, 0.03593753
1352.7, 0.1539367, 0.03734728
1352.75, 0.1550259, 0.03734728
1352.8, 0.1559572, 0.03562424
1352.85, 0.1569832, 0.03672072
1352.9, 0.1579777, 0.03390121
1353, 0.1599351, 0.03421449
1353.05, 0.160819, 0.037034
1353.1, 0.1618608, 0.03813047
1353.15, 0.1630763, 0.04001015
1353.2, 0.163976, 0.03374457
1353.25, 0.1649389, 0.03468441
1353.3, 0.1658703, 0.03531097
1353.35, 0.1667227, 0.03860039
1353.45, 0.1686958, 0.03656408
1353.5, 0.1697376, 0.03437113
1353.55, 0.1706847, 0.03405785
1353.6, 0.1718055, 0.03562424
1353.65, 0.1728315, 0.03593753
1353.75, 0.1747889, 0.03468441
1353.8, 0.175736, 0.03311801
1353.85, 0.1767936, 0.03640744
1353.9, 0.1777407, 0.03374457
1353.95, 0.1787194, 0.03499769
1354, 0.1798243, 0.03531097
1354.05, 0.1807557, 0.03249146
1354.1, 0.1819238, 0.03734728
1354.15, 0.1828709, 0.03249146
1354.25, 0.1848282, 0.03217818
1354.3, 0.1859016, 0.03437113
1354.35, 0.1868961, 0.03280474
1354.4, 0.1878432, 0.03343129
1354.45, 0.1889166, 0.03531097
1354.5, 0.1898953, 0.03374457
1354.6, 0.1919315, 0.03249146
1354.65, 0.1928944, 0.03327465
1354.7, 0.1938573, 0.03311801
1354.75, 0.1948044, 0.03390121
1354.8, 0.195941, 0.03468441
1354.9, 0.1979615, 0.03170826
1354.95, 0.1987349, 0.03390121
1355, 0.1996978, 0.03343129
1355.05, 0.2008028, 0.03531097
1355.1, 0.201671, 0.03202154
1355.15, 0.2026497, 0.03390121
1355.2, 0.2036599, 0.03343129
1355.3, 0.2056488, 0.03233482
1355.35, 0.2066749, 0.03343129
1355.4, 0.2076851, 0.03139498
1355.5, 0.2097056, 0.03405785
1355.55, 0.2107159, 0.03123834
1355.65, 0.2126259, 0.03076843
1355.7, 0.2136203, 0.03484105
1355.75, 0.2146464, 0.03076843
1355.8, 0.2156093, 0.03327465
1355.85, 0.2166195, 0.03280474
1355.9, 0.2176771, 0.03202154
1355.95, 0.21864, 0.03202154
1356.05, 0.2206132, 0.03155162
1356.1, 0.2216234, 0.03076843
1356.15, 0.2225705, 0.03343129
1356.2, 0.2235492, 0.03280474
1356.25, 0.2244016, 0.03202154
1356.3, 0.2254592, 0.03437113
1356.35, 0.2265326, 0.03202154
1356.4, 0.2275902, 0.03405785
1356.45, 0.228632, 0.03139498
1356.55, 0.2304631, 0.03123834
1356.6, 0.231426, 0.03421449
1356.65, 0.2325625, 0.03280474
1356.7, 0.233557, 0.03296138
1356.75, 0.2346619, 0.03343129
1356.85, 0.2365561, 0.03155162
1356.9, 0.237377, 0.03139498
1356.95, 0.238403, 0.03311801
1357, 0.2395238, 0.03374457
1357.05, 0.2403603, 0.02841884
1357.1, 0.2414969, 0.03155162
1357.2, 0.2437068, 0.03202154
1357.25, 0.2446539, 0.0310817
1357.3, 0.2455063, 0.02982859
1357.35, 0.2464534, 0.03170826
1357.4, 0.2475742, 0.03280474
1357.45, 0.2487107, 0.03014187
1357.5, 0.249642, 0.03123834
1357.55, 0.2507154, 0.03202154
1357.6, 0.2518046, 0.03170826
1357.7, 0.2539198, 0.03202154
1357.75, 0.2548353, 0.03123834
1357.8, 0.2557667, 0.03045515
1357.9, 0.2577872, 0.03202154
1357.95, 0.2587343, 0.02967195
1358.05, 0.2607232, 0.02951531
1358.1, 0.2617019, 0.02967195
1358.15, 0.2626174, 0.02700908
1358.2, 0.2636434, 0.03202154
1358.3, 0.2657429, 0.02873212
1358.35, 0.2667847, 0.03123834
1358.4, 0.2677318, 0.02920203
1358.45, 0.2687263, 0.0290454
1358.5, 0.2696733, 0.02841884
1358.55, 0.2706678, 0.02982859
1358.6, 0.271757, 0.0290454
1358.7, 0.2736828, 0.02841884
1358.75, 0.2746772, 0.02920203
1358.85, 0.2767293, 0.02888875
1358.9, 0.2776764, 0.02967195
1358.95, 0.2787814, 0.0290454
1359, 0.2799021, 0.02873212
1359.05, 0.280865, 0.02700908
1359.15, 0.2828855, 0.02935867
1359.2, 0.2837537, 0.02857548
1359.25, 0.2847482, 0.02967195
1359.3, 0.28579, 0.03045515
1359.35, 0.2867529, 0.027479
1359.4, 0.2877789, 0.02638253
1359.45, 0.2886629, 0.0282622
1359.55, 0.2906203, 0.02779228
1359.6, 0.2916305, 0.02732236
1359.65, 0.2927354, 0.02732236
1359.7, 0.2937615, 0.02606925
1359.75, 0.294756, 0.02779228
1359.8, 0.2956241, 0.02544269
1359.9, 0.2974868, 0.0266958
1359.95, 0.2984971, 0.02810556
1360, 0.2995231, 0.02810556
1360.05, 0.3004702, 0.02700908
1360.1, 0.3014173, 0.02763564
1360.15, 0.3025064, 0.02622589
1360.25, 0.3047479, 0.02794892
1360.3, 0.3056793, 0.02575597
1360.35, 0.3066422, 0.0266958
1360.4, 0.3077471, 0.02638253
1360.45, 0.3087574, 0.02638253
1360.5, 0.3097518, 0.02716572
1360.55, 0.310841, 0.027479
1360.6, 0.3117566, 0.02606925
1360.7, 0.3138717, 0.02716572
1360.75, 0.3154046, 0.0238763
1360.8, 0.3160366, 0.02841884
1360.85, 0.3171425, 0.02591261
1360.9, 0.3179325, 0.02528605
1360.95, 0.3190385, 0.02810556
1361, 0.3199865, 0.02873212
1361.1, 0.3218824, 0.02544269
1361.15, 0.3228304, 0.02779228
1361.2, 0.3237784, 0.02575597
1361.25, 0.3247263, 0.0266958
1361.3, 0.3256743, 0.02794892
1361.4, 0.3277283, 0.02575597
1361.45, 0.3286762, 0.02653916
1361.5, 0.3297822, 0.02732236
1361.55, 0.3307302, 0.02638253
1361.6, 0.3318361, 0.02606925
1361.65, 0.3329421, 0.02732236
1361.7, 0.3338901, 0.02606925
1361.75, 0.3348381, 0.0266958
1361.8, 0.335786, 0.02544269
1361.95, 0.338788, 0.02606925
1362, 0.3398939, 0.027479
1362.05, 0.3408419, 0.02591261
1362.1, 0.3416319, 0.02512941
1362.15, 0.3425798, 0.027479
1362.2, 0.3436858, 0.02575597
1362.3, 0.3455818, 0.02465949
1362.35, 0.3465297, 0.02450286
1362.4, 0.3473197, 0.02497277
1362.45, 0.3485837, 0.02575597
1362.5, 0.3495317, 0.02497277
1362.55, 0.3506376, 0.0266958
1362.65, 0.3523756, 0.02528605
1362.7, 0.3534816, 0.02559933
1362.75, 0.3545875, 0.02575597
1362.8, 0.3553775, 0.02685244
1362.85, 0.3564835, 0.02575597
1362.95, 0.3585374, 0.02622589
1363, 0.3594854, 0.02481613
1363.1, 0.3615393, 0.02371966
1363.15, 0.3624873, 0.02575597
1363.2, 0.3635933, 0.02465949
1363.25, 0.3643833, 0.02481613
1363.35, 0.3664372, 0.02512941
1363.4, 0.3673852, 0.02716572
1363.45, 0.3684911, 0.02544269
1363.5, 0.3695971, 0.02622589
1363.55, 0.3703871, 0.02512941
1363.6, 0.3713351, 0.0266958
1363.65, 0.3724411, 0.02403294
1363.75, 0.374337, 0.02528605
1363.8, 0.375601, 0.02450286
1363.85, 0.3763909, 0.0230931
1363.9, 0.3773389, 0.02403294
1363.95, 0.3782869, 0.02418958
1364, 0.3792349, 0.02371966
1364.05, 0.3803408, 0.02575597
1364.1, 0.3812888, 0.02340638
1364.2, 0.3833427, 0.02638253
1364.25, 0.3846067, 0.0266958
1364.3, 0.3853967, 0.02575597
1364.35, 0.3863447, 0.02653916
1364.4, 0.3872926, 0.02575597
1364.45, 0.3882406, 0.02497277
1364.55, 0.3902946, 0.02732236
1364.6, 0.3912425, 0.02497277
1364.65, 0.3921905, 0.02481613
1364.7, 0.3931385, 0.02606925
1364.75, 0.3942444, 0.02481613
1364.8, 0.3953504, 0.02450286
1364.85, 0.3962984, 0.02575597
1364.9, 0.3972464, 0.02591261
1364.95, 0.3983523, 0.02638253
1365.05, 0.4002483, 0.02700908
1365.1, 0.4013543, 0.02716572
1365.15, 0.4023022, 0.02685244
1365.2, 0.4032502, 0.02638253
1365.25, 0.4043562, 0.02528605
1365.35, 0.4062521, 0.02418958
1365.4, 0.4072001, 0.02528605
1365.45, 0.4083061, 0.02544269
1365.5, 0.409254, 0.02700908
1365.55, 0.410044, 0.02575597
1365.6, 0.411308, 0.02794892
1365.65, 0.412256, 0.02575597
1365.75, 0.4143099, 0.02450286
1365.8, 0.4152579, 0.02638253
1365.85, 0.4162059, 0.02638253
1365.9, 0.4173118, 0.02685244
1365.95, 0.4182598, 0.02653916
1366, 0.4193658, 0.02575597
1366.05, 0.4201558, 0.02638253
1366.1, 0.4212617, 0.02575597
1366.2, 0.4233157, 0.02638253
1366.25, 0.4241056, 0.02716572
1366.3, 0.4250536, 0.02716572
1366.35, 0.4263176, 0.0266958
1366.4, 0.4272656, 0.02575597
1366.5, 0.4291615, 0.02732236
1366.55, 0.4302675, 0.0266958
1366.6, 0.4312155, 0.02622589
1366.65, 0.4323214, 0.02716572
1366.7, 0.4332694, 0.02653916
1366.8, 0.4353233, 0.02873212
1366.85, 0.4362713, 0.02700908
1366.9, 0.4372193, 0.02732236
1366.95, 0.4381672, 0.0266958
1367, 0.4392732, 0.02841884
1367.05, 0.4403792, 0.02779228
1367.1, 0.4413272, 0.02841884
1367.15, 0.4422751, 0.027479
1367.25, 0.4441711, 0.02591261
1367.3, 0.4451191, 0.027479
1367.35, 0.446225, 0.02591261
1367.4, 0.447173, 0.027479
1367.45, 0.448121, 0.02685244
1367.55, 0.4501749, 0.02841884
1367.6, 0.4512809, 0.02685244
1367.7, 0.4533348, 0.027479
1367.75, 0.4542828, 0.02873212
1367.8, 0.4552308, 0.027479
1367.85, 0.4561788, 0.02841884
1367.95, 0.4582327, 0.02841884
1368, 0.4593387, 0.02700908
1368.05, 0.4602866, 0.02794892
1368.1, 0.4613926, 0.02638253
1368.15, 0.4623406, 0.02606925
1368.2, 0.4632886, 0.02857548
1368.25, 0.4642365, 0.02591261
1368.3, 0.4650265, 0.02716572
1368.4, 0.4672385, 0.02779228
1368.45, 0.4683444, 0.02685244
1368.5, 0.4692924, 0.02716572
1368.55, 0.4702404, 0.02779228
1368.6, 0.4711884, 0.0266958
1368.65, 0.4719783, 0.02638253
1368.7, 0.4732423, 0.02810556
1368.75, 0.4740323, 0.02732236
1368.85, 0.4760862, 0.02810556
1368.9, 0.4770342, 0.02763564
1368.95, 0.4779822, 0.02700908
1369, 0.4792461, 0.027479
1369.05, 0.4800361, 0.02685244
1369.15, 0.4822481, 0.02841884
1369.2, 0.483196, 0.02732236
1369.25, 0.484302, 0.027479
1369.3, 0.485092, 0.027479
1369.35, 0.4860399, 0.02716572
1369.4, 0.4871459, 0.0266958
1369.45, 0.4880939, 0.02716572
1369.5, 0.4891998, 0.02606925
1369.55, 0.4901479, 0.027479
1369.65, 0.4923598, 0.02732236
1369.7, 0.4931498, 0.02512941
1369.75, 0.4942557, 0.02732236
1369.8, 0.4952037, 0.02810556
1369.85, 0.4961517, 0.0266958
1369.95, 0.4982056, 0.02920203
1370, 0.4991536, 0.02700908
1370.05, 0.5002595, 0.02716572
1370.1, 0.5012075, 0.02716572
1370.15, 0.5019975, 0.0266958
1370.25, 0.5042095, 0.027479
1370.3, 0.5049994, 0.02920203
1370.35, 0.5061054, 0.02998523
1370.4, 0.5072114, 0.03076843
1370.45, 0.5080013, 0.02857548
1370.5, 0.5091073, 0.03014187
1370.55, 0.5100553, 0.02841884
1370.6, 0.5110033, 0.02967195
1370.65, 0.5119512, 0.027479
1370.7, 0.5130572, 0.0290454
1370.8, 0.5155851, 0.027479
1370.85, 0.5170071, 0.02732236
1370.9, 0.518113, 0.0282622
1370.95, 0.519219, 0.02873212
1371.05, 0.521273, 0.0290454
1371.1, 0.5223789, 0.02779228
1371.15, 0.5233269, 0.02685244
1371.2, 0.5242749, 0.02716572
1371.25, 0.5253808, 0.02873212
1371.3, 0.5263288, 0.02716572
1371.35, 0.5272768, 0.02794892
1371.4, 0.5282248, 0.02653916
1371.45, 0.5290148, 0.027479
1371.55, 0.5309107, 0.02982859
1371.6, 0.5320167, 0.02732236
1371.65, 0.5329646, 0.02810556
1371.7, 0.5342286, 0.02779228
1371.75, 0.5351766, 0.02873212
1371.8, 0.5362825, 0.02888875
1371.85, 0.5372306, 0.02935867
1371.95, 0.5392845, 0.02841884
1372, 0.5402325, 0.02716572
1372.05, 0.5411804, 0.02763564
1372.1, 0.5422865, 0.0282622
1372.15, 0.5432344, 0.02873212
1372.2, 0.5443404, 0.02810556
1372.3, 0.5462363, 0.027479
1372.35, 0.5471843, 0.02810556
1372.4, 0.5479743, 0.027479
1372.5, 0.5501862, 0.02935867
1372.55, 0.5511342, 0.02810556
1372.6, 0.5520822, 0.0290454
1372.65, 0.5530301, 0.02732236
1372.75, 0.555084, 0.02716572
1372.8, 0.556032, 0.02810556
1372.85, 0.557138, 0.0310817
1372.9, 0.558244, 0.02967195
1372.95, 0.5591919, 0.02841884
1373.05, 0.5609299, 0.02998523
1373.1, 0.5621939, 0.02810556
1373.15, 0.5629839, 0.02841884
1373.2, 0.5642478, 0.02810556
1373.25, 0.5651958, 0.02779228
1373.35, 0.5672498, 0.02794892
1373.4, 0.5680397, 0.02888875
1373.45, 0.5689877, 0.02794892
1373.5, 0.5700937, 0.02873212
1373.55, 0.5710416, 0.02967195
1373.6, 0.5719896, 0.02810556
1373.65, 0.5729376, 0.02888875
1373.7, 0.5740436, 0.02935867
1373.75, 0.5749915, 0.02810556
1373.85, 0.5770454, 0.02920203
1373.9, 0.5779935, 0.0282622
1373.95, 0.5789415, 0.02935867
1374, 0.5802054, 0.02920203
1374.05, 0.5809954, 0.02779228
1374.1, 0.5819433, 0.02935867
1374.15, 0.5832073, 0.02857548
1374.25, 0.5851033, 0.02888875
1374.3, 0.5862092, 0.02779228
1374.35, 0.5869992, 0.02982859
1374.4, 0.5879472, 0.02794892
1374.45, 0.5888951, 0.02841884
1374.5, 0.5898432, 0.03014187
1374.6, 0.5918971, 0.02857548
1374.65, 0.592845, 0.02873212
1374.7, 0.593793, 0.02935867
1374.75, 0.595057, 0.0290454
1374.8, 0.596005, 0.02779228
1374.85, 0.596953, 0.02685244
1374.9, 0.5979009, 0.02716572
1374.95, 0.5990069, 0.02935867
1375.05, 0.6010609, 0.02888875
1375.1, 0.6020088, 0.03014187
1375.15, 0.6029568, 0.02873212
1375.2, 0.6040627, 0.02935867
1375.25, 0.6051687, 0.02841884
1375.35, 0.6069067, 0.02857548
1375.4, 0.6078547, 0.02873212
1375.45, 0.6089606, 0.02935867
1375.5, 0.6099086, 0.02794892
1375.55, 0.6108565, 0.02951531
1375.6, 0.6119625, 0.02935867
1375.7, 0.6140165, 0.02888875
1375.75, 0.6149644, 0.02841884
1375.8, 0.6160704, 0.02951531
1375.85, 0.6171764, 0.02763564
1375.9, 0.6179664, 0.02841884
1375.95, 0.6189144, 0.02967195
1376, 0.6198623, 0.0282622
1376.05, 0.6209683, 0.02810556
1376.15, 0.6228642, 0.02982859
1376.2, 0.6239702, 0.02935867
1376.25, 0.6247602, 0.0290454
1376.3, 0.6258662, 0.02873212
1376.35, 0.6268141, 0.02982859
1376.4, 0.6279201, 0.03014187
1376.45, 0.62871, 0.02841884
1376.55, 0.6306061, 0.03061179
1376.6, 0.631712, 0.02951531
1376.65, 0.63266, 0.02935867
1376.75, 0.634872, 0.03029851
1376.8, 0.6358199, 0.02857548
1376.85, 0.6367679, 0.02935867
1376.9, 0.6378738, 0.02967195
1377, 0.6399277, 0.02920203
1377.05, 0.6408758, 0.02951531
1377.1, 0.6418237, 0.02998523
1377.15, 0.6429297, 0.02888875
1377.2, 0.6438776, 0.0290454
1377.3, 0.6459317, 0.02935867
1377.35, 0.6468796, 0.0290454
1377.4, 0.6478276, 0.02967195
1377.45, 0.6489335, 0.03029851
1377.6, 0.6517774, 0.02873212
1377.65, 0.6527255, 0.03061179
1377.7, 0.6538314, 0.03155162
1377.75, 0.6547794, 0.03170826
1377.8, 0.6558853, 0.02967195
1377.85, 0.6568333, 0.02998523
1377.9, 0.6579393, 0.0290454
1377.95, 0.6590453, 0.03076843
1378, 0.6599932, 0.03014187
1378.05, 0.6609412, 0.02967195
1378.15, 0.6629952, 0.02982859
1378.2, 0.6639431, 0.03045515
1378.25, 0.6648911, 0.02982859
