Experiment:, Cathode characterisation
Start date:, ?tvrtek 11. kv?tna 2023
Start time:, 17:44:53 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
975.55, 0.05097022, -0.5494234
975.65, 0.05313279, -0.2295661
975.7, 0.05412725, -0.2001178
975.75, 0.05507436, -0.1681634
975.8, 0.05603725, -0.1443543
975.85, 0.05707907, -0.1167858
975.95, 0.05894172, -0.1051944
976, 0.05993618, -0.08389152
976.05, 0.0610885, -0.04457506
976.1, 0.06209875, -0.04300867
976.15, 0.06296693, -0.05381678
976.2, 0.06402454, -0.03658646
976.25, 0.06505057, -0.02781466
976.35, 0.06700793, -0.006355081
976.4, 0.06800239, -0.01027106
976.45, 0.06902843, -0.002282459
976.5, 0.07010181, 0.01385139
976.55, 0.07112785, 0.01087524
976.6, 0.07220124, 0.008525651
976.65, 0.07321148, 0.02183999
976.7, 0.07422174, 0.01886384
976.75, 0.07520042, 0.02575597
976.85, 0.07704728, 0.02137007
976.9, 0.07813645, 0.0310817
976.95, 0.07914671, 0.037034
977, 0.08015695, 0.03766055
977.05, 0.08113563, 0.03875703
977.15, 0.08315613, 0.04298629
977.2, 0.0842453, 0.05019169
977.25, 0.08523976, 0.04705891
977.3, 0.08612373, 0.04423941
977.35, 0.08722869, 0.05191473
977.4, 0.08822316, 0.04846866
977.5, 0.09036993, 0.05755374
977.55, 0.09133284, 0.05222801
977.6, 0.09218523, 0.0478421
977.65, 0.09313233, 0.05692719
977.7, 0.09404787, 0.05285456
977.75, 0.09499498, 0.05927677
977.8, 0.09606837, 0.06005996
977.85, 0.09703127, 0.06115644
977.9, 0.09810466, 0.0625662
978, 0.1001252, 0.06381931
978.05, 0.101088, 0.06052989
978.1, 0.1020667, 0.06350603
978.15, 0.103077, 0.06460251
978.25, 0.1051764, 0.06522907
978.3, 0.1062024, 0.06460251
978.35, 0.1070706, 0.06413259
978.4, 0.1080967, 0.0661689
978.45, 0.1090753, 0.06507242
978.5, 0.1100698, 0.06632554
978.55, 0.1112063, 0.06742202
978.6, 0.1121376, 0.06475915
978.7, 0.1140634, 0.06648218
978.75, 0.1152473, 0.06930169
978.8, 0.1163365, 0.06820521
978.85, 0.1173783, 0.06867513
978.9, 0.1183096, 0.0653857
978.95, 0.1191463, 0.06601226
979, 0.1201249, 0.06836185
979.05, 0.1209931, 0.06883177
979.15, 0.1231083, 0.06898841
979.2, 0.1242133, 0.06914505
979.25, 0.1252235, 0.07086808
979.3, 0.1261549, 0.06632554
979.4, 0.1280807, 0.06742202
979.45, 0.1291382, 0.07165127
979.5, 0.1301485, 0.06679546
979.55, 0.1311745, 0.07071144
979.6, 0.1320269, 0.06679546
979.65, 0.1330687, 0.07102472
979.7, 0.1339843, 0.06804857
979.75, 0.1349788, 0.07039816
979.85, 0.1369045, 0.07227783
979.9, 0.1378832, 0.0697716
979.95, 0.1388461, 0.07008488
980, 0.1398721, 0.07149464
980.05, 0.140914, 0.06914505
980.1, 0.14194, 0.071338
980.15, 0.1430134, 0.07071144
980.2, 0.1440394, 0.07149464
980.3, 0.1459494, 0.0697716
980.35, 0.1469597, 0.07008488
980.4, 0.1480646, 0.07071144
980.45, 0.1491696, 0.07008488
980.5, 0.1501641, 0.07039816
980.6, 0.1520583, 0.0697716
980.65, 0.1530685, 0.07274775
980.7, 0.1539525, 0.07039816
980.75, 0.1549154, 0.07243447
980.8, 0.1558151, 0.07071144
980.85, 0.1568885, 0.07243447
980.95, 0.1587828, 0.06898841
981, 0.1598403, 0.07086808
981.05, 0.1609611, 0.071338
981.1, 0.1619871, 0.0697716
981.2, 0.1639445, 0.06914505
981.25, 0.1649389, 0.06789193
981.3, 0.1658703, 0.06961497
981.35, 0.1669437, 0.0705548
981.45, 0.1687747, 0.07118136
981.5, 0.1697534, 0.06898841
981.55, 0.1708426, 0.07102472
981.6, 0.1718686, 0.06867513
981.65, 0.1729736, 0.07024152
981.7, 0.1738733, 0.06883177
981.8, 0.1759885, 0.07039816
981.85, 0.1770146, 0.06945832
981.9, 0.1778354, 0.06773529
981.95, 0.1788299, 0.06945832
982.05, 0.1807872, 0.06992824
982.1, 0.1819238, 0.06898841
982.15, 0.1829814, 0.06945832
982.2, 0.1840863, 0.06898841
982.25, 0.185065, 0.06773529
982.35, 0.1868961, 0.06820521
982.4, 0.1879063, 0.07039816
982.45, 0.1889639, 0.06836185
982.55, 0.1909371, 0.06914505
982.6, 0.1918842, 0.0697716
982.65, 0.1928313, 0.06930169
982.7, 0.1939047, 0.07008488
982.75, 0.194836, 0.0661689
982.85, 0.1967618, 0.06820521
982.9, 0.1977405, 0.06757865
982.95, 0.1986876, 0.06820521
983, 0.1997294, 0.06867513
983.05, 0.2006291, 0.06742202
983.1, 0.2016078, 0.06679546
983.15, 0.2026654, 0.06804857
983.2, 0.2036757, 0.07165127
983.3, 0.2056962, 0.07102472
983.35, 0.2067696, 0.07227783
983.4, 0.2077325, 0.07071144
983.45, 0.2087585, 0.06992824
983.5, 0.2097845, 0.06789193
983.55, 0.2108264, 0.06757865
983.65, 0.2128626, 0.06710874
983.7, 0.2137939, 0.07008488
983.75, 0.2147726, 0.06742202
983.8, 0.215846, 0.06726538
983.85, 0.2167458, 0.06804857
983.9, 0.2178665, 0.06836185
983.95, 0.2188768, 0.06679546
984.05, 0.2209131, 0.0697716
984.1, 0.2219391, 0.07008488
984.15, 0.2228546, 0.06726538
984.2, 0.223928, 0.06773529
984.25, 0.2250014, 0.06679546
984.35, 0.2269272, 0.06679546
984.4, 0.2278427, 0.06836185
984.45, 0.2289003, 0.06914505
984.5, 0.2299895, 0.06726538
984.55, 0.230984, 0.06710874
984.6, 0.2319153, 0.06726538
984.65, 0.232894, 0.06710874
984.7, 0.2339516, 0.06742202
984.75, 0.2350092, 0.06710874
984.85, 0.2369666, 0.06679546
984.9, 0.2380241, 0.06742202
984.95, 0.2389555, 0.06663882
985, 0.2399815, 0.06773529
985.05, 0.2410233, 0.06679546
985.1, 0.2423019, 0.06804857
985.15, 0.2431385, 0.06679546
985.25, 0.245017, 0.06679546
985.3, 0.2459167, 0.06773529
985.35, 0.2469743, 0.06601226
985.4, 0.2479688, 0.06804857
985.45, 0.2489633, 0.0661689
985.5, 0.2499104, 0.06804857
985.6, 0.2520413, 0.06804857
985.65, 0.2530516, 0.06773529
985.7, 0.2540145, 0.06601226
985.8, 0.2558929, 0.06789193
985.85, 0.2569348, 0.06632554
985.9, 0.2580397, 0.06632554
986, 0.2599024, 0.0653857
986.05, 0.2608021, 0.06569898
986.1, 0.2619229, 0.06710874
986.15, 0.2628384, 0.06522907
986.2, 0.2638802, 0.06632554
986.25, 0.2648747, 0.06507242
986.3, 0.2658218, 0.06460251
986.4, 0.2678581, 0.06522907
986.45, 0.2689157, 0.06444587
986.5, 0.2698628, 0.06460251
986.55, 0.2708888, 0.06554235
986.6, 0.2717728, 0.06522907
986.7, 0.2738406, 0.06491579
986.75, 0.2748824, 0.0653857
986.8, 0.2760032, 0.06585562
986.85, 0.276824, 0.06428923
986.9, 0.2777711, 0.06413259
986.95, 0.2788761, 0.06710874
987, 0.2799021, 0.06460251
987.05, 0.2807703, 0.06507242
987.1, 0.2817648, 0.06444587
987.2, 0.2838484, 0.06413259
987.25, 0.2849849, 0.06569898
987.3, 0.2859794, 0.0633494
987.35, 0.2869897, 0.06413259
987.4, 0.2880157, 0.06507242
987.45, 0.2889944, 0.06632554
987.55, 0.2909044, 0.06601226
987.6, 0.2918673, 0.0653857
987.65, 0.2928459, 0.06601226
987.7, 0.2937931, 0.0653857
987.75, 0.2947875, 0.06444587
987.8, 0.2957662, 0.0661689
987.85, 0.2967291, 0.06507242
987.9, 0.2978025, 0.06585562
988, 0.2998388, 0.06475915
988.05, 0.300849, 0.06491579
988.1, 0.3017014, 0.06507242
988.15, 0.3027432, 0.06601226
988.25, 0.30489, 0.0653857
988.3, 0.3060423, 0.06695209
988.35, 0.3070999, 0.06585562
988.4, 0.3080628, 0.06522907
988.45, 0.3090889, 0.06413259
988.5, 0.3101149, 0.0661689
988.6, 0.3119459, 0.06507242
988.65, 0.3129878, 0.06648218
988.7, 0.313998, 0.06413259
988.75, 0.3152466, 0.06491579
988.8, 0.3160366, 0.06460251
988.85, 0.3169845, 0.06428923
988.9, 0.3179325, 0.06444587
988.95, 0.3188805, 0.06397595
989, 0.3196705, 0.06350603
989.05, 0.3207764, 0.06475915
989.15, 0.3226724, 0.06569898
989.2, 0.3239363, 0.0653857
989.25, 0.3247263, 0.06601226
989.3, 0.3256743, 0.0661689
989.35, 0.3267803, 0.06475915
989.4, 0.3277283, 0.06303611
989.5, 0.3299402, 0.06522907
989.55, 0.3307302, 0.06444587
989.6, 0.3318361, 0.06413259
989.65, 0.3329421, 0.0653857
989.75, 0.334996, 0.0653857
989.8, 0.335944, 0.06381931
989.85, 0.336734, 0.0653857
989.9, 0.33784, 0.06491579
989.95, 0.338946, 0.06475915
990, 0.3398939, 0.06413259
990.05, 0.3408419, 0.06444587
990.1, 0.3419479, 0.06413259
990.2, 0.3438438, 0.06397595
990.25, 0.3449498, 0.06507242
990.3, 0.3457398, 0.06444587
990.35, 0.3468457, 0.06397595
990.4, 0.3477937, 0.06491579
990.45, 0.3487417, 0.06460251
990.5, 0.3498477, 0.06444587
990.55, 0.3509536, 0.06507242
990.65, 0.3526916, 0.06381931
990.7, 0.3536395, 0.06428923
990.75, 0.3547455, 0.06601226
990.85, 0.3569575, 0.06444587
990.95, 0.3586954, 0.06585562
991, 0.3596434, 0.06569898
991.05, 0.3605914, 0.06428923
991.1, 0.3616973, 0.06569898
991.15, 0.3626453, 0.0661689
991.2, 0.3637513, 0.0653857
991.25, 0.3646992, 0.06507242
991.3, 0.3656472, 0.06648218
991.35, 0.3667532, 0.0653857
991.45, 0.3684911, 0.06522907
