Experiment:, Cathode characterisation
Start date:, ?tvrtek 11. kv?tna 2023
Start time:, 17:44:53 +02:00
Time (s), Current Density (A/cm2)
644, -0.04031888
645, 0.04674564
646, 0.04752883
647, 0.04690227
648, 0.04674564
649, 0.04721555
650, 0.04737219
651, 0.04721555
652, 0.04690227
653, 0.04658899
654, 0.04674564
655, 0.04674564
656, 0.04690227
657, 0.04737219
658, 0.0486253
659, 0.04831202
660, 0.04831202
661, 0.04705891
662, 0.04721555
663, 0.04737219
664, 0.04737219
665, 0.04690227
666, 0.04674564
667, 0.04674564
668, 0.0486253
669, 0.04846866
670, 0.04846866
671, 0.04846866
672, 0.04972177
673, 0.04831202
674, 0.0486253
675, 0.04893858
676, 0.04831202
677, 0.0486253
678, 0.04846866
679, 0.04831202
680, 0.04925186
681, 0.04846866
682, 0.04956514
683, 0.04925186
684, 0.0494085
685, 0.04956514
686, 0.0494085
687, 0.04925186
688, 0.04893858
689, 0.04909522
690, 0.0494085
691, 0.05003506
692, 0.04972177
693, 0.04909522
694, 0.05003506
695, 0.04909522
696, 0.04956514
697, 0.04925186
698, 0.05003506
699, 0.05050497
700, 0.05003506
701, 0.04925186
702, 0.05050497
703, 0.05003506
704, 0.05003506
705, 0.05034833
706, 0.05050497
707, 0.04972177
708, 0.05050497
709, 0.05003506
710, 0.05019169
711, 0.05097489
712, 0.05003506
713, 0.05066161
714, 0.05097489
715, 0.05097489
716, 0.05113153
717, 0.05175809
718, 0.05097489
719, 0.05144481
720, 0.05285456
721, 0.05097489
722, 0.05191473
723, 0.05144481
724, 0.05191473
725, 0.05175809
726, 0.05191473
727, 0.05222801
728, 0.05144481
729, 0.05160145
730, 0.05113153
731, 0.05128817
732, 0.05034833
733, 0.05160145
734, 0.05222801
735, 0.05238464
736, 0.05254128
737, 0.05191473
738, 0.05128817
739, 0.05113153
740, 0.05113153
741, 0.05175809
742, 0.05254128
743, 0.05363776
744, 0.05222801
745, 0.05269792
746, 0.05254128
747, 0.0530112
748, 0.05222801
749, 0.05254128
750, 0.05238464
751, 0.05238464
752, 0.05238464
753, 0.0530112
754, 0.05191473
755, 0.05207136
756, 0.05207136
757, 0.05207136
758, 0.05191473
759, 0.05207136
760, 0.05144481
761, 0.04909522
762, 0.05003506
763, 0.05066161
