Experiment:, Cathode characterisation
Start date:, st?eda 17. kv?tna 2023
Start time:, 14:49:46 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1117.55, 0.05054402, -0.6543717
1117.65, 0.0524856, -0.3625528
1117.7, 0.05348006, -0.315561
1117.75, 0.05455345, -0.258231
1117.8, 0.05564263, -0.2264332
1117.85, 0.05651081, -0.2367714
1117.9, 0.05730006, -0.2420972
1118, 0.05933635, -0.1769352
1118.05, 0.06026767, -0.1539093
1118.1, 0.06135685, -0.1301001
1118.15, 0.06227238, -0.1354258
1118.2, 0.0634247, -0.1042546
1118.25, 0.06432445, -0.1155327
1118.35, 0.06632917, -0.07277013
1118.4, 0.06732363, -0.06916743
1118.45, 0.06849173, -0.04629809
1118.5, 0.06954934, -0.05741948
1118.55, 0.07049644, -0.04269539
1118.6, 0.07158562, -0.03768294
1118.65, 0.07250116, -0.04238211
1118.7, 0.07351141, -0.02844122
1118.75, 0.07449009, -0.0235854
1118.85, 0.07641587, -0.01935614
1118.9, 0.07737876, -0.01387376
1118.95, 0.0784048, 0.0002237698
1119, 0.07933612, -0.009174587
1119.1, 0.08154604, 0.00413975
1119.15, 0.08241422, -0.001812541
1119.2, 0.08348761, 0.008055733
1119.25, 0.08441894, 0.003513194
1119.3, 0.08539762, 0.01573106
1119.35, 0.08651836, 0.01729745
1119.45, 0.08855465, 0.01416466
1119.5, 0.08959647, 0.02512941
1119.55, 0.09059093, 0.02450286
1119.6, 0.09171168, 0.02716572
1119.65, 0.09256408, 0.02324974
1119.7, 0.09360589, 0.02512941
1119.75, 0.09458457, 0.02888875
1119.8, 0.09553168, 0.02810556
1119.85, 0.09654193, 0.02998523
1119.9, 0.09753639, 0.03421449
1120, 0.09949375, 0.03421449
1120.05, 0.1003461, 0.03280474
1120.1, 0.1014195, 0.03750391
1120.15, 0.1025245, 0.04235973
1120.2, 0.1035505, 0.03672072
1120.25, 0.1045766, 0.04032342
1120.35, 0.1065655, 0.04423941
1120.4, 0.10756, 0.04173318
1120.45, 0.1085702, 0.04439604
1120.5, 0.1095962, 0.03938359
1120.55, 0.1103697, 0.03907031
