Experiment:, Cathode characterisation
Start date:, st?eda 12. ?ervence 2023
Start time:, 11:56:39 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1117.55, 0.05070188, -0.4064118
1117.65, 0.05281708, -0.1662838
1117.7, 0.05387469, -0.1100503
1117.75, 0.05488494, -0.08639775
1117.8, 0.05591097, -0.0622753
1117.85, 0.05676337, -0.06478152
1117.9, 0.05767891, -0.05319022
1118, 0.05966783, -0.003065657
1118.05, 0.06080437, 0.01823729
1118.1, 0.06181461, 0.0143213
1118.15, 0.06285643, 0.01839392
1118.2, 0.06377197, 0.02544269
1118.25, 0.06475065, 0.02638253
1118.3, 0.06577669, 0.04267301
1118.4, 0.06779719, 0.05520415
1118.45, 0.06883901, 0.05802366
1118.5, 0.06983347, 0.06162636
1118.55, 0.07092264, 0.06836185
1118.6, 0.07194867, 0.07447078
1118.65, 0.07292736, 0.06961497
1118.75, 0.07485314, 0.07431415
1118.8, 0.07587918, 0.08120627
1118.85, 0.07684207, 0.07901332
1118.9, 0.07769447, 0.07729029
1118.95, 0.07878364, 0.08856832
1119, 0.07969918, 0.0888816
1119.1, 0.08170389, 0.09781004
1119.15, 0.08271415, 0.09154446
1119.2, 0.08377175, 0.09984634
1119.25, 0.08463993, 0.09170111
1119.3, 0.08572911, 0.1031358
1119.35, 0.08686563, 0.1100279
1119.4, 0.08781274, 0.1015694
1119.5, 0.08958068, 0.1045455
1119.55, 0.09063829, 0.1103412
1119.6, 0.09174325, 0.113004
1119.65, 0.09281664, 0.1155103
1119.7, 0.09377953, 0.1108111
1119.75, 0.09475821, 0.1103412
1119.8, 0.09575267, 0.1153536
1119.85, 0.09671557, 0.1139439
1119.95, 0.09886234, 0.1245953
1120, 0.09982523, 0.1133173
1120.05, 0.1008671, 0.1205227
1120.1, 0.1016879, 0.1178599
1120.15, 0.1026981, 0.1198962
1120.25, 0.1047502, 0.1242821
1120.3, 0.1056815, 0.1161368
1120.35, 0.106676, 0.1206794
1120.4, 0.107702, 0.1220891
1120.45, 0.1088701, 0.1272582
1120.5, 0.1099119, 0.1206794
1120.55, 0.1108748, 0.1249086
1120.6, 0.1119324, 0.1214626
1120.7, 0.1138424, 0.1227157
1120.75, 0.1147738, 0.1213059
1120.8, 0.1158945, 0.1260051
1120.85, 0.1168258, 0.1139439
1120.9, 0.1178677, 0.1285113
1120.95, 0.1188621, 0.1216192
1121, 0.1198566, 0.1200528
1121.05, 0.1208826, 0.1277281
1121.15, 0.1228242, 0.1216192
1121.2, 0.1238344, 0.1202094
1121.25, 0.1248289, 0.1258485
1121.3, 0.1258549, 0.1222458
1121.35, 0.1268652, 0.1250653
1121.4, 0.1278281, 0.1214626
1121.5, 0.1297223, 0.1206794
1121.55, 0.1307168, 0.1258485
1121.6, 0.1316639, 0.1209926
1121.65, 0.1326426, 0.1213059
1121.7, 0.1337317, 0.1253785
1121.8, 0.1357049, 0.1202094
1121.85, 0.1366835, 0.1222458
1121.9, 0.1377411, 0.1280414
1121.95, 0.1387672, 0.1213059
1122, 0.1398564, 0.1267883
1122.05, 0.1407403, 0.1180165
1122.1, 0.1416401, 0.1202094
1122.15, 0.142603, 0.1253785
1122.2, 0.1436132, 0.1194263
1122.3, 0.1456337, 0.1214626
1122.4, 0.1477016, 0.122559
1122.45, 0.1486487, 0.1203661
1122.55, 0.1506692, 0.1256918
1122.6, 0.1515847, 0.1183298
1122.65, 0.1526265, 0.124752
1122.7, 0.1535579, 0.1177032
1122.75, 0.1545208, 0.1260051
1122.8, 0.1555941, 0.1228723
1122.85, 0.1566518, 0.1219325
1122.9, 0.1575515, 0.1195829
1123, 0.1596509, 0.1255352
1123.05, 0.1605191, 0.1159802
1123.1, 0.1614504, 0.1175466
1123.15, 0.162366, 0.1219325
1123.2, 0.1635499, 0.1234989
1123.25, 0.1645127, 0.1189563
1123.3, 0.1654125, 0.1161368
1123.35, 0.1663912, 0.1213059
1123.45, 0.1683328, 0.1209926
1123.5, 0.1694061, 0.1206794
1123.55, 0.1703059, 0.1195829
1123.65, 0.1724685, 0.1260051
1123.7, 0.1734787, 0.1155103
1123.8, 0.1754361, 0.120836
1123.85, 0.1765568, 0.1216192
1123.9, 0.1775039, 0.1183298
1123.95, 0.178451, 0.1180165
1124, 0.1795402, 0.1209926
1124.1, 0.1816554, 0.1167634
1124.15, 0.1826972, 0.1260051
1124.2, 0.1837075, 0.1167634
1124.25, 0.1846862, 0.120836
1124.3, 0.1856491, 0.1203661
1124.35, 0.1867224, 0.120836
1124.4, 0.1876222, 0.1194263
1124.45, 0.1886798, 0.1233422
1124.55, 0.1906056, 0.11692
1124.6, 0.1916158, 0.1231856
1124.65, 0.1927366, 0.1222458
1124.7, 0.1939047, 0.1252219
1124.75, 0.1947886, 0.1192696
1124.8, 0.1958463, 0.1260051
1124.85, 0.1968407, 0.115197
1124.95, 0.1988139, 0.1197395
1125, 0.1996978, 0.1216192
1125.05, 0.2006607, 0.1159802
1125.1, 0.2017025, 0.1252219
1125.2, 0.2037704, 0.1253785
1125.25, 0.2047964, 0.1192696
1125.3, 0.2057278, 0.1205227
1125.35, 0.2066906, 0.1239688
1125.4, 0.2077167, 0.120836
1125.45, 0.2088216, 0.1281981
1125.5, 0.209895, 0.1219325
