Experiment:, Cathode characterisation
Start date:, ?ter? 25. ?ervence 2023
Start time:, 11:38:22 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1117.55, 0.05093865, -0.02687482
1117.65, 0.05288023, 0.255859
1117.7, 0.05389047, 0.3393478
1117.75, 0.05490072, 0.4007504
1117.8, 0.05592676, 0.4369341
1117.85, 0.05682651, 0.4468023
1117.9, 0.05783676, 0.4681053
1118, 0.05984147, 0.480793
1118.05, 0.06082015, 0.4789134
1118.1, 0.06176726, 0.4710814
1118.15, 0.06285643, 0.4779736
1118.2, 0.06380355, 0.4684185
1118.3, 0.06582404, 0.4634061
1118.35, 0.06678694, 0.4547909
1118.4, 0.06779719, 0.4510316
1118.45, 0.06876008, 0.4419465
1118.5, 0.06978611, 0.4392836
1118.55, 0.0708595, 0.4374039
1118.6, 0.07183818, 0.4231498
1118.65, 0.07284843, 0.423933
1118.7, 0.07381132, 0.4139081
1118.8, 0.07597388, 0.416571
1118.85, 0.07688943, 0.3958946
1118.9, 0.07782075, 0.3949547
1118.95, 0.07887835, 0.391822
1119, 0.07984124, 0.3853997
1119.05, 0.08088306, 0.3852431
1119.1, 0.08178282, 0.3750615
1119.2, 0.08394539, 0.3736518
1119.25, 0.0849872, 0.3739651
1119.3, 0.08612373, 0.3742784
1119.35, 0.08696035, 0.360964
1119.45, 0.08883877, 0.3545418
1119.5, 0.08984903, 0.3628437
1119.55, 0.0909382, 0.3623738
1119.6, 0.09194845, 0.3548551
1119.65, 0.09297449, 0.3534453
1119.7, 0.09389003, 0.3501559
1119.75, 0.09490027, 0.3490594
1119.8, 0.09592631, 0.3468665
1119.85, 0.0968892, 0.34624
1119.95, 0.09881499, 0.3416974
1120, 0.0997621, 0.3406009
1120.05, 0.1010091, 0.3470231
1120.1, 0.1018773, 0.3357451
1120.15, 0.1027928, 0.3359017
1120.2, 0.1037715, 0.3377814
1120.3, 0.1058709, 0.3399743
1120.35, 0.1069128, 0.3382513
1120.4, 0.1079388, 0.3371549
1120.45, 0.1088701, 0.3357451
1120.5, 0.1099119, 0.3333955
1120.6, 0.1117114, 0.3291662
1120.65, 0.1127691, 0.3343354
1120.7, 0.113653, 0.3293229
1120.75, 0.1147106, 0.3316725
1120.8, 0.1158945, 0.3341787
1120.85, 0.1168732, 0.3293229
1120.9, 0.1179308, 0.3297928
1120.95, 0.118799, 0.3280698
1121.05, 0.1208037, 0.3296361
1121.1, 0.1217982, 0.3279131
1121.15, 0.1229663, 0.3337088
1121.2, 0.1239134, 0.3261901
1121.25, 0.1247973, 0.3291662
1121.3, 0.1258076, 0.3293229
1121.35, 0.1268652, 0.3290096
1121.45, 0.1288857, 0.3310459
1121.5, 0.1298801, 0.328853
1121.55, 0.1308746, 0.330106
1121.6, 0.1318533, 0.3290096
1121.65, 0.1328635, 0.3316725
1121.7, 0.1338738, 0.3297928
1121.8, 0.1358785, 0.3307326
1121.85, 0.1369677, 0.3307326
1121.9, 0.1378043, 0.3268166
1121.95, 0.1387988, 0.330576
1122, 0.1398721, 0.3310459
1122.05, 0.1407245, 0.3271299
1122.1, 0.1417979, 0.3319858
1122.15, 0.1428082, 0.3265034
1122.25, 0.1447655, 0.328853
1122.3, 0.1457916, 0.3282264
1122.35, 0.146786, 0.3304194
1122.4, 0.1479383, 0.3290096
1122.45, 0.1489328, 0.3274432
1122.55, 0.150906, 0.3265034
1122.6, 0.1519478, 0.3302627
1122.65, 0.1528633, 0.3277565
1122.7, 0.1537946, 0.3286963
1122.75, 0.1547891, 0.3307326
1122.8, 0.1558783, 0.3304194
1122.85, 0.1568727, 0.330106
1122.95, 0.1588617, 0.3282264
1123, 0.1598877, 0.3286963
1123.05, 0.1609295, 0.3312025
1123.1, 0.1619871, 0.3310459
1123.15, 0.1630447, 0.3297928
1123.2, 0.1639445, 0.3286963
1123.25, 0.1649389, 0.3318291
1123.3, 0.1659492, 0.3282264
1123.35, 0.1668174, 0.328853
1123.45, 0.1688221, 0.3337088
1123.5, 0.1699113, 0.3313591
1123.55, 0.1708426, 0.3321424
1123.6, 0.1717423, 0.3296361
1123.65, 0.1727526, 0.332299
1123.7, 0.1737313, 0.3304194
1123.8, 0.1756886, 0.3326123
1123.85, 0.176762, 0.3337088
1123.9, 0.1778196, 0.3348052
1123.95, 0.1787194, 0.3338654
1124, 0.1798717, 0.3369982
1124.05, 0.1809924, 0.3348052
1124.15, 0.1831076, 0.3352752
1124.2, 0.1841021, 0.3346486
1124.25, 0.1851124, 0.3346486
1124.35, 0.1870066, 0.3376248
1124.4, 0.1881115, 0.3357451
1124.5, 0.1899426, 0.3354318
1124.55, 0.1909371, 0.3365283
1124.6, 0.1918684, 0.3349619
1124.65, 0.1928313, 0.3369982
1124.7, 0.1938889, 0.3376248
1124.8, 0.1958463, 0.3373115
1124.9, 0.1978983, 0.3393478
1124.95, 0.1989086, 0.3376248
1125, 0.1999188, 0.3380947
1125.05, 0.2008659, 0.3413841
1125.1, 0.2019235, 0.3377814
1125.2, 0.2039282, 0.3407575
1125.25, 0.2049543, 0.3376248
1125.3, 0.205854, 0.3393478
1125.35, 0.2068959, 0.3390345
1125.4, 0.2078272, 0.3376248
1125.45, 0.2089637, 0.3423239
1125.5, 0.2098161, 0.3377814
1125.55, 0.2107632, 0.3407575
1125.6, 0.2118524, 0.3404443
1125.7, 0.2137782, 0.3423239
1125.75, 0.2148516, 0.3420106
1125.8, 0.2159249, 0.3431071
1125.85, 0.2167774, 0.3390345
1125.9, 0.2177402, 0.3426372
1125.95, 0.2187189, 0.3399743
1126, 0.2196976, 0.3420106
1126.1, 0.2218128, 0.3416974
1126.15, 0.2226652, 0.3413841
1126.2, 0.2237702, 0.3421673
1126.3, 0.225838, 0.3443602
1126.4, 0.227827, 0.3409142
1126.45, 0.2287267, 0.3402876
1126.5, 0.2298001, 0.3426372
1126.55, 0.230763, 0.341854
1126.6, 0.2317732, 0.3426372
1126.65, 0.2326572, 0.3415407
1126.7, 0.233699, 0.3407575
1126.75, 0.2347408, 0.3438903
1126.85, 0.2367456, 0.3415407
1126.9, 0.2377242, 0.3426372
1126.95, 0.2387029, 0.3427939
1127, 0.23965, 0.3421673
1127.05, 0.2405971, 0.3449868
1127.1, 0.2418126, 0.3442036
1127.2, 0.2440225, 0.3424806
1127.25, 0.245017, 0.3437337
1127.3, 0.2458851, 0.3424806
1127.35, 0.2468796, 0.3435771
1127.4, 0.2478109, 0.3424806
1127.45, 0.2488686, 0.3445169
1127.5, 0.2499735, 0.3451435
1127.6, 0.2519309, 0.3443602
1127.65, 0.2529095, 0.3459266
1127.7, 0.2540618, 0.3468665
1127.75, 0.25493, 0.3442036
1127.8, 0.2557982, 0.3465532
1127.85, 0.2567927, 0.34577
1127.9, 0.2577714, 0.3463965
1128, 0.2598708, 0.347493
1128.05, 0.2608337, 0.3479629
1128.15, 0.2627594, 0.3465532
1128.2, 0.2638328, 0.3492161
1128.25, 0.2648905, 0.3492161
1128.3, 0.265806, 0.3476497
1128.4, 0.2678423, 0.3479629
1128.45, 0.2687578, 0.347493
1128.5, 0.2696891, 0.3476497
1128.55, 0.270652, 0.3501559
1128.6, 0.2717728, 0.3501559
1128.65, 0.2727672, 0.3504692
1128.75, 0.2748824, 0.3507824
1128.8, 0.276019, 0.3498426
1128.85, 0.2769661, 0.3509391
1128.9, 0.2780237, 0.3520356
1128.95, 0.2790971, 0.3510957
1129, 0.2801705, 0.3515657
1129.05, 0.2810545, 0.3510957
1129.1, 0.2820647, 0.3532887
1129.2, 0.2840221, 0.3515657
1129.25, 0.2849849, 0.3526621
1129.3, 0.2859636, 0.3521922
1129.35, 0.2871317, 0.3539152
1129.4, 0.2879999, 0.3529754
1129.45, 0.2889786, 0.3528188
1129.55, 0.2908886, 0.3543852
1129.6, 0.2918831, 0.3528188
1129.65, 0.292767, 0.3537586
1129.7, 0.2937615, 0.3526621
1129.75, 0.2948033, 0.3554817
1129.8, 0.2960187, 0.3539152
1129.9, 0.297913, 0.3550117
1129.95, 0.2989232, 0.353602
1130, 0.3000124, 0.3545418
1130.05, 0.3009753, 0.3540719
1130.1, 0.3019382, 0.3554817
1130.15, 0.3029169, 0.3512524
1130.25, 0.3048111, 0.3449868
1130.3, 0.3058371, 0.3509391
1130.35, 0.3070526, 0.3515657
1130.4, 0.3080944, 0.3521922
1130.45, 0.3090889, 0.3520356
1130.5, 0.310036, 0.3528188
1130.55, 0.3109357, 0.3546984
1130.6, 0.3118355, 0.3554817
1130.7, 0.3138244, 0.3554817
1130.75, 0.3152466, 0.3525055
1130.8, 0.3157206, 0.3550117
1130.85, 0.3166686, 0.3557949
1130.9, 0.3177745, 0.3565781
1130.95, 0.3185645, 0.3559515
1131, 0.3196705, 0.3557949
1131.05, 0.3206185, 0.3581445
1131.15, 0.3226724, 0.3575179
1131.2, 0.3236203, 0.357048
1131.25, 0.3244103, 0.3581445
1131.3, 0.3253583, 0.3579879
1131.4, 0.3275703, 0.3598675
1131.45, 0.3286762, 0.3608074
1131.5, 0.3297822, 0.3597109
1131.55, 0.3307302, 0.3606507
1131.6, 0.3316782, 0.3597109
1131.65, 0.3329421, 0.3600242
1131.7, 0.3338901, 0.3614339
1131.75, 0.3346801, 0.3593976
1131.85, 0.336734, 0.3611206
1131.9, 0.337682, 0.3623738
1131.95, 0.338788, 0.3631569
1132, 0.3397359, 0.3615905
1132.05, 0.3405259, 0.3617472
1132.1, 0.3416319, 0.3625304
1132.15, 0.3427379, 0.3628437
1132.2, 0.3438438, 0.3650366
1132.3, 0.3455818, 0.3636269
1132.35, 0.3465297, 0.3644101
1132.4, 0.3476357, 0.3658198
1132.45, 0.3487417, 0.3653499
1132.5, 0.3496896, 0.3667597
1132.55, 0.3506376, 0.3650366
1132.65, 0.3526916, 0.3647234
1132.7, 0.3536395, 0.36488
1132.75, 0.3545875, 0.3664464
1132.8, 0.3555355, 0.3653499
1132.85, 0.3566415, 0.3675429
1132.9, 0.3577474, 0.3667597
1133, 0.3596434, 0.3676995
1133.05, 0.3607493, 0.3686393
1133.1, 0.3616973, 0.368796
1133.15, 0.3626453, 0.370519
1133.2, 0.3635933, 0.368326
1133.25, 0.3643833, 0.3692659
1133.3, 0.3654892, 0.3717721
1133.4, 0.3673852, 0.3706756
1133.45, 0.3683331, 0.3709889
1133.5, 0.3695971, 0.3716155
1133.55, 0.3703871, 0.3711456
1133.6, 0.371493, 0.3725553
1133.65, 0.372599, 0.3714588
1133.75, 0.374337, 0.3723986
1133.8, 0.375601, 0.3717721
1133.85, 0.3765489, 0.3733385
1133.9, 0.3776549, 0.3736518
1134, 0.3795508, 0.3736518
1134.1, 0.3816048, 0.3747482
1134.15, 0.3823948, 0.3742784
1134.2, 0.3835008, 0.3750615
1134.25, 0.3846067, 0.3764713
