Experiment:, Cathode characterisation
Start date:, st?eda 27. z??? 2023
Start time:, 11:05:59 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
786.55, 0.05071766, -0.6037772
786.65, 0.05284866, -0.3000537
786.7, 0.05390626, -0.2406874
786.75, 0.05493229, -0.2106127
786.8, 0.05584783, -0.1966718
786.85, 0.05685808, -0.1673802
786.95, 0.05873651, -0.1564155
787, 0.05974676, -0.1185088
787.05, 0.06080437, -0.08921725
787.1, 0.06179883, -0.08028881
787.15, 0.06285643, -0.06446825
787.2, 0.06386668, -0.05851596
787.25, 0.064798, -0.06540807
787.35, 0.06680272, -0.02499515
787.4, 0.06784454, -0.02045261
787.45, 0.06896529, -0.003065657
787.5, 0.06988082, -0.0148136
787.55, 0.07078058, -0.01544016
787.6, 0.07188553, 0.01275491
787.65, 0.07294314, 0.01322483
787.75, 0.07475843, 0.00413975
787.8, 0.0757529, 0.01714081
787.85, 0.07677893, 0.02841884
787.9, 0.07780496, 0.03311801
787.95, 0.07875207, 0.0238763
788, 0.07977811, 0.04094998
788.05, 0.080741, 0.03061179
788.1, 0.08175125, 0.04439604
788.2, 0.08386645, 0.04878194
788.25, 0.08497141, 0.05786702
788.3, 0.08604481, 0.05755374
788.35, 0.0870077, 0.04799874
788.4, 0.0879706, 0.05677054
788.5, 0.08986481, 0.05614398
788.55, 0.0909382, 0.0653857
788.6, 0.09185375, 0.05833694
788.65, 0.09278506, 0.05724046
788.7, 0.0937006, 0.06303611
788.75, 0.09475821, 0.07525398
788.8, 0.09584738, 0.07353094
788.85, 0.09685763, 0.0697716
788.95, 0.09883077, 0.071338
789, 0.0998726, 0.08073635
789.05, 0.1009302, 0.07760356
789.1, 0.1019247, 0.07901332
789.15, 0.1030138, 0.08292931
789.25, 0.1047186, 0.06773529
789.3, 0.1058078, 0.08982144
789.35, 0.1067391, 0.07682038
789.4, 0.10756, 0.07729029
789.45, 0.1086649, 0.08903823
789.5, 0.1096594, 0.09060463
789.6, 0.1116483, 0.08261602
789.65, 0.1127059, 0.09890651
789.7, 0.1136846, 0.08324257
789.75, 0.1148211, 0.0968702
789.8, 0.1159261, 0.0968702
789.85, 0.1169837, 0.09436397
789.9, 0.117915, 0.086532
789.95, 0.1188621, 0.08684529
790.05, 0.1208826, 0.09342413
790.1, 0.1218297, 0.09827995
790.15, 0.1228558, 0.09420733
790.2, 0.1238187, 0.09279758
790.25, 0.1247815, 0.09436397
790.3, 0.1259339, 0.1031358
790.35, 0.1269915, 0.09796667
790.45, 0.1288383, 0.08950816
790.5, 0.1299433, 0.1018827
790.55, 0.1308746, 0.09718347
790.6, 0.1319006, 0.09420733
790.75, 0.1347104, 0.09170111
790.8, 0.1356575, 0.09295422
790.85, 0.1365573, 0.09217101
790.9, 0.1375991, 0.09342413
790.95, 0.1386093, 0.105642
791, 0.1396985, 0.0968702
791.05, 0.1407561, 0.09984634
791.1, 0.1417348, 0.0953038
791.15, 0.1428397, 0.09921978
791.25, 0.144876, 0.09608699
791.3, 0.1457284, 0.09123117
791.35, 0.1467545, 0.09874986
791.4, 0.1478594, 0.09577372
791.45, 0.1488855, 0.08919487
791.55, 0.1507007, 0.0888816
791.6, 0.1517268, 0.09640028
791.65, 0.1527844, 0.09749676
791.7, 0.1537631, 0.09577372
791.75, 0.1548049, 0.09514717
791.8, 0.1557362, 0.08794177
791.85, 0.1566833, 0.09640028
791.9, 0.1577094, 0.09185775
792, 0.1596983, 0.09154446
792.05, 0.1607875, 0.09608699
792.1, 0.1617503, 0.09013471
792.15, 0.1627448, 0.09514717
792.2, 0.1638024, 0.09373742
792.25, 0.1648758, 0.09812331
792.3, 0.1657913, 0.08543553
792.4, 0.1676698, 0.09185775
792.45, 0.1687116, 0.09389405
792.5, 0.1697219, 0.08700192
792.55, 0.1707479, 0.09138783
792.6, 0.1717581, 0.086532
792.7, 0.1737628, 0.09232766
792.75, 0.1747889, 0.08543553
792.8, 0.1757991, 0.09044799
792.85, 0.1766989, 0.08026644
792.9, 0.1777249, 0.086532
792.95, 0.1787983, 0.09217101
793, 0.1798086, 0.08261602
793.05, 0.1809135, 0.09279758
793.15, 0.1829024, 0.08355586
793.2, 0.1838969, 0.08465233
793.25, 0.1848914, 0.08104963
793.3, 0.1858858, 0.08606208
793.35, 0.1869434, 0.09060463
793.4, 0.1879379, 0.07870004
793.45, 0.1888061, 0.07963987
793.55, 0.1908582, 0.08872496
793.6, 0.1917737, 0.07290439
793.65, 0.192705, 0.08183283
793.7, 0.1937626, 0.0837125
793.75, 0.1947571, 0.08230274
793.85, 0.1966987, 0.08198947
793.9, 0.1976773, 0.0749407
793.95, 0.1987034, 0.08465233
794, 0.1996663, 0.07744693
794.05, 0.2006291, 0.07760356
794.1, 0.201671, 0.0813629
794.15, 0.2026023, 0.08277266
794.25, 0.2045912, 0.07697701
794.3, 0.2055857, 0.07885668
794.35, 0.2065328, 0.07525398
794.4, 0.2075746, 0.08590545
794.45, 0.2086007, 0.0793266
794.5, 0.2096425, 0.08089299
794.55, 0.2106211, 0.07431415
794.65, 0.2126259, 0.08214611
794.7, 0.213715, 0.07838677
794.75, 0.2146464, 0.07760356
794.8, 0.215704, 0.08089299
794.85, 0.2165721, 0.07400087
794.9, 0.2175508, 0.08089299
794.95, 0.2185137, 0.07572389
795, 0.2195555, 0.08418241
795.1, 0.2216234, 0.07650709
795.15, 0.222681, 0.08308594
795.2, 0.2236439, 0.08089299
795.25, 0.2245436, 0.07337431
795.3, 0.2255381, 0.08621872
795.4, 0.2276533, 0.0785434
795.45, 0.2285373, 0.07086808
795.5, 0.2295318, 0.08057971
795.55, 0.2304789, 0.08292931
795.6, 0.2315364, 0.07290439
795.65, 0.2324993, 0.07995315
795.7, 0.2335728, 0.08480898
795.8, 0.2357511, 0.08355586
795.85, 0.2367298, 0.07729029
795.9, 0.2375979, 0.07400087
795.95, 0.2386556, 0.08324257
796, 0.23965, 0.07321767
796.05, 0.2406761, 0.08120627
796.15, 0.2427755, 0.07807348
796.2, 0.2438489, 0.08057971
796.25, 0.244796, 0.07243447
796.3, 0.2457115, 0.07274775
796.35, 0.2466428, 0.07368759
796.4, 0.2476847, 0.0741575
796.5, 0.2497367, 0.07885668
796.55, 0.2506838, 0.0697716
