Experiment:, Cathode characterisation
Start date:, ?tvrtek 12. ??jna 2023
Start time:, 12:17:00 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1020.05, 0.3999323, 0.09640028
1020.1, 0.4010383, 0.09655692
1020.15, 0.4019862, 0.09718347
1020.2, 0.4030922, 0.09593036
1020.25, 0.4040402, 0.09640028
1020.3, 0.4049881, 0.09718347
1020.35, 0.4059362, 0.09640028
1020.4, 0.4067261, 0.09624365
1020.45, 0.4076741, 0.09890651
1020.5, 0.4089381, 0.09702684
1020.55, 0.409886, 0.09655692
1020.6, 0.410676, 0.0968702
1020.65, 0.411782, 0.09718347
1020.7, 0.4128879, 0.09640028
1020.75, 0.4138359, 0.09827995
1020.8, 0.4149419, 0.09843659
1020.85, 0.4158899, 0.09702684
1020.9, 0.4169958, 0.09749676
1020.95, 0.4179438, 0.09890651
1021, 0.4190498, 0.09781004
1021.05, 0.4198397, 0.09890651
1021.1, 0.4209457, 0.09859323
1021.15, 0.4217357, 0.09812331
1021.2, 0.4226837, 0.09827995
1021.25, 0.4237897, 0.1004729
1021.3, 0.4248956, 0.09859323
1021.35, 0.4256856, 0.09874986
1021.4, 0.4267915, 0.09937642
1021.45, 0.4278975, 0.100003
1021.5, 0.4286875, 0.09890651
1021.55, 0.4297935, 0.09859323
1021.6, 0.4308994, 0.09890651
1021.65, 0.4320054, 0.09937642
1021.7, 0.4327954, 0.09906314
1021.75, 0.4335854, 0.09953307
1021.8, 0.4346913, 0.09953307
1021.85, 0.4357973, 0.1001596
1021.9, 0.4369033, 0.1004729
1021.95, 0.4380093, 0.1004729
1022, 0.4389572, 0.1010995
1022.05, 0.4400632, 0.09890651
1022.1, 0.4410112, 0.09859323
1022.15, 0.4419591, 0.1006295
1022.2, 0.4429071, 0.1001596
1022.25, 0.4436971, 0.1001596
1022.3, 0.4448031, 0.09953307
1022.35, 0.445751, 0.1004729
1022.4, 0.446699, 0.1003163
1022.45, 0.447647, 0.1018827
1022.5, 0.448753, 0.1004729
1022.55, 0.4497009, 0.1023526
1022.6, 0.4506489, 0.1020393
1022.65, 0.4517549, 0.1014127
1022.7, 0.4527029, 0.1014127
1022.75, 0.4536508, 0.101726
1022.8, 0.4545988, 0.1020393
1022.85, 0.4557048, 0.1010995
1022.9, 0.4568107, 0.1014127
1022.95, 0.4579167, 0.1004729
1023, 0.4587067, 0.1007862
1023.05, 0.4596547, 0.1012561
1023.1, 0.4607606, 0.1025092
1023.15, 0.4617086, 0.1018827
1023.2, 0.4628146, 0.1007862
1023.25, 0.4639205, 0.1026659
1023.3, 0.4647105, 0.1009428
1023.35, 0.4656585, 0.1023526
1023.4, 0.4667645, 0.1009428
1023.45, 0.4675545, 0.1015694
1023.5, 0.4686604, 0.1031358
1023.55, 0.4696084, 0.1023526
1023.6, 0.4707144, 0.1028225
1023.65, 0.4716623, 0.1042322
1023.7, 0.4726103, 0.1037623
1023.75, 0.4737163, 0.1028225
1023.8, 0.4746643, 0.1026659
1023.85, 0.4757702, 0.103919
1023.9, 0.4767182, 0.1028225
1023.95, 0.4776662, 0.1036057
1024, 0.4786142, 0.1037623
1024.05, 0.4795621, 0.103449
1024.1, 0.4806681, 0.1045455
1024.15, 0.4816161, 0.1037623
1024.2, 0.482722, 0.1053287
1024.25, 0.48367, 0.103449
1024.3, 0.484618, 0.1040756
1024.35, 0.485408, 0.1023526
1024.4, 0.4863559, 0.1031358
1024.45, 0.4874619, 0.1031358
1024.5, 0.4885679, 0.1057986
1024.55, 0.4895158, 0.1040756
1024.6, 0.4904639, 0.1050154
1024.65, 0.4915698, 0.1062686
1024.7, 0.4925178, 0.1031358
1024.75, 0.4936238, 0.1053287
1024.8, 0.4945717, 0.1043889
1024.85, 0.4955197, 0.1047022
1024.9, 0.4966257, 0.1048588
1024.95, 0.4975736, 0.1051721
1025, 0.4986796, 0.1050154
1025.05, 0.4996276, 0.1065818
1025.1, 0.5007336, 0.1057986
1025.15, 0.5016815, 0.1057986
1025.2, 0.5026295, 0.105642
1025.25, 0.5035775, 0.1053287
1025.3, 0.5045254, 0.1053287
1025.35, 0.5054734, 0.105642
1025.4, 0.5065793, 0.1057986
1025.45, 0.5076854, 0.1057986
1025.5, 0.5086333, 0.1064252
1025.55, 0.5097393, 0.1050154
1025.6, 0.5106873, 0.105642
1025.65, 0.5119512, 0.1047022
1025.7, 0.5127412, 0.1064252
1025.75, 0.5140052, 0.1062686
1025.8, 0.5152691, 0.1065818
1025.85, 0.5168491, 0.107365
1025.9, 0.518113, 0.1070518
1025.95, 0.519219, 0.1050154
1026, 0.520167, 0.1054853
1026.05, 0.520957, 0.1054853
1026.1, 0.5219049, 0.1065818
1026.15, 0.5230109, 0.1065818
1026.2, 0.5238009, 0.1076783
1026.25, 0.5249069, 0.1076783
1026.3, 0.5256969, 0.1087748
1026.35, 0.5268028, 0.1076783
1026.4, 0.5279088, 0.1100279
1026.45, 0.5286987, 0.1084615
1026.5, 0.5296468, 0.1089314
1026.55, 0.5307527, 0.1076783
1026.6, 0.5317007, 0.1083049
1026.65, 0.5326487, 0.1076783
1026.7, 0.5337546, 0.1087748
1026.75, 0.5345446, 0.107835
1026.8, 0.5356506, 0.1087748
1026.85, 0.5367566, 0.1090881
1026.9, 0.5378625, 0.1103412
1026.95, 0.5388105, 0.1097146
1027, 0.5397585, 0.1108111
1027.05, 0.5407065, 0.1106544
1027.1, 0.5418124, 0.1104978
1027.15, 0.5429184, 0.1101845
1027.2, 0.5438664, 0.1084615
1027.25, 0.5446563, 0.1094013
1027.3, 0.5457623, 0.1100279
1027.35, 0.5468683, 0.1098713
1027.4, 0.5476583, 0.1120642
1027.45, 0.5486063, 0.109558
1027.5, 0.5495542, 0.1101845
