Experiment:, Cathode characterisation
Start date:, p?tek 27. ??jna 2023
Start time:, 14:58:57 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1232.55, 0.05054402, -0.6105127
1232.65, 0.05254874, -0.3910612
1232.7, 0.05357477, -0.3320081
1232.75, 0.05450609, -0.2992705
1232.8, 0.05559527, -0.2571346
1232.85, 0.05644767, -0.2464831
1232.9, 0.05737899, -0.2250235
1233, 0.05950999, -0.1789715
1233.05, 0.06042552, -0.1640908
1233.1, 0.06137263, -0.1487402
1233.15, 0.06238288, -0.1274372
1233.2, 0.06332999, -0.1200752
1233.25, 0.06432445, -0.1062909
1233.35, 0.06626603, -0.07480644
1233.4, 0.06732363, -0.05616637
1233.45, 0.06822338, -0.0614921
1233.5, 0.06924941, -0.04817776
1233.55, 0.0702281, -0.0359599
1233.6, 0.07128569, -0.02750138
1233.65, 0.07223281, -0.02029597
1233.7, 0.07332199, -0.01011442
1233.8, 0.07542141, 0.005236226
1233.85, 0.07644744, 0.005549503
1233.9, 0.07736298, 0.01056196
1233.95, 0.07837323, 0.01447794
1234, 0.07938348, 0.02246655
1234.05, 0.08048844, 0.0266958
1234.15, 0.08247736, 0.03358793
1234.2, 0.08359811, 0.037034
1234.25, 0.08449787, 0.03531097
1234.3, 0.0855239, 0.04016678
1234.35, 0.08659729, 0.0458058
1234.4, 0.08749704, 0.0458058
1234.5, 0.08950175, 0.05222801
1234.55, 0.09040151, 0.05222801
1234.6, 0.09139597, 0.05677054
1234.65, 0.09237465, 0.05724046
1234.7, 0.09340069, 0.05912013
1234.75, 0.09448987, 0.06272284
1234.8, 0.0955001, 0.06131308
1234.85, 0.0963525, 0.06319275
1234.95, 0.0982625, 0.06695209
1235, 0.09922539, 0.06726538
1235.05, 0.1004251, 0.07227783
1235.1, 0.101388, 0.07180792
1235.15, 0.1023666, 0.07259111
1235.2, 0.1034243, 0.07243447
1235.25, 0.1044187, 0.07541062
1235.35, 0.1064076, 0.07541062
1235.4, 0.107481, 0.07619382
1235.45, 0.1084281, 0.07697701
1235.5, 0.1094542, 0.07870004
1235.55, 0.1104486, 0.07823012
1235.65, 0.1123744, 0.07995315
1235.7, 0.113432, 0.08277266
1235.75, 0.1145054, 0.08386914
1235.8, 0.115642, 0.08230274
1235.85, 0.1165259, 0.08151954
1235.9, 0.117473, 0.08355586
1235.95, 0.1184359, 0.08433905
1236.05, 0.1204564, 0.08324257
1236.1, 0.1213246, 0.08559217
1236.15, 0.1223506, 0.08512225
1236.2, 0.1234398, 0.08543553
1236.25, 0.1244027, 0.08668865
1236.3, 0.1253814, 0.08621872
1236.35, 0.1264232, 0.08590545
1236.45, 0.1283648, 0.08825504
1236.5, 0.1294066, 0.08794177
1236.55, 0.1305116, 0.08872496
1236.6, 0.1315849, 0.08982144
1236.65, 0.1324689, 0.08794177
1236.7, 0.1334792, 0.0888816
1236.8, 0.1354839, 0.09044799
1236.85, 0.1363678, 0.08950816
1236.9, 0.1373307, 0.09123117
1236.95, 0.1385146, 0.09279758
1237, 0.1393986, 0.09013471
1237.05, 0.1403299, 0.09123117
1237.1, 0.1414664, 0.0924843
1237.2, 0.1434869, 0.09185775
1237.25, 0.1444656, 0.0932675
1237.3, 0.1454443, 0.09123117
1237.35, 0.1465019, 0.09546044
1237.4, 0.1475753, 0.09201438
1237.45, 0.1486645, 0.09373742
1237.5, 0.1496589, 0.0968702
1237.55, 0.1507323, 0.09405069
1237.65, 0.152737, 0.09577372
1237.7, 0.1537631, 0.09420733
1237.75, 0.1546944, 0.09608699
1237.85, 0.1566518, 0.09577372
1237.95, 0.1585775, 0.09655692
1238, 0.1595562, 0.09640028
1238.05, 0.160456, 0.09781004
1238.1, 0.1614978, 0.09843659
1238.15, 0.162508, 0.09921978
1238.2, 0.1635656, 0.09953307
1238.25, 0.1645443, 0.09796667
1238.3, 0.1655703, 0.09906314
1238.4, 0.1674488, 0.09718347
1238.45, 0.1684432, 0.09906314
1238.5, 0.1694377, 0.09921978
1238.55, 0.1705111, 0.09906314
1238.6, 0.1714266, 0.09953307
1238.65, 0.1725316, 0.100003
1238.7, 0.1735103, 0.09781004
1238.8, 0.1754992, 0.1004729
1238.85, 0.1766199, 0.1018827
1238.9, 0.1775355, 0.1004729
1238.95, 0.1784195, 0.1001596
1239, 0.1794771, 0.103449
1239.05, 0.1806609, 0.1023526
1239.15, 0.1826657, 0.1018827
1239.2, 0.1835181, 0.1025092
1239.25, 0.184481, 0.1014127
1239.3, 0.1854438, 0.1023526
1239.35, 0.1865172, 0.101726
1239.4, 0.1874486, 0.1047022
1239.5, 0.1894691, 0.103919
1239.55, 0.1904793, 0.1031358
1239.6, 0.191458, 0.1050154
1239.65, 0.1924525, 0.1043889
1239.7, 0.1934153, 0.1050154
1239.75, 0.1944098, 0.1040756
1239.8, 0.1953411, 0.1048588
