Experiment:, Cathode characterisation
Start date:, p?tek 10. listopadu 2023
Start time:, 12:37:02 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
1117.55, 0.0504651, -0.6101995
1117.65, 0.05254874, -0.3349842
1117.7, 0.05363791, -0.2702923
1117.75, 0.05474287, -0.2237704
1117.8, 0.0556742, -0.2179747
1117.85, 0.05663709, -0.1891531
1117.9, 0.05766312, -0.1731759
1118, 0.05962048, -0.1490535
1118.05, 0.0606623, -0.1286903
1118.1, 0.06160941, -0.113653
1118.15, 0.06269858, -0.08749422
1118.2, 0.06367726, -0.09783242
1118.25, 0.06462437, -0.08921725
1118.35, 0.06662908, -0.0622753
1118.4, 0.0676709, -0.05585309
1118.45, 0.06866536, -0.0439485
1118.5, 0.06962826, -0.04598481
1118.55, 0.07071743, -0.03971925
1118.6, 0.07164876, -0.03032089
1118.65, 0.07265901, -0.03063417
1118.75, 0.07463215, -0.02327212
1118.8, 0.07561083, -0.01591007
1118.85, 0.0766053, -0.01418704
1118.9, 0.0775524, -0.008234751
1118.95, 0.07854687, -0.002752376
1119, 0.07960447, 0.003513194
1119.05, 0.08040951, -0.006981638
1119.15, 0.08247736, 0.006645979
1119.2, 0.08355076, 0.01197171
1119.25, 0.0846715, 0.01447794
1119.3, 0.08572911, 0.01745409
1119.35, 0.08664464, 0.01463458
1119.4, 0.08779696, 0.02340638
1119.45, 0.08868093, 0.01745409
1119.55, 0.09071721, 0.027479
1119.6, 0.09174325, 0.02199663
1119.65, 0.092643, 0.02763564
1119.7, 0.09365325, 0.02779228
1119.75, 0.09478978, 0.037034
1119.8, 0.09584738, 0.02873212
1119.85, 0.09676292, 0.02622589
1119.95, 0.09878342, 0.03828711
1120, 0.0997621, 0.03343129
1120.05, 0.1007092, 0.03374457
1120.1, 0.1017826, 0.03672072
1120.15, 0.1027613, 0.03421449
1120.25, 0.1047818, 0.03139498
1120.3, 0.1056973, 0.04188982
1120.35, 0.1067233, 0.03969686
1120.4, 0.1076704, 0.037034
1120.45, 0.1086018, 0.04282965
1120.5, 0.1097067, 0.04094998
1120.55, 0.1106381, 0.04110662
1120.6, 0.111601, 0.03860039
1120.7, 0.1135425, 0.04282965
1120.75, 0.1147422, 0.04721555
1120.8, 0.1158472, 0.03969686
1120.85, 0.1167943, 0.03891367
1120.9, 0.1178045, 0.04486596
1120.95, 0.1187832, 0.04204645
1121.05, 0.120709, 0.04298629
1121.1, 0.1216403, 0.04408276
1121.15, 0.1225716, 0.0450226
1121.2, 0.1235977, 0.04596243
1121.25, 0.1246237, 0.04752883
1121.3, 0.1257287, 0.04799874
1121.4, 0.1277176, 0.04455268
1121.45, 0.1286173, 0.04721555
1121.5, 0.1296592, 0.04737219
1121.55, 0.1307483, 0.04893858
1121.6, 0.1317428, 0.04658899
1121.65, 0.1326741, 0.04690227
1121.7, 0.1336212, 0.04768547
1121.8, 0.1356101, 0.04690227
1121.85, 0.1365573, 0.04925186
1121.9, 0.1374886, 0.04486596
1121.95, 0.1384357, 0.04705891
1122, 0.1393986, 0.04925186
1122.05, 0.1405036, 0.04925186
1122.1, 0.1415296, 0.0478421
1122.15, 0.142524, 0.04674564
1122.2, 0.1433607, 0.04423941
1122.3, 0.1453022, 0.0494085
1122.35, 0.1463441, 0.04627572
1122.4, 0.147449, 0.05066161
1122.45, 0.1486171, 0.04643235
1122.5, 0.1496274, 0.04893858
1122.55, 0.1505271, 0.04439604
1122.65, 0.1524213, 0.04627572
1122.7, 0.1534631, 0.04987842
1122.75, 0.1545523, 0.04815539
1122.8, 0.1555784, 0.04690227
1122.9, 0.1577094, 0.04658899
1122.95, 0.1587828, 0.05097489
1123, 0.1596509, 0.0478421
1123.05, 0.1606454, 0.04658899
1123.1, 0.1615925, 0.04925186
1123.15, 0.1625554, 0.05050497
1123.2, 0.1635025, 0.04517924
1123.25, 0.1644812, 0.05019169
1123.3, 0.1654125, 0.04721555
1123.35, 0.1665175, 0.04831202
1123.45, 0.1686011, 0.04799874
1123.55, 0.170448, 0.04643235
1123.6, 0.1715529, 0.04878194
1123.65, 0.1726737, 0.05113153
1123.7, 0.1736366, 0.04658899
1123.8, 0.1755466, 0.04815539
1123.85, 0.1765095, 0.04658899
1123.9, 0.1774566, 0.04705891
1123.95, 0.17853, 0.04752883
1124, 0.1797612, 0.05081825
1124.05, 0.1807872, 0.0478421
1124.15, 0.1827919, 0.04956514
1124.2, 0.1836443, 0.0478421
1124.25, 0.1846704, 0.04486596
1124.3, 0.1854912, 0.04909522
1124.35, 0.1866593, 0.05128817
1124.4, 0.1875906, 0.04361285
1124.45, 0.1885062, 0.04909522
1124.55, 0.1906845, 0.04596243
1124.6, 0.1916632, 0.04737219
1124.65, 0.1927524, 0.04799874
1124.7, 0.1936679, 0.04627572
1124.75, 0.1946939, 0.04643235
1124.85, 0.1965566, 0.0450226
1124.9, 0.1975984, 0.04799874
1124.95, 0.198514, 0.0450226
1125, 0.1995715, 0.05019169
1125.05, 0.2005976, 0.04799874
1125.1, 0.20145, 0.04987842
1125.15, 0.2024918, 0.04596243
1125.25, 0.2044334, 0.04831202
