Experiment:, EIS
Start date:, ?ter? 20. z??? 2022
Start time:, 16:11:00 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
502.0,70794.57,0.002411335,0.001106525
504.0,28183.82,0.003963185,-0.0004184828
504.0,25118.85,0.003904971,-0.0002541501
504.0,22387.2,0.003999706,-0.0001350658
504.0,19952.61,0.004162377,-0.0003982517
505.0,17782.79,0.004117814,-0.0004792624
505.0,15848.92,0.00424142,-0.0002064748
505.0,14125.37,0.004281614,-0.0004518239
505.0,12589.25,0.004442798,-0.000554201
506.0,11220.18,0.004442545,-0.0005538134
506.0,9999.993,0.004558939,-0.0005924921
506.0,8912.503,0.004589219,-0.0006328236
506.0,7943.276,0.004671036,-0.0006635887
507.0,7079.452,0.004729396,-0.0006926528
507.0,6309.568,0.004784008,-0.0007177009
507.0,5623.409,0.004839473,-0.0007478916
507.0,5011.868,0.004905396,-0.0007732434
508.0,4466.832,0.004960696,-0.000815352
508.0,3981.068,0.005015648,-0.0008482935
508.0,3548.131,0.005071078,-0.0008864215
508.0,3162.275,0.005123104,-0.0009257118
509.0,2818.38,0.005181341,-0.0009658647
509.0,2511.884,0.005240866,-0.001017524
509.0,2238.719,0.005299286,-0.001069071
509.0,1995.26,0.005368477,-0.001121106
510.0,1778.277,0.005434357,-0.001183697
510.0,1584.891,0.005505891,-0.001251525
510.0,1412.536,0.005578788,-0.001317788
510.0,1258.924,0.005670228,-0.001394458
511.0,1122.017,0.005757046,-0.001472297
511.0,999.9988,0.005843722,-0.001555505
511.0,891.2498,0.005966177,-0.001640347
511.0,794.3272,0.006085542,-0.001723042
511.0,707.9448,0.006194194,-0.001817613
511.0,630.9565,0.006335236,-0.001926709
511.0,562.3405,0.006483412,-0.002023909
512.0,501.1865,0.006663577,-0.002093045
512.0,446.6829,0.006817812,-0.002222484
512.0,398.1066,0.007021383,-0.002325328
512.0,354.8128,0.007205342,-0.002405932
512.0,316.2273,0.007423345,-0.002482415
512.0,281.8378,0.007647178,-0.002561041
512.0,251.1882,0.007893365,-0.002622985
513.0,223.8717,0.008146744,-0.002670676
513.0,199.5259,0.008416658,-0.002692311
513.0,177.8276,0.008654976,-0.002707008
513.0,158.489,0.008930269,-0.002715651
513.0,141.2535,0.009195892,-0.002674683
513.0,125.8923,0.009452689,-0.002649083
514.0,112.2016,0.009697032,-0.002593934
514.0,99.9998,0.01001521,-0.00256887
514.0,89.12492,0.01019488,-0.00242178
514.0,79.43266,0.01039948,-0.002316888
514.0,70.79443,0.01061662,-0.00219207
514.0,63.0956,0.01079248,-0.002076262
515.0,56.23401,0.01096912,-0.001939093
515.0,50.11861,0.01112976,-0.001806432
515.0,44.66826,0.01122244,-0.001691888
515.0,39.81063,0.01136602,-0.00156903
515.0,35.48126,0.01148749,-0.001445737
515.0,31.6227,0.01153446,-0.001353467
515.0,28.18376,0.01159675,-0.001175887
516.0,25.11881,0.01165453,-0.001099158
516.0,22.38716,0.01172059,-0.0009974365
516.0,19.95257,0.01177554,-0.0009110083
516.0,17.78275,0.01180629,-0.0008030918
516.0,15.84889,0.01182736,-0.0007560809
516.0,14.12534,0.01185494,-0.0006527032
517.0,12.58922,0.01188579,-0.0006039009
517.0,11.22016,0.01190242,-0.0005452182
517.0,9.999973,0.01192649,-0.0004787785
517.0,8.912485,0.01194912,-0.0004584632
517.0,7.943261,0.01192343,-0.0004292541
518.0,7.079438,0.01196428,-0.0003658154
518.0,6.309556,0.01197664,-0.0003242499
518.0,5.623397,0.01197453,-0.0003122626
518.0,5.011858,0.01197266,-0.000247637
519.0,4.466823,0.01197153,-0.0002563218
519.0,3.98106,0.01199188,-0.0002429953
519.0,3.548123,0.01197734,-0.0002182726
520.0,3.162268,0.01206994,-0.0001589975
520.0,2.818374,0.01194177,-0.0001896653
520.0,2.511878,0.01202004,-0.0001634471
521.0,2.238714,0.01205509,-0.0002406672
522.0,1.995256,0.01199941,-0.000163691
522.0,1.778274,0.01195998,-6.573495e-05
523.0,1.584888,0.01204301,-0.0001070568
524.0,1.412533,0.01203267,-3.912006e-05
524.0,1.258921,0.01212446,-8.777437e-05
525.0,1.122015,0.01212614,-0.0001793714
526.0,0.999997,0.01202779,-0.0001221922
528.0,0.891248,0.01218175,-0.0001089907
529.0,0.794325,0.01207482,-4.594149e-05
530.0,0.707943,0.01216343,-3.64207e-05
532.0,0.630955,0.01211214,-5.286378e-05
534.0,0.562339,0.01209226,-2.732469e-05
536.0,0.501185,0.01217062,-4.84581e-05
538.0,0.446682,0.0122538,-0.000161437
541.0,0.398106,0.01216747,-4.298108e-05
544.0,0.354812,0.01213953,0.000183016
564.0,0.199525,0.0122672,2.19862e-05
570.0,0.177827,0.01223054,0.0001505887
576.0,0.158489,0.01227309,0.0002710058
610.0,0.1,0.01069626,-0.0001423412
