Experiment:, EIS
Start date:, ?tvrtek 27. ??jna 2022
Start time:, 16:14:35 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1194.0,17782.79,0.003072054,0.0007582259
1195.0,12589.25,0.00240223,-0.001100629
1195.0,11220.18,0.002742677,-0.0006179158
1196.0,9999.993,0.00238168,-0.0006903492
1196.0,8912.503,0.00235407,-0.0008557586
1196.0,7943.276,0.002267434,-0.000648159
1196.0,7079.452,0.00265212,-0.000852305
1197.0,6309.568,0.002467691,-0.0004060422
1197.0,5623.409,0.002790118,-0.0005774866
1197.0,5011.868,0.002624511,-0.0005678228
1197.0,4466.832,0.002667425,-0.0005573632
1198.0,3981.068,0.002848074,-0.0005874735
1198.0,3548.131,0.002816313,-0.0006695921
1198.0,3162.275,0.002930338,-0.0007266458
1199.0,2818.38,0.002923854,-0.0007006986
1199.0,2511.884,0.002947855,-0.0006690928
1199.0,2238.719,0.002989315,-0.00072756
1199.0,1995.26,0.002951066,-0.0008179558
1200.0,1778.277,0.003101862,-0.000723634
1200.0,1584.891,0.003183961,-0.0008797538
1200.0,1412.536,0.003186242,-0.0008508243
1200.0,1258.924,0.003247062,-0.0009150998
1201.0,1122.017,0.003298372,-0.0009659695
1201.0,999.9988,0.003194327,-0.001152162
1201.0,891.2498,0.003409782,-0.00108669
1201.0,794.3272,0.0034024,-0.001188076
1201.0,707.9448,0.003523565,-0.001215292
1201.0,630.9565,0.003588354,-0.001225396
1201.0,562.3405,0.003676236,-0.00135915
1202.0,501.1865,0.003822785,-0.0015052
1202.0,446.6829,0.003860927,-0.001526299
1202.0,398.1066,0.003916746,-0.001523065
1202.0,354.8128,0.004065801,-0.001722836
1202.0,316.2273,0.00417519,-0.001814564
1202.0,281.8378,0.004323058,-0.001944699
1202.0,251.1882,0.004483685,-0.002055357
1203.0,223.8717,0.004652077,-0.002165059
1203.0,199.5259,0.004781086,-0.002230294
1203.0,177.8276,0.005029918,-0.002391725
1203.0,158.489,0.005263905,-0.002490543
1203.0,141.2535,0.00549895,-0.00253981
1203.0,125.8923,0.005745288,-0.002632598
1204.0,112.2016,0.006034325,-0.002691059
1204.0,99.9998,0.006441824,-0.002711016
1204.0,89.12492,0.006597872,-0.002689182
1204.0,79.43266,0.006867621,-0.002684957
1204.0,70.79443,0.007118026,-0.002641486
1204.0,63.0956,0.007383428,-0.002562072
1204.0,56.23401,0.007670437,-0.002481176
1205.0,50.11861,0.007861285,-0.002334034
1205.0,44.66826,0.008076618,-0.002210491
1205.0,39.81063,0.008299552,-0.002000235
1205.0,35.48126,0.008408604,-0.001968378
1205.0,31.6227,0.008503634,-0.001880002
1205.0,28.18376,0.008787838,-0.001685816
1206.0,25.11881,0.008889348,-0.001729399
1206.0,22.38716,0.009001292,-0.001466139
1206.0,19.95257,0.008740546,-0.001282045
1206.0,17.78275,0.008844248,-0.001316797
1206.0,15.84889,0.009019882,-0.001182021
1206.0,14.12534,0.009163455,-0.001092706
1207.0,12.58922,0.009252912,-0.0009912045
1207.0,11.22016,0.009238853,-0.000919063
1207.0,9.999973,0.009246151,-0.001030211
1207.0,8.912485,0.009517942,-0.0007532931
1207.0,7.943261,0.00908166,-0.0006194879
1208.0,7.079438,0.009210376,-0.0005435201
1208.0,6.309556,0.009378305,-0.0006403593
1208.0,5.623397,0.009374685,-0.0005846694
1208.0,5.011858,0.009779443,-0.0003649839
1209.0,4.466823,0.009437787,-0.0001455136
1209.0,3.98106,0.009583632,-0.0005300142
1209.0,3.548123,0.009578585,-0.0005916538
1210.0,3.162268,0.009466027,-0.0004578896
1210.0,2.818374,0.00952191,-0.0005168832
1210.0,2.511878,0.009517748,-0.0005867979
1211.0,2.238714,0.009604117,-0.0004469937
1212.0,1.995256,0.009424745,-0.0005622236
1212.0,1.778274,0.009698646,-0.0004703734
1213.0,1.584888,0.009937786,-0.0005182562
1214.0,1.412533,0.009650879,-0.0002387039
1214.0,1.258921,0.009668692,-0.0004236928
1215.0,1.122015,0.009964071,-0.0005225929
1216.0,0.999997,0.009467363,-0.000633806
1218.0,0.891248,0.01003983,-0.0004876666
1219.0,0.794325,0.01029151,-0.0003902925
1220.0,0.707943,0.009780291,-0.000539347
1222.0,0.630955,0.009943672,-0.0004562043
1224.0,0.562339,0.01073172,-0.0004471398
1226.0,0.501185,0.0102891,9.854476e-05
1228.0,0.446682,0.01010861,-0.0003644933
1231.0,0.398106,0.009977967,-0.0004243334
1234.0,0.354812,0.01006411,0.0006518037
1237.0,0.316227,0.01072377,1.597272e-05
1240.0,0.281837,0.009949329,-0.0007352846
1254.0,0.199525,0.01142763,-5.002182e-05
1260.0,0.177827,0.0103199,-0.0001800839
1266.0,0.158489,0.01067627,0.0003051537
1273.0,0.141253,0.01070771,-0.0001914358
1281.0,0.125892,0.01011056,0.0002155456
1290.0,0.112201,0.01017079,-0.000343956
1300.0,0.1,0.01111585,-0.0002100887
