Experiment:, EIS
Start date:, pond?l? 20. b?ezna 2023
Start time:, 11:49:02 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
952.0,28183.82,0.001688307,8.544391e-05
953.0,14125.37,0.004803136,0.0003681526
954.0,8912.503,0.005333172,-0.0009301282
954.0,7943.276,0.005617945,-0.0008390765
955.0,7079.452,0.005331702,-0.0009879342
955.0,6309.568,0.005392243,-0.001238325
955.0,5623.409,0.005514603,-0.00111549
955.0,5011.868,0.005742447,-0.001072306
956.0,4466.832,0.005869652,-0.001093998
956.0,3981.068,0.005819669,-0.001249317
956.0,3548.131,0.00591843,-0.001195085
956.0,3162.275,0.006035093,-0.001308192
957.0,2818.38,0.006115613,-0.001273026
957.0,2511.884,0.006251898,-0.001383719
957.0,2238.719,0.006371747,-0.001403447
957.0,1995.26,0.006662716,-0.001403517
958.0,1778.277,0.006617369,-0.001556297
958.0,1584.891,0.006782044,-0.001612012
958.0,1412.536,0.006837449,-0.00155937
958.0,1258.924,0.006985021,-0.001654936
959.0,1122.017,0.007123256,-0.00166246
959.0,999.9988,0.007158737,-0.001724953
959.0,891.2498,0.007424749,-0.001679677
959.0,794.3272,0.007715984,-0.001741318
959.0,707.9448,0.007802483,-0.001612548
959.0,630.9565,0.007948183,-0.001630845
960.0,562.3405,0.008078213,-0.001590779
960.0,501.1865,0.008222203,-0.001789634
960.0,446.6829,0.008367997,-0.001483786
960.0,398.1066,0.008733548,-0.001428738
960.0,354.8128,0.008610717,-0.001407962
960.0,316.2273,0.008756643,-0.001316148
960.0,281.8378,0.008868408,-0.001238655
960.0,251.1882,0.008960032,-0.001157384
961.0,223.8717,0.009040005,-0.001131782
961.0,199.5259,0.009095772,-0.001091514
961.0,177.8276,0.009208458,-0.0009254837
961.0,158.489,0.009245471,-0.0008690521
961.0,141.2535,0.009289104,-0.0007998683
961.0,125.8923,0.009357785,-0.0006994741
962.0,112.2016,0.009388396,-0.0006707424
962.0,99.9998,0.009457602,-0.0005959788
962.0,89.12492,0.009453561,-0.0005301722
962.0,79.43266,0.009459835,-0.0004914377
962.0,70.79443,0.00949262,-0.0004513293
962.0,63.0956,0.009504684,-0.0003983306
963.0,56.23401,0.009500477,-0.0003641629
963.0,50.11861,0.009498129,-0.0003051563
963.0,44.66826,0.009502455,-0.0003161272
963.0,39.81063,0.009524032,-0.0002930169
963.0,35.48126,0.009536016,-0.0001757783
963.0,31.6227,0.009550922,-0.0002670625
963.0,28.18376,0.009526306,-0.0002435236
964.0,25.11881,0.009451367,-0.0001645982
964.0,22.38716,0.00949507,-0.0001537795
964.0,19.95257,0.009586949,-0.0001598359
964.0,17.78275,0.009628966,-0.0001568338
964.0,15.84889,0.009542174,-0.0001830149
964.0,14.12534,0.00956628,-0.0001405637
965.0,12.58922,0.009654546,-0.0001330612
965.0,11.22016,0.009550224,-0.000142187
965.0,9.999973,0.009598913,-0.0001399599
965.0,8.912485,0.009571928,-0.0001498294
965.0,7.943261,0.009592092,-0.0001109427
966.0,7.079438,0.009532645,-0.0001174
966.0,6.309556,0.009642535,-0.0001097715
966.0,5.623397,0.009609908,-7.529619e-05
966.0,5.011858,0.009605163,-9.020942e-05
967.0,4.466823,0.009624235,-8.583821e-05
967.0,3.98106,0.009605787,-9.600813e-05
967.0,3.548123,0.009588823,-3.753149e-05
968.0,3.162268,0.00968493,-0.0001547169
968.0,2.818374,0.009568737,-8.528405e-05
968.0,2.511878,0.009635385,-7.307599e-05
969.0,2.238714,0.009653529,-0.0001249148
970.0,1.995256,0.009646166,-0.0001196954
970.0,1.778274,0.009661922,-0.0001946979
971.0,1.584888,0.009683058,-9.653946e-05
972.0,1.412533,0.00966595,-0.0003729415
972.0,1.258921,0.009623853,-0.0002087128
973.0,1.122015,0.009719427,-0.0001775785
974.0,0.999997,0.009614151,-0.0003035328
976.0,0.891248,0.009766983,-0.0002589959
977.0,0.794325,0.009847937,-0.0001415691
978.0,0.707943,0.009757838,-0.0002715038
980.0,0.630955,0.00993253,-0.0001005607
982.0,0.562339,0.009901631,-0.0002977707
984.0,0.501185,0.009821318,-0.0003567084
986.0,0.446682,0.009827122,-0.0002139475
989.0,0.398106,0.009915235,-0.0003712589
992.0,0.354812,0.009890987,-0.0001901725
995.0,0.316227,0.01003911,-0.0002521221
998.0,0.281837,0.009991131,-0.0002862686
1002.0,0.251188,0.009855113,-0.0002871628
1007.0,0.223871,0.01004003,-0.0003609857
1012.0,0.199525,0.01008294,-0.0002207026
1018.0,0.177827,0.009948315,-0.0005341324
1039.0,0.125892,0.009881626,-0.000606496
1058.0,0.1,0.01042331,-0.0006590306
