Experiment:, EIS
Start date:, ?ter? 21. b?ezna 2023
Start time:, 12:40:56 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
703.0,28183.82,0.002125913,-0.0005097112
704.0,19952.61,0.002778642,-0.0007199423
704.0,17782.79,0.002790753,-0.0009684976
705.0,15848.92,0.002906802,-0.0008494816
705.0,14125.37,0.003041066,-0.001039385
705.0,12589.25,0.003023141,-0.0009471701
705.0,11220.18,0.003224174,-0.001106691
706.0,9999.993,0.003312587,-0.001150703
706.0,8912.503,0.003466206,-0.001267217
706.0,7943.276,0.003540107,-0.001272299
706.0,7079.452,0.00366711,-0.001326608
707.0,6309.568,0.00380292,-0.001401577
707.0,5623.409,0.003925788,-0.001433759
707.0,5011.868,0.00404983,-0.00147633
707.0,4466.832,0.00417773,-0.001511159
708.0,3981.068,0.00430742,-0.001539597
708.0,3548.131,0.004425552,-0.001560591
708.0,3162.275,0.004547013,-0.001588212
708.0,2818.38,0.004668281,-0.00160824
709.0,2511.884,0.004787609,-0.001631706
709.0,2238.719,0.004901476,-0.00165386
709.0,1995.26,0.005025325,-0.001698336
709.0,1778.277,0.005137479,-0.001702221
710.0,1584.891,0.005254996,-0.001731078
710.0,1412.536,0.005377995,-0.001765182
710.0,1258.924,0.005503217,-0.001807466
710.0,1122.017,0.005615283,-0.001845321
711.0,999.9988,0.005765487,-0.001854497
711.0,891.2498,0.005889392,-0.001947408
711.0,794.3272,0.006035581,-0.001986803
711.0,707.9448,0.006177558,-0.002061346
711.0,630.9565,0.006336752,-0.002104966
711.0,562.3405,0.006515719,-0.002162246
712.0,501.1865,0.006782555,-0.002203807
712.0,446.6829,0.006878017,-0.002250546
712.0,398.1066,0.007163368,-0.002278666
712.0,354.8128,0.007289642,-0.002335513
712.0,316.2273,0.007500849,-0.002344347
712.0,281.8378,0.007740608,-0.002351843
713.0,251.1882,0.007968566,-0.002333319
713.0,223.8717,0.008172243,-0.002314598
713.0,199.5259,0.008404762,-0.00222133
713.0,177.8276,0.008606608,-0.00220155
713.0,158.489,0.008817172,-0.002134408
713.0,141.2535,0.009036417,-0.00204345
713.0,125.8923,0.009195778,-0.001931573
714.0,112.2016,0.009357345,-0.001853489
714.0,99.9998,0.009443252,-0.001778797
714.0,89.12492,0.00964687,-0.001597077
714.0,79.43266,0.009767297,-0.001462611
714.0,70.79443,0.009888745,-0.001369906
714.0,63.0956,0.009958283,-0.00125672
715.0,56.23401,0.0100397,-0.001147565
715.0,50.11861,0.01014467,-0.001036697
715.0,44.66826,0.01016261,-0.0009397489
715.0,39.81063,0.01019971,-0.0008265407
715.0,35.48126,0.01025901,-0.0007361321
715.0,31.6227,0.01028372,-0.0005926913
716.0,28.18376,0.01026904,-0.0005675113
716.0,25.11881,0.01028156,-0.0004640336
716.0,22.38716,0.01035206,-0.0004628525
716.0,19.95257,0.01033928,-0.000375358
716.0,17.78275,0.01028597,-0.0003778293
716.0,15.84889,0.01038885,-0.0003045631
716.0,14.12534,0.01036486,-0.0002788189
717.0,12.58922,0.01028394,-0.0002660445
717.0,11.22016,0.01034453,-0.0001925411
717.0,9.999973,0.01037688,-0.0001516107
717.0,8.912485,0.01033748,-0.0002141937
717.0,7.943261,0.01042628,-3.493651e-05
718.0,7.079438,0.01030264,-7.594233e-05
718.0,6.309556,0.01031859,-7.760791e-05
718.0,5.623397,0.01028362,-8.675108e-05
718.0,5.011858,0.01031258,-5.788923e-05
719.0,4.466823,0.01028913,-4.574943e-05
719.0,3.98106,0.01028134,2.622235e-06
719.0,3.548123,0.01024103,-0.0001186407
720.0,3.162268,0.01030103,-2.263731e-05
720.0,2.818374,0.01031297,-2.68549e-05
721.0,2.511878,0.01033365,-0.0001258984
721.0,2.238714,0.0102576,0.0001720025
722.0,1.995256,0.01035402,7.509204e-05
722.0,1.778274,0.01028895,-3.106573e-05
723.0,1.584888,0.01030683,-9.752321e-06
724.0,1.412533,0.01025174,-5.882483e-05
724.0,1.258921,0.01036224,-3.842545e-05
725.0,1.122015,0.01032191,3.528641e-05
726.0,0.999997,0.01036553,-0.0001112777
728.0,0.891248,0.01034941,-5.490136e-05
729.0,0.794325,0.01027787,-4.806469e-05
730.0,0.707943,0.01033278,-7.582247e-05
732.0,0.630955,0.01037727,-8.146615e-05
734.0,0.562339,0.01039126,4.129108e-05
736.0,0.501185,0.01024083,3.089304e-05
738.0,0.446682,0.01032624,-3.623446e-05
741.0,0.398106,0.01024992,5.103255e-05
744.0,0.354812,0.01044073,-0.0001443935
747.0,0.316227,0.01029978,1.589748e-05
750.0,0.281837,0.01036645,-0.0002320471
754.0,0.251188,0.01031457,-3.951859e-05
759.0,0.223871,0.01033209,-0.0001466919
764.0,0.199525,0.01028302,-5.398376e-05
770.0,0.177827,0.01045385,-0.0001210969
776.0,0.158489,0.01040666,-0.0001228512
810.0,0.1,0.01035342,-0.0005016371
