Experiment:, Load
Start date:, ?ter? 20. z??? 2022
Start time:, 15:54:45 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
150.35, -0.006791682, 0.962555
150.5, -0.006791682, 0.9811985
150.6, -0.008042786, 0.9791446
150.7, -0.008668332, 0.9718768
150.8, -0.009919429, 0.9608171
150.85, -0.01054498, 0.9548132
151.05, -0.01179608, 0.9311138
151.25, -0.01304718, 0.9121544
151.45, -0.01367273, 0.8990408
151.55, -0.01429828, 0.8961968
151.6, -0.01492382, 0.8941429
151.65, -0.01554937, 0.8914569
151.8, -0.01617493, 0.8865591
151.9, -0.01742602, 0.8824512
152, -0.01742602, 0.8810292
152.05, -0.01867712, 0.8800812
152.2, -0.01867712, 0.8786593
152.3, -0.01992822, 0.8759734
152.35, -0.01992822, 0.8751833
152.5, -0.02117932, 0.8740774
152.55, -0.02117932, 0.8728135
152.7, -0.02243042, 0.8712335
152.75, -0.02243042, 0.8704435
152.8, -0.02368151, 0.8691795
152.95, -0.02368151, 0.8669676
153.05, -0.02430707, 0.8663356
153.1, -0.02430707, 0.8661776
153.25, -0.02618371, 0.8630177
153.3, -0.02680926, 0.8623857
153.4, -0.02806036, 0.8608057
153.5, -0.02931145, 0.8592258
153.65, -0.02993701, 0.8584358
153.7, -0.02993701, 0.8579618
153.75, -0.03056256, 0.8574879
153.85, -0.03056256, 0.8570139
154, -0.03306475, 0.8551179
154.05, -0.03306475, 0.854802
154.2, -0.0336903, 0.853538
154.25, -0.03431586, 0.852748
154.4, -0.0349414, 0.85259
154.45, -0.03556695, 0.8518
154.6, -0.03681805, 0.850536
154.75, -0.03806914, 0.8495881
154.8, -0.0386947, 0.8486401
154.9, -0.03994579, 0.8478501
155, -0.04119689, 0.8472181
155.15, -0.04244799, 0.8456382
155.2, -0.04307353, 0.8451642
155.25, -0.04369909, 0.8450062
155.35, -0.04495018, 0.8442162
155.5, -0.04620128, 0.8434262
155.55, -0.04620128, 0.8427943
155.65, -0.04745239, 0.8418462
155.75, -0.04870348, 0.8410563
155.8, -0.04807793, 0.8408983
155.95, -0.04870348, 0.8401083
156, -0.04995458, 0.8391604
156.1, -0.04995458, 0.8385284
156.25, -0.05183123, 0.8372644
156.3, -0.05120568, 0.8374224
156.45, -0.05245678, 0.8366324
156.5, -0.05308233, 0.8364744
156.6, -0.05433342, 0.8355264
156.7, -0.05433342, 0.8345785
156.75, -0.05558453, 0.8341045
156.85, -0.05558453, 0.8341045
157, -0.05683562, 0.8331565
157.05, -0.05746117, 0.8322086
157.2, -0.05933782, 0.8312606
157.25, -0.05933782, 0.8312606
157.4, -0.06058892, 0.8298386
157.45, -0.06058892, 0.8296806
157.55, -0.06121447, 0.8288906
157.6, -0.06184002, 0.8282586
157.75, -0.06309112, 0.8274687
157.8, -0.06371667, 0.8269947
157.9, -0.06496777, 0.8266787
158, -0.06496777, 0.8262047
158.15, -0.06621886, 0.8252567
158.2, -0.06746996, 0.8246247
158.3, -0.06809551, 0.8241507
158.35, -0.06746996, 0.8238348
158.5, -0.0693466, 0.8230448
158.55, -0.06997216, 0.8224128
158.65, -0.07122325, 0.8217809
158.75, -0.07122325, 0.8213068
158.9, -0.0730999, 0.8208328
158.95, -0.0730999, 0.8205169
159.05, -0.074351, 0.8198849
159.1, -0.074351, 0.8198849
159.25, -0.0768532, 0.8184629
159.3, -0.07622765, 0.8184629
159.35, -0.0768532, 0.8184629
159.5, -0.0768532, 0.8178309
159.55, -0.0781043, 0.8171989
159.7, -0.07872984, 0.816725
159.75, -0.07935539, 0.816093
159.85, -0.07998095, 0.815777
160, -0.0818576, 0.8148291
160.05, -0.0818576, 0.814671
160.15, -0.08310869, 0.8141971
160.25, -0.08373423, 0.813565
160.3, -0.08435979, 0.813091
160.45, -0.08435979, 0.812933
160.55, -0.08498534, 0.8123011
160.6, -0.08623644, 0.8118271
160.7, -0.08686198, 0.8113531
160.8, -0.08748753, 0.8105631
160.95, -0.08873863, 0.8096152
161, -0.08873863, 0.8094572
161.05, -0.08998973, 0.8092992
161.2, -0.08998973, 0.8088252
161.3, -0.09124083, 0.8080352
161.35, -0.09124083, 0.8078772
161.5, -0.09311747, 0.8072452
161.55, -0.09311747, 0.8069292
161.65, -0.09499412, 0.8061392
161.75, -0.09561968, 0.8058233
161.8, -0.09624523, 0.8056653
161.95, -0.09687077, 0.8050333
162, -0.09624523, 0.8050333
162.1, -0.09687077, 0.8048753
162.25, -0.09874742, 0.8040853
162.3, -0.09937298, 0.8036113
162.4, -0.1006241, 0.8031374
162.5, -0.1006241, 0.8028213
162.65, -0.1018752, 0.8023473
162.7, -0.1018752, 0.8020313
162.75, -0.1031263, 0.8018733
162.85, -0.1031263, 0.8015574
163, -0.1050029, 0.8006094
163.05, -0.1056285, 0.8004514
163.1, -0.1068796, 0.7999774
163.25, -0.1075051, 0.7995034
163.4, -0.1093817, 0.7985555
163.45, -0.1093817, 0.7983975
163.55, -0.1106329, 0.7976075
163.6, -0.1106329, 0.7976075
163.7, -0.1112584, 0.7971334
163.8, -0.1112584, 0.7968175
163.95, -0.113135, 0.7960275
164, -0.113135, 0.7955535
164.15, -0.1143861, 0.7949216
164.2, -0.1150117, 0.7946056
164.35, -0.1162628, 0.7941316
164.4, -0.1168883, 0.7938156
164.55, -0.1175139, 0.7933416
164.7, -0.118765, 0.7925516
164.75, -0.1193905, 0.7922357
164.8, -0.1200161, 0.7919196
164.95, -0.1200161, 0.7919196
165.05, -0.1212672, 0.7916036
165.1, -0.1212672, 0.7911296
165.2, -0.1225183, 0.7901817
165.3, -0.1225183, 0.7901817
165.45, -0.1243949, 0.7893917
165.5, -0.1243949, 0.7889177
165.6, -0.125646, 0.7884437
165.7, -0.125646, 0.7879698
165.8, -0.1262716, 0.7878118
165.85, -0.1268971, 0.7876537
166, -0.1281482, 0.7868638
166.05, -0.1287738, 0.7865478
166.2, -0.1306504, 0.7859158
166.25, -0.1306504, 0.7857578
166.4, -0.131276, 0.7851258
166.45, -0.1319015, 0.7848098
166.55, -0.1331526, 0.7841778
166.6, -0.1331526, 0.7841778
166.7, -0.1344037, 0.7837039
166.8, -0.1350293, 0.7833878
166.95, -0.1362804, 0.7825979
167, -0.1362804, 0.7825979
167.15, -0.138157, 0.7816499
167.2, -0.138157, 0.7814919
167.3, -0.1400337, 0.7808599
167.35, -0.1406592, 0.780702
167.5, -0.1412848, 0.7802279
167.55, -0.1412848, 0.7800699
167.65, -0.1431614, 0.779596
167.75, -0.143787, 0.7792799
167.9, -0.1450381, 0.77849
167.95, -0.1450381, 0.778332
168, -0.1456636, 0.778174
168.1, -0.1469147, 0.777858
168.25, -0.1481658, 0.7767521
168.3, -0.1481658, 0.776594
168.45, -0.150668, 0.7758041
168.5, -0.150668, 0.7754881
168.65, -0.1519191, 0.7751721
168.7, -0.1519191, 0.7748562
168.8, -0.1531702, 0.7740661
168.85, -0.1531702, 0.7742241
168.95, -0.1544213, 0.7737501
169.05, -0.1544213, 0.7735921
169.15, -0.1556724, 0.7731181
169.25, -0.1556724, 0.7728022
169.3, -0.1569235, 0.7724862
169.45, -0.1562979, 0.7724862
169.55, -0.1581746, 0.7715382
169.6, -0.1581746, 0.7713802
169.75, -0.1600512, 0.7707482
169.8, -0.1600512, 0.7705902
169.9, -0.1606768, 0.7702742
170, -0.1613023, 0.7699583
170.15, -0.1619279, 0.7694843
170.2, -0.1625534, 0.7691682
170.25, -0.1638045, 0.7691682
170.35, -0.1638045, 0.7685363
170.45, -0.1650556, 0.7680623
170.55, -0.1656812, 0.7675883
170.7, -0.1669323, 0.7669563
170.75, -0.1675578, 0.7667983
170.9, -0.1681834, 0.7664824
170.95, -0.1688089, 0.7663243
171.1, -0.1688089, 0.7658504
171.25, -0.17006, 0.7655343
171.3, -0.1713111, 0.7649024
171.35, -0.1719366, 0.7645864
171.5, -0.1725622, 0.7641124
171.6, -0.1744389, 0.7637964
171.7, -0.1744389, 0.7634804
171.85, -0.1750644, 0.7628484
172, -0.1775666, 0.7619004
172.05, -0.1775666, 0.7615845
172.2, -0.1788177, 0.7609525
172.25, -0.1794432, 0.7609525
172.35, -0.1800688, 0.7604785
172.45, -0.1806944, 0.7601625
172.55, -0.1819454, 0.7595305
172.6, -0.1819454, 0.7593725
172.75, -0.1838221, 0.7587405
172.8, -0.1838221, 0.7584246
172.9, -0.1850732, 0.7581085
173, -0.1850732, 0.7577925
173.05, -0.1856987, 0.7574766
173.2, -0.1875754, 0.7568446
173.25, -0.188201, 0.7565286
173.35, -0.188201, 0.7562126
173.5, -0.189452, 0.7557386
173.55, -0.1900776, 0.7555806
173.7, -0.1907031, 0.7551066
173.75, -0.1913287, 0.7547907
173.9, -0.1913287, 0.7544746
174.05, -0.1938309, 0.7538427
174.1, -0.1938309, 0.7536847
174.25, -0.1944564, 0.7532107
174.3, -0.1944564, 0.7532107
174.4, -0.1957076, 0.7525787
174.5, -0.1957076, 0.7522627
174.55, -0.1969586, 0.7519467
174.65, -0.1975842, 0.7516307
174.75, -0.1982097, 0.7511567
174.85, -0.1982097, 0.7509987
174.9, -0.1994608, 0.7506828
175.05, -0.2007119, 0.7502087
175.15, -0.201963, 0.7495768
175.25, -0.201963, 0.7492608
175.35, -0.2032141, 0.7487868
175.4, -0.2032141, 0.7484708
175.55, -0.2050908, 0.7478389
175.6, -0.2050908, 0.7478389
175.65, -0.2057163, 0.7478389
175.8, -0.2057163, 0.7473649
175.9, -0.207593, 0.7467328
176, -0.207593, 0.7465748
176.15, -0.2088441, 0.7456269
176.3, -0.2100952, 0.7451529
176.35, -0.2100952, 0.7451529
176.5, -0.2119718, 0.7445209
176.55, -0.2119718, 0.7442049
176.65, -0.2125974, 0.7440469
176.75, -0.2132229, 0.743573
176.8, -0.2138485, 0.743573
176.9, -0.2150996, 0.742941
177.05, -0.2176018, 0.742309
177.1, -0.2176018, 0.741993
177.3, -0.2176018, 0.741993
177.45, -0.2194784, 0.741361
177.5, -0.220104, 0.741045
177.6, -0.2207295, 0.740571
177.65, -0.2213551, 0.740255
177.8, -0.2226062, 0.739781
177.85, -0.2226062, 0.7396231
177.95, -0.2244828, 0.739149
178.05, -0.2251084, 0.7388331
178.15, -0.2263595, 0.7383591
178.25, -0.226985, 0.7378851
178.35, -0.2282361, 0.7370951
178.4, -0.2294872, 0.7370951
