Experiment:, Load
Start date:, ?ter? 6. ?ervna 2023
Start time:, 10:06:30 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
300.35, -0.006166136, 0.9753526
300.5, -0.006791682, 0.9951021
300.6, -0.008042786, 0.9968401
300.7, -0.009293883, 0.9946281
300.8, -0.009919429, 0.9897303
300.85, -0.01054498, 0.9854644
300.9, -0.009919429, 0.9823045
301.05, -0.01117053, 0.9690328
301.2, -0.01242163, 0.9567091
301.25, -0.01304718, 0.9518113
301.4, -0.01367273, 0.9418576
301.45, -0.01367273, 0.9382237
301.5, -0.01429828, 0.9353797
301.6, -0.01492382, 0.9298499
301.65, -0.01617493, 0.927164
301.8, -0.01742602, 0.9217921
301.95, -0.01867712, 0.9167362
302, -0.01992822, 0.9153143
302.1, -0.02055377, 0.9129443
302.2, -0.02117932, 0.9112064
302.3, -0.02180487, 0.9096265
302.35, -0.02243042, 0.9088364
302.45, -0.02305596, 0.9070985
302.55, -0.02368151, 0.9053606
302.65, -0.02493261, 0.9037806
302.75, -0.02493261, 0.9031486
302.85, -0.02618371, 0.9015687
302.95, -0.02680926, 0.9006207
303, -0.02806036, 0.8998307
303.1, -0.02806036, 0.8982507
303.2, -0.02931145, 0.8973027
303.3, -0.02993701, 0.8965128
303.35, -0.03056256, 0.8961968
303.5, -0.03181365, 0.8947749
303.55, -0.03243921, 0.8941429
303.7, -0.03306475, 0.8931949
303.8, -0.03431586, 0.8924049
303.85, -0.0349414, 0.8914569
304.05, -0.03556695, 0.890035
304.2, -0.0374436, 0.888771
304.25, -0.0374436, 0.888455
304.4, -0.0386947, 0.886717
304.45, -0.0386947, 0.8865591
304.5, -0.03806914, 0.8865591
304.6, -0.03932025, 0.8857691
304.7, -0.04119689, 0.8843471
304.8, -0.04244799, 0.8833992
304.95, -0.04369909, 0.8829252
305, -0.04369909, 0.8824512
305.15, -0.04495018, 0.8815032
305.2, -0.04557574, 0.8808712
305.25, -0.04620128, 0.8805552
305.35, -0.04620128, 0.8803972
305.4, -0.04745239, 0.8797652
305.55, -0.04807793, 0.8788173
305.65, -0.04870348, 0.8780273
305.75, -0.04995458, 0.8777113
305.85, -0.05058013, 0.8769214
305.95, -0.05120568, 0.8764474
306.05, -0.05183123, 0.8759734
306.1, -0.05183123, 0.8756573
306.25, -0.05308233, 0.8751833
306.3, -0.05308233, 0.8748674
306.45, -0.05433342, 0.8742354
306.5, -0.05433342, 0.8739194
306.6, -0.05558453, 0.8728135
306.7, -0.05558453, 0.8729714
306.8, -0.05683562, 0.8718655
306.85, -0.05746117, 0.8713915
307, -0.05933782, 0.8704435
307.05, -0.05933782, 0.8701275
307.2, -0.05996337, 0.8698115
307.25, -0.06058892, 0.8693375
307.4, -0.06184002, 0.8682315
307.45, -0.06184002, 0.8682315
307.55, -0.06309112, 0.8675996
307.6, -0.06434221, 0.8671256
307.75, -0.06559331, 0.8664936
307.8, -0.06621886, 0.8661776
307.95, -0.06684442, 0.8655456
308, -0.06746996, 0.8652297
308.15, -0.06872107, 0.8645976
308.2, -0.06872107, 0.8644397
308.25, -0.0693466, 0.8645976
308.35, -0.06997216, 0.8639656
308.4, -0.07122325, 0.8636497
308.55, -0.07184881, 0.8628597
308.7, -0.07372544, 0.8622277
308.75, -0.07372544, 0.8615957
308.9, -0.07560209, 0.8611218
308.95, -0.07560209, 0.8608057
309, -0.0768532, 0.8604898
309.1, -0.07747874, 0.8601738
309.2, -0.0781043, 0.8596998
309.3, -0.0781043, 0.8596998
309.4, -0.08060649, 0.8584358
309.5, -0.08060649, 0.8581198
309.6, -0.08123204, 0.8579618
309.7, -0.0818576, 0.8578038
309.8, -0.08373423, 0.8568559
309.85, -0.08435979, 0.8565399
310, -0.08561088, 0.8559079
310.05, -0.08561088, 0.8557499
310.1, -0.08498534, 0.8559079
310.25, -0.08623644, 0.8551179
310.4, -0.08811309, 0.8544859
310.45, -0.08811309, 0.854328
310.5, -0.08873863, 0.854012
310.6, -0.08936418, 0.853854
310.65, -0.08998973, 0.853538
310.8, -0.08998973, 0.8530639
310.95, -0.09124083, 0.852748
311, -0.09124083, 0.85259
311.15, -0.09249193, 0.852274
311.2, -0.09311747, 0.851958
311.3, -0.09436858, 0.851484
311.35, -0.09436858, 0.851484
311.5, -0.09624523, 0.850536
311.55, -0.09687077, 0.8502201
311.7, -0.09812186, 0.8495881
311.75, -0.09812186, 0.8494301
311.85, -0.09937298, 0.8491141
311.95, -0.0999985, 0.8487981
312, -0.09937298, 0.8487981
312.1, -0.1006241, 0.8484821
312.2, -0.1012496, 0.8478501
312.3, -0.1006241, 0.8481661
312.35, -0.1018752, 0.8478501
312.5, -0.1018752, 0.8473761
312.65, -0.1043774, 0.8465861
312.7, -0.1043774, 0.8464282
312.8, -0.1050029, 0.8461121
312.85, -0.1050029, 0.8461121
313, -0.1068796, 0.8453222
