Experiment:, Load
Start date:, p?tek 23. ?ervna 2023
Start time:, 11:02:50 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
300.3, -0.09624523, 1.032389
300.35, -0.007417239, 0.924162
300.4, -0.008042786, 0.9331678
300.5, -0.008668332, 0.9314298
300.55, -0.009293883, 0.928112
300.6, -0.009293883, 0.9238461
300.7, -0.01054498, 0.9145243
300.75, -0.01054498, 0.9104164
300.85, -0.01117053, 0.9028326
300.9, -0.01179608, 0.8991988
301, -0.01179608, 0.8931949
301.05, -0.01304718, 0.8909829
301.1, -0.01304718, 0.888929
301.2, -0.01429828, 0.8849791
301.25, -0.01429828, 0.8832412
301.3, -0.01492382, 0.8815032
301.35, -0.01492382, 0.8799232
301.45, -0.01554937, 0.8772373
301.5, -0.01617493, 0.8758153
301.55, -0.01680047, 0.8745514
301.6, -0.01680047, 0.8736034
301.65, -0.01742602, 0.8728135
301.75, -0.01805157, 0.8704435
301.8, -0.01867712, 0.8694955
301.85, -0.01867712, 0.8683895
301.95, -0.01992822, 0.8668096
302, -0.02055377, 0.8658617
302.1, -0.02117932, 0.8642817
302.2, -0.02180487, 0.8625437
302.25, -0.02243042, 0.8622277
302.3, -0.02305596, 0.8614377
302.35, -0.02368151, 0.8608057
302.4, -0.02493261, 0.8601738
302.5, -0.02555816, 0.8585938
302.6, -0.02618371, 0.8574879
302.65, -0.02680926, 0.8568559
302.75, -0.02743481, 0.8557499
302.8, -0.02806036, 0.8551179
302.85, -0.02806036, 0.8544859
302.95, -0.02868591, 0.853222
303, -0.02931145, 0.85259
303.1, -0.02993701, 0.8518
303.15, -0.03056256, 0.851326
303.25, -0.03056256, 0.8502201
303.3, -0.03181365, 0.849746
303.35, -0.03181365, 0.8492721
303.45, -0.03306475, 0.8484821
303.5, -0.0336903, 0.8478501
303.55, -0.03431586, 0.8475341
303.6, -0.03431586, 0.8469021
303.7, -0.03556695, 0.8461121
303.75, -0.03556695, 0.8456382
303.8, -0.03619251, 0.8450062
303.85, -0.03681805, 0.8446902
303.95, -0.0374436, 0.8439003
304, -0.0374436, 0.8435842
304.05, -0.03681805, 0.8429523
304.1, -0.0374436, 0.8424783
304.15, -0.03806914, 0.8421623
304.25, -0.0386947, 0.8412143
304.35, -0.03932025, 0.8404243
304.4, -0.03994579, 0.8402663
304.5, -0.04057134, 0.8393183
304.55, -0.04119689, 0.8388444
304.6, -0.04119689, 0.8385284
304.7, -0.04244799, 0.8377384
304.75, -0.04244799, 0.8372644
304.85, -0.04307353, 0.8366324
304.95, -0.04495018, 0.8358424
305, -0.04557574, 0.8353685
305.05, -0.04620128, 0.8350524
305.1, -0.04620128, 0.8347365
305.2, -0.04745239, 0.8341045
305.25, -0.04745239, 0.8336305
305.3, -0.04807793, 0.8331565
305.35, -0.04807793, 0.8328406
305.4, -0.04870348, 0.8323665
305.5, -0.04932903, 0.8314186
305.55, -0.04995458, 0.8311026
305.6, -0.04995458, 0.8304706
305.65, -0.05058013, 0.8299966
305.75, -0.05120568, 0.8292066
305.85, -0.05183123, 0.8282586
305.9, -0.05245678, 0.8279427
306, -0.05308233, 0.8274687
306.1, -0.05370788, 0.8268367
306.15, -0.05433342, 0.8265207
306.25, -0.05495897, 0.8258888
306.3, -0.05558453, 0.8255727
306.35, -0.05558453, 0.8252567
306.45, -0.05621007, 0.8247827
306.5, -0.05683562, 0.8244667
306.6, -0.05808672, 0.8238348
306.7, -0.05933782, 0.8233608
306.75, -0.05933782, 0.8230448
306.85, -0.05933782, 0.8224128
306.9, -0.06058892, 0.8220968
307, -0.06184002, 0.8216228
307.1, -0.06184002, 0.8211489
307.15, -0.06246556, 0.8208328
307.25, -0.06246556, 0.8202009
307.3, -0.06371667, 0.8198849
307.35, -0.06371667, 0.8195689
307.45, -0.06496777, 0.8189369
307.5, -0.06496777, 0.8187789
307.55, -0.06559331, 0.8184629
307.6, -0.06621886, 0.8181469
307.65, -0.06684442, 0.8179889
307.75, -0.06746996, 0.8173569
307.85, -0.06746996, 0.816883
307.95, -0.06872107, 0.816251
308, -0.06872107, 0.815935
308.05, -0.0693466, 0.815619
308.1, -0.06997216, 0.815461
308.15, -0.0705977, 0.815303
308.25, -0.07122325, 0.8148291
308.35, -0.07122325, 0.8141971
308.4, -0.07184881, 0.813881
308.5, -0.07247435, 0.813407
308.55, -0.07372544, 0.813091
308.6, -0.07372544, 0.812933
308.65, -0.074351, 0.8126171
308.75, -0.07497655, 0.8121431
308.85, -0.07560209, 0.8115111
308.95, -0.07622765, 0.8111951
309, -0.0768532, 0.8108791
309.1, -0.07747874, 0.8102471
309.15, -0.0781043, 0.8100892
309.25, -0.0781043, 0.8096152
309.3, -0.07872984, 0.8092992
309.35, -0.07935539, 0.8091412
309.45, -0.08060649, 0.8086672
309.5, -0.08123204, 0.8085092
309.6, -0.0818576, 0.8078772
309.7, -0.08310869, 0.8074032
309.75, -0.08310869, 0.8072452
309.85, -0.08373423, 0.8067712
310, -0.08435979, 0.8061392
310.05, -0.08561088, 0.8058233
310.1, -0.08561088, 0.8058233
310.2, -0.08686198, 0.8053493
310.25, -0.08686198, 0.8050333
310.3, -0.08748753, 0.8048753
310.35, -0.08748753, 0.8045593
310.45, -0.08811309, 0.8040853
310.5, -0.08873863, 0.8039273
310.6, -0.08936418, 0.8034533
310.7, -0.08998973, 0.8029793
310.75, -0.09061528, 0.8028213
310.8, -0.09124083, 0.8025053
310.9, -0.09124083, 0.8021894
310.95, -0.09249193, 0.8018733
311, -0.09249193, 0.8015574
311.05, -0.09311747, 0.8013994
311.1, -0.09374303, 0.8012414
311.2, -0.09436858, 0.8009254
311.25, -0.09499412, 0.8006094
311.35, -0.09499412, 0.8001354
311.45, -0.09624523, 0.7998194
311.5, -0.09624523, 0.7996615
311.55, -0.09687077, 0.7995034
311.6, -0.09687077, 0.7991874
311.7, -0.09812186, 0.7987134
311.75, -0.09874742, 0.7983975
311.85, -0.09937298, 0.7980815
311.9, -0.0999985, 0.7979235
312, -0.1006241, 0.7974495
312.05, -0.1012496, 0.7972915
312.1, -0.1012496, 0.7971334
312.15, -0.1018752, 0.7968175
312.25, -0.1025007, 0.7965015
312.35, -0.1031263, 0.7960275
312.4, -0.1037518, 0.7958695
312.5, -0.1043774, 0.7953956
312.6, -0.1050029, 0.7949216
312.65, -0.1056285, 0.7946056
312.75, -0.106254, 0.7942896
312.8, -0.1068796, 0.7941316
312.85, -0.1068796, 0.7938156
312.95, -0.1081306, 0.7934996
313, -0.1081306, 0.7933416
313.05, -0.1087562, 0.7931836
313.1, -0.1087562, 0.7930256
313.2, -0.1100073, 0.7925516
313.25, -0.1100073, 0.7923936
313.3, -0.1106329, 0.7922357
313.35, -0.1106329, 0.7919196
313.4, -0.1112584, 0.7919196
313.5, -0.1118839, 0.7912876
313.55, -0.1125095, 0.7911296
313.6, -0.1125095, 0.7909716
313.7, -0.1137606, 0.7904977
313.75, -0.1137606, 0.7903396
313.8, -0.1143861, 0.7901817
313.85, -0.1150117, 0.7900237
314, -0.1162628, 0.7893917
314.1, -0.1168883, 0.7889177
314.15, -0.1175139, 0.7889177
314.25, -0.1175139, 0.7884437
314.3, -0.1181394, 0.7882857
314.35, -0.118765, 0.7881277
314.4, -0.1193905, 0.7879698
314.5, -0.1200161, 0.7874958
314.6, -0.1206416, 0.7871798
314.75, -0.1218927, 0.7867058
314.85, -0.1225183, 0.7862318
315, -0.1231438, 0.7857578
315.1, -0.1237694, 0.7852838
315.2, -0.1250205, 0.7851258
315.25, -0.1250205, 0.7848098
315.3, -0.125646, 0.7848098
315.35, -0.125646, 0.7844938
315.45, -0.1268971, 0.7841778
315.5, -0.1268971, 0.7838619
315.55, -0.1275227, 0.7837039
315.6, -0.1281482, 0.7835459
315.75, -0.1293993, 0.7829139
315.85, -0.1300249, 0.7825979
315.9, -0.1306504, 0.7824399
316, -0.131276, 0.7821239
316.05, -0.1319015, 0.7819659
316.1, -0.1319015, 0.7818079
316.15, -0.1331526, 0.7816499
316.25, -0.1331526, 0.781176
316.3, -0.1344037, 0.781018
316.35, -0.1344037, 0.781018
316.45, -0.1350293, 0.780544
316.5, -0.1356548, 0.7803859
316.55, -0.1362804, 0.7802279
316.6, -0.1362804, 0.7802279
316.7, -0.1375315, 0.7799119
316.75, -0.1375315, 0.7797539
316.85, -0.138157, 0.7792799
316.9, -0.1387826, 0.779122
317, -0.1394081, 0.778964
317.05, -0.1400337, 0.778806
317.1, -0.1400337, 0.77849
317.2, -0.1406592, 0.778174
317.25, -0.1412848, 0.778016
317.35, -0.1419103, 0.7775421
317.4, -0.1425359, 0.7775421
317.5, -0.1431614, 0.777226
317.55, -0.143787, 0.777068
317.6, -0.143787, 0.7769101
317.65, -0.1456636, 0.776594
317.75, -0.1462891, 0.7762781
317.85, -0.1469147, 0.7758041
317.95, -0.1475403, 0.7754881
318, -0.1481658, 0.7754881
318.1, -0.1487914, 0.7751721
318.2, -0.1494169, 0.7745401
318.25, -0.1494169, 0.7745401
318.35, -0.1500424, 0.7740661
318.45, -0.150668, 0.7739081
318.5, -0.150668, 0.7735921
318.55, -0.1512935, 0.7734341
318.6, -0.1519191, 0.7732762
318.7, -0.1525446, 0.7729601
318.75, -0.1537957, 0.7728022
318.85, -0.1544213, 0.7724862
318.9, -0.1556724, 0.7723281
319, -0.1556724, 0.7718542
319.05, -0.1569235, 0.7718542
319.1, -0.1569235, 0.7716962
319.25, -0.1569235, 0.7712222
319.3, -0.157549, 0.7709062
319.35, -0.1581746, 0.7709062
319.45, -0.1588001, 0.7705902
319.5, -0.1594257, 0.7702742
319.55, -0.1600512, 0.7702742
319.6, -0.1600512, 0.7701163
319.7, -0.1613023, 0.7698002
319.75, -0.1613023, 0.7696423
319.8, -0.1619279, 0.7694843
319.85, -0.1625534, 0.7691682
319.95, -0.1638045, 0.7688522
320, -0.1638045, 0.7688522
320.05, -0.1644301, 0.7685363
320.1, -0.1644301, 0.7685363
320.15, -0.1650556, 0.7683783
320.25, -0.1650556, 0.7680623
320.35, -0.1656812, 0.7677463
320.45, -0.1669323, 0.7674303
320.5, -0.1675578, 0.7672723
320.6, -0.1681834, 0.7669563
320.65, -0.1688089, 0.7667983
320.75, -0.17006, 0.7664824
320.85, -0.17006, 0.7661663
320.9, -0.1713111, 0.7661663
321, -0.1713111, 0.7658504
321.1, -0.1719366, 0.7655343
321.25, -0.1719366, 0.7649024
321.3, -0.1731878, 0.7649024
321.35, -0.1731878, 0.7645864
321.4, -0.1744389, 0.7645864
321.5, -0.1756899, 0.7642704
321.6, -0.1763155, 0.7639544
321.65, -0.1769411, 0.7637964
321.75, -0.1781922, 0.7634804
321.85, -0.1788177, 0.7631644
321.95, -0.1794432, 0.7628484
322, -0.1794432, 0.7628484
322.1, -0.1800688, 0.7625324
322.2, -0.1806944, 0.7622164
322.25, -0.1806944, 0.7620584
322.3, -0.1813199, 0.7619004
322.35, -0.1819454, 0.7615845
322.45, -0.1831965, 0.7612684
322.5, -0.1831965, 0.7612684
322.55, -0.1838221, 0.7609525
322.6, -0.1838221, 0.7609525
322.7, -0.1844477, 0.7607945
322.75, -0.1844477, 0.7604785
322.8, -0.1850732, 0.7604785
322.85, -0.1856987, 0.7601625
322.9, -0.1863243, 0.7600045
323, -0.1869498, 0.7598465
323.1, -0.1875754, 0.7595305
323.2, -0.188201, 0.7592145
323.25, -0.188201, 0.7590566
323.3, -0.1888265, 0.7588986
323.35, -0.1888265, 0.7585826
323.45, -0.1900776, 0.7582666
323.5, -0.1913287, 0.7582666
323.6, -0.1913287, 0.7579505
323.7, -0.1925798, 0.7577925
323.75, -0.1925798, 0.7574766
323.8, -0.1932053, 0.7574766
323.85, -0.1932053, 0.7573186
323.9, -0.1938309, 0.7571605
324, -0.195082, 0.7568446
324.1, -0.1957076, 0.7565286
324.2, -0.1969586, 0.7562126
324.25, -0.1969586, 0.7560546
324.3, -0.1975842, 0.7558966
324.35, -0.1982097, 0.7557386
324.5, -0.1982097, 0.7552646
324.55, -0.1994608, 0.7552646
324.6, -0.1994608, 0.7549486
324.7, -0.2007119, 0.7547907
324.75, -0.2007119, 0.7546327
324.8, -0.2013375, 0.7544746
324.85, -0.2013375, 0.7543167
324.9, -0.201963, 0.7541587
325, -0.2032141, 0.7538427
325.1, -0.2032141, 0.7535267
325.15, -0.2038397, 0.7535267
325.25, -0.2044652, 0.7533687
325.3, -0.2050908, 0.7532107
325.35, -0.2057163, 0.7532107
325.45, -0.2063419, 0.7527367
325.5, -0.2063419, 0.7525787
325.55, -0.2069674, 0.7525787
325.6, -0.2069674, 0.7524207
325.65, -0.207593, 0.7522627
325.75, -0.2082185, 0.7519467
325.8, -0.2088441, 0.7517887
325.85, -0.2088441, 0.7516307
325.95, -0.2100952, 0.7513147
326, -0.2107207, 0.7513147
326.05, -0.2119718, 0.7511567
326.1, -0.2119718, 0.7509987
326.15, -0.2125974, 0.7508407
326.25, -0.2132229, 0.7505248
326.35, -0.2138485, 0.7502087
326.45, -0.214474, 0.7500508
326.5, -0.2150996, 0.7498928
326.55, -0.2157251, 0.7497348
326.6, -0.2163507, 0.7495768
326.7, -0.2176018, 0.7492608
326.75, -0.2176018, 0.7492608
326.85, -0.2182273, 0.7489448
326.9, -0.2188529, 0.7489448
327, -0.2194784, 0.7486288
327.1, -0.220104, 0.7483128
327.15, -0.2207295, 0.7481548
327.25, -0.2213551, 0.7479969
327.3, -0.2219806, 0.7478389
327.35, -0.2219806, 0.7478389
327.4, -0.2232317, 0.7476808
327.5, -0.2232317, 0.7475229
327.6, -0.2238573, 0.7472069
327.65, -0.2244828, 0.7472069
327.75, -0.2251084, 0.7468909
327.8, -0.2257339, 0.7468909
327.85, -0.2263595, 0.7467328
327.9, -0.226985, 0.7465748
328, -0.226985, 0.7464169
328.05, -0.2276105, 0.7462589
328.1, -0.2276105, 0.7461008
328.15, -0.2282361, 0.7461008
328.25, -0.2288617, 0.7459429
328.3, -0.2294872, 0.7457849
328.35, -0.2294872, 0.7456269
328.45, -0.2307383, 0.7454689
328.5, -0.2307383, 0.7453109
328.55, -0.2313638, 0.7451529
328.6, -0.2319894, 0.7451529
328.7, -0.232615, 0.7448369
328.75, -0.232615, 0.7445209
328.8, -0.2332405, 0.7445209
328.85, -0.233866, 0.744363
329, -0.233866, 0.7438889
329.05, -0.2344916, 0.7438889
329.1, -0.2351171, 0.7438889
329.15, -0.2357427, 0.743731
329.25, -0.2363683, 0.7434149
329.3, -0.2369938, 0.743257
329.35, -0.2376193, 0.743257
329.45, -0.2388704, 0.742941
329.5, -0.2388704, 0.742783
329.55, -0.239496, 0.742625
329.6, -0.2401216, 0.742625
329.7, -0.2407471, 0.742467
329.75, -0.2407471, 0.742467
329.85, -0.2413726, 0.742151
329.95, -0.2426237, 0.741993
330, -0.2426237, 0.741835
330.1, -0.2438748, 0.741677
330.25, -0.2445004, 0.741519
330.35, -0.2457515, 0.7412031
