Experiment:, Load
Start date:, st?eda 19. ?ervence 2023
Start time:, 10:33:20 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
300.35, -0.003038393, 0.887191
300.5, -0.004289486, 0.887033
300.6, -0.005540589, 0.8840311
300.7, -0.005540589, 0.8824512
300.85, -0.006166136, 0.8799232
301, -0.008042786, 0.8770794
301.05, -0.008042786, 0.8762894
301.2, -0.009293883, 0.8748674
301.25, -0.009919429, 0.8742354
301.4, -0.01054498, 0.8724974
301.55, -0.01242163, 0.8707595
301.6, -0.01304718, 0.8701275
301.75, -0.01367273, 0.8688635
301.8, -0.01367273, 0.8685476
301.9, -0.01492382, 0.8675996
301.95, -0.01492382, 0.8672836
302.1, -0.01617493, 0.8657036
302.15, -0.01617493, 0.8657036
302.3, -0.01742602, 0.8641236
302.35, -0.01805157, 0.8636497
302.45, -0.01867712, 0.8628597
302.55, -0.01930267, 0.8622277
302.65, -0.02117932, 0.8609638
302.7, -0.02117932, 0.8604898
302.85, -0.02305596, 0.8593838
302.9, -0.02305596, 0.8589098
303.05, -0.02493261, 0.8573298
303.1, -0.02493261, 0.8574879
303.2, -0.02555816, 0.8565399
303.25, -0.02555816, 0.8565399
303.4, -0.02680926, 0.8557499
303.45, -0.02743481, 0.8551179
303.6, -0.02931145, 0.853854
303.65, -0.02931145, 0.85338
303.75, -0.03056256, 0.852432
303.8, -0.03118811, 0.851958
303.85, -0.03181365, 0.851642
304, -0.03181365, 0.851168
304.1, -0.03306475, 0.8506941
304.2, -0.0336903, 0.8499041
304.35, -0.03556695, 0.8484821
304.4, -0.03619251, 0.8481661
304.45, -0.03556695, 0.8481661
304.55, -0.03619251, 0.8478501
304.7, -0.0374436, 0.8469021
304.75, -0.03806914, 0.8464282
304.9, -0.0386947, 0.8457962
304.95, -0.03932025, 0.8453222
305.05, -0.04119689, 0.8442162
305.1, -0.04119689, 0.8440582
305.2, -0.04244799, 0.8432683
305.3, -0.04244799, 0.8434262
305.4, -0.04369909, 0.8424783
305.5, -0.04432464, 0.8423203
305.6, -0.04495018, 0.8418462
305.65, -0.04557574, 0.8413723
305.75, -0.04620128, 0.8410563
305.85, -0.04745239, 0.8401083
306, -0.04870348, 0.8391604
306.05, -0.04870348, 0.8390024
306.2, -0.04995458, 0.8382124
306.25, -0.04995458, 0.8380544
306.35, -0.05058013, 0.8377384
306.4, -0.05058013, 0.8372644
306.55, -0.05183123, 0.8367904
306.6, -0.05245678, 0.8364744
306.75, -0.05370788, 0.8358424
306.8, -0.05433342, 0.8353685
306.85, -0.05558453, 0.8352104
306.95, -0.05558453, 0.8347365
307.1, -0.05683562, 0.8337885
307.15, -0.05683562, 0.8337885
307.3, -0.05808672, 0.8328406
307.35, -0.05808672, 0.8325245
307.45, -0.05933782, 0.8318925
307.5, -0.05933782, 0.8320506
307.6, -0.06058892, 0.8312606
307.7, -0.06121447, 0.8301546
307.85, -0.06246556, 0.8295226
307.9, -0.06246556, 0.8295226
308.05, -0.06371667, 0.8287326
308.1, -0.06434221, 0.8287326
308.2, -0.06559331, 0.8279427
308.25, -0.06559331, 0.8279427
308.4, -0.06746996, 0.8271527
308.45, -0.06746996, 0.8269947
308.6, -0.06872107, 0.8262047
308.65, -0.06872107, 0.8262047
308.8, -0.0693466, 0.8257307
308.95, -0.07122325, 0.8250987
309, -0.07122325, 0.8249407
309.1, -0.07247435, 0.8243088
309.2, -0.0730999, 0.8241507
309.25, -0.07372544, 0.8238348
309.35, -0.074351, 0.8235188
309.5, -0.07560209, 0.8228868
309.55, -0.0768532, 0.8224128
309.75, -0.07747874, 0.8217809
309.8, -0.0781043, 0.8214648
309.9, -0.0781043, 0.8216228
310.05, -0.07998095, 0.8206749
310.1, -0.07998095, 0.8203589
310.25, -0.0818576, 0.8195689
310.3, -0.08123204, 0.8195689
310.45, -0.08310869, 0.8190949
310.5, -0.08310869, 0.8189369
310.6, -0.08435979, 0.8183049
310.65, -0.08435979, 0.8184629
310.75, -0.08561088, 0.8176729
310.85, -0.08623644, 0.817515
311, -0.08748753, 0.8165669
311.05, -0.08873863, 0.816409
311.2, -0.08873863, 0.816251
311.35, -0.09061528, 0.815461
311.4, -0.09061528, 0.815303
311.55, -0.09249193, 0.814513
311.6, -0.09249193, 0.8143551
311.65, -0.09311747, 0.814513
311.75, -0.09436858, 0.813881
311.8, -0.09499412, 0.813565
311.95, -0.09561968, 0.812933
312, -0.09624523, 0.812933
312.15, -0.09749633, 0.8126171
312.3, -0.09812186, 0.8121431
312.35, -0.09874742, 0.8116691
312.4, -0.09937298, 0.8115111
312.5, -0.09937298, 0.8111951
312.65, -0.1012496, 0.8105631
312.7, -0.1012496, 0.8105631
312.8, -0.1031263, 0.8097731
312.9, -0.1031263, 0.8097731
313, -0.1043774, 0.8094572
313.05, -0.1043774, 0.8091412
313.1, -0.1056285, 0.8088252
313.25, -0.1050029, 0.8088252
313.35, -0.106254, 0.8081931
313.45, -0.1068796, 0.8081931
313.55, -0.1075051, 0.8078772
313.6, -0.1081306, 0.8077192
313.65, -0.1075051, 0.8077192
313.8, -0.1093817, 0.8072452
313.95, -0.1106329, 0.8066132
314, -0.1106329, 0.8064553
314.15, -0.1125095, 0.8058233
314.2, -0.1125095, 0.8058233
314.3, -0.113135, 0.8056653
314.35, -0.1137606, 0.8053493
314.5, -0.1143861, 0.8050333
314.55, -0.1150117, 0.8047173
314.7, -0.1168883, 0.8045593
314.75, -0.1175139, 0.8044013
314.9, -0.1181394, 0.8039273
315, -0.1200161, 0.8034533
315.1, -0.1200161, 0.8032954
