Experiment:, Load
Start date:, p?tek 27. ??jna 2023
Start time:, 14:22:46 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
150.45, -0.005540589, 0.9055186
150.55, -0.005540589, 0.888771
150.6, -0.006791682, 0.8792912
150.75, -0.008042786, 0.8638077
150.95, -0.009293883, 0.853538
151.1, -0.01054498, 0.8487981
151.15, -0.01117053, 0.8464282
151.35, -0.01304718, 0.8397923
151.4, -0.01304718, 0.8390024
151.55, -0.01429828, 0.8352104
151.6, -0.01429828, 0.8341045
151.75, -0.01554937, 0.8303126
151.8, -0.01617493, 0.8279427
151.95, -0.01742602, 0.8258888
152, -0.01742602, 0.8244667
152.1, -0.01867712, 0.8238348
152.2, -0.01867712, 0.8222548
152.4, -0.02055377, 0.8195689
152.45, -0.02117932, 0.8184629
152.6, -0.02243042, 0.8165669
152.65, -0.02243042, 0.816251
152.8, -0.02430707, 0.814671
152.85, -0.02493261, 0.8141971
153, -0.02618371, 0.8121431
153.05, -0.02618371, 0.8123011
153.15, -0.02680926, 0.8111951
153.25, -0.02806036, 0.8094572
153.35, -0.02931145, 0.8088252
153.45, -0.02993701, 0.8077192
153.65, -0.03118811, 0.8056653
153.7, -0.03118811, 0.8058233
153.85, -0.03306475, 0.8031374
153.9, -0.0336903, 0.8032954
154, -0.03431586, 0.8028213
154.1, -0.03431586, 0.8018733
154.15, -0.0336903, 0.8025053
154.3, -0.03556695, 0.8007674
154.45, -0.0374436, 0.7995034
154.55, -0.03806914, 0.7991874
154.7, -0.03681805, 0.7990295
154.75, -0.03806914, 0.7983975
154.9, -0.03932025, 0.7968175
154.95, -0.03994579, 0.7965015
155.05, -0.04119689, 0.7949216
155.15, -0.04119689, 0.7952375
155.25, -0.04244799, 0.7944475
155.35, -0.04244799, 0.7928676
155.4, -0.04369909, 0.7925516
155.55, -0.04432464, 0.7919196
155.65, -0.04495018, 0.7911296
155.75, -0.04557574, 0.7908136
155.95, -0.04807793, 0.7890757
156, -0.04870348, 0.7887597
156.15, -0.04995458, 0.7881277
156.2, -0.04995458, 0.7874958
156.3, -0.05058013, 0.7868638
156.4, -0.05183123, 0.7862318
156.55, -0.05245678, 0.7851258
156.6, -0.05308233, 0.7848098
156.7, -0.05433342, 0.7846518
156.8, -0.05433342, 0.7837039
157, -0.05683562, 0.7825979
157.05, -0.05683562, 0.7822819
157.2, -0.05871227, 0.7808599
157.25, -0.05871227, 0.781018
157.4, -0.05996337, 0.7803859
157.45, -0.05996337, 0.7800699
157.6, -0.06184002, 0.778964
157.65, -0.06184002, 0.778964
157.75, -0.06371667, 0.778174
157.85, -0.06434221, 0.777858
157.95, -0.06559331, 0.777226
158.05, -0.06621886, 0.7764361
158.2, -0.06872107, 0.7756461
158.3, -0.06872107, 0.7753301
158.4, -0.06997216, 0.7748562
158.5, -0.06997216, 0.7745401
158.6, -0.07122325, 0.7735921
