Experiment:, Load
Start date:, st?eda 19. ?ervence 2023
Start time:, 12:23:50 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
300.7, -0.004915043, 0.8852951
300.8, -0.006166136, 0.8835571
301.05, -0.008668332, 0.8797652
301.15, -0.009293883, 0.8781853
301.4, -0.01179608, 0.8747094
301.5, -0.01179608, 0.8740774
301.8, -0.01429828, 0.8713915
301.85, -0.01429828, 0.8709175
302.15, -0.01680047, 0.8682315
302.2, -0.01742602, 0.8677576
302.4, -0.01930267, 0.8658617
302.55, -0.01930267, 0.8652297
302.8, -0.02243042, 0.8625437
302.9, -0.02305596, 0.8619117
303.2, -0.02555816, 0.8600158
303.25, -0.02618371, 0.8595418
303.45, -0.02743481, 0.8579618
303.55, -0.02806036, 0.8573298
303.75, -0.03056256, 0.8554339
303.95, -0.03056256, 0.8544859
304.2, -0.03306475, 0.8529059
304.25, -0.03306475, 0.852748
304.55, -0.03556695, 0.851168
304.6, -0.03619251, 0.8506941
304.9, -0.0386947, 0.8489561
304.95, -0.03932025, 0.8484821
305.2, -0.04119689, 0.8473761
305.3, -0.04182244, 0.8467441
305.6, -0.04432464, 0.8451642
305.65, -0.04432464, 0.8451642
305.9, -0.04745239, 0.8435842
306, -0.04745239, 0.8431103
306.3, -0.04995458, 0.8418462
306.35, -0.05058013, 0.8412143
306.55, -0.05183123, 0.8404243
306.7, -0.05245678, 0.8401083
306.95, -0.05495897, 0.8386863
307, -0.05495897, 0.8385284
307.3, -0.05808672, 0.8371064
307.35, -0.05808672, 0.8371064
307.6, -0.06058892, 0.8356844
307.7, -0.06121447, 0.8352104
308, -0.06309112, 0.8341045
308.05, -0.06371667, 0.8337885
308.35, -0.06621886, 0.8318925
308.4, -0.06621886, 0.8318925
308.7, -0.06872107, 0.8303126
308.75, -0.06872107, 0.8299966
308.95, -0.07122325, 0.8285747
309.1, -0.07122325, 0.8285747
309.4, -0.074351, 0.8273107
309.45, -0.07497655, 0.8271527
309.75, -0.0768532, 0.8263627
309.8, -0.07747874, 0.8260467
310, -0.07998095, 0.8247827
310.15, -0.08060649, 0.8243088
310.4, -0.08310869, 0.8235188
310.45, -0.08310869, 0.8236768
310.7, -0.08561088, 0.8228868
310.8, -0.08686198, 0.8222548
311.05, -0.08873863, 0.8213068
311.15, -0.08936418, 0.8208328
311.45, -0.09124083, 0.8198849
311.5, -0.09124083, 0.8197268
311.8, -0.09436858, 0.8184629
311.85, -0.09436858, 0.8184629
312.15, -0.09624523, 0.817515
312.2, -0.09687077, 0.8171989
312.4, -0.09874742, 0.8165669
312.55, -0.09937298, 0.816409
312.8, -0.1018752, 0.815461
312.9, -0.1018752, 0.815303
313.2, -0.1043774, 0.8141971
313.25, -0.1043774, 0.814039
313.55, -0.1068796, 0.813407
313.6, -0.1075051, 0.813091
313.8, -0.1093817, 0.812933
313.9, -0.1100073, 0.8127751
314.15, -0.1118839, 0.8118271
314.25, -0.1125095, 0.8116691
314.55, -0.1143861, 0.8105631
314.6, -0.1150117, 0.8105631
314.9, -0.1175139, 0.8097731
314.95, -0.1175139, 0.8097731
315.25, -0.1206416, 0.8088252
315.3, -0.1206416, 0.8088252
315.55, -0.1225183, 0.8081931
315.65, -0.1231438, 0.8078772
315.9, -0.1250205, 0.8074032
316, -0.1250205, 0.8074032
316.3, -0.1281482, 0.8064553
316.35, -0.1293993, 0.8061392
316.65, -0.131276, 0.8055072
316.7, -0.1319015, 0.8055072
316.9, -0.1344037, 0.8047173
317.05, -0.1337782, 0.8047173
317.2, -0.1356548, 0.8042433
317.35, -0.1369059, 0.8039273
317.65, -0.1394081, 0.8034533
317.7, -0.1400337, 0.8031374
317.95, -0.1425359, 0.8025053
318.05, -0.1425359, 0.8025053
318.35, -0.1450381, 0.8015574
318.4, -0.1450381, 0.8013994
318.7, -0.1481658, 0.8006094
318.75, -0.1481658, 0.8006094
318.95, -0.150668, 0.8001354
319.1, -0.1512935, 0.8001354
319.4, -0.1531702, 0.7993454
319.45, -0.1531702, 0.7995034
319.65, -0.1556724, 0.7988715
319.8, -0.1562979, 0.7987134
320.05, -0.1588001, 0.7979235
320.15, -0.1594257, 0.7977655
320.4, -0.1606768, 0.7974495
320.45, -0.1613023, 0.7971334
320.75, -0.1638045, 0.7965015
320.8, -0.1638045, 0.7966595
320.95, -0.1656812, 0.7963435
321.15, -0.1663067, 0.7961855
321.45, -0.1694345, 0.7952375
321.5, -0.1694345, 0.7952375
321.7, -0.1713111, 0.7950795
321.85, -0.1719366, 0.7946056
322.15, -0.1750644, 0.7942896
322.2, -0.1756899, 0.7942896
322.45, -0.1769411, 0.7941316
322.55, -0.1775666, 0.7938156
322.85, -0.1800688, 0.7938156
322.9, -0.1800688, 0.7934996
323.2, -0.1831965, 0.7925516
323.25, -0.1831965, 0.7922357
323.5, -0.1856987, 0.7917617
323.6, -0.1863243, 0.7914456
323.75, -0.1875754, 0.7912876
323.9, -0.1888265, 0.7911296
324.05, -0.1900776, 0.7908136
324.25, -0.1913287, 0.7901817
324.55, -0.1938309, 0.7897077
324.6, -0.1938309, 0.7897077
324.9, -0.1963331, 0.7890757
324.95, -0.1969586, 0.7889177
325.15, -0.1994608, 0.7882857
325.3, -0.2000864, 0.7882857
325.5, -0.2013375, 0.7879698
325.65, -0.2013375, 0.7878118
325.95, -0.2044652, 0.7871798
326, -0.2057163, 0.7870218
326.3, -0.207593, 0.7865478
326.35, -0.2082185, 0.7862318
326.5, -0.2100952, 0.7862318
326.7, -0.2113463, 0.7857578
327, -0.2138485, 0.7852838
327.05, -0.214474, 0.7852838
327.3, -0.2163507, 0.7848098
327.35, -0.2169762, 0.7848098
327.65, -0.2194784, 0.7841778
327.7, -0.2194784, 0.7841778
328, -0.2219806, 0.7838619
328.05, -0.2219806, 0.7838619
328.3, -0.2244828, 0.7837039
328.4, -0.2244828, 0.7837039
328.65, -0.226985, 0.7827559
328.75, -0.2276105, 0.7829139
328.95, -0.2294872, 0.7818079
329.1, -0.2307383, 0.7813339
329.2, -0.2319894, 0.781176
329.45, -0.232615, 0.781176
329.75, -0.2357427, 0.7803859
329.8, -0.2357427, 0.7803859
330.1, -0.2388704, 0.7799119
330.15, -0.2388704, 0.7797539
330.35, -0.2413726, 0.7792799
330.5, -0.2413726, 0.779122
330.75, -0.2438748, 0.77849
330.8, -0.2438748, 0.77849
331.1, -0.246377, 0.777858
331.2, -0.246377, 0.7775421
331.3, -0.2482537, 0.777384
331.5, -0.2495048, 0.777068
331.8, -0.252007, 0.7767521
331.85, -0.2526325, 0.776594
332.15, -0.2545092, 0.7761201
332.2, -0.2545092, 0.7761201
332.5, -0.2570114, 0.7756461
332.55, -0.2576369, 0.7756461
332.7, -0.258888, 0.7753301
332.9, -0.258888, 0.7751721
333.15, -0.2626413, 0.7746981
333.25, -0.2626413, 0.7745401
333.4, -0.2651435, 0.7742241
333.6, -0.2663946, 0.7740661
333.9, -0.2688968, 0.7734341
333.95, -0.2695223, 0.7734341
334.15, -0.271399, 0.7729601
334.25, -0.2720245, 0.7729601
334.55, -0.2739012, 0.7721702
334.6, -0.2745267, 0.7723281
334.9, -0.2764034, 0.7720122
334.95, -0.2770289, 0.7718542
335.25, -0.2795311, 0.7715382
335.3, -0.2795311, 0.7715382
335.6, -0.2826589, 0.7709062
335.65, -0.2826589, 0.7709062
335.95, -0.2845355, 0.7707482
336, -0.2851611, 0.7705902
336.3, -0.2882888, 0.7699583
336.35, -0.2882888, 0.7699583
336.6, -0.2901655, 0.7698002
336.7, -0.2901655, 0.7698002
336.9, -0.2926677, 0.7693263
337.05, -0.2932932, 0.7691682
337.3, -0.2951699, 0.7688522
337.35, -0.2951699, 0.7688522
337.65, -0.2976721, 0.7683783
337.75, -0.2976721, 0.7683783
337.95, -0.3007998, 0.7679043
338.05, -0.3007998, 0.7679043
338.3, -0.303302, 0.7675883
338.4, -0.3039276, 0.7674303
338.7, -0.3064297, 0.7669563
338.75, -0.3076809, 0.7667983
339.05, -0.310183, 0.7664824
339.1, -0.3095575, 0.7666403
339.3, -0.3114342, 0.7664824
339.45, -0.3120597, 0.7664824
339.7, -0.3139363, 0.7661663
339.8, -0.3139363, 0.7660083
340.05, -0.3170641, 0.7655343
340.15, -0.3170641, 0.7655343
340.45, -0.3208174, 0.7649024
340.5, -0.3208174, 0.7649024
340.7, -0.322694, 0.7647444
340.8, -0.322694, 0.7645864
341.1, -0.3258218, 0.7639544
341.15, -0.3258218, 0.7639544
341.45, -0.328324, 0.7637964
341.5, -0.328324, 0.7636384
341.75, -0.3302006, 0.7634804
341.85, -0.3314517, 0.7634804
342.1, -0.3339539, 0.7630064
342.2, -0.3339539, 0.7630064
342.5, -0.3370816, 0.7625324
342.55, -0.3370816, 0.7625324
342.8, -0.3402094, 0.7620584
342.9, -0.3402094, 0.7620584
343.2, -0.3427116, 0.7615845
343.25, -0.3433371, 0.7615845
343.5, -0.3458393, 0.7611105
343.6, -0.3458393, 0.7611105
343.85, -0.3483416, 0.7607945
343.95, -0.3483416, 0.7607945
344.2, -0.3508437, 0.7604785
344.25, -0.3508437, 0.7604785
344.45, -0.3520948, 0.7603205
344.6, -0.3527204, 0.7601625
344.85, -0.3552226, 0.7598465
344.95, -0.3558481, 0.7596885
345.25, -0.3577248, 0.7592145
345.3, -0.3577248, 0.7592145
345.6, -0.360227, 0.7588986
345.65, -0.360227, 0.7588986
345.95, -0.3639803, 0.7582666
346, -0.3639803, 0.7582666
346.3, -0.3664825, 0.7579505
346.35, -0.367108, 0.7579505
346.6, -0.3696102, 0.7579505
346.7, -0.3689846, 0.7579505
346.95, -0.3721124, 0.7571605
347.05, -0.3721124, 0.7568446
347.3, -0.3746146, 0.7563706
347.4, -0.3752401, 0.7563706
347.65, -0.3777423, 0.7558966
347.7, -0.3777423, 0.7558966
348, -0.3802446, 0.7555806
348.05, -0.3808701, 0.7554227
348.3, -0.3827467, 0.7551066
348.4, -0.3833723, 0.7549486
348.7, -0.3865001, 0.7547907
348.75, -0.3865001, 0.7546327
349.05, -0.3890022, 0.7541587
349.1, -0.3896278, 0.7541587
349.35, -0.3915044, 0.7536847
349.45, -0.39213, 0.7535267
349.75, -0.3946322, 0.7530527
349.8, -0.3952577, 0.7528947
349.95, -0.3971344, 0.7527367
350.15, -0.39776, 0.7524207
350.45, -0.4002622, 0.7519467
350.5, -0.4008877, 0.7517887
350.8, -0.4033899, 0.7514727
350.85, -0.4040155, 0.7513147
351, -0.4052666, 0.7511567
351.15, -0.4058921, 0.7508407
351.45, -0.4090198, 0.7505248
351.55, -0.4090198, 0.7505248
351.8, -0.4108965, 0.7502087
351.85, -0.4108965, 0.7500508
352.1, -0.4146498, 0.7498928
352.2, -0.4146498, 0.7498928
352.5, -0.417152, 0.7492608
352.55, -0.417152, 0.7491028
352.85, -0.4202798, 0.7484708
352.9, -0.4202798, 0.7484708
353.2, -0.4234075, 0.7481548
353.25, -0.4234075, 0.7481548
353.55, -0.4252841, 0.7478389
353.6, -0.4252841, 0.7478389
353.9, -0.4284118, 0.7475229
353.95, -0.4284118, 0.7475229
354.2, -0.4302885, 0.7472069
354.25, -0.4302885, 0.7470489
354.55, -0.4334163, 0.7467328
354.6, -0.4340418, 0.7467328
354.9, -0.436544, 0.7461008
354.95, -0.436544, 0.7461008
355.25, -0.4390462, 0.7454689
