Experiment:, Cathode characterisation
Start date:, p?tek 2. z??? 2022
Start time:, 11:50:29 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
927.05, 0.3994583, 0.03531097
927.1, 0.4002483, 0.03954023
927.15, 0.4013543, 0.03907031
927.2, 0.4021442, 0.03844375
927.25, 0.4030922, 0.03907031
927.3, 0.4040402, 0.03969686
927.35, 0.4051462, 0.04094998
927.4, 0.4062521, 0.04048006
927.45, 0.4072001, 0.04001015
927.5, 0.4081481, 0.04001015
927.55, 0.409254, 0.04079334
927.6, 0.410044, 0.04032342
927.65, 0.410992, 0.04110662
927.7, 0.412256, 0.04235973
927.75, 0.4130459, 0.04094998
927.8, 0.4141519, 0.04032342
927.85, 0.4152579, 0.04001015
927.9, 0.4162059, 0.04235973
927.95, 0.4169958, 0.04032342
928, 0.4181018, 0.04204645
928.05, 0.4190498, 0.0414199
928.1, 0.4199978, 0.04094998
928.15, 0.4209457, 0.04188982
928.2, 0.4220517, 0.04157653
928.25, 0.4229997, 0.04173318
928.3, 0.4239476, 0.04220309
928.35, 0.4250536, 0.04235973
928.4, 0.4260016, 0.04235973
928.45, 0.4272656, 0.04314293
928.5, 0.4280555, 0.04173318
928.55, 0.4290035, 0.04094998
928.6, 0.4299515, 0.04204645
928.65, 0.4312155, 0.04235973
928.7, 0.4321634, 0.04345621
928.75, 0.4331114, 0.04173318
928.8, 0.4340594, 0.04345621
928.85, 0.4350073, 0.04408276
928.9, 0.4361133, 0.04329957
928.95, 0.4370613, 0.04329957
929, 0.4380093, 0.04361285
929.05, 0.4391152, 0.0450226
929.1, 0.4400632, 0.04314293
929.15, 0.4410112, 0.04282965
929.2, 0.4421171, 0.04298629
929.25, 0.4430651, 0.04423941
929.3, 0.4440131, 0.04564916
929.35, 0.444961, 0.0450226
929.4, 0.4459091, 0.04423941
929.45, 0.447015, 0.04408276
929.5, 0.447805, 0.04486596
929.55, 0.448911, 0.04486596
929.6, 0.4497009, 0.04235973
929.65, 0.4508069, 0.04392612
929.7, 0.4519129, 0.04345621
929.75, 0.4528608, 0.04298629
929.8, 0.4536508, 0.04314293
929.85, 0.4547568, 0.04345621
929.9, 0.4558628, 0.04486596
929.95, 0.4568107, 0.04376949
930, 0.4579167, 0.04643235
930.05, 0.4588647, 0.04533588
930.1, 0.4599707, 0.04470932
930.15, 0.4609186, 0.04361285
930.2, 0.4618666, 0.04533588
930.25, 0.4629726, 0.04643235
930.3, 0.4639205, 0.04455268
930.35, 0.4648685, 0.0450226
930.4, 0.4659745, 0.04423941
930.45, 0.4669225, 0.04392612
930.5, 0.4678704, 0.04596243
930.55, 0.4689764, 0.04486596
930.6, 0.4699244, 0.04455268
930.65, 0.4710304, 0.04611908
930.7, 0.4719783, 0.04470932
930.75, 0.4729263, 0.04737219
930.8, 0.4740323, 0.04768547
930.85, 0.4749802, 0.04596243
930.9, 0.4759282, 0.04737219
930.95, 0.4770342, 0.04768547
931, 0.4781401, 0.04799874
931.05, 0.4789301, 0.04611908
931.1, 0.4798781, 0.0486253
931.15, 0.4809841, 0.04643235
931.2, 0.4819321, 0.04721555
931.25, 0.48288, 0.04752883
931.3, 0.48367, 0.04643235
931.35, 0.484776, 0.04815539
931.4, 0.485882, 0.04737219
931.45, 0.4868299, 0.04658899
931.5, 0.4877779, 0.04705891
931.55, 0.4887259, 0.04721555
931.6, 0.4896739, 0.0486253
931.65, 0.4907798, 0.04705891
931.7, 0.4917278, 0.04721555
931.75, 0.4926758, 0.04799874
931.8, 0.4936238, 0.04752883
931.85, 0.4947297, 0.04737219
931.9, 0.4955197, 0.04721555
931.95, 0.4966257, 0.0486253
932, 0.4978896, 0.04721555
932.05, 0.4986796, 0.0478421
932.1, 0.4996276, 0.04831202
932.15, 0.5007336, 0.04846866
932.2, 0.5016815, 0.04737219
932.25, 0.5026295, 0.04658899
932.3, 0.5035775, 0.04737219
932.35, 0.5045254, 0.0486253
932.4, 0.5054734, 0.04768547
932.45, 0.5065793, 0.04737219
932.5, 0.5075274, 0.04721555
932.55, 0.5086333, 0.04768547
932.6, 0.5095813, 0.04752883
932.65, 0.5105293, 0.04799874
932.7, 0.5116352, 0.04831202
932.75, 0.5125833, 0.04815539
932.8, 0.5140052, 0.04846866
932.85, 0.5152691, 0.04799874
932.9, 0.5166911, 0.04815539
932.95, 0.5179551, 0.04831202
933, 0.518903, 0.04643235
933.05, 0.520009, 0.04690227
933.1, 0.520957, 0.04705891
933.15, 0.522221, 0.04690227
933.2, 0.5230109, 0.0478421
933.25, 0.5241169, 0.0478421
933.3, 0.5252228, 0.04627572
933.35, 0.5261708, 0.04799874
933.4, 0.5269608, 0.04658899
933.45, 0.5280668, 0.04768547
933.5, 0.5290148, 0.04815539
933.55, 0.5299627, 0.04799874
933.6, 0.5309107, 0.04878194
933.65, 0.5320167, 0.05097489
933.7, 0.5329646, 0.05238464
933.75, 0.5339127, 0.0478421
933.8, 0.5348606, 0.04909522
933.85, 0.5359666, 0.04925186
933.9, 0.5369146, 0.05050497
933.95, 0.5380206, 0.04752883
934, 0.5388105, 0.04768547
934.05, 0.5399165, 0.04799874
934.1, 0.5408645, 0.04909522
934.15, 0.5418124, 0.04909522
934.2, 0.5429184, 0.04893858
934.25, 0.5438664, 0.04752883
934.3, 0.5449724, 0.04878194
934.35, 0.5459203, 0.0486253
934.4, 0.5468683, 0.04893858
934.45, 0.5478163, 0.04956514
934.5, 0.5489222, 0.04768547
934.55, 0.5498702, 0.0486253
934.6, 0.5506602, 0.04846866
934.65, 0.5516082, 0.04799874
934.7, 0.5527142, 0.05050497
934.75, 0.5536621, 0.0486253
934.8, 0.5547681, 0.04878194
934.85, 0.555558, 0.05034833
934.9, 0.556664, 0.04972177
934.95, 0.557612, 0.05019169
935, 0.558718, 0.05003506
935.05, 0.5596659, 0.04987842
935.1, 0.5607719, 0.04956514
935.15, 0.5618779, 0.05050497
935.2, 0.5628259, 0.05222801
935.25, 0.5639318, 0.05034833
935.3, 0.5647218, 0.04893858
935.35, 0.5656698, 0.04956514
935.4, 0.5667757, 0.05097489
935.45, 0.5677238, 0.04956514
935.5, 0.5688297, 0.05222801
935.55, 0.5696197, 0.05207136
935.6, 0.5705677, 0.0530112
935.65, 0.5716736, 0.05395104
935.7, 0.5726216, 0.05363776
935.75, 0.5737276, 0.05160145
935.8, 0.5746756, 0.05066161
935.85, 0.5756235, 0.04987842
935.9, 0.5767295, 0.05097489
935.95, 0.5776774, 0.05081825
936, 0.5786254, 0.05128817
936.05, 0.5797314, 0.05207136
936.1, 0.5806794, 0.05128817
936.15, 0.5817853, 0.05050497
936.2, 0.5825753, 0.05050497
