Experiment:, Cathode characterisation
Start date:, ?tvrtek 27. ??jna 2022
Start time:, 17:30:39 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
226.55, 0.05044932, -0.6008012
226.65, 0.05251717, -0.2745215
226.7, 0.05357477, -0.2098295
226.75, 0.05453767, -0.1825743
226.8, 0.05540585, -0.1698865
226.85, 0.05640031, -0.1402816
226.9, 0.05737899, -0.1286903
227, 0.05936792, -0.0746498
227.05, 0.06033081, -0.06775767
227.1, 0.06132527, -0.05538317
227.15, 0.06227238, -0.05726284
227.2, 0.0633142, -0.0323572
227.25, 0.06440338, -0.01700655
227.3, 0.06525578, -0.03846613
227.4, 0.06721313, -0.01544016
227.45, 0.06828652, 0.002416719
227.5, 0.06924941, -0.00651172
227.55, 0.07025967, 0.005549503
227.6, 0.07134885, 0.01745409
227.65, 0.07224859, 0.001006966
227.75, 0.07412703, 0.008369011
227.8, 0.0752162, 0.02262319
227.85, 0.07617909, 0.02356302
227.9, 0.07728405, 0.04048006
227.95, 0.07832587, 0.0318649
228, 0.07920984, 0.02967195
228.05, 0.08025166, 0.04001015
228.1, 0.08134084, 0.05724046
228.2, 0.0835034, 0.05332448
228.25, 0.08454522, 0.04956514
228.3, 0.08539762, 0.04768547
228.35, 0.08643944, 0.05708382
228.4, 0.08763911, 0.08120627
228.5, 0.08965961, 0.06444587
228.55, 0.09052779, 0.06648218
228.6, 0.09149068, 0.06084317
228.65, 0.09246936, 0.07697701
228.7, 0.09336912, 0.06021661
228.75, 0.09425308, 0.06052989
228.8, 0.0952002, 0.06820521
228.85, 0.09616309, 0.07180792
228.95, 0.09824672, 0.08104963
229, 0.09919383, 0.07462742
229.05, 0.1002672, 0.08261602
229.1, 0.1012933, 0.07838677
229.15, 0.1022877, 0.08026644
229.2, 0.1033453, 0.08747184
229.25, 0.1043714, 0.08026644
229.35, 0.1063129, 0.08794177
229.4, 0.1073705, 0.08950816
229.45, 0.1084439, 0.08198947
229.5, 0.1093121, 0.08183283
229.55, 0.1101961, 0.08198947
229.6, 0.11138, 0.09921978
229.7, 0.1136846, 0.1009428
229.75, 0.114537, 0.0777602
229.8, 0.115642, 0.09358077
229.85, 0.1165575, 0.08684529
229.9, 0.1175677, 0.08715856
229.95, 0.1184044, 0.08512225
230.05, 0.1203775, 0.0873152
230.1, 0.1214193, 0.09123117
230.15, 0.1222559, 0.08433905
230.2, 0.1232188, 0.08841167
230.25, 0.1243238, 0.09514717
230.3, 0.1252077, 0.09217101
230.35, 0.126218, 0.09123117
230.45, 0.1280491, 0.08574881
230.5, 0.1290909, 0.09624365
230.55, 0.1301169, 0.09812331
230.6, 0.131143, 0.09138783
230.65, 0.1321058, 0.09264094
230.75, 0.1342053, 0.1014127
230.8, 0.1352944, 0.09311084
230.85, 0.1361468, 0.08966479
230.9, 0.137094, 0.08762848
230.95, 0.1380726, 0.08715856
231, 0.1389882, 0.09264094
231.05, 0.1399984, 0.09201438
231.1, 0.1411349, 0.09984634
231.15, 0.1420978, 0.08339922
231.2, 0.1431081, 0.09812331
231.3, 0.145097, 0.09029134
231.35, 0.1460599, 0.09091791
231.4, 0.1471333, 0.09953307
231.45, 0.1481751, 0.08386914
231.55, 0.1500851, 0.08418241
231.6, 0.1511585, 0.09452061
231.65, 0.1522951, 0.09859323
231.7, 0.1532264, 0.09013471
231.75, 0.1542524, 0.08982144
231.8, 0.1550732, 0.08700192
231.85, 0.1562571, 0.09718347
231.9, 0.1571095, 0.08386914
232, 0.1590984, 0.0924843
232.05, 0.1602665, 0.09874986
232.1, 0.1613084, 0.09091791
232.15, 0.162287, 0.08386914
232.2, 0.1632499, 0.09201438
232.25, 0.1642286, 0.08386914
232.35, 0.1663122, 0.09640028
232.4, 0.1672909, 0.08167619
232.45, 0.1681433, 0.0801098
232.5, 0.1690431, 0.08339922
232.55, 0.170006, 0.08559217
232.6, 0.1710478, 0.08386914
232.65, 0.172058, 0.09076127
232.7, 0.1730841, 0.08120627
232.8, 0.1750572, 0.08104963
232.85, 0.1761622, 0.09420733
232.9, 0.1771724, 0.07979652
232.95, 0.1781511, 0.08621872
233, 0.1793192, 0.0837125
233.05, 0.1802979, 0.0813629
233.15, 0.182271, 0.08292931
233.2, 0.1833128, 0.08261602
233.25, 0.1840863, 0.071338
233.3, 0.1851281, 0.08527889
233.35, 0.1862173, 0.08151954
233.4, 0.1873223, 0.08762848
233.5, 0.1892007, 0.07306103
233.55, 0.1902741, 0.08465233
233.6, 0.1911896, 0.07196455
233.65, 0.1921367, 0.07650709
233.7, 0.1930839, 0.07823012
233.75, 0.1939836, 0.07572389
233.85, 0.1960199, 0.0749407
233.9, 0.1970775, 0.08277266
233.95, 0.1980562, 0.07729029
234, 0.1989243, 0.07603717
234.05, 0.2000293, 0.08198947
234.1, 0.2009922, 0.07431415
234.15, 0.2021445, 0.08355586
234.25, 0.2040861, 0.06804857
234.3, 0.2050332, 0.08198947
234.35, 0.206075, 0.07995315
234.4, 0.2071168, 0.08151954
234.45, 0.208064, 0.07447078
234.5, 0.2089953, 0.0813629
234.55, 0.2100687, 0.07713365
234.6, 0.2111736, 0.0793266
234.65, 0.2121839, 0.07478406
234.75, 0.214157, 0.07697701
234.8, 0.2149463, 0.07196455
234.85, 0.2160039, 0.07901332
234.9, 0.2170457, 0.07916996
235, 0.219082, 0.07995315
235.05, 0.2200449, 0.07102472
235.1, 0.220992, 0.07635045
235.15, 0.2220338, 0.07963987
235.2, 0.2231072, 0.0777602
235.25, 0.2239754, 0.07462742
235.35, 0.2261064, 0.07368759
235.4, 0.2271166, 0.07885668
235.45, 0.2280795, 0.07447078
235.5, 0.2290582, 0.07572389
235.55, 0.2301, 0.0813629
235.6, 0.2310629, 0.08089299
235.65, 0.2320258, 0.07259111
235.7, 0.2330203, 0.07588054
235.75, 0.2339674, 0.07008488
235.8, 0.2350565, 0.08527889
235.9, 0.2370455, 0.0749407
235.95, 0.2381031, 0.07588054
236, 0.2390502, 0.07165127
236.05, 0.2399815, 0.07478406
236.1, 0.2410075, 0.071338
236.15, 0.2421599, 0.0777602
236.25, 0.2441646, 0.07259111
236.3, 0.2452064, 0.07274775
236.35, 0.2461061, 0.07274775
236.4, 0.2471164, 0.07462742
236.45, 0.2480951, 0.07588054
236.55, 0.2501156, 0.07071144
236.6, 0.251189, 0.07713365
236.65, 0.2521834, 0.06898841
236.7, 0.2531305, 0.07368759
236.75, 0.2540618, 0.06695209
