Experiment:, Cathode characterisation
Start date:, pond?l? 20. b?ezna 2023
Start time:, 12:43:10 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
1020.05, 0.4004063, 0.02418958
1020.1, 0.4013543, 0.02810556
1020.15, 0.4023022, 0.02685244
1020.2, 0.4032502, 0.02450286
1020.25, 0.4040402, 0.02606925
1020.3, 0.4051462, 0.02638253
1020.35, 0.4062521, 0.02638253
1020.4, 0.4073581, 0.02638253
1020.45, 0.4083061, 0.02685244
1020.5, 0.409254, 0.02622589
1020.55, 0.410202, 0.02591261
1020.6, 0.411308, 0.02638253
1020.65, 0.412414, 0.02653916
1020.7, 0.4133619, 0.02622589
1020.75, 0.4143099, 0.02559933
1020.8, 0.4152579, 0.02638253
1020.85, 0.4162059, 0.0266958
1020.9, 0.4173118, 0.0266958
1020.95, 0.4182598, 0.02638253
1021, 0.4192078, 0.02700908
1021.05, 0.4203137, 0.02544269
1021.1, 0.4212617, 0.02779228
1021.15, 0.4222097, 0.02638253
1021.2, 0.4233157, 0.02653916
1021.25, 0.4242636, 0.02606925
1021.3, 0.4250536, 0.02653916
1021.35, 0.4260016, 0.02653916
1021.4, 0.4271075, 0.02638253
1021.45, 0.4280555, 0.0266958
1021.5, 0.4291615, 0.02685244
1021.55, 0.4301095, 0.027479
1021.6, 0.4310574, 0.02606925
1021.65, 0.4320054, 0.02685244
1021.7, 0.4331114, 0.02763564
1021.75, 0.4340594, 0.02653916
1021.8, 0.4350073, 0.02653916
1021.85, 0.4359553, 0.02779228
1021.9, 0.4370613, 0.02700908
1021.95, 0.4380093, 0.02606925
1022, 0.4391152, 0.02685244
1022.05, 0.4402212, 0.02716572
1022.1, 0.4410112, 0.02700908
1022.15, 0.4421171, 0.02685244
1022.2, 0.4432231, 0.027479
1022.25, 0.4440131, 0.02779228
1022.3, 0.444961, 0.02888875
1022.35, 0.4459091, 0.02873212
1022.4, 0.447015, 0.027479
1022.45, 0.448121, 0.02888875
1022.5, 0.4492269, 0.02841884
1022.55, 0.4500169, 0.02685244
1022.6, 0.4511229, 0.02622589
1022.65, 0.4520709, 0.02638253
1022.7, 0.4528608, 0.02716572
1022.75, 0.4539668, 0.0290454
1022.8, 0.4550728, 0.02779228
1022.85, 0.4560207, 0.0290454
1022.9, 0.4571267, 0.02732236
1022.95, 0.4582327, 0.02810556
1023, 0.4591807, 0.02763564
1023.05, 0.4602866, 0.02716572
1023.1, 0.4612346, 0.02810556
1023.15, 0.4621826, 0.02763564
1023.2, 0.4631306, 0.02685244
1023.25, 0.4640785, 0.02700908
1023.3, 0.4650265, 0.027479
1023.35, 0.4661325, 0.02857548
1023.4, 0.4672385, 0.02841884
1023.45, 0.4680285, 0.027479
1023.5, 0.4691344, 0.02810556
1023.55, 0.4702404, 0.0266958
1023.6, 0.4710304, 0.02779228
1023.65, 0.4719783, 0.02810556
1023.7, 0.4729263, 0.027479
1023.75, 0.4740323, 0.02841884
1023.8, 0.4749802, 0.02841884
1023.85, 0.4760862, 0.02888875
1023.9, 0.4770342, 0.02857548
1023.95, 0.4781401, 0.02857548
1024, 0.4790882, 0.02982859
1024.05, 0.4800361, 0.03029851
1024.1, 0.4809841, 0.0290454
1024.15, 0.4820901, 0.02810556
1024.2, 0.483038, 0.02982859
1024.25, 0.483828, 0.0290454
1024.3, 0.484934, 0.02857548
1024.35, 0.485882, 0.02920203
1024.4, 0.4868299, 0.0282622
1024.45, 0.4879359, 0.02951531
1024.5, 0.4888839, 0.0282622
1024.55, 0.4896739, 0.02857548
1024.6, 0.4909378, 0.02700908
1024.65, 0.4918858, 0.02873212
1024.7, 0.4928338, 0.02779228
1024.75, 0.4939397, 0.0282622
1024.8, 0.4948877, 0.027479
1024.85, 0.4959937, 0.02873212
1024.9, 0.4969417, 0.02857548
1024.95, 0.4978896, 0.03029851
1025, 0.4989956, 0.02920203
1025.05, 0.4999436, 0.02857548
1025.1, 0.5008915, 0.02998523
1025.15, 0.5019975, 0.0290454
1025.2, 0.5029455, 0.02951531
1025.25, 0.5038934, 0.02982859
1025.3, 0.5048414, 0.02810556
1025.35, 0.5056314, 0.02888875
1025.4, 0.5065793, 0.02967195
1025.45, 0.5076854, 0.02935867
1025.5, 0.5089493, 0.03014187
1025.55, 0.5098973, 0.02857548
1025.6, 0.5108452, 0.02873212
1025.65, 0.5119512, 0.02935867
1025.7, 0.5130572, 0.02794892
1025.75, 0.5141632, 0.0290454
1025.8, 0.5155851, 0.0290454
1025.85, 0.5171651, 0.0290454
1025.9, 0.5182711, 0.02935867
1025.95, 0.519219, 0.02873212
1026, 0.520325, 0.02935867
1026.05, 0.521273, 0.02982859
1026.1, 0.5223789, 0.02998523
1026.15, 0.5234849, 0.0290454
1026.2, 0.5244329, 0.02888875
1026.25, 0.5253808, 0.0310817
1026.3, 0.5263288, 0.02967195
1026.35, 0.5274348, 0.02888875
1026.4, 0.5282248, 0.02873212
1026.45, 0.5291727, 0.02935867
1026.5, 0.5301207, 0.03029851
1026.55, 0.5310687, 0.02982859
1026.6, 0.5320167, 0.02779228
1026.65, 0.5329646, 0.02841884
1026.7, 0.5339127, 0.02935867
1026.75, 0.5350186, 0.0290454
1026.8, 0.5361246, 0.02982859
1026.85, 0.5370725, 0.02935867
1026.9, 0.5380206, 0.02857548
1026.95, 0.5389685, 0.0290454
1027, 0.5399165, 0.0290454
1027.05, 0.5410224, 0.0290454
1027.1, 0.5421284, 0.02951531
1027.15, 0.5430764, 0.02967195
1027.2, 0.5440243, 0.02716572
1027.25, 0.5449724, 0.02873212
1027.3, 0.5460783, 0.02967195
1027.35, 0.5471843, 0.02935867
1027.4, 0.5479743, 0.02967195
1027.45, 0.5489222, 0.03014187
1027.5, 0.5498702, 0.02982859
1027.55, 0.5508182, 0.03014187
1027.6, 0.5519242, 0.02998523
1027.65, 0.5530301, 0.02967195
1027.7, 0.5539781, 0.03045515
1027.75, 0.555084, 0.02935867
1027.8, 0.5561901, 0.03029851
1027.85, 0.55698, 0.03061179
1027.9, 0.557928, 0.03029851
1027.95, 0.558876, 0.03014187
1028, 0.5599819, 0.02920203
1028.05, 0.5609299, 0.0310817
1028.1, 0.5621939, 0.03076843
1028.15, 0.5629839, 0.03045515
1028.2, 0.5639318, 0.03014187
1028.25, 0.5648798, 0.03123834
1028.3, 0.5658278, 0.03092507
1028.35, 0.5669338, 0.03139498
1028.4, 0.5678818, 0.03029851
1028.45, 0.5686717, 0.03045515
1028.5, 0.5696197, 0.03123834
1028.55, 0.5707256, 0.03045515
1028.6, 0.5716736, 0.03045515
1028.65, 0.5727795, 0.03155162
1028.7, 0.5738856, 0.03014187
1028.75, 0.5748336, 0.03014187
1028.8, 0.5759395, 0.03076843
1028.85, 0.5770454, 0.03045515
1028.9, 0.5778354, 0.03076843
1028.95, 0.5789415, 0.03061179
1029, 0.5798894, 0.0318649
1029.05, 0.5809954, 0.03233482
1029.1, 0.5821013, 0.03170826
1029.15, 0.5830493, 0.03343129
1029.2, 0.5839972, 0.03233482
1029.25, 0.5849453, 0.03311801
1029.3, 0.5862092, 0.03202154
1029.35, 0.5869992, 0.0326481
1029.4, 0.5879472, 0.03139498
1029.45, 0.5890532, 0.03155162
1029.5, 0.5900012, 0.03249146
1029.55, 0.5909491, 0.03139498
1029.6, 0.5918971, 0.03202154
1029.65, 0.592845, 0.03170826
1029.7, 0.593951, 0.0326481
1029.75, 0.5948989, 0.0326481
1029.8, 0.596005, 0.03170826
1029.85, 0.596953, 0.03405785
1029.9, 0.5980589, 0.03421449
1029.95, 0.5990069, 0.03296138
1030, 0.5999548, 0.0318649
1030.05, 0.6009029, 0.0326481
1030.1, 0.6020088, 0.03202154
1030.15, 0.6029568, 0.03202154
1030.2, 0.6039047, 0.03233482
1030.25, 0.6048527, 0.03280474
1030.3, 0.6059586, 0.03327465
1030.35, 0.6069067, 0.03358793
1030.4, 0.6078547, 0.0310817
1030.45, 0.6086446, 0.03343129
1030.5, 0.6097506, 0.03374457
1030.55, 0.6106985, 0.0326481
1030.6, 0.6118045, 0.03358793
1030.65, 0.6130685, 0.03437113
1030.7, 0.6138585, 0.03327465
1030.75, 0.6148065, 0.03437113
1030.8, 0.6159124, 0.03499769
1030.85, 0.6168604, 0.03405785
1030.9, 0.6179664, 0.03405785
1030.95, 0.6189144, 0.03484105
1031, 0.6198623, 0.03437113
1031.05, 0.6208103, 0.03405785
1031.1, 0.6219162, 0.03531097
1031.15, 0.6228642, 0.03327465
1031.2, 0.6236542, 0.03343129
1031.25, 0.6249182, 0.03468441
1031.3, 0.6258662, 0.03531097
1031.35, 0.6269721, 0.03484105
1031.4, 0.6277621, 0.03311801
1031.45, 0.62871, 0.03515432
1031.5, 0.629658, 0.03405785
1031.55, 0.6306061, 0.03515432
1031.6, 0.63187, 0.03437113
1031.65, 0.6328179, 0.03499769
1031.7, 0.6337659, 0.03452777
1031.75, 0.6347139, 0.03468441
1031.8, 0.6358199, 0.03405785
1031.85, 0.6367679, 0.03499769
1031.9, 0.6380318, 0.03421449
1031.95, 0.6388218, 0.0354676
1032, 0.6399277, 0.03578088
1032.05, 0.6408758, 0.03405785
1032.1, 0.6418237, 0.03437113
1032.15, 0.6429297, 0.03437113
1032.2, 0.6437197, 0.03437113
1032.25, 0.6448256, 0.03484105
1032.3, 0.6457736, 0.03468441
1032.35, 0.6468796, 0.03437113
1032.4, 0.6476696, 0.03437113
1032.45, 0.6486175, 0.03405785
1032.5, 0.6497235, 0.03374457
1032.55, 0.6508294, 0.03515432
1032.6, 0.6516195, 0.03374457
1032.65, 0.6525674, 0.03405785
1032.7, 0.6536734, 0.03578088
1032.75, 0.6546214, 0.0354676
1032.8, 0.6555693, 0.0362508
1032.85, 0.6568333, 0.03484105
1032.9, 0.6576233, 0.03484105
1032.95, 0.6587293, 0.03374457
1033, 0.6596772, 0.03343129
1033.05, 0.6606252, 0.03499769
1033.1, 0.6615732, 0.03421449
1033.15, 0.6626792, 0.03578088
1033.2, 0.6636271, 0.03499769
1033.25, 0.6647331, 0.03562424
1033.3, 0.6656811, 0.03609416
1033.35, 0.666629, 0.03562424
1033.4, 0.667577, 0.03499769
1033.45, 0.668525, 0.03640744
1033.5, 0.669473, 0.03468441
1033.55, 0.6704209, 0.03531097
1033.6, 0.6715269, 0.03405785
1033.65, 0.6724749, 0.03531097
1033.7, 0.6734228, 0.03452777
1033.75, 0.6743709, 0.03640744
1033.8, 0.6753188, 0.03562424
1033.85, 0.6765828, 0.03499769
1033.9, 0.6775308, 0.03437113
1033.95, 0.6784787, 0.03421449
1034, 0.6795847, 0.03593753
1034.05, 0.6806906, 0.03405785
1034.1, 0.6816387, 0.03452777
1034.15, 0.6825866, 0.03468441
1034.2, 0.6835346, 0.03421449
1034.25, 0.6846405, 0.03452777
1034.3, 0.6857466, 0.03343129
1034.35, 0.6866945, 0.03358793
1034.4, 0.6876425, 0.03499769
1034.45, 0.6885904, 0.03452777
1034.5, 0.6895384, 0.03531097
1034.55, 0.6904864, 0.03437113
1034.6, 0.6914344, 0.03499769
1034.65, 0.6925403, 0.03405785
1034.7, 0.6934883, 0.03405785
1034.75, 0.6945943, 0.03405785
1034.8, 0.6955422, 0.03499769
1034.85, 0.6964902, 0.03484105
1034.9, 0.6974382, 0.03452777
1034.95, 0.6985442, 0.03484105
1035, 0.6994922, 0.03578088
1035.05, 0.7005981, 0.03468441
1035.1, 0.7015461, 0.03343129
1035.15, 0.7024941, 0.03374457
1035.2, 0.7036, 0.03405785
1035.25, 0.704706, 0.03468441
1035.3, 0.705654, 0.03468441
1035.35, 0.7066019, 0.03421449
1035.4, 0.7075499, 0.03468441
1035.45, 0.7084979, 0.03531097
1035.5, 0.7096039, 0.03437113
1035.55, 0.7105519, 0.03452777
1035.6, 0.7116578, 0.03499769
1035.65, 0.7124478, 0.03452777
1035.7, 0.7133958, 0.03531097
1035.75, 0.7145017, 0.03562424
1035.8, 0.7154497, 0.03437113
1035.85, 0.7165557, 0.03468441
1035.9, 0.7171876, 0.03484105
