Experiment:, Cathode characterisation
Start date:, ?ter? 21. b?ezna 2023
Start time:, 13:08:50 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
1232.55, 0.05108072, -0.6944714
1232.65, 0.05330642, -0.4344502
1232.7, 0.05417461, -0.3849522
1232.75, 0.05516907, -0.334671
1232.8, 0.05619511, -0.3000537
1232.85, 0.05730006, -0.2688825
1232.9, 0.05813668, -0.2503991
1233, 0.0601256, -0.2046604
1233.05, 0.06107271, -0.1925992
1233.1, 0.06201982, -0.16879
1233.15, 0.06303007, -0.1550058
1233.2, 0.06400875, -0.1316665
1233.3, 0.06593454, -0.1122432
1233.35, 0.06708685, -0.08545791
1233.4, 0.06814446, -0.07621619
1233.45, 0.06905999, -0.06995063
1233.5, 0.07021231, -0.05005743
1233.55, 0.07122256, -0.05225039
1233.6, 0.07215388, -0.04645474
1233.65, 0.07314835, -0.03564662
1233.75, 0.07515306, -0.0264049
1233.8, 0.07608438, -0.02092253
1233.85, 0.07704728, -0.01575343
1233.9, 0.07810488, -0.008234751
1233.95, 0.07903621, -0.006824998
1234, 0.08001488, 0.002260081
1234.05, 0.08104092, 0.009308847
1234.1, 0.08220901, 0.02246655
1234.2, 0.08426109, 0.02043023
1234.25, 0.08535027, 0.02873212
1234.3, 0.08632895, 0.02371966
1234.35, 0.08724448, 0.02481613
1234.45, 0.08926497, 0.03014187
1234.5, 0.09014895, 0.02810556
1234.55, 0.09112763, 0.03280474
1234.6, 0.09216944, 0.03499769
1234.65, 0.09313233, 0.03860039
1234.7, 0.09417415, 0.04032342
1234.75, 0.09515283, 0.04361285
1234.8, 0.09613152, 0.04204645
1234.9, 0.09802573, 0.04267301
1234.95, 0.09889392, 0.04032342
1235, 0.09998309, 0.05285456
1235.05, 0.1008986, 0.04392612
1235.1, 0.1019562, 0.05630063
1235.15, 0.1028086, 0.04658899
1235.2, 0.1038504, 0.05285456
1235.3, 0.1059183, 0.06005996
1235.35, 0.1068812, 0.05128817
1235.4, 0.1077809, 0.0486253
1235.45, 0.1087596, 0.05974669
1235.5, 0.1099751, 0.06193964
1235.55, 0.1108117, 0.0537944
1235.65, 0.1129743, 0.06225292
1235.7, 0.1140161, 0.05708382
1235.75, 0.1149632, 0.05927677
1235.8, 0.1160366, 0.05927677
1235.85, 0.1170942, 0.05959005
1235.9, 0.117915, 0.0573971
1235.95, 0.1190358, 0.06475915
1236.05, 0.1209615, 0.05833694
1236.1, 0.1219244, 0.06272284
1236.15, 0.1230768, 0.06491579
1236.2, 0.1240239, 0.05692719
1236.25, 0.124892, 0.06146972
1236.3, 0.1259812, 0.06914505
1236.4, 0.1279859, 0.06146972
1236.45, 0.129012, 0.06381931
1236.5, 0.1299433, 0.06209628
1236.55, 0.1308746, 0.06366267
1236.6, 0.131948, 0.06287947
1236.65, 0.1329425, 0.06209628
1236.7, 0.1339211, 0.06005996
1236.75, 0.134884, 0.06193964
1236.85, 0.1368887, 0.06287947
1236.9, 0.1379148, 0.06773529
1236.95, 0.1388935, 0.05849357
1237, 0.1398721, 0.06272284
1237.05, 0.140914, 0.06381931
1237.1, 0.1418768, 0.06052989
1237.15, 0.1430607, 0.0697716
1237.25, 0.1450023, 0.06084317
1237.3, 0.1460284, 0.06272284
1237.35, 0.1470702, 0.06381931
1237.4, 0.1480962, 0.06162636
1237.45, 0.1490749, 0.06021661
1237.5, 0.1499904, 0.06115644
1237.6, 0.1519478, 0.06209628
1237.65, 0.1530843, 0.06601226
1237.7, 0.1541261, 0.06240956
1237.75, 0.1551837, 0.06366267
1237.8, 0.1558941, 0.05348112
1237.9, 0.157883, 0.06146972
1237.95, 0.1590195, 0.0661689
1238, 0.1599193, 0.05865022
1238.05, 0.1609769, 0.06084317
1238.1, 0.1618924, 0.05802366
1238.15, 0.1629342, 0.06381931
1238.2, 0.163976, 0.05912013
1238.25, 0.1648758, 0.06005996
1238.35, 0.1668332, 0.06397595
1238.4, 0.1678592, 0.05943341
1238.45, 0.1687432, 0.06005996
1238.5, 0.1698008, 0.06303611
1238.55, 0.1709373, 0.06867513
1238.6, 0.1720423, 0.06005996
1238.65, 0.1730999, 0.06413259
1238.7, 0.1740943, 0.06115644
1238.8, 0.1760833, 0.05645727
1238.85, 0.1769988, 0.05943341
1238.9, 0.1779775, 0.061783
1239, 0.1801874, 0.05974669
1239.1, 0.1819553, 0.05567407
1239.15, 0.1829814, 0.05927677
1239.2, 0.184039, 0.06381931
1239.25, 0.1851439, 0.06209628
1239.3, 0.1860595, 0.05865022
1239.35, 0.1871013, 0.05614398
1239.4, 0.18808, 0.06052989
1239.45, 0.1890113, 0.05708382
1239.55, 0.1910791, 0.06366267
1239.6, 0.192042, 0.05880686
1239.65, 0.1930207, 0.05990333
1239.7, 0.1941572, 0.06084317
1239.75, 0.1951991, 0.06037325
1239.85, 0.1971091, 0.05238464
1239.9, 0.198072, 0.05927677
1239.95, 0.1990664, 0.05943341
1240, 0.2002977, 0.06240956
1240.05, 0.2011185, 0.05520415
1240.1, 0.2019709, 0.05551743
1240.15, 0.202918, 0.05724046
1240.2, 0.2039914, 0.05912013
1240.3, 0.2060277, 0.05943341
1240.35, 0.2069906, 0.05504751
1240.4, 0.2078745, 0.05786702
1240.45, 0.2089164, 0.05912013
1240.5, 0.2099582, 0.05959005
1240.55, 0.2109842, 0.05536079
1240.65, 0.2129416, 0.05551743
1240.7, 0.2139202, 0.06021661
1240.75, 0.2150568, 0.05771038
1240.8, 0.2159881, 0.05974669
1240.85, 0.2170457, 0.05583071
1240.9, 0.217977, 0.05645727
1241, 0.2199659, 0.05943341
1241.05, 0.2208657, 0.05504751
1241.1, 0.2219549, 0.05677054
1241.15, 0.2229336, 0.05583071
1241.2, 0.224007, 0.05818029
1241.25, 0.2250014, 0.06021661
1241.3, 0.2260432, 0.05520415
1241.35, 0.2269745, 0.05755374
1241.45, 0.2289319, 0.05645727
1241.5, 0.229879, 0.0589635
1241.55, 0.2308577, 0.0537944
1241.6, 0.2318995, 0.05708382
1241.65, 0.2327677, 0.05426432
1241.7, 0.2337306, 0.05598735
1241.75, 0.2346935, 0.0537944
1241.8, 0.2357984, 0.06005996
1241.9, 0.2378505, 0.05598735
1241.95, 0.2388134, 0.05442095
1242, 0.2398552, 0.05849357
1242.05, 0.2408339, 0.05551743
1242.15, 0.2430438, 0.05724046
1242.2, 0.2441172, 0.0537944
1242.25, 0.2450801, 0.05254128
1242.3, 0.2460114, 0.05348112
1242.35, 0.2470848, 0.05692719
1242.4, 0.2481898, 0.05269792
1242.5, 0.2500682, 0.05160145
1242.55, 0.2510785, 0.05442095
1242.6, 0.2520729, 0.0545776
1242.65, 0.253099, 0.0530112
1242.7, 0.2541092, 0.0537944
1242.75, 0.2551668, 0.05222801
1242.8, 0.2560034, 0.05144481
1242.95, 0.2589868, 0.04815539
1243, 0.2601076, 0.05786702
1243.05, 0.2610389, 0.04972177
1243.1, 0.2620333, 0.04909522
1243.15, 0.2630278, 0.0494085
1243.2, 0.2639907, 0.05034833
1243.3, 0.2660112, 0.05097489
1243.35, 0.2670214, 0.04909522
1243.4, 0.268079, 0.05050497
1243.45, 0.2690735, 0.05081825
1243.5, 0.2701785, 0.04878194
1243.55, 0.2711414, 0.04658899
1243.6, 0.2721516, 0.04972177
1243.65, 0.2730356, 0.04549251
1243.75, 0.2751508, 0.0478421
1243.8, 0.27624, 0.04658899
1243.85, 0.2771713, 0.0486253
1243.9, 0.2782763, 0.04674564
1243.95, 0.2791918, 0.04690227
1244, 0.2800442, 0.04627572
1244.05, 0.2811807, 0.04721555
1244.1, 0.2822541, 0.0450226
1244.2, 0.2843062, 0.04721555
1244.25, 0.2853164, 0.04627572
1244.3, 0.2863267, 0.04596243
1244.35, 0.2873212, 0.04643235
1244.4, 0.2884261, 0.04533588
1244.45, 0.2892627, 0.0450226
1244.55, 0.2914253, 0.04314293
1244.6, 0.2922777, 0.04455268
1244.65, 0.2932879, 0.04267301
1244.7, 0.2942824, 0.04329957
1244.75, 0.2952611, 0.04251637
1244.8, 0.2961924, 0.04157653
1244.9, 0.298276, 0.04204645
1244.95, 0.2993494, 0.04533588
1245, 0.3004386, 0.04204645
1245.05, 0.3014173, 0.04392612
1245.1, 0.3023644, 0.04126326
1245.15, 0.3033115, 0.04204645
1245.25, 0.3051899, 0.04094998
1245.3, 0.3062475, 0.04173318
1245.35, 0.3072736, 0.04157653
1245.4, 0.3083628, 0.04267301
1245.45, 0.3094677, 0.04173318
1245.5, 0.3104306, 0.04282965
1245.6, 0.3123248, 0.0414199
1245.65, 0.3134614, 0.04361285
1245.7, 0.3144558, 0.04157653
1245.75, 0.3154046, 0.03891367
1245.8, 0.3163526, 0.04220309
1245.85, 0.3174585, 0.04094998
1245.9, 0.3184065, 0.04188982
1245.95, 0.3193545, 0.04048006
1246, 0.3204604, 0.04157653
1246.1, 0.3223564, 0.04204645
1246.15, 0.3233044, 0.04157653
1246.2, 0.3242523, 0.04079334
1246.25, 0.3252003, 0.04361285
1246.3, 0.3261483, 0.04282965
1246.35, 0.3272542, 0.04001015
1246.45, 0.3293082, 0.04267301
1246.5, 0.3302562, 0.04001015
1246.55, 0.3313622, 0.03969686
1246.6, 0.3321521, 0.03844375
1246.65, 0.3332581, 0.04126326
1246.75, 0.335312, 0.03907031
1246.8, 0.33626, 0.04094998
1246.85, 0.337208, 0.04016678
1246.9, 0.3383139, 0.04032342
1246.95, 0.3392619, 0.04001015
1247, 0.3403679, 0.04032342
1247.05, 0.3413159, 0.04016678
1247.1, 0.3424219, 0.03907031
1247.15, 0.3432118, 0.0398535
1247.25, 0.3452658, 0.04079334
1247.3, 0.3462137, 0.04079334
1247.35, 0.3471617, 0.04001015
1247.4, 0.3482677, 0.04048006
1247.45, 0.3492157, 0.03938359
1247.5, 0.3503217, 0.03938359
1247.55, 0.3512696, 0.03954023
1247.65, 0.3530076, 0.04110662
1247.7, 0.3541135, 0.04204645
1247.75, 0.3550615, 0.04314293
1247.8, 0.3561675, 0.04282965
1247.85, 0.3572734, 0.04235973
1247.9, 0.3582214, 0.04376949
1248, 0.3601174, 0.04048006
1248.05, 0.3610654, 0.03938359
1248.1, 0.3620133, 0.04048006
1248.15, 0.3629613, 0.03860039
1248.2, 0.3640673, 0.03891367
1248.25, 0.3650152, 0.03828711
1248.3, 0.3659632, 0.03875703
1248.4, 0.3680172, 0.03828711
1248.45, 0.3689651, 0.03797383
1248.5, 0.3700711, 0.0406367
1248.55, 0.3710191, 0.03828711
1248.6, 0.371967, 0.03907031
1248.65, 0.373073, 0.03734728
1248.7, 0.374021, 0.03922695
1248.8, 0.375917, 0.03766055
1248.9, 0.3778129, 0.03922695
1248.95, 0.3789189, 0.03938359
1249, 0.3798668, 0.03766055
1249.05, 0.3808148, 0.03828711
1249.15, 0.3827108, 0.03766055
1249.2, 0.3836587, 0.03922695
1249.25, 0.3847647, 0.0414199
1249.3, 0.3857127, 0.04094998
1249.35, 0.3866607, 0.04016678
1249.4, 0.3877666, 0.03734728
1249.45, 0.3887146, 0.0378172
1249.55, 0.3906105, 0.03672072
1249.6, 0.3917165, 0.03828711
1249.65, 0.3926645, 0.03860039
1249.7, 0.3937705, 0.03734728
1249.75, 0.3947184, 0.03860039
1249.8, 0.3958244, 0.03938359
1249.85, 0.3969304, 0.03734728
1249.95, 0.3988263, 0.03734728
1250, 0.3997743, 0.0378172
1250.05, 0.4007223, 0.03797383
1250.1, 0.4016702, 0.03813047
1250.15, 0.4027762, 0.04188982
1250.25, 0.4046721, 0.0398535
1250.3, 0.4056201, 0.03844375
1250.35, 0.4065681, 0.04157653
1250.4, 0.4076741, 0.04094998
1250.45, 0.408622, 0.0406367
1250.5, 0.40957, 0.04094998
1250.55, 0.410676, 0.03891367
1250.6, 0.411624, 0.03860039
1250.7, 0.4136779, 0.0406367
1250.75, 0.4146259, 0.03938359
1250.8, 0.4157318, 0.04048006
1250.85, 0.4166798, 0.04001015
1250.9, 0.4177858, 0.04126326
1250.95, 0.4188918, 0.03844375
1251, 0.4196817, 0.03891367
1251.1, 0.4215777, 0.03860039
1251.15, 0.4225257, 0.03938359
1251.2, 0.4236316, 0.03907031
1251.25, 0.4245796, 0.03891367
1251.3, 0.4255276, 0.04016678
1251.35, 0.4264756, 0.03891367
1251.45, 0.4285295, 0.03969686
1251.5, 0.4296355, 0.03907031
1251.55, 0.4305834, 0.03938359
1251.6, 0.4315314, 0.04001015
1251.65, 0.4326374, 0.03922695
1251.7, 0.4335854, 0.03907031
1251.8, 0.4356393, 0.04001015
1251.85, 0.4365873, 0.03907031
1251.9, 0.4376933, 0.03907031
1251.95, 0.4386412, 0.03860039
1252, 0.4395892, 0.03922695
1252.05, 0.4405372, 0.03938359
1252.1, 0.4416431, 0.03969686
1252.15, 0.4425911, 0.03907031
1252.25, 0.4446451, 0.03969686
1252.35, 0.446383, 0.03922695
1252.4, 0.447489, 0.04032342
1252.5, 0.4495429, 0.04110662
