Experiment:, Cathode characterisation
Start date:, st?eda 22. b?ezna 2023
Start time:, 11:26:02 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
1020.05, 0.4007223, 0.02058687
1020.1, 0.4016702, 0.02152671
1020.15, 0.4026182, 0.02152671
1020.2, 0.4035662, 0.02262319
1020.25, 0.4045142, 0.02215327
1020.3, 0.4054621, 0.02152671
1020.35, 0.4065681, 0.02137007
1020.4, 0.4075161, 0.02199663
1020.45, 0.408622, 0.02215327
1020.5, 0.409728, 0.02105679
1020.55, 0.410676, 0.02215327
1020.6, 0.411624, 0.02152671
1020.65, 0.4127299, 0.02121343
1020.7, 0.4136779, 0.0230931
1020.75, 0.4146259, 0.02011696
1020.8, 0.4155739, 0.02168335
1020.85, 0.4163638, 0.02121343
1020.9, 0.4176278, 0.02152671
1020.95, 0.4185758, 0.02152671
1021, 0.4196817, 0.02152671
1021.05, 0.4206297, 0.02011696
1021.1, 0.4217357, 0.02011696
1021.15, 0.4226837, 0.02074351
1021.2, 0.4234737, 0.02199663
1021.25, 0.4245796, 0.02074351
1021.3, 0.4255276, 0.02215327
1021.35, 0.4266336, 0.02121343
1021.4, 0.4275815, 0.02090015
1021.45, 0.4283715, 0.02105679
1021.5, 0.4296355, 0.0223099
1021.55, 0.4305834, 0.02183999
1021.6, 0.4316894, 0.02074351
1021.65, 0.4326374, 0.02137007
1021.7, 0.4335854, 0.02183999
1021.75, 0.4345334, 0.02137007
1021.8, 0.4356393, 0.02090015
1021.85, 0.4365873, 0.0230931
1021.9, 0.4376933, 0.02215327
1021.95, 0.4386412, 0.02215327
1022, 0.4397472, 0.02121343
1022.05, 0.4406952, 0.02090015
1022.1, 0.4416431, 0.02105679
1022.15, 0.4425911, 0.02183999
1022.2, 0.4435391, 0.02183999
1022.25, 0.4446451, 0.02183999
1022.3, 0.4455931, 0.02215327
1022.35, 0.446383, 0.02043023
1022.4, 0.447489, 0.02137007
1022.45, 0.448437, 0.02137007
1022.5, 0.449385, 0.02183999
1022.55, 0.4503329, 0.02074351
1022.6, 0.4512809, 0.02058687
1022.65, 0.4523869, 0.0230931
1022.7, 0.4533348, 0.02183999
1022.75, 0.4545988, 0.02058687
1022.8, 0.4555468, 0.02121343
1022.85, 0.4566528, 0.02152671
1022.9, 0.4576007, 0.02215327
1022.95, 0.4587067, 0.02043023
