Experiment:, Cathode characterisation
Start date:, ?tvrtek 11. kv?tna 2023
Start time:, 17:44:53 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
763.05, 0.4005643, 0.0494085
763.1, 0.4016702, 0.05113153
763.15, 0.4024602, 0.05050497
763.2, 0.4035662, 0.05128817
763.25, 0.4043562, 0.05097489
763.3, 0.4054621, 0.05160145
763.35, 0.4064101, 0.05191473
763.4, 0.4073581, 0.05128817
763.45, 0.4083061, 0.05081825
763.5, 0.409412, 0.05175809
763.55, 0.410202, 0.05207136
763.6, 0.411308, 0.05332448
763.65, 0.412414, 0.05285456
763.7, 0.4136779, 0.05254128
763.75, 0.4146259, 0.05081825
763.8, 0.4155739, 0.05254128
763.85, 0.4166798, 0.05191473
763.9, 0.4176278, 0.05128817
763.95, 0.4185758, 0.05363776
764, 0.4196817, 0.0545776
764.05, 0.4206297, 0.05207136
764.1, 0.4217357, 0.05160145
764.15, 0.4225257, 0.05207136
764.2, 0.4236316, 0.05316784
764.25, 0.4245796, 0.05254128
764.3, 0.4253696, 0.05207136
764.35, 0.4263176, 0.05222801
764.4, 0.4274235, 0.05191473
764.45, 0.4283715, 0.0530112
764.5, 0.4294775, 0.05160145
764.55, 0.4304255, 0.05254128
764.6, 0.4313734, 0.05395104
764.65, 0.4323214, 0.05551743
764.7, 0.4335854, 0.05614398
764.75, 0.4345334, 0.05536079
764.8, 0.4356393, 0.05630063
764.85, 0.4365873, 0.05724046
764.9, 0.4375353, 0.05677054
764.95, 0.4383253, 0.05536079
765, 0.4394312, 0.05520415
765.05, 0.4403792, 0.05332448
765.1, 0.4414852, 0.05473424
765.15, 0.4424331, 0.05583071
765.2, 0.4432231, 0.05645727
765.25, 0.4443291, 0.05520415
765.3, 0.4452771, 0.05489087
765.35, 0.446225, 0.05395104
765.4, 0.447173, 0.0537944
765.45, 0.448279, 0.05614398
765.5, 0.4492269, 0.05489087
765.55, 0.4503329, 0.05504751
765.6, 0.4512809, 0.0545776
765.65, 0.4523869, 0.05520415
765.7, 0.4533348, 0.05426432
765.75, 0.4542828, 0.05645727
765.8, 0.4553888, 0.05692719
765.85, 0.4563367, 0.0545776
765.9, 0.4572847, 0.05473424
765.95, 0.4583907, 0.05551743
766, 0.4593387, 0.05520415
766.05, 0.4602866, 0.05708382
766.1, 0.4612346, 0.05645727
766.15, 0.4621826, 0.05551743
766.2, 0.4632886, 0.05849357
766.25, 0.4642365, 0.05786702
766.3, 0.4650265, 0.05614398
766.35, 0.4659745, 0.05677054
766.4, 0.4670804, 0.05677054
766.45, 0.4680285, 0.05630063
766.5, 0.4689764, 0.05504751
766.55, 0.4699244, 0.05520415
766.6, 0.4710304, 0.05724046
766.65, 0.4721363, 0.05645727
766.7, 0.4732423, 0.05614398
766.75, 0.4741903, 0.05692719
766.8, 0.4751382, 0.05630063
766.85, 0.4760862, 0.05724046
766.9, 0.4771922, 0.05708382
766.95, 0.4779822, 0.05677054
767, 0.4790882, 0.05755374
767.05, 0.4800361, 0.05614398
767.1, 0.4809841, 0.05645727
767.15, 0.4820901, 0.05551743
767.2, 0.483038, 0.05551743
767.25, 0.483986, 0.0566139
767.3, 0.484934, 0.0566139
767.35, 0.4860399, 0.05630063
767.4, 0.4869879, 0.05551743
767.45, 0.4879359, 0.05786702
767.5, 0.4890419, 0.05598735
767.55, 0.4899898, 0.05630063
767.6, 0.4910958, 0.05583071
767.65, 0.4922018, 0.05724046
767.7, 0.4931498, 0.05630063
767.75, 0.4940977, 0.05833694
767.8, 0.4950457, 0.05692719
767.85, 0.4959937, 0.05645727
767.9, 0.4970996, 0.05724046
767.95, 0.4980476, 0.05755374
768, 0.4991536, 0.05630063
768.05, 0.5001016, 0.0573971
768.1, 0.5012075, 0.05755374
768.15, 0.5019975, 0.05692719
768.2, 0.5031035, 0.05880686
768.25, 0.5040514, 0.05849357
768.3, 0.5049994, 0.05630063
768.35, 0.5057894, 0.05614398
768.4, 0.5067374, 0.05818029
768.45, 0.5078434, 0.05677054
768.5, 0.5089493, 0.05755374
768.55, 0.5100553, 0.05880686
768.6, 0.5110033, 0.05645727
768.65, 0.5119512, 0.05645727
768.7, 0.5132152, 0.05630063
768.75, 0.5143211, 0.05724046
768.8, 0.5159011, 0.05708382
768.85, 0.5171651, 0.05708382
768.9, 0.518429, 0.05724046
768.95, 0.5193771, 0.05786702
769, 0.520325, 0.05755374
769.05, 0.521431, 0.05818029
769.1, 0.5223789, 0.05880686
769.15, 0.5233269, 0.05849357
769.2, 0.5242749, 0.05849357
769.25, 0.5253808, 0.05865022
769.3, 0.5263288, 0.05786702
769.35, 0.5272768, 0.05818029
769.4, 0.5282248, 0.05755374
769.45, 0.5291727, 0.05724046
769.5, 0.5302787, 0.05724046
769.55, 0.5312268, 0.05771038
769.6, 0.5321747, 0.05786702
769.65, 0.5332807, 0.05818029
769.7, 0.5342286, 0.05771038
769.75, 0.5351766, 0.05818029
769.8, 0.5362825, 0.05880686
769.85, 0.5372306, 0.05818029
769.9, 0.5380206, 0.05912013
769.95, 0.5391265, 0.05708382
770, 0.5402325, 0.05818029
770.05, 0.5413384, 0.05724046
770.1, 0.5422865, 0.05849357
770.15, 0.5432344, 0.05818029
770.2, 0.5441824, 0.06021661
770.25, 0.5451304, 0.05818029
770.3, 0.5460783, 0.05818029
770.35, 0.5471843, 0.0573971
770.4, 0.5479743, 0.05802366
770.45, 0.5489222, 0.05849357
770.5, 0.5500282, 0.05833694
770.55, 0.5509762, 0.05786702
770.6, 0.5519242, 0.05771038
770.65, 0.5530301, 0.05724046
770.7, 0.5539781, 0.05786702
770.75, 0.554926, 0.05755374
770.8, 0.556032, 0.05724046
770.85, 0.55698, 0.05786702
770.9, 0.558086, 0.05786702
770.95, 0.5591919, 0.05755374
771, 0.5601399, 0.05849357
771.05, 0.5610879, 0.05833694
771.1, 0.5621939, 0.0573971
771.15, 0.5629839, 0.05630063
771.2, 0.5640898, 0.05755374
771.25, 0.5651958, 0.05677054
