Experiment:, Cathode characterisation
Start date:, ?ter? 16. kv?tna 2023
Start time:, 12:34:21 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1020.05, 0.4004063, 0.05536079
1020.1, 0.4011963, 0.05520415
1020.15, 0.4023022, 0.05943341
1020.2, 0.4032502, 0.05724046
1020.25, 0.4041982, 0.05614398
1020.3, 0.4053041, 0.05708382
1020.35, 0.4062521, 0.05551743
1020.4, 0.4073581, 0.05551743
1020.45, 0.4083061, 0.0566139
1020.5, 0.409254, 0.05912013
1020.55, 0.410202, 0.0573971
1020.6, 0.411308, 0.0573971
1020.65, 0.412098, 0.05473424
1020.7, 0.4130459, 0.05551743
1020.75, 0.4141519, 0.05755374
1020.8, 0.4152579, 0.0573971
1020.85, 0.4162059, 0.05645727
1020.9, 0.4173118, 0.05614398
1020.95, 0.4182598, 0.05567407
1021, 0.4190498, 0.05630063
1021.05, 0.4201558, 0.05630063
1021.1, 0.4211037, 0.05630063
1021.15, 0.4222097, 0.05614398
1021.2, 0.4233157, 0.05692719
1021.25, 0.4241056, 0.05583071
1021.3, 0.4250536, 0.05677054
1021.35, 0.4261596, 0.05551743
1021.4, 0.4271075, 0.05583071
1021.45, 0.4280555, 0.05630063
1021.5, 0.4291615, 0.05677054
1021.55, 0.4301095, 0.05630063
1021.6, 0.4312155, 0.05614398
1021.65, 0.4321634, 0.05567407
1021.7, 0.4332694, 0.05708382
1021.75, 0.4342174, 0.05692719
1021.8, 0.4353233, 0.05645727
1021.85, 0.4362713, 0.05771038
1021.9, 0.4373773, 0.05645727
1021.95, 0.4381672, 0.05724046
1022, 0.4391152, 0.05583071
1022.05, 0.4400632, 0.05786702
1022.1, 0.4411692, 0.05833694
1022.15, 0.4422751, 0.05755374
1022.2, 0.4432231, 0.05818029
1022.25, 0.4441711, 0.05708382
1022.3, 0.4451191, 0.05677054
1022.35, 0.446067, 0.05677054
1022.4, 0.447015, 0.05724046
1022.45, 0.447963, 0.05708382
1022.5, 0.449069, 0.05755374
1022.55, 0.4500169, 0.05849357
1022.6, 0.4509649, 0.05880686
1022.65, 0.4519129, 0.05724046
1022.7, 0.4530188, 0.05849357
1022.75, 0.4539668, 0.06005996
1022.8, 0.4552308, 0.05755374
1022.85, 0.4560207, 0.05802366
1022.9, 0.4569688, 0.05755374
1022.95, 0.4580747, 0.05865022
1023, 0.4590227, 0.05755374
1023.05, 0.4601287, 0.05802366
1023.1, 0.4612346, 0.0573971
1023.15, 0.4620246, 0.05677054
1023.2, 0.4629726, 0.05692719
1023.25, 0.4639205, 0.05959005
1023.3, 0.4648685, 0.05833694
1023.35, 0.4659745, 0.05708382
1023.4, 0.4670804, 0.05692719
1023.45, 0.4680285, 0.05755374
1023.5, 0.4689764, 0.05818029
1023.55, 0.4702404, 0.05755374
1023.6, 0.4710304, 0.05708382
1023.65, 0.4719783, 0.0573971
1023.7, 0.4727683, 0.0573971
1023.75, 0.4738743, 0.05755374
1023.8, 0.4749802, 0.05912013
1023.85, 0.4760862, 0.05833694
1023.9, 0.4770342, 0.05771038
1023.95, 0.4779822, 0.05880686
1024, 0.4789301, 0.05786702
1024.05, 0.4800361, 0.05849357
1024.1, 0.4809841, 0.05880686
1024.15, 0.4819321, 0.05755374
1024.2, 0.48288, 0.05833694
1024.25, 0.483828, 0.05786702
1024.3, 0.484776, 0.05755374
1024.35, 0.485882, 0.05865022
1024.4, 0.4868299, 0.05818029
1024.45, 0.4879359, 0.05865022
1024.5, 0.4890419, 0.05865022
1024.55, 0.4898318, 0.05833694
1024.6, 0.4909378, 0.05630063
1024.65, 0.4918858, 0.05645727
1024.7, 0.4928338, 0.05833694
1024.75, 0.4937817, 0.05786702
1024.8, 0.4947297, 0.05818029
1024.85, 0.4956777, 0.05786702
1024.9, 0.4967837, 0.05927677
1024.95, 0.4978896, 0.05943341
1025, 0.4988376, 0.05818029
1025.05, 0.4999436, 0.06037325
1025.1, 0.5008915, 0.0589635
1025.15, 0.5018395, 0.06084317
1025.2, 0.5027875, 0.05818029
1025.25, 0.5037354, 0.05959005
1025.3, 0.5046834, 0.05865022
1025.35, 0.5056314, 0.05912013
1025.4, 0.5067374, 0.0589635
1025.45, 0.5076854, 0.05833694
1025.5, 0.5086333, 0.06021661
1025.55, 0.5095813, 0.06021661
1025.6, 0.5106873, 0.05959005
1025.65, 0.5116352, 0.06146972
1025.7, 0.5130572, 0.06005996
1025.75, 0.5143211, 0.05912013
1025.8, 0.5155851, 0.05912013
1025.85, 0.5170071, 0.05943341
1025.9, 0.5182711, 0.05912013
1025.95, 0.519219, 0.05943341
1026, 0.520325, 0.05959005
1026.05, 0.521273, 0.06068652
1026.1, 0.5223789, 0.06005996
1026.15, 0.5233269, 0.05912013
1026.2, 0.5242749, 0.05990333
1026.25, 0.5253808, 0.06005996
1026.3, 0.5264868, 0.05943341
1026.35, 0.5272768, 0.06084317
1026.4, 0.5283828, 0.05880686
1026.45, 0.5293308, 0.05912013
1026.5, 0.5302787, 0.05943341
1026.55, 0.5313847, 0.05990333
1026.6, 0.5323327, 0.06021661
1026.65, 0.5332807, 0.05833694
1026.7, 0.5342286, 0.05912013
1026.75, 0.5350186, 0.05974669
1026.8, 0.5362825, 0.0589635
1026.85, 0.5370725, 0.05833694
1026.9, 0.5380206, 0.05912013
1026.95, 0.5389685, 0.05880686
1027, 0.5399165, 0.0589635
1027.05, 0.5410224, 0.05912013
1027.1, 0.5419704, 0.06052989
1027.15, 0.5432344, 0.06021661
1027.2, 0.5440243, 0.06005996
1027.25, 0.5451304, 0.06068652
1027.3, 0.5460783, 0.06052989
1027.35, 0.5471843, 0.06021661
1027.4, 0.5479743, 0.05959005
1027.45, 0.5489222, 0.05912013
1027.5, 0.5501862, 0.0609998
1027.55, 0.5509762, 0.06005996
1027.6, 0.5520822, 0.06005996
1027.65, 0.5530301, 0.06068652
1027.7, 0.5539781, 0.06005996
1027.75, 0.554926, 0.061783
1027.8, 0.5561901, 0.0609998
1027.85, 0.557138, 0.06037325
1027.9, 0.558086, 0.06005996
1027.95, 0.559034, 0.06052989
1028, 0.5601399, 0.06209628
1028.05, 0.5610879, 0.05927677
1028.1, 0.5620359, 0.06052989
1028.15, 0.5631419, 0.06146972
1028.2, 0.5642478, 0.06115644
1028.25, 0.5651958, 0.05990333
1028.3, 0.5659857, 0.06084317
1028.35, 0.5669338, 0.06162636
1028.4, 0.5680397, 0.06052989
1028.45, 0.5689877, 0.06115644
1028.5, 0.5700937, 0.06084317
1028.55, 0.5711996, 0.06005996
1028.6, 0.5719896, 0.05959005
1028.65, 0.5729376, 0.06021661
1028.7, 0.5738856, 0.06068652
1028.75, 0.5749915, 0.06131308
1028.8, 0.5757815, 0.06084317
1028.85, 0.5768875, 0.061783
1028.9, 0.5779935, 0.06068652
1028.95, 0.5787835, 0.06084317
1029, 0.5798894, 0.061783
1029.05, 0.5808374, 0.06162636
1029.1, 0.5819433, 0.061783
1029.15, 0.5828913, 0.06428923
1029.2, 0.5838392, 0.061783
1029.25, 0.5847873, 0.06272284
1029.3, 0.5858933, 0.06225292
1029.35, 0.5868412, 0.06303611
1029.4, 0.5877892, 0.06193964
1029.45, 0.5888951, 0.06240956
1029.5, 0.5898432, 0.06193964
1029.55, 0.5906332, 0.06193964
1029.6, 0.5917391, 0.06052989
1029.65, 0.592845, 0.06209628
1029.7, 0.593793, 0.0625662
1029.75, 0.5948989, 0.06413259
1029.8, 0.595847, 0.06272284
1029.85, 0.596953, 0.06272284
1029.9, 0.5980589, 0.06303611
1029.95, 0.5990069, 0.06131308
1030, 0.5999548, 0.06162636
1030.05, 0.6010609, 0.06131308
1030.1, 0.6020088, 0.0625662
1030.15, 0.6029568, 0.061783
1030.2, 0.6039047, 0.06209628
1030.25, 0.6048527, 0.06240956
1030.3, 0.6059586, 0.06287947
1030.35, 0.6069067, 0.06272284
1030.4, 0.6078547, 0.061783
1030.45, 0.6088026, 0.06319275
1030.5, 0.6097506, 0.06272284
1030.55, 0.6108565, 0.0625662
1030.6, 0.6116465, 0.06209628
1030.65, 0.6127526, 0.06209628
1030.7, 0.6137005, 0.06209628
1030.75, 0.6148065, 0.06381931
1030.8, 0.6157544, 0.06303611
1030.85, 0.6167024, 0.06115644
1030.9, 0.6178084, 0.06084317
1030.95, 0.6189144, 0.06146972
1031, 0.6198623, 0.06272284
1031.05, 0.6208103, 0.06240956
1031.1, 0.6219162, 0.06225292
1031.15, 0.6228642, 0.06381931
1031.2, 0.6238123, 0.06193964
1031.25, 0.6247602, 0.06381931
1031.3, 0.6258662, 0.06084317
1031.35, 0.6266561, 0.06115644
1031.4, 0.6276041, 0.06084317
1031.45, 0.6285521, 0.06303611
1031.5, 0.6295001, 0.06146972
1031.55, 0.6306061, 0.06209628
1031.6, 0.631554, 0.06287947
1031.65, 0.63266, 0.0625662
1031.7, 0.6336079, 0.06287947
1031.75, 0.6347139, 0.06193964
1031.8, 0.6356619, 0.06115644
1031.85, 0.6366099, 0.06303611
1031.9, 0.6375578, 0.06146972
1031.95, 0.6386638, 0.061783
1032, 0.6397697, 0.06303611
