Experiment:, Cathode characterisation
Start date:, st?eda 17. kv?tna 2023
Start time:, 14:49:46 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1347.55, 0.05063874, -0.6551549
1347.65, 0.05273816, -0.3647457
1347.7, 0.05366948, -0.3337311
1347.75, 0.05467973, -0.2887757
1347.8, 0.05570577, -0.2485194
1347.85, 0.05679494, -0.2057569
1347.9, 0.05783676, -0.2032506
1348, 0.05987304, -0.1678502
1348.05, 0.06083594, -0.1573553
1348.1, 0.06187776, -0.1333895
1348.15, 0.06280908, -0.1335462
1348.2, 0.0637404, -0.1255576
1348.25, 0.06473486, -0.1012785
1348.35, 0.06681851, -0.07167365
1348.4, 0.06781296, -0.07496309
1348.45, 0.06863379, -0.07809588
1348.5, 0.06962826, -0.05741948
1348.55, 0.07063851, -0.0499008
1348.6, 0.07168032, -0.04347859
1348.65, 0.07264322, -0.03783957
1348.7, 0.07370083, -0.02859786
1348.75, 0.07479, -0.02217565
1348.85, 0.07658951, -0.02969433
1348.9, 0.07761554, -0.01324721
1348.95, 0.07861, -0.004162129
1349, 0.0796834, -0.001029345
1349.05, 0.08067786, -0.004162129
1349.1, 0.08167232, 0.00413975
1349.2, 0.08367704, 0.01291155
1349.25, 0.08479778, 0.01040532
1349.3, 0.08579225, 0.01526114
1349.35, 0.08672357, 0.008995568
1349.4, 0.08767068, 0.01729745
1349.45, 0.08880721, 0.02512941
1349.55, 0.090733, 0.02622589
1349.6, 0.09185375, 0.0266958
1349.65, 0.09276928, 0.02262319
1349.7, 0.09382688, 0.03233482
1349.75, 0.09477399, 0.03202154
1349.85, 0.09679449, 0.03233482
1349.9, 0.09782053, 0.03578088
1350, 0.09985681, 0.04110662
1350.05, 0.1008197, 0.03343129
1350.1, 0.1018457, 0.04157653
1350.15, 0.1027455, 0.03609416
1350.2, 0.1036768, 0.03938359
1350.3, 0.10565, 0.04126326
1350.35, 0.1067233, 0.04455268
1350.4, 0.1078283, 0.04564916
1350.45, 0.1087754, 0.04188982
1350.5, 0.1097699, 0.04361285
1350.55, 0.1107328, 0.04846866
