Experiment:, Cathode characterisation
Start date:, st?eda 27. z??? 2023
Start time:, 11:05:59 +02:00
Time (s), Current Density (A/cm2)
570, -0.2545336
571, 0.03609416
572, 0.0362508
573, 0.03452777
574, 0.03390121
575, 0.03578088
576, 0.03499769
577, 0.03390121
578, 0.03327465
579, 0.03374457
580, 0.03358793
581, 0.03390121
582, 0.0318649
583, 0.0318649
584, 0.03076843
585, 0.03123834
586, 0.03155162
587, 0.03155162
588, 0.03123834
589, 0.03202154
590, 0.0310817
591, 0.03155162
592, 0.03155162
593, 0.03155162
594, 0.03202154
595, 0.0326481
596, 0.03170826
597, 0.0318649
598, 0.03170826
599, 0.03155162
600, 0.03139498
601, 0.03202154
602, 0.03139498
603, 0.03092507
604, 0.03233482
605, 0.03327465
606, 0.03233482
607, 0.03202154
608, 0.0318649
609, 0.0318649
610, 0.03202154
611, 0.03139498
612, 0.03249146
613, 0.03233482
614, 0.0318649
615, 0.03170826
616, 0.03155162
617, 0.0318649
618, 0.03217818
619, 0.03202154
620, 0.03155162
621, 0.03155162
622, 0.03076843
623, 0.03092507
624, 0.03139498
625, 0.0310817
626, 0.03155162
627, 0.03139498
628, 0.03217818
629, 0.03076843
630, 0.0310817
631, 0.03061179
632, 0.0310817
633, 0.03029851
634, 0.03155162
635, 0.03139498
636, 0.03123834
637, 0.03092507
638, 0.03061179
639, 0.03155162
640, 0.03076843
641, 0.0310817
642, 0.03123834
643, 0.03139498
644, 0.03076843
645, 0.03123834
646, 0.0310817
647, 0.03076843
648, 0.03139498
649, 0.03155162
650, 0.03092507
651, 0.03155162
652, 0.03092507
653, 0.0310817
654, 0.03123834
655, 0.03280474
656, 0.03249146
657, 0.03217818
658, 0.0318649
659, 0.03280474
660, 0.03233482
661, 0.0318649
662, 0.03155162
663, 0.03092507
664, 0.03217818
665, 0.03170826
666, 0.03076843
667, 0.03092507
668, 0.03155162
669, 0.03139498
670, 0.03170826
671, 0.03123834
672, 0.03155162
673, 0.03170826
674, 0.0318649
675, 0.03217818
676, 0.03170826
677, 0.0310817
678, 0.03155162
679, 0.03139498
680, 0.03170826
681, 0.0318649
682, 0.0310817
683, 0.03139498
684, 0.03092507
685, 0.03139498
686, 0.03155162
687, 0.03170826
688, 0.03139498
689, 0.03233482
