Experiment:, Cathode characterisation
Start date:, p?tek 10. listopadu 2023
Start time:, 12:37:02 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
1020.05, 0.4000903, 0.04956514
1020.1, 0.4010383, 0.04893858
1020.15, 0.4019862, 0.04956514
1020.2, 0.4029342, 0.0494085
1020.25, 0.4037242, 0.04987842
1020.3, 0.4046721, 0.0494085
1020.35, 0.4057781, 0.04987842
1020.4, 0.4067261, 0.04972177
1020.45, 0.4078321, 0.05066161
1020.5, 0.4089381, 0.05081825
1020.55, 0.409728, 0.04925186
1020.6, 0.410992, 0.04987842
1020.65, 0.41194, 0.05034833
1020.7, 0.4128879, 0.05097489
1020.75, 0.4139939, 0.05050497
1020.8, 0.4150999, 0.05113153
1020.85, 0.4160478, 0.04987842
1020.9, 0.4169958, 0.04956514
1020.95, 0.4179438, 0.05050497
1021, 0.4188918, 0.05019169
1021.05, 0.4199978, 0.04972177
1021.1, 0.4209457, 0.05050497
1021.15, 0.4218937, 0.05160145
1021.2, 0.4228417, 0.05081825
1021.25, 0.4239476, 0.0494085
1021.3, 0.4248956, 0.05050497
1021.35, 0.4256856, 0.05175809
1021.4, 0.4267915, 0.05269792
1021.45, 0.4278975, 0.05097489
1021.5, 0.4286875, 0.05160145
1021.55, 0.4297935, 0.05050497
1021.6, 0.4308994, 0.05081825
1021.65, 0.4316894, 0.05128817
1021.7, 0.4327954, 0.05160145
1021.75, 0.4339013, 0.05191473
1021.8, 0.4348494, 0.0530112
1021.85, 0.4359553, 0.05254128
1021.9, 0.4369033, 0.05160145
1021.95, 0.4378513, 0.05254128
1022, 0.4391152, 0.05285456
1022.05, 0.4400632, 0.05175809
1022.1, 0.4408532, 0.05269792
1022.15, 0.4419591, 0.05316784
1022.2, 0.4430651, 0.05410768
1022.25, 0.4440131, 0.05254128
1022.3, 0.444961, 0.05207136
1022.35, 0.4459091, 0.05410768
1022.4, 0.446857, 0.05316784
1022.45, 0.447963, 0.05175809
1022.5, 0.448911, 0.05254128
1022.55, 0.4498589, 0.05348112
1022.6, 0.4508069, 0.0545776
1022.65, 0.4519129, 0.05395104
1022.7, 0.4530188, 0.05316784
1022.75, 0.4541248, 0.05410768
1022.8, 0.4552308, 0.05348112
1022.85, 0.4560207, 0.05191473
1022.9, 0.4569688, 0.05160145
1022.95, 0.4580747, 0.05395104
1023, 0.4588647, 0.05489087
1023.05, 0.4599707, 0.05489087
1023.1, 0.4609186, 0.05395104
1023.15, 0.4618666, 0.05520415
1023.2, 0.4628146, 0.0530112
1023.25, 0.4639205, 0.05316784
1023.3, 0.4647105, 0.05395104
1023.35, 0.4656585, 0.05348112
1023.4, 0.4667645, 0.05316784
1023.45, 0.4677125, 0.05520415
1023.5, 0.4688184, 0.05520415
1023.55, 0.4699244, 0.05426432
1023.6, 0.4708724, 0.05645727
1023.65, 0.4718203, 0.05442095
1023.7, 0.4727683, 0.05363776
1023.75, 0.4738743, 0.05536079
1023.8, 0.4749802, 0.05426432
1023.85, 0.4759282, 0.05630063
1023.9, 0.4768762, 0.05614398
1023.95, 0.4779822, 0.05614398
1024, 0.4787721, 0.05677054
1024.05, 0.4798781, 0.05583071
1024.1, 0.4808261, 0.05786702
1024.15, 0.4819321, 0.05630063
1024.2, 0.48288, 0.05645727
1024.25, 0.48367, 0.05551743
1024.3, 0.484776, 0.05520415
1024.35, 0.485882, 0.0545776
1024.4, 0.4866719, 0.05536079
1024.45, 0.4876199, 0.05645727
1024.5, 0.4885679, 0.0545776
1024.55, 0.4896739, 0.05771038
1024.6, 0.4906218, 0.05708382
1024.65, 0.4915698, 0.05708382
1024.7, 0.4925178, 0.05786702
1024.75, 0.4936238, 0.05771038
1024.8, 0.4947297, 0.05786702
1024.85, 0.4956777, 0.05755374
1024.9, 0.4966257, 0.05802366
1024.95, 0.4977316, 0.05818029
1025, 0.4986796, 0.05755374
1025.05, 0.4996276, 0.0566139
1025.1, 0.5005755, 0.05724046
1025.15, 0.5015236, 0.05912013
1025.2, 0.5026295, 0.05692719
1025.25, 0.5035775, 0.05912013
1025.3, 0.5045254, 0.05802366
1025.35, 0.5056314, 0.05802366
1025.4, 0.5065793, 0.05677054
1025.45, 0.5075274, 0.05786702
1025.5, 0.5086333, 0.06005996
1025.55, 0.5095813, 0.05912013
1025.6, 0.5106873, 0.05927677
1025.65, 0.5116352, 0.06037325
1025.7, 0.5127412, 0.05974669
1025.75, 0.5138472, 0.06052989
1025.8, 0.5149531, 0.05912013
1025.85, 0.5165331, 0.05943341
1025.9, 0.517639, 0.05692719
1025.95, 0.518903, 0.05630063
1026, 0.520009, 0.05614398
1026.05, 0.520957, 0.05677054
1026.1, 0.522063, 0.05786702
1026.15, 0.5233269, 0.05755374
1026.2, 0.5242749, 0.06005996
1026.25, 0.5252228, 0.06068652
1026.3, 0.5261708, 0.0609998
1026.35, 0.5272768, 0.061783
1026.4, 0.5282248, 0.061783
1026.45, 0.5291727, 0.06115644
1026.5, 0.5299627, 0.05974669
1026.55, 0.5310687, 0.05959005
1026.6, 0.5320167, 0.061783
1026.65, 0.5329646, 0.061783
1026.7, 0.5342286, 0.06115644
1026.75, 0.5350186, 0.0625662
1026.8, 0.5361246, 0.0609998
1026.85, 0.5370725, 0.0609998
1026.9, 0.5380206, 0.06272284
1026.95, 0.5391265, 0.06209628
1027, 0.5402325, 0.06146972
1027.05, 0.5413384, 0.06303611
1027.1, 0.5422865, 0.06225292
1027.15, 0.5432344, 0.06272284
1027.2, 0.5440243, 0.06272284
1027.25, 0.5449724, 0.06084317
1027.3, 0.5459203, 0.061783
1027.35, 0.5471843, 0.06052989
1027.4, 0.5479743, 0.06005996
1027.45, 0.5490802, 0.06052989
1027.5, 0.5501862, 0.06303611
1027.55, 0.5509762, 0.06209628
1027.6, 0.5519242, 0.06240956
1027.65, 0.5528721, 0.06287947
1027.7, 0.5538201, 0.06272284
1027.75, 0.554926, 0.06115644
1027.8, 0.555874, 0.06131308
1027.85, 0.5568221, 0.06350603
1027.9, 0.557928, 0.06052989
1027.95, 0.559034, 0.06131308
1028, 0.5599819, 0.06272284
1028.05, 0.5609299, 0.06272284
1028.1, 0.5618779, 0.06209628
1028.15, 0.5628259, 0.06146972
1028.2, 0.5639318, 0.06319275
1028.25, 0.5650378, 0.06350603
1028.3, 0.5659857, 0.06460251
1028.35, 0.5669338, 0.0633494
1028.4, 0.5678818, 0.06303611
1028.45, 0.5688297, 0.06303611
1028.5, 0.5696197, 0.06381931
1028.55, 0.5707256, 0.06428923
1028.6, 0.5716736, 0.06350603
1028.65, 0.5726216, 0.06475915
1028.7, 0.5735696, 0.06287947
1028.75, 0.5746756, 0.06162636
1028.8, 0.5759395, 0.06303611
1028.85, 0.5768875, 0.0653857
1028.9, 0.5778354, 0.06460251
1028.95, 0.5787835, 0.06444587
1029, 0.5798894, 0.06507242
1029.05, 0.5808374, 0.06507242
1029.1, 0.5819433, 0.06632554
1029.15, 0.5830493, 0.06554235
1029.2, 0.5839972, 0.06726538
1029.25, 0.5849453, 0.06444587
1029.3, 0.5858933, 0.0653857
1029.35, 0.5868412, 0.06522907
1029.4, 0.5877892, 0.06663882
1029.45, 0.5888951, 0.06632554
1029.5, 0.5898432, 0.06601226
1029.55, 0.5907911, 0.06789193
1029.6, 0.5918971, 0.0661689
1029.65, 0.592845, 0.06648218
1029.7, 0.593951, 0.06303611
1029.75, 0.5948989, 0.06350603
1029.8, 0.595847, 0.06303611
1029.85, 0.596953, 0.06319275
1029.9, 0.5979009, 0.06366267
1029.95, 0.5988489, 0.06585562
1030, 0.5996388, 0.06648218
1030.05, 0.6009029, 0.06648218
1030.1, 0.6018508, 0.06663882
1030.15, 0.6027988, 0.06632554
1030.2, 0.6039047, 0.06710874
1030.25, 0.6048527, 0.06804857
1030.3, 0.6059586, 0.06601226
1030.35, 0.6069067, 0.06742202
1030.4, 0.6080127, 0.06413259
1030.45, 0.6086446, 0.06601226
1030.5, 0.6097506, 0.06836185
1030.55, 0.6106985, 0.06648218
1030.6, 0.6116465, 0.06585562
1030.65, 0.6125945, 0.06475915
1030.7, 0.6137005, 0.06522907
1030.75, 0.6146485, 0.06601226
1030.8, 0.6155964, 0.06585562
1030.85, 0.6165444, 0.06601226
1030.9, 0.6176503, 0.06710874
1030.95, 0.6187564, 0.0661689
1031, 0.6198623, 0.06507242
1031.05, 0.6206523, 0.06507242
1031.1, 0.6216003, 0.06663882
1031.15, 0.6228642, 0.06742202
1031.2, 0.6236542, 0.06585562
1031.25, 0.6246022, 0.06585562
1031.3, 0.6257082, 0.06820521
1031.35, 0.6264981, 0.06820521
1031.4, 0.6276041, 0.06742202
1031.45, 0.6285521, 0.0661689
1031.5, 0.6295001, 0.06726538
1031.55, 0.6306061, 0.06648218
1031.6, 0.631554, 0.06648218
1031.65, 0.63266, 0.06679546
1031.7, 0.6336079, 0.06632554
1031.75, 0.6345559, 0.0653857
1031.8, 0.6356619, 0.06475915
1031.85, 0.6366099, 0.06381931
1031.9, 0.6375578, 0.06742202
1031.95, 0.6386638, 0.06726538
1032, 0.6396118, 0.06679546
1032.05, 0.6405598, 0.06663882
1032.1, 0.6415077, 0.06632554
1032.15, 0.6426137, 0.06757865
1032.2, 0.6437197, 0.06867513
1032.25, 0.6445096, 0.06726538
1032.3, 0.6456156, 0.06804857
1032.35, 0.6465636, 0.06867513
1032.4, 0.6475116, 0.06898841
1032.45, 0.6486175, 0.07024152
1032.5, 0.6495655, 0.06914505
1032.55, 0.6505135, 0.06883177
1032.6, 0.6514615, 0.06742202
1032.65, 0.6525674, 0.06883177
1032.7, 0.6535154, 0.06836185
1032.75, 0.6544634, 0.06804857
1032.8, 0.6555693, 0.06914505
1032.85, 0.6565173, 0.0697716
1032.9, 0.6576233, 0.06992824
1032.95, 0.6585713, 0.06851849
1033, 0.6596772, 0.06867513
1033.05, 0.6606252, 0.07149464
1033.1, 0.6615732, 0.07039816
1033.15, 0.6625211, 0.07086808
1033.2, 0.6636271, 0.071338
1033.25, 0.6645751, 0.06914505
1033.3, 0.6655231, 0.07149464
1033.35, 0.666629, 0.071338
1033.4, 0.667577, 0.07102472
1033.45, 0.668683, 0.071338
1033.5, 0.669631, 0.07102472
1033.55, 0.670579, 0.07024152
1033.6, 0.6713689, 0.07039816
1033.65, 0.6723168, 0.07165127
1033.7, 0.6735808, 0.07102472
1033.75, 0.6745288, 0.07259111
1033.8, 0.6754768, 0.07008488
1033.85, 0.6764248, 0.07196455
1033.9, 0.6775308, 0.07102472
1033.95, 0.6786367, 0.0721212
1034, 0.6794267, 0.071338
1034.05, 0.6805327, 0.07196455
1034.1, 0.6814806, 0.07290439
1034.15, 0.6825866, 0.07243447
1034.2, 0.6835346, 0.07180792
1034.25, 0.6846405, 0.07337431
1034.3, 0.6854305, 0.07165127
1034.35, 0.6865365, 0.07274775
1034.4, 0.6874845, 0.07243447
1034.45, 0.6885904, 0.07306103
1034.5, 0.6895384, 0.07353094
1034.55, 0.6904864, 0.07243447
1034.6, 0.6912764, 0.07180792
1034.65, 0.6922244, 0.07431415
1034.7, 0.6934883, 0.07525398
1034.75, 0.6944363, 0.07337431
1034.8, 0.6955422, 0.07321767
1034.85, 0.6964902, 0.07259111
1034.9, 0.6974382, 0.0741575
1034.95, 0.6985442, 0.0749407
1035, 0.6994922, 0.07431415
1035.05, 0.7005981, 0.07525398
1035.1, 0.7015461, 0.07400087
1035.15, 0.7024941, 0.07368759
1035.2, 0.7032841, 0.07541062
1035.25, 0.70439, 0.07588054
1035.3, 0.705496, 0.07509734
1035.35, 0.706286, 0.07400087
1035.4, 0.7072339, 0.07400087
1035.45, 0.7081819, 0.07462742
1035.5, 0.7091299, 0.07462742
1035.55, 0.7100779, 0.07572389
1035.6, 0.7111838, 0.07541062
1035.65, 0.7121318, 0.07541062
1035.7, 0.7132378, 0.07525398
1035.75, 0.7141858, 0.07462742
1035.8, 0.7152917, 0.07525398
1035.85, 0.7162397, 0.0749407
1035.9, 0.7171876, 0.07603717
1035.95, 0.7181356, 0.07525398
1036, 0.7192416, 0.07635045
1036.05, 0.7201896, 0.07603717
1036.1, 0.7212955, 0.0777602
1036.15, 0.7222435, 0.07603717
1036.2, 0.7231915, 0.07666373
1036.25, 0.7242975, 0.07760356
1036.3, 0.7254035, 0.0777602
1036.35, 0.7263514, 0.07697701
1036.4, 0.7271414, 0.07948323
1036.45, 0.7282473, 0.07791685
1036.5, 0.7291953, 0.07791685
1036.55, 0.7303013, 0.07901332
1036.6, 0.7312493, 0.07744693
1036.65, 0.7321973, 0.07870004
1036.7, 0.7331452, 0.07729029
1036.75, 0.7340932, 0.07760356
1036.8, 0.7350411, 0.07823012
1036.85, 0.7361472, 0.08089299
1036.9, 0.7372531, 0.08057971
1036.95, 0.7383591, 0.08057971
1037, 0.739307, 0.08026644
1037.05, 0.740097, 0.0801098
1037.1, 0.7412031, 0.07963987
1037.15, 0.742309, 0.08026644
1037.2, 0.743257, 0.08214611
1037.25, 0.7442049, 0.0813629
1037.3, 0.7454689, 0.08151954
1037.35, 0.7462589, 0.07995315
1037.4, 0.7472069, 0.08120627
1037.45, 0.7481548, 0.0813629
1037.5, 0.7491028, 0.08386914
1037.55, 0.7502087, 0.08167619
1037.6, 0.7511567, 0.08261602
1037.65, 0.7522627, 0.08167619
1037.7, 0.7532107, 0.08339922
1037.75, 0.7541587, 0.0837125
1037.8, 0.7552646, 0.08308594
1037.85, 0.7562126, 0.08324257
1037.9, 0.7571605, 0.08418241
1037.95, 0.7582666, 0.08355586
1038, 0.7590566, 0.08261602
1038.05, 0.7600045, 0.08465233
1038.1, 0.7609525, 0.0837125
1038.15, 0.7620584, 0.08386914
1038.2, 0.7631644, 0.08386914
1038.25, 0.7641124, 0.08386914
1038.3, 0.7652184, 0.08418241
1038.35, 0.7661663, 0.08496562
1038.4, 0.7671143, 0.08386914
1038.45, 0.7682202, 0.08543553
1038.5, 0.7691682, 0.08700192
1038.55, 0.7699583, 0.08621872
1038.6, 0.7709062, 0.08559217
1038.65, 0.7718542, 0.08559217
1038.7, 0.7729601, 0.08684529
1038.75, 0.7740661, 0.0873152
1038.8, 0.7750141, 0.08715856
1038.85, 0.7761201, 0.08825504
