Experiment:, EIS
Start date:, pond?l? 20. b?ezna 2023
Start time:, 12:15:50 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
641, 100000, -0.02185285, -0.00932141
641, 89125.09, 0.01303137, 0.001561596
641, 79432.82, 0.001608102, -0.003516298
641, 70794.57, 0.002832103, -0.0008856844
642, 63095.73, 0.002582816, 0.001851679
642, 56234.13, 0.003525406, 0.002555131
642, 50118.71, 3.580806e-05, 0.00191328
642, 44668.35, 0.0007193387, -0.001985966
643, 39810.71, 0.003713725, 0.0003422879
643, 35481.33, 0.004077303, -0.0001451737
643, 31622.77, 0.004230082, -0.0002895713
643, 28183.82, 0.00450958, -0.000650481
644, 25118.85, 0.004348017, -0.0004144316
644, 22387.2, 0.004607992, -0.0004702919
644, 19952.61, 0.0043587, -0.0005357385
644, 17782.79, 0.004669801, -0.0007463007
645, 15848.92, 0.004855039, -0.0006290398
645, 14125.37, 0.004858341, -0.0007250245
645, 12589.25, 0.004996527, -0.0008001698
645, 11220.18, 0.005097216, -0.0009386083
646, 9999.993, 0.005220823, -0.0008902994
646, 8912.503, 0.005309562, -0.0009573324
646, 7943.276, 0.005402929, -0.0009818055
646, 7079.452, 0.005497336, -0.001044093
647, 6309.568, 0.005580509, -0.001086416
647, 5623.409, 0.005679782, -0.001138528
647, 5011.868, 0.00577026, -0.001170552
648, 4466.832, 0.00585806, -0.001219021
648, 3981.068, 0.005952872, -0.001264411
648, 3548.131, 0.006041661, -0.001313974
648, 3162.275, 0.006137323, -0.001363115
649, 2818.38, 0.006233449, -0.001417696
649, 2511.884, 0.006341192, -0.001478147
649, 2238.719, 0.006449661, -0.001534595
650, 1995.26, 0.006564127, -0.00159574
650, 1778.277, 0.0066949, -0.001661584
650, 1584.891, 0.006834958, -0.001716974
650, 1412.536, 0.006982217, -0.001774021
650, 1258.924, 0.007139871, -0.001837741
651, 1122.017, 0.007308912, -0.001889045
651, 999.9988, 0.007527507, -0.001922625
651, 891.2498, 0.007664079, -0.001967124
651, 794.3272, 0.007853473, -0.001999041
651, 707.9448, 0.00805976, -0.00203006
651, 630.9565, 0.008246364, -0.002022546
652, 562.3405, 0.008449297, -0.00202677
652, 501.1865, 0.008581523, -0.002032178
652, 446.6829, 0.008838817, -0.001961415
652, 398.1066, 0.009004834, -0.001857124
652, 354.8128, 0.009207086, -0.001854654
652, 316.2273, 0.009361707, -0.001782463
653, 281.8378, 0.009524586, -0.001700152
653, 251.1882, 0.009683908, -0.001600087
653, 223.8717, 0.00980573, -0.001511069
653, 199.5259, 0.009948661, -0.001391325
653, 177.8276, 0.01003372, -0.001314773
653, 158.489, 0.01013056, -0.001209226
653, 141.2535, 0.01020164, -0.001122472
654, 125.8923, 0.01030195, -0.001026115
654, 112.2016, 0.01035854, -0.0009362907
654, 99.9998, 0.01041721, -0.000699368
654, 89.12492, 0.01043775, -0.0007393758
654, 79.43266, 0.010478, -0.0006932349
654, 70.79443, 0.01051139, -0.000595157
655, 63.0956, 0.01051703, -0.0005487701
655, 56.23401, 0.01056182, -0.0004633025
655, 50.11861, 0.01056688, -0.0003862412
655, 44.66826, 0.01055678, -0.0003748641
655, 39.81063, 0.01055725, -0.0003655254
655, 35.48126, 0.0105742, -0.0002639301
