Experiment:, EIS
Start date:, ?ter? 21. b?ezna 2023
Start time:, 12:40:56 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
241, 100000, 0.0015212, -0.007860523
241, 89125.09, -0.009964287, 0.01153901
241, 79432.82, 0.002850431, 0.0020412
241, 70794.57, 0.006060069, -0.01137636
242, 63095.73, 0.004007058, 0.004939896
242, 56234.13, -0.004242125, -0.004949749
242, 50118.71, -0.003436888, -0.00740838
242, 44668.35, 0.002557958, -0.001964701
243, 39810.71, 0.00257529, -0.00167655
243, 35481.33, 0.003880266, 0.000606878
243, 31622.77, 0.003231208, -0.000700023
243, 28183.82, 0.002353189, 0.0004280981
244, 25118.85, 0.003044646, -0.0009114221
244, 22387.2, 0.002800358, -0.0004786942
244, 19952.61, 0.002512506, -0.0005143385
244, 17782.79, 0.002791841, -0.0008266891
245, 15848.92, 0.002883154, -0.000736386
245, 14125.37, 0.002951472, -0.001130692
245, 12589.25, 0.00306453, -0.001016189
245, 11220.18, 0.003115502, -0.001129436
246, 9999.993, 0.003280051, -0.001078431
246, 8912.503, 0.003391051, -0.001134647
246, 7943.276, 0.003477564, -0.001257348
246, 7079.452, 0.003583023, -0.001264964
247, 6309.568, 0.003734588, -0.00134656
247, 5623.409, 0.003834439, -0.001369905
247, 5011.868, 0.003947954, -0.001399609
247, 4466.832, 0.004054234, -0.001425168
248, 3981.068, 0.004167277, -0.001457614
248, 3548.131, 0.004280212, -0.001483338
248, 3162.275, 0.004386243, -0.001517128
248, 2818.38, 0.004489275, -0.001540925
249, 2511.884, 0.004590414, -0.001573517
249, 2238.719, 0.004686865, -0.001609569
249, 1995.26, 0.004782156, -0.001653442
249, 1778.277, 0.004878712, -0.00169479
250, 1584.891, 0.004975419, -0.001750174
250, 1412.536, 0.005074552, -0.001804214
250, 1258.924, 0.005164261, -0.001880661
250, 1122.017, 0.005261515, -0.00196165
251, 999.9988, 0.00538252, -0.002035436
251, 891.2498, 0.005476288, -0.002156581
251, 794.3272, 0.005605851, -0.002287863
251, 707.9448, 0.00572357, -0.002415168
251, 630.9565, 0.005857372, -0.002545149
251, 562.3405, 0.006005079, -0.0027013
252, 501.1865, 0.006158496, -0.00291376
252, 446.6829, 0.006361926, -0.003052352
252, 398.1066, 0.006597098, -0.003236998
252, 354.8128, 0.006785431, -0.00344369
252, 316.2273, 0.007047965, -0.00364474
252, 281.8378, 0.007327581, -0.003850357
253, 251.1882, 0.007645533, -0.004067371
253, 223.8717, 0.007985984, -0.004280908
253, 199.5259, 0.008360297, -0.004483458
253, 177.8276, 0.008774339, -0.004664586
253, 158.489, 0.009210738, -0.004845136
253, 141.2535, 0.009683525, -0.004963752
253, 125.8923, 0.010181, -0.005083567
254, 112.2016, 0.01069744, -0.005164787
254, 99.9998, 0.01135689, -0.005227594
254, 89.12492, 0.01179567, -0.005141038
254, 79.43266, 0.01230229, -0.00506785
254, 70.79443, 0.01285074, -0.004941206
254, 63.0956, 0.01335251, -0.004798193
255, 56.23401, 0.01383612, -0.004604373
255, 50.11861, 0.0142686, -0.004370381
255, 44.66826, 0.01461391, -0.004102107
255, 39.81063, 0.01497419, -0.003841885
255, 35.48126, 0.01525559, -0.003549627
255, 31.6227, 0.01554059, -0.003279559
255, 28.18376, 0.01580127, -0.002956957
256, 25.11881, 0.01598088, -0.00273295
256, 22.38716, 0.01608695, -0.002467643
256, 19.95257, 0.01626135, -0.002235016
256, 17.78275, 0.01634624, -0.001970803
256, 15.84889, 0.01646843, -0.001781813
256, 14.12534, 0.01651208, -0.001564627
257, 12.58922, 0.01657669, -0.001353078
257, 11.22016, 0.01658869, -0.001174174
257, 9.999973, 0.01666563, -0.001075987
257, 8.912485, 0.01668736, -0.0008859392
257, 7.943261, 0.01664795, -0.0007429989
258, 7.079438, 0.0167066, -0.0006086778
258, 6.309556, 0.01672984, -0.0005629024
258, 5.623397, 0.01666344, -0.0005035227
258, 5.011858, 0.01659722, -0.000353497
259, 4.466823, 0.01659842, -0.0002658076
259, 3.98106, 0.01654115, -0.0002668275
259, 3.548123, 0.01658421, -0.000190112
260, 3.162268, 0.01657051, -6.833682e-05
260, 2.818374, 0.01650482, -5.390632e-05
260, 2.511878, 0.01651038, 1.304796e-05
261, 2.238714, 0.01649692, 3.272688e-05
262, 1.995256, 0.01651862, 5.102246e-05
262, 1.778274, 0.01646641, 0.0001327718
263, 1.584888, 0.01646298, 0.0001324725
264, 1.412533, 0.01640284, 0.000189885
264, 1.258921, 0.01636813, 0.0001832456
265, 1.122015, 0.01633323, 0.0002048467
266, 0.999997, 0.01633586, 0.0002126253
268, 0.891248, 0.01633685, 0.0002302459
269, 0.794325, 0.01631691, 0.0002820515
270, 0.707943, 0.01632951, 0.0002908533
272, 0.630955, 0.01625419, 0.0002682243
274, 0.562339, 0.01619401, 0.0002735714
276, 0.501185, 0.01619942, 0.000285095
278, 0.446682, 0.0161935, 0.0002974085
281, 0.398106, 0.01616438, 0.0003078613
284, 0.354812, 0.01611498, 0.0003049492
287, 0.316227, 0.01615664, 0.0002998518
290, 0.281837, 0.016029, 0.0003705093
294, 0.251188, 0.0160774, 0.0003152093
299, 0.223871, 0.01602968, 0.0003074213
304, 0.199525, 0.01600957, 0.0002825601
310, 0.177827, 0.01600336, 0.0003241855
316, 0.158489, 0.01597638, 0.0003100591
323, 0.141253, 0.01591698, 0.0002697853
331, 0.125892, 0.01593787, 0.0002982691
340, 0.112201, 0.01569855, 0.00166722
350, 0.1, 0.01564904, -0.001748394
