Experiment:, EIS
Start date:, st?eda 22. b?ezna 2023
Start time:, 10:53:31 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
681, 100000, -0.08366122, 0.1037732
681, 89125.09, -0.003561888, -0.001318618
681, 79432.82, -0.0005908789, -0.0001219637
682, 70794.57, 0.0005699457, -0.0006950822
682, 63095.73, -0.001222859, -0.0005840185
682, 56234.13, 0.005498833, 0.002210534
682, 50118.71, -0.0004581675, -0.0005297724
683, 44668.35, -0.004619281, 0.001238524
683, 39810.71, 0.002667272, -0.0008778079
683, 35481.33, 0.002704307, -0.0004298759
683, 31622.77, 0.002521893, -0.0007017037
683, 28183.82, 0.002575851, 2.098893e-05
684, 25118.85, 0.00285347, -0.0001305876
684, 22387.2, 0.002810995, -0.0005779474
684, 19952.61, 0.002751622, -0.0005130767
684, 17782.79, 0.002745065, -0.0007093301
685, 15848.92, 0.002927773, -0.0007978199
685, 14125.37, 0.003067659, -0.0008269827
685, 12589.25, 0.003119917, -0.0009359458
685, 11220.18, 0.00316222, -0.0008891811
686, 9999.993, 0.003235703, -0.0009479202
686, 8912.503, 0.00333992, -0.001022409
686, 7943.276, 0.003397908, -0.001027813
686, 7079.452, 0.003473444, -0.001096965
687, 6309.568, 0.003554195, -0.001142535
687, 5623.409, 0.003625151, -0.001212683
687, 5011.868, 0.003706032, -0.001253977
687, 4466.832, 0.003782495, -0.001310259
688, 3981.068, 0.003861397, -0.001378894
688, 3548.131, 0.00393167, -0.001446762
688, 3162.275, 0.00401092, -0.001529624
688, 2818.38, 0.004092352, -0.001617969
689, 2511.884, 0.004180223, -0.001716665
689, 2238.719, 0.00426667, -0.001825821
689, 1995.26, 0.004385874, -0.001954298
689, 1778.277, 0.004476166, -0.002081558
690, 1584.891, 0.004593073, -0.002220747
690, 1412.536, 0.00472112, -0.002376956
690, 1258.924, 0.004875479, -0.002547917
690, 1122.017, 0.005038552, -0.00272569
691, 999.9988, 0.005261099, -0.002879036
691, 891.2498, 0.005442873, -0.00310598
691, 794.3272, 0.005661185, -0.003312235
691, 707.9448, 0.005941494, -0.00352085
691, 630.9565, 0.00622773, -0.003710143
691, 562.3405, 0.006569262, -0.003911678
692, 501.1865, 0.006920565, -0.004179425
692, 446.6829, 0.007326403, -0.00426999
692, 398.1066, 0.007803882, -0.004336033
692, 354.8128, 0.008195489, -0.004523642
692, 316.2273, 0.008681071, -0.004589588
692, 281.8378, 0.009158508, -0.004620917
693, 251.1882, 0.009664014, -0.004604521
693, 223.8717, 0.01014083, -0.004537933
693, 199.5259, 0.01061135, -0.004402775
693, 177.8276, 0.01105588, -0.00426757
693, 158.489, 0.01149633, -0.004113829
693, 141.2535, 0.01187545, -0.00389066
693, 125.8923, 0.01223878, -0.00367495
694, 112.2016, 0.0125279, -0.003431224
694, 99.9998, 0.01289627, -0.003024296
694, 89.12492, 0.01303496, -0.002902681
694, 79.43266, 0.01326568, -0.002672457
694, 70.79443, 0.01339693, -0.002426104
694, 63.0956, 0.01357, -0.002131335
695, 56.23401, 0.0136282, -0.001876005
695, 50.11861, 0.01362344, -0.001729347
695, 44.66826, 0.01382013, -0.001523756
695, 39.81063, 0.01391162, -0.001306838
695, 35.48126, 0.01388789, -0.00121653
695, 31.6227, 0.01392079, -0.001038459
696, 28.18376, 0.01392519, -0.001031905
696, 25.11881, 0.01394314, -0.0007181782
696, 22.38716, 0.01393658, -0.0007691389
696, 19.95257, 0.01385176, -0.0006276713
696, 17.78275, 0.01404415, -0.0006225044
696, 15.84889, 0.01406053, -0.0004878828
696, 14.12534, 0.01393833, -0.0004429253
697, 12.58922, 0.01404721, -0.0003145839
697, 11.22016, 0.01393996, -0.0002586211
697, 9.999973, 0.01399278, -0.000220596
697, 8.912485, 0.01400025, -0.0001485073
697, 7.943261, 0.01395743, -0.0001355581
698, 7.079438, 0.01393766, -9.13907e-05
698, 6.309556, 0.01394969, -3.681052e-05
698, 5.623397, 0.01393497, -1.204505e-05
698, 5.011858, 0.01390895, -1.119087e-05
699, 4.466823, 0.01385625, -3.015753e-05
699, 3.98106, 0.01385478, 5.664811e-05
699, 3.548123, 0.01385209, 0.0001254618
700, 3.162268, 0.01383903, 6.365403e-05
700, 2.818374, 0.01387639, 5.631878e-05
701, 2.511878, 0.01380322, 0.0001211137
701, 2.238714, 0.01383293, 0.0001116233
702, 1.995256, 0.01379157, 6.874536e-05
702, 1.778274, 0.01387986, 7.104121e-05
703, 1.584888, 0.01378911, 9.180111e-05
704, 1.412533, 0.01371841, 0.0001095309
704, 1.258921, 0.01365934, 0.0001594996
705, 1.122015, 0.01372447, 0.0001358806
706, 0.999997, 0.01376999, 0.0001751265
708, 0.891248, 0.01368558, 0.0001290866
709, 0.794325, 0.01357745, 0.0002232052
710, 0.707943, 0.01375943, 0.0002078659
712, 0.630955, 0.01363159, 0.0001708321
714, 0.562339, 0.01367964, 0.0001996387
716, 0.501185, 0.01361979, 0.0003241771
718, 0.446682, 0.01364281, 0.0002629897
721, 0.398106, 0.01364446, 0.000340438
724, 0.354812, 0.01372052, 0.0004190452
727, 0.316227, 0.01378735, 0.0003825957
730, 0.281837, 0.01357418, 0.0003610497
735, 0.251188, 0.01356584, 0.000462945
739, 0.223871, 0.01361228, 0.0003933597
744, 0.199525, 0.01352456, 0.0004213534
750, 0.177827, 0.01353531, 0.000556329
756, 0.158489, 0.01344957, 0.0005427611
763, 0.141253, 0.01345787, 0.0006365234
771, 0.125892, 0.01327044, 0.0003625278
780, 0.112201, 0.01336864, 0.0005437549
790, 0.1, 0.0135384, 0.0005856846
